,post,targetStereotype,targetMinority
108,"""Personality""
I just want to get a bat and bludgeon the face of the next female that utters this word.","[""does not have valid opinions"", ""is deserving of voilence"", ""trivializes harm to victims"", ""women are objects"", ""women are sex objects""]","[""assault victims"", ""women"", ""women, lesbian women, trans women, bisexual women""]"
123,"""RT @_jadanoele: """"na boo you just be fucking with the wrong niggas"""" - a wronger nigga""","[""black men are hitting on women inappropriately"", ""black people are putting down other black people."", ""black people are referred to as niggas"", ""niggas is a slang term""]","[""black folks""]"
127,"""RT @cocosbentmind: Muslims in Germany chant""""Adolf Hitler""""&amp;""""death to Jews""""as they Nazi salute. Ironically side fighting this hate in U.…""","[""are nazis"", ""muslims are fascists"", ""muslims are inconsiderate"", ""muslims hate westerners"", ""muslims want to kill jews"", ""want to kill all jews""]","[""muslim folks""]"
136,"""Snigger"" -&gt;  ""Laughrican American""","[""black folks are inferior"", ""black folks aren't smart"", ""racism is funny"", ""the n word is funny""]","[""black folks""]"
150,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an","[""gays are bad"", ""gays are disgusting"", ""is not okay"", ""shouldn't be seen"", ""shouldn't get married""]","[""gay men"", ""lesbian women, gay men"", ""lesbian women, gay men, bisexual women, bisexual men""]"
156,"""he is attractive but not my type""
u hear this saying a lot from females in the show 'dating in the dark'

ie: he is ugly but i don't want to look shallow because im a coward piece of shit","[""women are hypocritical"", ""women are shallow"", ""women are stupid"", ""women have low self esteem""]","[""women""]"
158,"""i can't stand these """"grown"""" ass females &#129318;&#127997;‍♀️&#129318;&#127997;‍♀️ how you """" grown """" but childish as hell ?! &#128553;&#128514;&#129318;&#127997;‍♀️&#129318;&#127997;‍♀️""","[""calls women females"", ""women are childish""]","[""women""]"
161,"""if i wasnt in a work place id deck you"" aye fucking right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the fuck up bitch","[""women are bitches"", ""women are weak""]","[""women""]"
162,"""imagine having such a pathetic relationship with christ that'd you would """"consider"""" paganism @truestirlitz""","[""pagan folks are inferior"", ""pagan folks are pathetic"", ""pagan folks are wish washy christians"", ""pagans are bad"", ""pagans are less than christians"", ""pagans are the devil"", ""pagans are worse than christians""]","[""Pagan"", ""pagan"", ""pagan folks""]"
163,"""just don't"" = the sum total of your unconscious biases @NoPromises_ I'm not sexist but I just dont like female singers haha","[""women aren't as good as men"", ""women aren't good singers"", ""women can't sing"", ""women have no talent""]","[""women""]"
165,"""most ugly men are ugly on the inside too""","[""a man must be good-looking to have a good personality"", ""ugly folks are bad people."", ""ugly folks are mean."", ""ugly men are horrible inside""]","[""men"", ""ugly folks""]"
172,"#000000 this sub has only gone downhill since scrooge left, but i can't blame him. 

nigger","[""black folks aren't as good as white people"", ""black folks ruin everything"", ""black people are lesser human beings"", ""black people don't mind being called racial slurs""]","[""black folks""]"
202,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;","[""are cancerous"", ""are sick"", ""gay men are immoral"", ""gay men are irresponsible"", ""has something wrong"", ""should die""]","[""gay men""]"
215,&#8220;@I_DontKIAra: done w. All these fuck niggas &#128554;&#128514; snip snip hoe &#9996;&#65039;&#9986;&#65039;&#8221; stfu,"[""use of n word"", ""women are bitches""]","[""black folks"", ""women""]"
217,&#8220;@NoRapist: Throwing lamps at bitches who need to lighten up.&#8221; True dat,"[""trivializes harm to victims""]","[""assault victims""]"
219,&#8220;@Weakass_Drex: If Jennifer Hudson can lose weight anybody can you fat ass hoes!!!&#8221;&#128514;&#128514;&#128514;&#128514;,"[""are just objects"", ""fat folks need to lose weight"", ""fat people are unattractive"", ""fat people should lose weight"", ""fat women are hoes"", ""women are refereed to as a derogatory word""]","[""overweight/fat folks"", ""women""]"
221,&#8220;@aerinblazin: I'm 2 much for these niggas and 3 much for these hoes &#128129;&#8221;,"[""are just objects"", ""are second class citizens"", ""derogatory term used"", ""women are not intelligent""]","[""black folks"", ""women""]"
222,"&#8220;@lovelyatotheb: @1Bcarter would love the Parkside sport girls, dressed like Kobe all day everyday!&#8221; Let me see 1 of them hoes","[""women are hoes"", ""women sleep around""]","[""women""]"
224,&#8220;@nhalegood: When hoes feel like their photo didnt get enough favorites http://t.co/ZDf98BpF94&#8221;,"[""are all hoes"", ""is promiscuous"", ""woman are hoes/sexually promiscuous"", ""woman are vain""]","[""women""]"
230,&gt;tfw even if you woke up as Chad and you wouldn't feel any different because years of psychological damage at the hands of female human organisms has permanently made you the way you are mentally,"[""are out to get straight men"", ""makes straight men crazy"", ""women are abusive"", ""women are sex objects""]","[""women"", ""women, lesbian women, trans women, bisexual women""]"
232,&lt;--- number of femoids who would rather die than spend more than 5 seconds with an incel,"[""women are judgmental."", ""women are mean.""]","[""women""]"
233,"'As long as we never make another mistake the left will let us speak'

Good luck with that, altlite fags.","[""liberals are intolerant"", ""liberals are nazis""]","[""liberals""]"
234,'Build the wall deport em all (not just illegals)',"[""illegals should be deported"", ""immigrants are not welcome"", ""mexican folks should be deported"", ""mexican folks should not be in the us""]","[""asian folks, latino/latina folks"", ""latino/latina folks""]"
237,"(In America) Men get circumcised but women don't
Maybe if we started cutting off their clits they'd be less likely to whore away their youth","[""women are sluts."", ""women are whores."", ""women need to be controlled."", ""women need to be kept in line"", ""women should be circumcised, too."", ""women should be punished""]","[""women""]"
239,"(Stolen) A black woman calls her 5 kids Tyrone. How can she tell them apart? 


By their last names","[""black men are all tyrones"", ""black men don't take care of their kids."", ""black people all look alike"", ""black women have multiple children with multiple men."", ""have different dads""]","[""black folks""]"
244,*Does backflip* THISSSSSSSS!!! RT @Krislisisms: You niggas switch up your opinions like faggots,"[""gay men are called fags"", ""gay men are indecisive"", ""gay men are lesser than other groups"", ""gay men should be called faggots""]","[""gay men""]"
245,"*Goes to store* A box of condoms, please.
 
That’ll be 3,99. Do you want a bag with it?
 
Nah I’m OK. She’s actually quite pretty.","[""unattractive women are objects or not worth being loved."", ""woman are objects"", ""woman are sex objects"", ""you need to put a bag over an ugly women's face to have sex with her.""]","[""ugly folks"", ""women""]"
247,*No jews were harmed in the making of the holocaust.,"[""jewish people lied about the holocaust"", ""jews are liars"", ""jews didn't die in the holocaust"", ""trivializes harm to victims""]","[""holocaust victims"", ""jewish folks""]"
248,*gasps* You've NEVER had taiyaki* before? You're not really Japanese!,"[""all japanese people are familiar with the same food dishes."", ""all japanese people are the same."", ""japanese people should fit a certain sterotype"", ""japanese people should have a knowledge of japanese foods""]","[""Japanese people""]"
250,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't know how to form their own opinions.,"[""women are defined by their men."", ""women are intellectually deficient."", ""women are not as smart as men"", ""women can't form their own opinons"", ""women cannot think for themselves""]","[""women""]"
257,".@BlackOpal80 Realized then that selfish hypocrisy is the crux of modern feminism, not equality.","[""are hypocrites"", ""dont really care about equality"", ""feminists are hypocrites"", ""feminists are hypocrits"", ""feminists are less intelligent than other people"", ""feminists want inequality""]","[""feminists""]"
258,.@Buckm00se really does talk like a buck nigger,"[""are niggers"", ""calls black people nigger"", ""is inherently bad"", ""slur"", ""use of the word nigger""]","[""black folks""]"
283,135 Billion dollars a year due to Illegal Aliens .....NO MORE IMMIGRATION.....PERIOD....WE ARE FULL !,"[""all immigrants cost the taxpayers"", ""all immigrants need to stay out"", ""should stay in their own country"", ""should stay out of the usa""]","[""immigrants"", ""latino/latina folks""]"
292,"2 condoms walk by a gay bar The other one looks at the other and asks ""Hey, you wanna go get shitfaced?""","[""are just objects"", ""derogatory term used"", ""gay men all have anal sex"", ""gay men are promiscuous"", ""gay men like to have anal sex"", ""gay men like to have anal sex, so poo will be on the condoms""]","[""bisexual men"", ""gay men""]"
295,"2018 Democrat Strategy:

Lie about Conservative Candidates
Dredge up paid examples of lies
Flood advertising with these lies and liars
Bring unqualified voters to the polls by the busload
Program voting machines to register ""Democrat"" at least 1.5:1 ratio
Destroy votes immediately after election","[""democrats cheat"", ""democrats lie"", ""liberals are corrupt"", ""liberals are liars""]","[""Democrats"", ""liberals""]"
299,4) safety gloves. It's time we start calling out the hypocrisy and end our coddling of religion. No more tax breaks for churches. No more,"[""christians are hypocrites"", ""christians take advantage of tax breaks""]","[""christian folks""]"
307,9/11 jokes always seem good in the beginning But then they come crashing down,"[""trivializes harm to victims""]","[""terrorism victims""]"
308,9/11 was a very sad day... I lost 500$ betting on which building would fall down first.,"[""terrorist attacks are exaggerated by the govt."", ""trivializes harm to victims""]","[""terrorism victims""]"
309,"9/11 was an inside job I mean why else would you only put one tower to replace two, there's no way that Trump could hit two targets in one go","[""trivializes harm to victims""]","[""terrorism victims""]"
313,:D @nkrause11 Dudes who go to culinary school: #why #findawife #notsexist :),"[""straight men do not cook"", ""women should cook for men"", ""women should do the cooking"", ""women should take care of all household duties""]","[""women"", ""women, men""]"
320,@BigD757 too bad hes a faggot,"[""faggot is a derogatory term for gay people."", ""gay men are called faggots"", ""gay men are lesser than"", ""gay men should be called faggots"", ""gay people deserve to die"", ""gays are gross""]","[""gay men""]"
321,"@BlakkHoodie_562 yeah that niggah played good, lowkey i wanted brazil to win","[""black people are the n word""]","[""black folks""]"
325,"@FoxNews Yes because the person we voted for is keeping his promises, in spite of the lefts resistance! # MAGA. today and 2020","[""leftists dont know what this country needs"", ""liberals are wrong""]","[""liberals""]"
331,"@NYRKelsMads 
Dat damn dog eats betta den most colored folk do.","[""black folks are poor"", ""black folks can't afford healthy food"", ""black folks cannot afford good food"", ""black folks eat poorly"", ""minorities are poor"", ""minorities eat poorly""]","[""black folks"", ""black folks, asian folks, latino/latina folks, native american/first nation folks""]"
335,@PrisonPlanet @realDonaldTrump I'm afraid no chance 4 US 2 get a really independent potus.Swamp drains anyone.Doubt… https://t.co/62nqrB8hSS,"[""conservatives are bad"", ""conservatives are the \""swamp\""""]","[""conservatives""]"
336,"@StanleyStinks Shame of you! Self-hating kike. 
We Jews are G-d's chosen people.","[""describes jews as kikes"", ""jewish people are ashamed of their history"", ""jewish people are k*kes"", ""jews are ashamed of being jewish or self hating""]","[""jewish folks""]"
337,@StephyRae7 hii fag. :),"[""gay men should be called fags"", ""gay men should be the butt of jokes""]","[""gay men""]"
338,"@SuSuSudafed
I eat dat chicken out your love box baby. Lovin a white woman while eatin chicken. A colored mans dream","[""black folks eat chicken"", ""black folks lust after white women"", ""blacks are attracted to white women"", ""blacks like fried chicken"", ""blacks love fried chicken"", ""whites and blacks are different""]","[""black folks""]"
345,@Wez_Khalifa99 And once he called me an ungrateful bitch and retarded nigga in an argument. It's how we argued. Now… https://t.co/wu2TgdPhK6,"[""are just objects"", ""derogatory term used"", ""not intelligent"", ""women are refereed to as a derogatory word""]","[""black folks"", ""women""]"
346,@YourDudeFerg gay fags,"[""fags is a bad term"", ""gay folks are \""fags\"""", ""gay folks are inferior."", ""gay people are called fags"", ""is a disappointment"", ""is promiscuous""]","[""gay men"", ""lesbian women, gay men, trans women, trans men, bisexual women, bisexual men""]"
349,"@dolphrudager You don't have any kids?! What are you, one of them queers!?","[""gay folks don't have a family."", ""gay folks don't have kids."", ""gay people don't have families"", ""gay people don't have kids""]","[""gay men"", ""lesbian women, gay men""]"
350,"@freeyungnwild ""bitches talk shit, you got the right to swerve"" god damnit you are da shittt","[""are just objects"", ""are lesser people""]","[""women""]"
356,@michaeldbirch What else do you expect from that nigger lover?,"[""black folks are dumb"", ""black folks are subhuman"", ""black people are less"", ""black people are niggers"", ""blacks are bad"", ""blacks should be called the n-word""]","[""black folks""]"
358,@raider_level them hoes ain't thick at all u clowning,"[""women are hoes"", ""women are only worth something if they're attractive"", ""women exist to please men"", ""women should be of a certain body type""]","[""women""]"
359,@realDonaldTrump why did Nunes recuse himself? Why does your party refuse to stand up and fight. I'm disappointed.,"[""conservatives are cowards"", ""conservatives are spineless""]","[""conservatives""]"
360,@stonethegreat23 niqqa that's every white person just because some might seem down to earth don't mean there not gonna use nigger against us,"[""all white people have potential to be racist"", ""white folks are always out to get someone"", ""white folks are evil"", ""white people are all still racists"", ""white people are trashy"", ""white people use everything against blacks""]","[""white folks"", ""white people""]"
369,"A Black kid complemented my T-shirt He said: Nice shirt faggot... I said yeah, it’s 100% cotton. Tell your grandparents I said thanks","[""black people are inferior"", ""black people are slaves"", ""blacks picked cotton"", ""blacks were slaves"", ""pick cotton"", ""were slaves""]","[""black folks""]"
370,"A Cop Told A Suspect To Put His Hands Up, And Then He Shot Him. Do You Know Why? Because He Was Black","[""black folks are inferior"", ""black folks deserve to die"", ""blacks are common targets of cops"", ""blacks are target of killings""]","[""black folks""]"
371,A Jew walks in to a bar And then the metal door closes behind him,"[""jewish folks are criminals."", ""jewish folks should be in jail."", ""jewish people are inferior"", ""jewish people were all burned"", ""trivializes harm to victims""]","[""Holocaust victims"", ""jewish folks""]"
372,"A Jewish boy asks his father for $50. The father replies, ""$40, what do you need $30 for?""","[""jewish people are cheap"", ""jewish people are stingy"", ""jews are cheap."", ""jews are greedy"", ""jews are swindlers."", ""jews belong in concentration camps""]","[""jewish folks""]"
373,"A Jewish toddler drowned recently. He threw a penny into a fountain, hoping it gave him a wish. 

His parents then chucked him angrily into the water to get it back.","[""jewish people are bad parents"", ""jewish people are greedy/stingy"", ""jewish people only care about money"", ""jews are cheap"", ""jews are miserly"", ""jews are misers"", ""jews love money""]","[""jewish folks""]"
374,A Madden player was fatally shot during a touchdown... Trueboy really was in the 'End Zone',"[""trivializes harm to victims""]","[""mass shooting victims""]"
375,A Mexican and an American jump off a skyscraper at the same time. Who hits the ground first? The American because the Mexican has to clean the windows on the way down,"[""latino folks are always doing unskilled labor."", ""latino folks wash windows too often."", ""mexican people are cleaning people"", ""mexican people only have service/janitorial jobs"", ""mexicans are illegal workers"", ""mexicans do all the chores""]","[""Mexicans"", ""latino/latina folks""]"
376,A Muslim man said “Allah Akbar” But I thought he was sneezing so I said “god bless you” and I was blown away by his reaction.,"[""muslim people are terroists"", ""muslims are murderers"", ""muslims are suicide bombers"", ""muslims blow things up""]","[""muslim folks""]"
378,A Nigguh spitting dat crack to your bitch,"[""black people are crackheads"", ""black people are criminals""]","[""black folks""]"
379,A bf and gf&#128107; are suppose to laugh&#128514; at these hoes&#128111; together&#128145;. A guy should never have these hoes&#128111; laughing&#128514; at his girl&#128134;,"[""degrades women by calling them names"", ""hoes are not worthwhile"", ""women are called hoes"", ""women are hoes""]","[""women""]"
380,"A black guy and Mexican were in a car, Who is driving? The Cop","[""black folks are all criminals"", ""black people are thieves"", ""mexicans are all criminals"", ""mexicans are bad""]","[""black folks, latino/latina folks""]"
381,"A black guy finds a genie in a bottle  Any three wishes he had would be granted, the genie informed him. ""I wanna be rich,"" said the black guy. The back yard filled up with chests of gold coins and jewels in the blink of an eye. ""I'm no fool,"" said the black guy. ""I wanna be white."" And there he stood, white, blonde-haired and blue-eyed. ""Last but not least, I never want to work another day in my life."" And he turned black again.","[""black people abdicate their responsibilities"", ""black people are lazy"", ""black people are treated worse than white people"", ""black people are uneducated"", ""group doesn't work"", ""that black folks are lazy"", ""they are lazy""]","[""black folks""]"
382,"A black guy went to give a white guy a high five And then the black guy said ""why did you leave me hanging?""","[""black folks are hanged"", ""black folks are likely to be killed"", ""black folks are subhuman"", ""black folks should be hung""]","[""black folks""]"
383,"A black man and a Mexican jump off the roof at the same time, who hits the ground first? Who cares?","[""are subhuman"", ""are worthless"", ""promotes violences toward black folks"", ""promotes violences toward hispanic folks"", ""that blacks and mexican are not worth living"", ""that it is ok for blacks and mexicans to be hurt""]","[""black folks, latino/latina folks""]"
384,A black man and a jew jump off a building. Who lands first No one cares,"[""are unwanted"", ""are worthless"", ""black people are inferior"", ""black people are second class citizens"", ""black people don't matter"", ""have no value"", ""jewish people are inferior"", ""jewish people are second class citizens"", ""jewish people don't matter"", ""nobody care if jewish people die"", ""nobody cares about what happens to black people"", ""would be better off gone""]","[""black folks"", ""jewish folks""]"
385,"A black man and a white women go to her apartment... ...when they get their she grabs his crotch and says ""Show me what they say about black men is true."" So he stabs her and takes her purse.","[""black folks are criminals"", ""black folks steal"", ""black people are criminals"", ""black people are violent"", ""black people steal""]","[""black folks""]"
386,"A black man gets shot 12 times and stabbed 34 times by a white man. ""These black people are now possessing people in order to commit suicide. Worst case of suicide I've seen""   
#####- Local County Sheriff","[""black folks are inferior"", ""black folks don't matter"", ""black people are less than"", ""black people are the only criminals"", ""black people deserve to die"", ""blacks are responsible for white crime""]","[""black folks""]"
387,"A black man walked into a bar.... Sorry, I meant 3/5ths of a man walked into a bar","[""aren't a full  human"", ""black folks are inferior"", ""black folks are less than white folks"", ""black people are subhuman"", ""is inherently bad""]","[""black folks""]"
388,"A black man walks into a bar with a parrot on his shoulder. Bar tender goes he man that's neat where did you get that?


The parrot says Africa there all over the fucking place!","[""all blacks from africa."", ""animal more human than blacks."", ""black folks are not worthy of equality"", ""black people are property"", ""black people are stupid"", ""black people are worthless"", ""blacks are less than animals"", ""blacks are slaves""]","[""black folks""]"
392,"A cripple walks into a bar. Just kidding, no he doesn't.","[""disabled people are objects of humor"", ""disabled people can't walk"", ""handicapped people are inferior"", ""makes a joke about a disability"", ""people in wheelchairs are weak"", ""thinks it is funny if they cant walk""]","[""physically disabled folks""]"
395,"A gay guy, A black guy, and A Jew get hit by a bus They all appear in front of the gates of heaven. The Angel says. ""Welcome to Heaven!"" The three guys beg him for a second chance. The angel says,""I can only do it if you promised to give up what you love doing the most."" The three men immediately agreed to do that.

Suddenly, they're on the street and the bus is passing by. They cautiously cross the street, and continue walking, until they come across a car which has an open window and a purse. The gay guy says to the black guy, ""Don't do it man, you're stronger than that!"" But he reaches in anyway. Poof! Black guy disappears.

They continue walking until the Jew comes across a penny. He bends down with the gay guy behind him. Poof! Gay guy disappears.","[""always think about sex"", ""black folks are criminals."", ""black folks steal things."", ""black people are all thieves."", ""black people are driven by money."", ""can't control themselves"", ""gay men are all obsessed with sex."", ""gay men are driven by anal sex."", ""gay men can't control themselves."", ""gay men touch other men without consent."", ""jewish folks are cheap."", ""jewish folks are frugal."", ""jews are cheap."", ""jews will do anything for money."", ""they like money"", ""they steal things"", ""they want to have a lot of money"", ""will have sex with anyone""]","[""black folks"", ""gay men"", ""jewish folks""]"
398,A guy wanted to be burned So someone called him a Jew.,"[""holocaust jokes"", ""jewish people should be killed."", ""jews burned in ovens in the holocaust"", ""jews deserved to be burned in ovens"", ""jews deserved to die in the holocaust"", ""makes fun of holocaust""]","[""jewish folks""]"
399,A guy with parkinsons went to the bathroom to pee He came.,"[""disabled people can't control themselves"", ""makes fun of the disabled""]","[""physically disabled folks""]"
400,A jew with a boner walks into a wall what does he break? his nose,"[""have large noses"", ""have small penises"", ""jewish people have big noses"", ""jewish people have small penises"", ""jews have big noses"", ""jews should be cleansed of the earth""]","[""jewish folks""]"
401,"A long time ago, scientists started to combine dog DNA along with human DNA. The outcome turned out to be Mexican girls.","[""are dogs"", ""are not humans"", ""are related to dogs"", ""have dog dna inside them"", ""latinas are dogs"", ""latinas have lots of children""]","[""latino/latina folks"", ""mexican folks""]"
403,"A male fellow philosophy student tells me:: Don't read <insert old, dead, iconic male philosopher here>, it wasn't written for you. (It wasn't written for women.) He also says, after a girl gives her interpretation of a reading:: This is what happens when you let women study philosophy.","[""women can't read books made for men"", ""women shouldn't study""]","[""women""]"
406,"A man of opposite color of white is offensive I just want to state my hate for them 

/s might be needed","[""black folks are offensive"", ""black folks should be hated just because"", ""black people are offensive"", ""black people aren't worth as much as white's""]","[""black folks""]"
408,"A naked woman bursts into a police station covered with bruises and is screaming ""GRAPE! GRAPE! GRAPE!"". The duty officer replied ""Don't you mean RAPE?""
The woman said ""No, there a bunch of them!""","[""rape doesn't occur in large numbers"", ""rape victims lie"", ""trivializes harm to victims"", ""women lie about rape""]","[""assault victims"", ""rape victims"", ""women""]"
411,"A pedophile, a rapist and a priest walk into a bar And thats just the 1st guy","[""all priests are pedophiles"", ""all priests are rapists"", ""christian men are all rapists and pedophiles"", ""group is full of rapists and pedophiles"", ""priests like to have sex with children."", ""priests like to have sex without consent.""]","[""Priests"", ""catholics"", ""christian folks""]"
413,"A priest &amp; a rabbi walk through a forest where they find a boy strapped to a tree &amp; unconscious. The priest says, ""Should we screw him?""

To which the rabbi replies, ""Out of what?""","[""catholic priests are pedophiles."", ""christian priests love little boys"", ""jewish people are deceptive/manipulative"", ""jewish people are greedy"", ""jews are crooks."", ""jews are thieves""]","[""jewish folks"", ""jewish folks, christian folks""]"
414,"A priest told me that he was secretly santa,but I could not tell anyone Every time I came back from church my butthole hurts","[""clergy are pedofiles"", ""priests are pedofiles""]","[""christian folks""]"
415,A red bull a day keeps the niggers away,"[""blacks are called the n word"", ""it's okay to use the word nigger"", ""saying nigger makes everything funny""]","[""black folks""]"
418,"A rich black man, a educated black man and a poor black man was walking down the street when they saw a drumstick on the ground, who picked it up? The poor black man as the other 2 don't exist","[""black make no money"", ""blacks are not able to succeed"", ""blacks are uneducated"", ""blacks cant support themselves""]","[""black folks""]"
420,"A silver lining of growing obesity rates and trashy tattooing trends among women
Far fewer females to worry about passing when I go out and pining over.","[""ugly women are worthless"", ""women are promiscuous"", ""women don't take care of themselves"", ""women should be judged by their weight"", ""women shouldn't get tattoos"", ""women's value comes from their appearance""]","[""women""]"
424,"A subreddit meant for guys who get cucked to come together and talk about it
If you go to the sub r/deadbedrooms its literally guys who are in relationships were they get cucked because the women only want them for their money and support.","[""women only want to use men""]","[""women""]"
426,"A white male toddler needs to have its head smashed by a hammer because its a rapist
But every nigger and a spic can rape a newborn in the ass and be seen as a deity for it","[""blacks are criminals"", ""blacks are niggers"", ""blacks should be called the n-word"", ""hispanics are spics""]","[""black folks"", ""black folks, latino/latina folks""]"
427,"A white man and a black man play hide and seek at night. Who has the advantage? The white man, as the cops are on his side.","[""black people are hated by the police"", ""black people are stupid"", ""black people are thugs"", ""blacks are criminals"", ""deserve to die"", ""is inherently bad""]","[""black folks"", ""black folks, native american/first nation folks""]"
428,A wife is killed after a car drives through her living room and kills her. Who's fault is it? The wife's because she should've been in the kitchen,"[""women are inferior to men"", ""women belong in the kitchen"", ""women belong in the kitchen."", ""women can't drive.""]","[""women""]"
432,"Aan indian was taking a dump and died. Strange, isn't it?? He didn't pay attention to the train heading towards him...","[""indians are dirty"", ""indians have bad hygiene""]","[""India""]"
439,"According to evolution, all human beings came from apes Except for Indians, they came from rapes.","[""indian children are produced from rape"", ""indian people rape"", ""indians don't respect women"", ""indians rape their women"", ""native american lives are worthless"", ""native american's owe white's""]","[""India"", ""Indian"", ""native american/first nation folks""]"
441,Africa is really boring during Halloween Everyone's a skeleton,"[""african folks are starving"", ""african folks look like skeletons"", ""are all skinny"", ""are malnourished""]","[""Africa"", ""black folks""]"
442,African Americans scare me. They've taken over the sub to take back the Dark in Dark Jokes.,"[""bad"", ""bad humor"", ""black people are scary"", ""black people do things in groups""]","[""black folks""]"
443,Africanized bees are more aggressive than regular bees. Just like Africanized humans,"[""are agressive"", ""are violent"", ""black people are aggressive"", ""black people are violent"", ""blacks are animals"", ""blacks are violent""]","[""black folks""]"
444,Africans actually have more of some things. Like infant mortality.,"[""african babies die more often"", ""africans are poor and live in third world countries"", ""africans don't have the medicine to take care of their kids."", ""africans have less access to health care"", ""black babies die more frequently than others"", ""blacks can't keep their kids healthy""]","[""Africans"", ""black folks""]"
445,"After going blind a man stabbed himself to death. Know Why?

He could no longer see the point","[""blind people are useless"", ""blind people have no reason to live"", ""blind people should just kill themselves"", ""blindness is the worst"", ""physically disabled folks are useless"", ""physically disabled folks deserve to die""]","[""blind people"", ""physically disabled folks""]"
448,"After watching the clip on ""Mansplaining"" I would like to introduce the term ""Vaginapology""
I believe this is self-explanatory.","[""calls women out on \""double standards\"""", ""post expresses hate for women"", ""women make excuses for themselves""]","[""women""]"
449,"After witnessing the shit show that is tRUmp and the nihilism of the @SenateGOP &amp; @HouseGOP, maybe, just maybe folks will show up &amp; #VOTE!","[""conservatives are incompetent"", ""conservatives are ruining america""]","[""conservatives""]"
450,"After you strip off his makeup and clothes, biologically he's still a man"".""","[""can't be women"", ""can't change biology"", ""trans women are not good enough"", ""trans women are not real women"", ""trans women are still just men"", ""trans women can't be a real woman""]","[""trans men"", ""trans women""]"
451,"Agreed, The Blacks and Hispanics should have their own school only for them and have worse education than the children whites like that might not compete with our children whites .","[""black and latino people are dumb."", ""black and latino people shouldn't be as educated."", ""minorities are of lesser value than whites"", ""minorities should not be afforded the same services as whites""]","[""black folks, latino/latina folks""]"
453,Ain't been on this hoe all day,"[""women are sex objects"", ""women who like sex are hoes""]","[""women""]"
455,Al Jazeera are making their own version of the Jeremy Kyle show They'll discuss scandals such as monogamy and consensual adult relationships,"[""muslims are rapists"", ""muslims aren't monogamous""]","[""muslim folks""]"
457,All I found out yesterday was that I'm the prettiest ugly Nigga out hurrrrrr,"[""black people are niggers"", ""black people are ugly""]","[""black folks""]"
