Example,Feature
Those days it was considered a good job.,Preposition Omission
daytime I work for the courier service,Prepositional Phrase Fronting With Reduction
But now all kids they have a computer and all new technology.,Left Dislocation
"he liked it, no, even though you said he wouldn’t","Invariant Tag ""isn’t it, no, na"""
So if you’re not good at communication you may get filtered at even the first level,None of the Above
why you are driving like a lorry?,Lack Of Inversion In Wh-questions
he was wondering why did the police stop him,Inversion In Embedded Clause
why are you driving like a lorry?,None of the Above
only his shoes is visible,Lack Of Agreement
there is corruption obviously,None of the Above
"and all the company people, they are my clients",Left Dislocation
many years I did not travel,Prepositional Phrase Fronting With Reduction
why you are telling this to everybody?,Lack Of Inversion In Wh-questions
I’m working very nearby to my house only,Focus Only
My old life I want to spend it in India.,Resumptive Object Pronoun
many years I did not travel,Topicalized Non-argument Constituent
"We are like we are in touch, but not before when we was in school and all.","General Extender ""and all"""
"he liked it, right, even though you said he wouldn’t",None of the Above
I can see some green colour leaves the left side,Preposition Omission
"first of all, on the right side we can see a plate",None of the Above
So marketing keeps its communication with the different embassies and all.,"General Extender ""and all"""
you have to wait a minimum of one month,None of the Above
in our old age we can go and enjoy,Direct Object Pronoun Drop
But I did have some difficulty getting to know people among Indians itself,Focus Itself
my bother said that one of his favorite place is the beach nearby,Lack Of Agreement
the dog is facing towards the camera,None of the Above
So my parents from Gujarat.,Copula Omission
recently only in April there was a big fight,Focus Only
"yeah, so my parent’s house I go very often",Topicalized Non-argument Constituent
"It’s come from me, hasn’t it?",None of the Above
In those days it was considered a good job.,None of the Above
But now all kids they have a computer and all new technology.,Resumptive Subject Pronoun
you can use Hindi Gujarati and Marathi in Bombay,None of the Above
So my parents are from Gujarat.,None of the Above
Hindi Gujarati and Marathi you can use in Bombay,Object Fronting
and that roommate will do an interview,None of the Above
"the children are playing outside, isn’t it?","Invariant Tag ""isn’t it, no, na"""
nowadays all the children are mature from a very early age,None of the Above
"I was very scared to, no?","Invariant Tag ""isn’t it, no, na"""
and there are a lot of buildings in the background,None of the Above
I stayed one or two days at the Tirupati temple,None of the Above
we have two tailors who can make them for us,None of the Above
Whereas we had lot of time and we didn’t have any TV and all that stuff and we used to play outdoor games.,None of the Above
"The book that I left it here, where is it?",Resumptive Object Pronoun
I did not travel for many years,None of the Above
I did one refresher course in the month of June.,None of the Above
I think Nina must be knowing her sister,Stative Progressive
the person I like the most is from the mechanical department,None of the Above
I work for the courier service in the daytime,None of the Above
a recipe is a simple thing,None of the Above
Now they are wearing American type of dresses.,None of the Above
this is a menial work,Mass Nouns As Count Nouns
I can see some green colour leaves on the left side,None of the Above
"the store is around the corner, no, by the post office","Invariant Tag ""isn’t it, no, na"""
we have two tailors who can make for us,Direct Object Pronoun Drop
My daughter is attending the University of Delhi.,None of the Above
not so much adjustment i have to make,Object Fronting
you can say anything but tenth I’m leaving,Preposition Omission
They are all aggressive states.,None of the Above
"actually, this part I have not been",Prepositional Phrase Fronting With Reduction
he likes it here more,None of the Above
Now they wearing American type of dresses.,Copula Omission
with your mother I love to go shopping,Topicalized Non-argument Constituent
and the production function gives you the relationship between input and output,None of the Above
person I like the most is from the mechanical department,Article Omission
"Sorry I can’t come, everything is busy in our life.",None of the Above
"first of all, right side we can see a plate",Preposition Omission
But now all kids have a computer and all new technology.,None of the Above
how is your mother feeling?,None of the Above
Tirupati temple I stayed one or two days,Preposition Omission
some people they are very nice,Left Dislocation
we can only see blue sky,Article Omission
"It’s come from me, na?","Invariant Tag ""isn’t it, no, na"""
there is some flower part,None of the Above
this is menial work,None of the Above
Because educated people get good money.,None of the Above
"I was very scared to, na?","Invariant Tag ""isn’t it, no, na"""
what are you doing?,None of the Above
ten years ago you didn’t operate a machine that could lift a house all by itself,None of the Above
"We are like we are in touch, but not before when we was in school.",Lack Of Agreement
you cannot ask them why they are not coming for clinic visits,None of the Above
he was wondering why the police stopped him,None of the Above
the union person contacted his representative at the school,None of the Above
"my father, he works for a mining company",Left Dislocation
five balls are there,"Non-initial Existential ""is / are there"""
where will you get anything?,None of the Above
we want to know how can we make your favorite dish,Inversion In Embedded Clause
only his shoes are visible,None of the Above
He is doing Engineering in Delhi itself.,Focus Itself
recipe is a simple thing,Article Omission
how your mother is feeling?,Lack Of Inversion In Wh-questions
tomorrow this cake you have to try,Object Fronting
the person I like the most is from mechanical department,Article Omission
they get H1B visas to come to the country,None of the Above
"and that roommate, he will do an interview",Left Dislocation
Some teachers when I was in school I liked them very much.,Left Dislocation
"I was very scared to, wasn’t I?",None of the Above
because in India individuality is not there,"Non-initial Existential ""is / are there"""
they speak Portuguese in Brazil,None of the Above
I was there just yesterday,None of the Above
some people they are very nice,Resumptive Subject Pronoun
I went there for one year.,None of the Above
I don’t know now what are they doing,Inversion In Embedded Clause
minimum one month you have to wait,Object Fronting
She was brought up there and her college was there only,Focus Only
the school principal called me to ask when you are going back,None of the Above
She has a business experience.,Extraneous Article
i don’t have to make so much adjustment,None of the Above
corruption is there obviously,"Non-initial Existential ""is / are there"""
"anybody giving donation, we are giving receipt",Habitual Progressive
my father works for a mining company,None of the Above
"the children are playing outside, aren’t they?",None of the Above
