AssignmentId,storyIx,story,summary,events,surprising,mainEvent,memType,mostSurprising
31EUONYN2WPGEQO48VPPCLLYSMMVOF,3,My sister-in-law was a very special person to me and an important part of our lives.  She had some health issues in her adult life.  She was diagnosed with diabetes when she was in her 40's.  She had surgery on her neck a few months before she passed away.  She was scheduled to have knee replacement surgery before she passed away.  She was having a normal day on the day she passed away.  She had a meeting with someone from her church that morning.  She went outside to show her friend her garden and then her friend left.  She was in her garden when she suddenly had a massive aneurysm.  We had video footage from security cameras to show us exactly what happened.  She put her hands to her head and then she dropped to 1 knee.  She braced herself temporarily before falling to the ground completely.  My brother found her a few minutes later and called an ambulance.  She was basically on life support from that time until she passed away about 8 hours later.  It has been 5 months since it happened and it still seems so surreal.  I miss her smile and I miss her laugh.  She had the best laugh!  It will be difficult when our family gets together for the holidays this year but we will pull together and honor her in the best way possible.,My sister-in-law passed away in late May.  She was scheduled to attend a concert with myself and my siblings in early July.  It was a tragic time but my family pulled through and bonded the best we could.,"['She had some health issues in her adult life.', ""She was diagnosed with diabetes when she was in her 40's."", 'She had surgery on her neck a few months before she passed away.', 'She was scheduled to have knee replacement surgery before she passed away.', 'She had a meeting with someone from her church that morning.', 'She went outside to show her friend her garden and then her friend left.', 'She was in her garden when she suddenly had a massive aneurysm.', 'We had video footage from security cameras to show us exactly what happened.', 'She braced herself temporarily before falling to the ground completely.', 'My brother found her a few minutes later and called an ambulance.', 'She was basically on life support from that time until she passed away about 8 hours later.']","[""She was diagnosed with diabetes when she was in her 40's."", 'She had surgery on her neck a few months before she passed away.', 'She was in her garden when she suddenly had a massive aneurysm.']",my sister-in-law who died recently.,retold,she died.
374TNBHA8CH03WWPSJ4D8PKSB06YQD,1,It was a hot summer day in April. My phone rang and I didn't recognize the number. I don't usually pick up unknown numbers. I decided to pick it up today  because I wasn't that busy. It was my step-father. He wanted to see how I was doing even though we hadn't spoken in several years. Growing up we had a rocky relationship. We never really got along and argued a lot. I felt like he always tried to be my dad and I didn't want him to. Sometimes our arguments turned physical. But now that we were on the phone our conversation was calm. We spoke about my childhood and his relationship with my mother. It was a rough conversation at first but then it got better over time. The conversation was emotional and we caught up for a bit before hanging up. We agreed we would try to stay in tough more often.,"After several years of not speaking to my step-father, he called me out of the blue. We had a long and somewhat emotional conversation and caught up on each other's lives.","[""My phone rang and I didn't recognize the number."", ""I decided to pick it up today  because I wasn't that busy."", 'It was my step-father.', ""He wanted to see how I was doing even though we hadn't spoken in several years."", 'But now that we were on the phone our conversation was calm.', 'We agreed we would try to stay in tough more often.']",['It was my step-father.'],a conversation with my step-father,imagined,I got the phone call
3K3R2QNK8CPDUOVY1GW2J9OQ55D9UC,2,"A memorable event that happened to me within the past few months was being contacted by my step-father. After he and my mother got divorced when I was a kid we very gradually drifted apart and had less and less contact until he was only calling on my birthday. Then some time in my 20s even that stopped, and for several years we had no contact at all. Recently he called me out of the blue. We had a long conversation and reconnected. It felt really good to be able to bond with my step-father again. I was glad to find out that he's in good health despite being in his 70s. We generally were able to catch up on each other's lives. He's still working as a substitute teacher from time to time, and I told him I'm working at a restaurant. An unfortunate thing I found out while talking to him was that his younger sister passed away from cancer. It was very sad to hear this as I remember her well from my childhood. I also know they were very close to one another so I tried to console him the best that I could. Overall this was a very significant and emotionally moving event for me that I still think about from time to time. We've since talked a couple more times. I'm optimistic it will lead to more of a relationship in the future.","After several years of not speaking to my step-father, he called me out of the blue. We had a long and somewhat emotional conversation and caught up on each other's lives.","['A memorable event that happened to me within the past few months was being contacted by my step-father.', 'After he and my mother got divorced when I was a kid we very gradually drifted apart and had less and less contact until he was only calling on my birthday.', 'Recently he called me out of the blue.', 'We had a long conversation and reconnected.', 'An unfortunate thing I found out while talking to him was that his younger sister passed away from cancer.', ""We've since talked a couple more times.""]","['A memorable event that happened to me within the past few months was being contacted by my step-father.', 'Recently he called me out of the blue.', 'An unfortunate thing I found out while talking to him was that his younger sister passed away from cancer.']",reconnecting with my step-father.,recalled,he told me that his younger sister passed away from cancer.
3PZDLQMM0U768ATZUGWNFGU7IB9C26,3,"The memorable event that I shared was when my step-father got in touch with me after a long time of us not speaking to each other. My biological dad left when I was a baby so my step-dad was pretty much the sole father figure in my life during some of my formative years (around age four to nine). This was until he and my mom unfortunately got divorced. He still tried to be there for me but life got in the way. He and I drifted apart over time. So my step-dad apparently got my phone number from my mom and gave me an unexpected call one day several months ago. I said how good it was to hear from him, and we updated each other on some of the new mundane things in our lives. He also told me about his health, which he's had issues with at times, but on the whole things are going pretty well for him especially considering he's in his 70s. I shared news about my own health which has also had some bumps in the road. He told me he has a new wife who he said is great and he's very happy being with. The memorable and rather shocking part of the story was when that my step-dad told me his younger sister had died (only in her 50s) far too soon from cancer. I was really quite sad and taken aback by this. It brought up a lot of memories from my childhood of staying over at her house and how nice she was. I of course tried my best to offer my condolences and sympathy. It was a nice conversation and moving experience that lasted about half an hour. At the end of the call we expressed intent to stay in touch, which we have. It's been good to have him back in my life even in just a small way.","After several years of not speaking to my step-father, he called me out of the blue. We had a long and somewhat emotional conversation and caught up on each other's lives.","['The memorable event that I shared was when my step-father got in touch with me after a long time of us not speaking to each other.', 'This was until he and my mom unfortunately got divorced.', 'He and I drifted apart over time.', 'So my step-dad apparently got my phone number from my mom and gave me an unexpected call one day several months ago.', 'I said how good it was to hear from him, and we updated each other on some of the new mundane things in our lives.', ""He also told me about his health, which he's had issues with at times, but on the whole things are going pretty well for him especially considering he's in his 70s."", ""He told me he has a new wife who he said is great and he's very happy being with."", 'The memorable and rather shocking part of the story was when that my step-dad told me his younger sister had died (only in her 50s) far too soon from cancer.', 'I of course tried my best to offer my condolences and sympathy.', 'At the end of the call we expressed intent to stay in touch, which we have.']","['The memorable event that I shared was when my step-father got in touch with me after a long time of us not speaking to each other.', 'This was until he and my mom unfortunately got divorced.', 'So my step-dad apparently got my phone number from my mom and gave me an unexpected call one day several months ago.', ""He told me he has a new wife who he said is great and he's very happy being with."", 'The memorable and rather shocking part of the story was when that my step-dad told me his younger sister had died (only in her 50s) far too soon from cancer.']",reconnecting with my step-father,retold,I found out his younger sister had died from cancer.
3R8YZBNQ9I4HOC0O5AEDVC0V8Z17QM,3,"My dad passed away last month. I knew he was sick, but it was still such a shock. He used to work in Detroit. He would clean the car parts in a chemical solution without gloves. He would just dip them in. Well, He got cancer behind one of his kidneys. The doctors told him this cancer was only caused by a specific chemical. I called him while he was in the hospital and he told me not to worry. He said, ""kiddo, I love you, I will always take care of you."" I thought he meant in the sense of how a parent loves their child after they pass away. I was able to fly over and see my dad before he died. As I was cleaning up the house afterwards, a lawyer showed up. I didn't think anything of it. Paperwork to sign cause dad passed away. Ni biggie. Did not think of it again til yesterday. Yesterday a huge check showed up from dad. Huge.",My father had quietly filed a lawsuit with the help of my mother and had just completed it at the time of his death.  During the last stages of completing his estate I was contacted by a law firm and was told I needed to sign paperwork and I just thought it was standard because of what my father did for a living. Later after I received 12 checks in one day I was told that paperwork was for the release of these funds. My parents would always take care of me and although they are not here physically they have made sure that I am well taken care of.,"['My dad passed away last month.', 'Well, He got cancer behind one of his kidneys.', 'I called him while he was in the hospital and he told me not to worry.', 'I was able to fly over and see my dad before he died.', 'As I was cleaning up the house afterwards, a lawyer showed up.', 'Paperwork to sign cause dad passed away.', 'Yesterday a huge check showed up from dad. Huge.']","['My dad passed away last month.', 'As I was cleaning up the house afterwards, a lawyer showed up.', 'Yesterday a huge check showed up from dad. Huge.']",My dad passing away.,imagined,Money
39LOEL67OTRTHPZ5H4UNW43F9F938U,2,"Five months ago I was still mourning and healing from the abrupt death of my mother who died late last year. She was my best friend. She was married to my father for 42 years and he was heartbroken over her death. Five months ago he died from that broken heart. I was the classic daddy’s girl. I was  such an emotional wreck over their deaths that I went into auto pilot. I was dealing with funeral, insurance companies and estate issues and was just going through the motions. I signed so much paperwork it all looked the same. It was just a part of the process. My parents loved me dearly and spoiled me greatly. They always took care of me, even as an adult. Exactly 3 weeks after his death I started receiving settlement checks in the mail from a lawsuit he had just finished. It turns out that my father was awarded settlements from a lawsuit at the time of his death. As the executor of his estate the funds went to me. I was floored. The 12 checks were made out to me and had my father as reference. I immediately called the law firm and was explained that I had already signed the release and they had all that they needed. In  my autopilot state I signed all of the paperwork without even realizing it. And that was just the first round of checks.  My parents found a way to take care of me even in their death.",My father had quietly filed a lawsuit with the help of my mother and had just completed it at the time of his death.  During the last stages of completing his estate I was contacted by a law firm and was told I needed to sign paperwork and I just thought it was standard because of what my father did for a living. Later after I received 12 checks in one day I was told that paperwork was for the release of these funds. My parents would always take care of me and although they are not here physically they have made sure that I am well taken care of.,"['Five months ago I was still mourning and healing from the abrupt death of my mother who died late last year.', 'She was married to my father for 42 years and he was heartbroken over her death.', 'Five months ago he died from that broken heart.', 'I was  such an emotional wreck over their deaths that I went into auto pilot.', 'I was dealing with funeral, insurance companies and estate issues and was just going through the motions.', 'Exactly 3 weeks after his death I started receiving settlement checks in the mail from a lawsuit he had just finished.']","['Five months ago he died from that broken heart.', 'Exactly 3 weeks after his death I started receiving settlement checks in the mail from a lawsuit he had just finished.']",an unexpected inheritance,recalled,I received 12 checks in the mail after the death of my parents
3BQU611VFQ6FAW7V351BND1DIF1991,1,After the untimely death of father I continued to close accounts and handle issues that arose in the estate. I was ecstatic and very surprised when I received the 12 checks in the mail from the lawyer. The money was enough to pay off bills and the remainder of the mortgage on my parents home. It was bitter sweet that I inherited my family home I grew up in so soon. Nonetheless it was mine now. I went through the home and went over paperwork that was left. I came across the legal paperwork for a case in which my father was awarded money. It was the case in which I received the 12 checks from. As I went through the paperwork I realized the 12 checks were just the tip of the iceberg. There were a list of payments that were to be made to my father and now to me. I was astounded. My parents had been working on this case for years. I gathered the paperwork and went all the way to the lawyer. The lawyer explained that this would be ongoing and I would receive many more payments for years to come. A week later I received 2 more checks.,My father had quietly filed a lawsuit with the help of my mother and had just completed it at the time of his death.  During the last stages of completing his estate I was contacted by a law firm and was told I needed to sign paperwork and I just thought it was standard because of what my father did for a living. Later after I received 12 checks in one day I was told that paperwork was for the release of these funds. My parents would always take care of me and although they are not here physically they have made sure that I am well taken care of.,"['After the untimely death of father I continued to close accounts and handle issues that arose in the estate.', 'I was ecstatic and very surprised when I received the 12 checks in the mail from the lawyer.', 'The money was enough to pay off bills and the remainder of the mortgage on my parents home.', 'I came across the legal paperwork for a case in which my father was awarded money.', 'As I went through the paperwork I realized the 12 checks were just the tip of the iceberg.']","['After the untimely death of father I continued to close accounts and handle issues that arose in the estate.', 'I was ecstatic and very surprised when I received the 12 checks in the mail from the lawyer.', 'I came across the legal paperwork for a case in which my father was awarded money.']",inheriting my family home and inheritance,retold,receiving more payments
3R9WASFE2023HXGLAPV2AXPH12CZFZ,1,"I am finally a college graduate! I am so excited to have gotten my degree and now I can go out in the real world and be a real person. But first, it was time to celebrate. After graduation, my family decided to go on a vacation to Zion National Park. I can't believe that in all my years of going to college in Utah, I had never made it to Zion. Well, here was my chance. It was soooo beautiful! We hiked many of the trails, including the ""Narrows"", which was killer, but really awesome. We even saw some wild animals, which was so cool and unexpected! It was so nice to be out in fresh air and to just clear my thoughts. We ate at a few great restaurants too. I love me some good food! And shopping was also fantastic. My parents bought me a couple of graduation gifts, including a beautiful necklace. I love it, and when I wear it I will always remember this trip. It was so inspiring being out in nature and I really appreciate this time I had with my family.","I recently graduated college, and went on a trip to Zion national park with my family. We hiked many trails, shopped in town, and dined at a few restaurants.","['I am finally a college graduate!', 'But first, it was time to celebrate.', 'After graduation, my family decided to go on a vacation to Zion National Park.', ""We hiked many of the trails, including the 'Narrows', which was killer, but really awesome."", 'We even saw some wild animals, which was so cool and unexpected!', 'We ate at a few great restaurants too.', 'And shopping was also fantastic.', 'My parents bought me a couple of graduation gifts, including a beautiful necklace.']",[],going on a trip to Zion National Park with my family,imagined,We saw wild animals while hiking
3LOZAJ85YEZUB84ULCSATTFGL9IX2A,3,"Recently, I visited Zion National Part with my parents. It was an exciting trip, since I just graduated from college. It was also the first family trip we took with the three of us in months, so it was fun to be just with them. I really enjoyed the trails and exploring the landscape of the national park. I was a bit out of shape, so some of the trails were difficult, but I felt happy once I completed them. My favorite walks on the trail were the paths that lead to waterfalls and hanging gardens. There were beautiful rock formations, and amazing plant life. Also, the bus ride up to the trails was fascinating, especially seeing the variety of different locations. After our days in the park, we headed into town to check out the shops. A lot of the shops were rock and mineral shops. There were some nice rocks, but I didn't end up purchasing any. There were also lots of outdoor stores that had a wide range of supplies. I got a hat and a water bottle as a souvenir. We also went to some local restaurants and had some snacks and drinks. Overall, the trip was very fun and memorable.","I recently graduated college, and went on a trip to Zion national park with my family. We hiked many trails, shopped in town, and dined at a few restaurants.","['Recently, I visited Zion National Part with my parents.', 'I really enjoyed the trails and exploring the landscape of the national park.', 'There were beautiful rock formations, and amazing plant life.', 'Also, the bus ride up to the trails was fascinating, especially seeing the variety of different locations.', 'After our days in the park, we headed into town to check out the shops.', 'I got a hat and a water bottle as a souvenir.', 'We also went to some local restaurants and had some snacks and drinks.']",[],Visiting Zion national park,recalled,"a huge storm rolled through the town, causing the river to flood."
3JNQLM5FT58ZBEN57TPMIZKTP0S2LO,2,"I had just finished my degree in Character Animation, and I was ready to celebrate with my family. It had been months since I had last seen them, and it was exciting that we were all coming together to celebrate. Before they came down, we settled on visiting Zion National Park as part of a graduation trip. My parents rented a car, and drove out from California to Utah. When we arrived into town, we checked into a hotel located on the river. The hotel was next to a bus system that could take us into town, and then into the national park. The bus was helpful, since the weather was overcast and rainy. Due to the rain, we had less of a selection of trails, but we still made the most of the trip. After we unpacked all of our things, we went into town to shop and explore the area. We ate at one of the restaurants, got a trail guide, and explored a few of the shops. The next day we took the bus to the trails at Zion National park. We hiked along beautiful trails with waterfalls, plant life, and animals. My favorite trails went right up to the waterfalls. We also visited the nature center, and learned about the wildlife and history of the park. After hiking, we went back into town and relaxed. We brought snacks back to our room and talked about our day.","I recently graduated college, and went on a trip to Zion national park with my family. We hiked many trails, shopped in town, and dined at a few restaurants.","['I had just finished my degree in Character Animation, and I was ready to celebrate with my family.', 'Before they came down, we settled on visiting Zion National Park as part of a graduation trip.', 'My parents rented a car, and drove out from California to Utah.', 'When we arrived into town, we checked into a hotel located on the river.', 'After we unpacked all of our things, we went into town to shop and explore the area.', 'We ate at one of the restaurants, got a trail guide, and explored a few of the shops.', 'The next day we took the bus to the trails at Zion National park.', 'We hiked along beautiful trails with waterfalls, plant life, and animals.']",[],Visiting Zion National park with my parents.,retold,"The weather was very rainy and overcast, instead of sunny."
3HHRAGRYX9RIHJB15UKTK3W2DAN9O7,1,"It's been two months since I saw the doctor for my problem.  Without warning, there were times I was hit with the sudden urge to pee and ended up holding it too long.  I knew that I probably had an infection, and I did.  I remember while I was waiting in the office thing that with my luck, it was quite possible that I would just wet my pants right there and then.  Holding my pee had become a regular habit for me.  It all started six months prior when I saw a family friend that I hadn't seen in awhile.  As soon as I saw him, my heart started pounding.  My stomach dropped to the floor and, of course, I had to pee right away.  All of the bad memories assaulted my mind in a matter of seconds.  The way he had sexually assaulted me those many years ago.  All of a sudden, it seemed like it had happened just seconds before.  So that was the day that holding my pee became a problem.  I wet myself and left in quite a hurry.  It was positively humiliating to me but I'm pretty sure no one else noticed because I left so quickly.  So now, it's a common problem.  I never know when it's going to hit me, but as soon as the flashbacks happen, the urge to pee always follows and I feel frozen in place trying to hold my pee.  I thought maybe it would stop after a few times but it seems to be going strong 6 months later and I'm at my wits end as to what to do.  The doctor had treated my infection but I suspected that I needed a therapist at this point.  Even though I'm feeling defeated, I'm also feeling oddly hopeful too.","I held on to my pee, longer than i should have. I went to the doctor, now i'm looking forward to the treatment the doctor will have for me.","['Without warning, there were times I was hit with the sudden urge to pee and ended up holding it too long.', ""It all started six months prior when I saw a family friend that I hadn't seen in awhile."", 'The way he had sexually assaulted me those many years ago.', 'I wet myself and left in quite a hurry.']","['Without warning, there were times I was hit with the sudden urge to pee and ended up holding it too long.', 'The way he had sexually assaulted me those many years ago.', 'I wet myself and left in quite a hurry.']",a woman with a very troubling problem,imagined,she sees the man who assaulted her in the past.
3O7L7BFSHFBPGTRFFANASK1QUCVEIA,3,"I was holding on to my pee and drinking more cups of water than i needed.  I was holding on to my urine a lot for four weeks because i was didn't want to let go of the online games i was playing. After, a few weeks. I noticed that i couldn't control my bladder and the frequency of going to the bathroom was increasing. I was scared for my life. If i didn't go the bathroom once my body called for, my urinary tract would start hurting. I never had pain like this in my urinary tract before. I couldn't/can't do the normal things i once did. Like go on a run for 30 minutes because i would be wanting to urgently go the bathroom in between my run. I went to the my annual physical doctor and she didn't know what kind of treatment i needed. She referred me to someone else. Like passing the baton on to someone else. Anyways, I thought my frequency to go to the bathroom would go away with eating fruits and vegetables, but it didn't. So i have an appointment lined up next week with a urinary specialist. Hopefully he/she will cure me.","I held on to my pee, longer than i should have. I went to the doctor, now i'm looking forward to the treatment the doctor will have for me.","['I was holding on to my pee and drinking more cups of water than i needed.', ""I was holding on to my urine a lot for four weeks because i was didn't want to let go of the online games i was playing."", ""I noticed that i couldn't control my bladder and the frequency of going to the bathroom was increasing."", 'I was scared for my life.', ""If i didn't go the bathroom once my body called for, my urinary tract would start hurting."", ""I went to the my annual physical doctor and she didn't know what kind of treatment i needed."", 'She referred me to someone else.', ""Anyways, I thought my frequency to go to the bathroom would go away with eating fruits and vegetables, but it didn't."", 'So i have an appointment lined up next week with a urinary specialist.']","[""I noticed that i couldn't control my bladder and the frequency of going to the bathroom was increasing."", ""If i didn't go the bathroom once my body called for, my urinary tract would start hurting.""]",about urinary problems,recalled,I had to jump from doctor to doctor
3DHE4R9OCXXJPM94W2S657FLR842GS,2,"Okay, it has been several months since i came back from my primary doctor's visit. My primary doctor gave my phone number to the best specialist at the hospital. Then it took like a week to hear back from the people who schedule appointments at the hospital. It was a matter of me going to hospital to see why they hadn't called me, when my primary doctor said that someone from the hospital would. It took weeks to see a urinary specialist. I don't know the exact length, but i had to wait a couple of weeks just so he can hear my side of the story and see what steps he can take with me. I went to my first visit with the urinary specialist on July 27, now i'm going back to see him tomorrow (August 27, 2019). After my first visit with the urine specialist, he gave me a 2 week supply of blue/purple pills that said that these pills might cure me and get me back to normal. But it didn't. I took them and turned my pee to a blue color, which on the package, it said that it was normal. But it didn't cure my frequent urination, which is what i'm going through right now. I wish the health care industry in america would be a lot more efficient and not have someone that is poor and not a lot of money have them wait an eternity for treatment. But, i am going to see him tomorrow, that is what is important. What the urinary specialist told me was they're going to ultra sound my kidneys. Then they're going to look inside my urine hole while i'm under anesthesia. I'm hoping this will end good, not bad. Hope for a speedy recovery, so i can go back to work like i used to 2 years ago.","I held on to my pee, longer than i should have. I went to the doctor, now i'm looking forward to the treatment the doctor will have for me.","[""It was a matter of me going to hospital to see why they hadn't called me, when my primary doctor said that someone from the hospital would."", 'It took weeks to see a urinary specialist.', ""I went to my first visit with the urinary specialist on July 27, now i'm going back to see him tomorrow (August 27, 2019)."", 'After my first visit with the urine specialist, he gave me a 2 week supply of blue/purple pills that said that these pills might cure me and get me back to normal.', 'I took them and turned my pee to a blue color, which on the package, it said that it was normal.', 'But, i am going to see him tomorrow, that is what is important.', ""What the urinary specialist told me was they're going to ultra sound my kidneys."", ""Then they're going to look inside my urine hole while i'm under anesthesia.""]",[],Going to a urinary doctor,retold,the blue pills the doctor gave me didn't work.
31Z0PCVWUL1UGSSGME880HBITVYT7Z,3,"What a wild ride this life has been so far. The ups, the downs and everything in between. My beautiful bride and I have been married for two years now. Our anniversary is tomorrow and we're going on a fabulous date of dinner around Newport Harbor. As I reflect back, I think to how nervous I was to even ask her to marry me. I bought the ring five months before I actually asked her. I practiced what I would say for months and just couldn't work up the nerve. Finally, after all that, I popped the question. I got down on one knee and asked her to marry me. And she said yes! She actually said yes, the most beautiful woman in the world agreed to marry me, some schmuck from Brooklyn. We got married just one month later and the most beautiful service ever. We were married at the Little White Wedding Chapel in Las Vegas. Everyone was there, our parents, our friends and even Elvis made an apppearance! We stayed the Mirage just up the street and just had the most wonderful time. The last two years have just been so amazing, I can't wait to see what the future holds.",I was very nervous about asking my girlfriend to marry me but finally came up with the courage to ask.  She said yes and we ended up getting married.,"[""Our anniversary is tomorrow and we're going on a fabulous date of dinner around Newport Harbor."", 'I bought the ring five months before I actually asked her.', ""I practiced what I would say for months and just couldn't work up the nerve."", 'Finally, after all that, I popped the question.', 'I got down on one knee and asked her to marry me.', 'And she said yes!', 'We got married just one month later and the most beautiful service ever.', 'We were married at the Little White Wedding Chapel in Las Vegas.']",['And she said yes!'],Asking my girlfriend to marry me and she said yes,imagined,Elvis showed up to our wedding
3H8DHMCCWAXBUI33JIX2ZIYIWF9KDK,1,"About two years ago I decided to marry my girlfriend after dating for quite a long time.  I wanted to get her a nice ring so I contacted her cousin to find out what type of ring would suit her. She came back with some ideas and I went from there.    I ordered the ring offline and had to wait for it to be shipped and signed for.  Well that day fedex was in my driveway as I got home.  The very same day I was to propose to her!  I think I got very lucky.  The night I proposed I was very nervous and was not able to eat my food much at all which people at our table thought that in itself was very strange.  It was on her birthday and we decided to go to the resturant where we went on our first date at.  We invited my parents, our son was there, and her family.  We had a good time and I finally pulled out the ring to put it on my pinky so it was ready.  My dad was getting anxious and was ready to leave until I showed him the ring under the table.  He was then relaxed and thought I should get on with it.  So, I just simply asked, didnt get down on one knee or anything, but offered it to her and myself.  She said yes!  We were married later the next year and are very happy now.",I was very nervous about asking my girlfriend to marry me but finally came up with the courage to ask.  She said yes and we ended up getting married.,"['About two years ago I decided to marry my girlfriend after dating for quite a long time.', 'I wanted to get her a nice ring so I contacted her cousin to find out what type of ring would suit her.', 'I ordered the ring offline and had to wait for it to be shipped and signed for.', 'Well that day fedex was in my driveway as I got home.', 'The very same day I was to propose to her!', 'The night I proposed I was very nervous and was not able to eat my food much at all which people at our table thought that in itself was very strange.', 'It was on her birthday and we decided to go to the resturant where we went on our first date at.', 'We invited my parents, our son was there, and her family.', 'We had a good time and I finally pulled out the ring to put it on my pinky so it was ready.', 'My dad was getting anxious and was ready to leave until I showed him the ring under the table.', 'So, I just simply asked, didnt get down on one knee or anything, but offered it to her and myself.', 'She said yes!', 'We were married later the next year and are very happy now.']",[],Me proposing to my now wife,recalled,How nervous I was since I am not nervous much
3PDJHANYK62L7JNG3AMRGK8YYNO6HD,2,"I met my now wife a long time ago about 7 years to be exact and it has been great ever since.  We found out that we enjoy a lot of the same things and are able to enjoy them together.  We also have a son who we love very much and enjoy taking him to enjoy our hobbies and passions together as a family. The evening was her birthday and I got home just as the delivery man was leaving with the ring.  It was too expensive to leave on the porch so he had to leave a note and I missed him the day before.  But not today I was able to get the ring.  I needed it that night to ask her to marry me as well.  So with the ring nervously in my pocket we went to dinner and I dont think she even knew.  It finally came time to ask her and people were seemingly ready to leave.  So I had to do it.  I had to finally ask her or I'd have to find another time and be super nervous all over again.  She said yes!  We were pretty happy to share the moment with my family, her family and our son.  The resturant printed off the menu for us and it said congrats to us. We are now very happy together and have been able to share things equally.  We live together and share expenses and those things are working out great.  I'm glad I finally asked her.",I was very nervous about asking my girlfriend to marry me but finally came up with the courage to ask.  She said yes and we ended up getting married.,"['I met my now wife a long time ago about 7 years to be exact and it has been great ever since.', 'We also have a son who we love very much and enjoy taking him to enjoy our hobbies and passions together as a family.', 'The evening was her birthday and I got home just as the delivery man was leaving with the ring.', 'It was too expensive to leave on the porch so he had to leave a note and I missed him the day before.', 'But not today I was able to get the ring.', 'She said yes!', 'The resturant printed off the menu for us and it said congrats to us.', 'We are now very happy together and have been able to share things equally.']",['The evening was her birthday and I got home just as the delivery man was leaving with the ring.'],Me proposing to my now wife,retold,How nervous I was since I am not nervous much
3H7XDTSHKDD5127BAMHDTEVBK7HWGX,2,"I always knew her life would turn this way. Sad to say, I know. I was realistic about it. I was logical.  Weirdly so, while I was realistic about it, I felt that I was also in denial about many things. It took a very long time to realize who she really was and what her intentions were. I still remember the time when it dawned on me, all that she had done to me. I remember it all sinking in. I was disappointed. It was hurtful. I genuinely cared for her and it was obvious to me that it wasn't really reciprocal. She was selfish for a very long time. I didn't think cutting her out of my life would lead to her demise. I am not even sure that's what caused it.  Maybe the timing was just a coincidence. I knew cutting her out of my life would hurt her. I never imagined it would cause her life to unravel. Again, I don't even know if me cutting her out of my life was what caused her life to unravel. I imagine it played somewhat of a role, though. When my grandparents sat me down and described how she had hit rock bottom just a week ago, I was shocked. I don't really know why I was shocked, though. She never really was on the right track in life. Her alcoholism finally caught up with her. How could you end up fired, in jail and confessing to alcoholism all in a matter of four days! My family was torn apart by it and I decided not to stick around for it.",This is a story about a family who is grasping to hold on. How can a family stay together through tragedy.,"['When my grandparents sat me down and described how she had hit rock bottom just a week ago, I was shocked.', 'How could you end up fired, in jail and confessing to alcoholism all in a matter of four days!']","['When my grandparents sat me down and described how she had hit rock bottom just a week ago, I was shocked.']",family dealing with a tragedy.,imagined,I revealed the tragedy did not keep us together.
3OS4RQUCRA17ZZD54BFZOFIDM1EBF7,1,"Today I found out that my wife is going forward with a divorce. I still can't believe that she is going to do it. I feel like the past two years of focusing on reconciliation, was for nothing. I also don't believe that she is thinking of the kids. Having parents that were divorced and growing up in that environment, is the last thing I wanted for the kids. I don't think that my wife realizes how this is going to impact the kids. I am so sad, frustrated and upset by all,of this. All I wanted was to restore our family. I miss my wife. I miss being with the kids everyday. I miss us being a family. I continue to pray for healing and restoration, but I'm losing hope. I know God is in control, but I am struggling. I think about when the tragedy that struck our family just over 2 years ago and never thought it would result in our family separating. All I can do is focus on God and be strong for the kids and let them know that we are still a family.",This is a story about a family who is grasping to hold on. How can a family stay together through tragedy.,"['Today I found out that my wife is going forward with a divorce.', 'I am so sad, frustrated and upset by all,of this.']",['Today I found out that my wife is going forward with a divorce.'],a family being ripped apart by tragedy,recalled,the wife filed for divorce.
3A1PQ49WVI3Q0XMJX4AALOHHP50H13,3,"This is a story it's about a family who is trying to stay together, at least partially. It starts with a husband who made it terrible mistake by having an affair. It's about a wife who found out and obviously was devastated. Unfortunately it's the kids who suffer the most, as they have to deal what's the consequences that are outside of their control. This is about a husband who has sought counseling, has apologized constantly and has tried to show that he has changed. This is also about a wife who cannot bring herself to forgive. So then what happens to the family? The wife states that she is going to divorce him, yet can't bring herself to actually do it. You have a husband who is stuck in no man's land. The husband will not file for divorce. Which puts the family in a trap that no one can seem to get out of. The parents are separated, the family is separated, do they still do things together. No one can seem to move forwards together or a part. It is a family in crisis, that they can't seem to get out of. So where does this family go from here? And how can this family move on, when 1 person wants nothing but reconciliation and the other person can't make up their mind. And in the middle of this, are two kid's who just want their family back together.",This is a story about a family who is grasping to hold on. How can a family stay together through tragedy.,"[""This is a story it's about a family who is trying to stay together, at least partially."", 'It starts with a husband who made it terrible mistake by having an affair.', ""It's about a wife who found out and obviously was devastated."", 'This is about a husband who has sought counseling, has apologized constantly and has tried to show that he has changed.', 'This is also about a wife who cannot bring herself to forgive.', ""The wife states that she is going to divorce him, yet can't bring herself to actually do it."", 'The husband will not file for divorce.']",['It starts with a husband who made it terrible mistake by having an affair.'],A family struggling with parents who are separated.,retold,That the wife won't file for divorce.
