idx,gold,pred,post,notes
189,irony,inferiority,Every woman claims she was raped or sexually harassed in her past They are advertising their desirability to Chad.,x
395,threatening,inferiority,no!! u must meet rules to get valid ssn or itin. deport all illegals. period.,x
337,threatening,incitement,To the women marching across the US today  Have as many abortions as you’d like  Boycott sperm  Get sterilized  Boycott the patriarchy  Kill yourselves in protest,incitement ~ threatening
82,incitement,white_grievance,it may be stigmatized  but it is real ; the us flag is losing relevance for all us whites  one knee at a time .,model is correct
148,inferiority,irony,"california is the wastewater collection station of the usa! unfortunately, they do not have a treatment facility at all, anywhere in the whole state! therefore, all the crap just sits there and ferments & decays for all the world to see, & unfortunately, smell!!!!!","strange ""irony"" prediction"
111,inferiority,irony,"oh, i see: """"take it back"""" from good, decent people and give it to you evil jerks. got it!",model is correct
23,incitement,inferiority,you're so stupid . jew is ethic  catholic is a religion .,"""stupid"" = inferiority"
219,irony,inferiority,maybe should get an island for these obama felons. like australia started. dump them there 2 live with obie.,x
373,threatening,incitement,hang him at the church bell's tower,incitement ~ threatening
288,stereotypical,irony,see the #hypocrisy ? see our last tweet ! jews keep non-jews out of #israel but push for non-whites to flood gentile lands .,x
463,white_grievance,irony,it would be nice to have historically white colleges and universities . we have them in the south . that would be called * racist * though,model is correct but missed a key category
422,white_grievance,stereotypical,obama would rather call christians bigots and cops racist before he calls muslims terrorists !,
166,irony,stereotypical,I have a black man in my family tree He’s still hanging there,
444,white_grievance,inferiority,this pope surrenders christianity to islam . jesus said love is the most important . i don't think annih,
6,incitement,stereotypical,hispanic assimilation has failed rt #tcot #tlot #teaparty #ocra #ampat,
263,stereotypical,incitement,#parisattacks let them in #brusselsattacks let them in #germanyattacks let them in let them in or be attacked ? ? ?,
452,white_grievance,inferiority,law breakers-you wouldnt get amnesty if u illegally entered other countries,
161,inferiority,irony,"Lol, Asian gay guys are too girly, I suppose.",
437,white_grievance,inferiority,real quotes from anti-white globalist jew,
217,irony,incitement,"it does make me want shout on the streets hey everybody yeah! i love every one, i would probably be arrested 4 inciting a riot.",
231,irony,incitement,police standing down  let antifa blm destroy & that have targeted them  resign  let antifa,
