Input.original_text,Input.strategy,Input.Generated_1,Input.Generated_2,Input.Generated_3,Input.Generated_4,Answer.gen_1_statement_correct,Answer.gen_2_statement_correct,Answer.gen_3_statement_correct,Answer.gen_4_statement_correct,Input.Model_1,Input.Model_2,Input.Model_3,Input.Model_4,Input.Task
My rendition of the typical white girl bubble bath photo opt longhairdontcare stressed muchneeded whiteg,['optimism'],My rendition of the typical white girl bubble bath photo opt longhairdontcare stressed muchneeded whiteg My rendition of the typical white girl bubble bath photo opt longhairdontcare stressed muchneeded whiteg I'm grateful for the opportunity to relax in a bubble bath and de-stress,"1) Optimism: viewing challenges as opportunities for the author to grow and improve themselves, both physically and emotionally",Relaxing in the typical white girl bubble bath photo opt longhairdontcare sorelaxing muchneeded whiteg,Optimism is the key to a great bubble bath,rank_4,rank_3,rank_1,rank_2,text-davinci-002,text-ada-001,human,text-curie-001,positive_reframing
Just had someone pull out of the move making my job so much harder tomorrow. Don't bloody agree if you're just going to back out!,['optimism'],"People pulling out of a job is annoying, but it means I have more free time at work.",I'm grateful for the opportunity to grow and improve myself,"I'm thankful for the opportunity to grow and improve from this challenge, and I'm confident that I'll be able to find a solution soon","Although someone backed out of the move last minute, I see this as an opportunity for growth and to improve my problem-solving skills",rank_2,rank_4,rank_3,rank_1,human,text-davinci-001,text-davinci-003,chatgpt,positive_reframing
Its important to distinguish between stress and anxiety. We all need a little bit of stress. Education on the psychosomatic symptoms is important in identifying when to take proactive steps to intervene.,['neutralizing'],It's important to distinguish between stress and anxiety,"Some strategies to help reduce stress and anxiety are to focus on the good aspects of the situation, replace negative words with neutral words, and express gratitude for what is happening",Its important to distinguish between stress and anxiety. We all need a little bit of stress. Education on the psychosomatic symptoms is important in identifying when to take proactive steps to intervene and when to know it's just a normal part of life,"1) Neutralizing: replacing a negative word with a neutral word2) Optimism: focusing on things about the situation itself, in that moment, that are good3) self-affirmation: talking about what strengths the author already has, or the values they admire",rank_2,rank_3,rank_1,rank_4,text-davinci-002,text-curie-001,human,text-ada-001,positive_reframing
but seriously I just want to cuddle a small fluffy animal so all of my worries would vanish for even just a short while.,['neutralizing'],1,"I would love to cuddle a small, fluffy animal so I can feel comforted and relaxed, even if it's only for a short while",Cuddling pets is a sure way to relax oneself.,"Neutralizing: I simply desire to snuggle with a small, fluffy creature to temporarily alleviate any concerns I may have",rank_4,rank_1,rank_2,rank_3,text-davinci-001,text-davinci-003,human,chatgpt,positive_reframing
"Looking for ideas - if you were , anxious or depressed - What would encourage you to get help?",['optimism'],"Some strategies to help encourage someone who is anxious or depressed are to focus on the good aspects of the situation, to replace negative words with neutral words, and to focus on self-affirmation",It would be nice to get ideas to get rid of depression and anxiety.,1,"Looking for ideas - if you were, anxious or depressed - What would encourage you to get help? ""Looking for ideas - if you were, anxious or depressed - What would encourage you to get help?""",rank_3,rank_1,rank_4,rank_2,text-curie-001,human,text-ada-001,text-babbage-001,positive_reframing
"Usually if I have a bad morning, my day turns around but no, not today. shittyday",['optimism'],"If I have a challenging morning, I'm optimistic that the rest of the day will turn around",I hope the rest of my day gets better than the first half.,"Despite a rough start to my morning, I'm optimistic that the rest of my day will be better","Even though I had a bad morning, I'm still optimistic that my day will get better",rank_3,rank_4,rank_1,rank_2,text-davinci-003,human,chatgpt,text-davinci-001,positive_reframing
when you missed almost 2 weeks of school and exams start in a week and youre still behind,"['growth', 'optimism']","Using growth and optimism: Although I missed almost 2 weeks of school, I see this as an opportunity for growth and improvement","I need to prepare for the exam that starts in a week, as I have been without classes for almost 2 weeks and this can harm me.","With optimism and growth, I am approaching the challenge of having missed almost two weeks of school and exams starting in a week with the knowledge that I can still catch up and improve","Although I missed almost 2 weeks of school, I am grateful that I have the opportunity to make up the work I missed",rank_4,rank_3,rank_2,rank_1,chatgpt,human,text-davinci-003,text-davinci-001,positive_reframing
ME WITH A GUN AINT NEVER GOOD FOR ANYONE NOT EVEN MYSELF DONTBOTHERME LEAVEMEALONE MAD,"['impermanence', 'optimism', 'self_affirmation']","I'm positive that with a little patience and effort, things will get better",After I spend time alone I will feel better.,"growth: view it as an opportunity to grow, because anything is possible in timeimpermanence: knowing that things will be different at one point in your life and that this is okayognition: talking about what things make you happy or make you feel goodself-affirmation: talking about what strengths the author have and what they mean to them","I know having a gun isn't good for anyone, but I can't help it",rank_2,rank_1,rank_4,rank_3,text-curie-001,human,text-ada-001,text-davinci-002,positive_reframing
Why does everything seem to go bad at the same time? I don't need this right now :(,"['neutralizing', 'optimism']","Things will get better, they always do.",Everything seems to be going well despite the challenges I'm facing,"Some strategies to help with negative thinking and pessimism are to replace a negative word with a neutral word, focus on the good in the situation, and express gratitude",1,rank_1,rank_2,rank_3,rank_4,human,text-davinci-002,text-curie-001,text-ada-001,positive_reframing
Why not ask mom how is she doing when baby it's sick The Mom Still Matter .out,['neutralizing'],It is better to ask a mom how she is doing when her baby is sick.,Why not ask mom how she is doing and let her know that her support and care for the baby is still appreciated?,"How are you doing, Mom?",It would be helpful to check in with mom and see how she's doing while taking care of a sick baby,rank_3,rank_2,rank_4,rank_1,human,text-davinci-003,text-davinci-001,chatgpt,positive_reframing
"We often allow contaminants such as bitterness, anger, and unforgiveness to take root in our hearts. ""If you are wondering why you are constantly negative, depressed or angry, ask yourself if you have allowed any contaminants to pollute your stream."" help",['optimism'],"If you are looking to cultivate a more positive outlook, ask yourself if you have allowed any contaminants to pollute your stream","If you are wondering why you are constantly negative, depressed or angry, ask yourself if you have allowed any contaminants to pollute your stream","We should not allow contaminants such as bitterness, anger, and unforgiveness to take root in our heart to avoid negative and distressed feelings.","If you find yourself constantly negative, depressed, or angry, take a moment to reflect on whether any contaminants have entered your stream",rank_2,rank_3,rank_1,rank_4,text-davinci-003,text-davinci-001,human,chatgpt,positive_reframing
Car breaking down on Christmas Dayfinding out its gonna cost an arm and leg to fix.2012 can kiss my grits!,['thankfulness'],"growth is an opportunity for the author to grow, as well as an opportunity for the situation to grow",I'm so grateful for my car breaking down on Christmas Day,I'm grateful that my car broke down on Christmas Day because it gives me an opportunity to grow and improve myself,"My car broke on Christmas Dayfinding, but I bet I can do all the shopping and be home in time to be with my family.",rank_4,rank_3,rank_2,rank_1,text-ada-001,text-curie-001,text-davinci-002,human,positive_reframing
"Feel like absolute shit,back pains and chest pains,so much on my mind errgggg!:'( back shoulder pain football",['optimism'],"I'm feeling a bit uncomfortable with back and shoulder pains, but I'm grateful for the opportunity to grow and learn from this experience","I am feeling really down right now, but I know that this too will pass","Although I am experiencing some discomfort in my back and chest, I am grateful for the opportunity to take care of myself and improve my health",I hope my body recovers from my football injuries so that I can get a good night's sleep tonight.,rank_4,rank_1,rank_3,rank_2,text-davinci-003,text-davinci-001,chatgpt,human,positive_reframing
Worst day of my life right now. Car died. What else can happen to me right now?!,"['neutralizing', 'optimism']",Neutralizing: My car stopped working,"I am now in need of a new car, im sure tomorow will be better","Car dying is not the best thing that could happen to me, but it's not the worst",I'm grateful for the opportunity to learn from this experience and grow,rank_4,rank_2,rank_1,rank_3,chatgpt,human,text-davinci-001,text-davinci-003,positive_reframing
Mane all i need ta do is drank && smoke sum && ill b str8!! Farreal mane.,"['optimism', 'thankfulness']","I just need to drink and smoke, and then I'll be good! Honestly man",Going to treat myself and have a relaxing time having a smoke and a drink. I feel blessed.,I am grateful for the growth I have experienced thus far,,rank_2,rank_1,rank_3,rank_4,text-davinci-002,human,text-curie-001,,positive_reframing
out essential WORKERS gonna say to hell with SocialDistancing and start swinging on some mutha fuckas before this is all over. I see it a mile away dude What a mess we in y'all. Ridiculous Five guys walked off the plant after that fuckery this morning.,"['optimism', 'thankfulness']",Essential workers are finding it hard at the moment but everyone is so thankful for all the good they are doing in the country.,I am thankful for the essential workers who are bravely and selflessly continuing to work despite the challenges of social distancing,1,"Despite the challenges, essential workers continue to show up and do their jobs with dedication and resilience",rank_1,rank_3,rank_4,rank_2,human,text-davinci-003,text-davinci-001,chatgpt,positive_reframing
"Been up all night, can't sleep :/ Thinking about college, changed my major. This is so bogus. I don't know what to do. help","['neutralizing', 'optimism']","I'm feeling a bit down about my college major change, but I'm trying to stay positive",1,I am not able to sleep as I have changed my major. I hope I have made the right decision.,I'm up all night thinking about college and changing my major,rank_2,rank_4,rank_1,rank_3,text-curie-001,text-ada-001,human,text-davinci-002,positive_reframing
Wanting to crawl up under my zebra blanket and not come out for a few days..,['thankfulness'],I am thankful for the comfort of my zebra blanket and the opportunity to take some time for myself,I am grateful for my zebra blanket which will keep me warm and cozy,"It's been a tough time, but thankfully the end of the week is coming.",I am grateful for my cozy zebra blanket that provides comfort and warmth,rank_1,rank_2,rank_4,rank_3,text-davinci-003,text-davinci-001,human,chatgpt,positive_reframing
Desperately trying to keep calm and relaxed. Nothing helps. Still feel the need to punch them in the face. justfuckoff nothanks,['impermanence'],I am trying to keep calm and relaxed,I hope I can calm myself down so that I can channel all the rage into my work and studies.,I acknowledge that these feelings of anger and frustration are temporary and will pass,"I'm trying to stay calm and relaxed, and I'm aware that this feeling of wanting to punch someone in the face won't last forever",rank_4,rank_3,rank_2,rank_1,text-davinci-001,human,chatgpt,text-davinci-003,positive_reframing
Fack. Time to go home to my shitty life of prepping tomorrow's meal. Challenge is to do it w/o making a mess,['thankfulness'],Thankfulness:I'm grateful for the opportunity to learn and grow from this challenge,I'm thankful for the opportunity to practice my meal-prepping skills and to go home to my cozy home,I am grateful to have a home to go to and the ability to prepare a meal for tomorrow,"At least I get to make a meal, there are people out there who don't get to have food at all.",rank_4,rank_2,rank_1,rank_3,text-davinci-001,text-davinci-003,chatgpt,human,positive_reframing
"Going to bed at half 8, so that I am rested for my Assessor's Visit tomorrow",['optimism'],I am grateful that I have the opportunity to rest before my assessor's visit tomorrow,"Going to bed at half 8, so that I am rested for my assessor's visit tomorrow. I'm sure I'll do fine!",I am looking forward to my Assessor's Visit tomorrow and am optimistic about the opportunity to grow and improve myself,1,rank_3,rank_1,rank_2,rank_4,text-davinci-002,human,text-curie-001,text-ada-001,positive_reframing
"Got all this coloring due tomorrow "" this is our daycare! Lmbo","['optimism', 'thankfulness']",I'm grateful that I have this opportunity to improve my coloring skills,"I have colouring due tomorrow, that's really not the worst thing in the world.",growth: seeing opportunities for the author to grow and improve themselves,Today is our daycare's birthday! We are so grateful for all the love and care they provide for our children,rank_1,rank_2,rank_3,rank_4,text-davinci-002,human,text-ada-001,text-curie-001,positive_reframing
"I wish I didn't clench my teeth in my sleep, the pain when I wake up is horrible","['neutralizing', 'thankfulness']","Neutralizing: I have a habit of clenching my teeth in my sleep, which can cause discomfort when I wake up",I wish I didn't clench my teeth in my sleep the pain was horrible.,"I am thankful that I have the awareness to recognize that I clench my teeth in my sleep, and I am committed to finding ways to reduce the pain when I wake up","I am grateful that I am able to recognize that I clench my teeth in my sleep, and that I am working to fix the problem",rank_3,rank_4,rank_1,rank_2,chatgpt,human,text-davinci-003,text-davinci-001,positive_reframing
I have a midterm in a week and the notebook im supposed to study from magically disappeared!!!!,['neutralizing'],I can't find the notebook I'm supposed to study from,I'm glad my midterm is coming up because it means I can focus on studying and not worry about my notebook disappearing,"I have a midterm in a week and the notebook I'm supposed to study from disappeared, but I'm grateful for the opportunity to grow and improve myself",1,rank_1,rank_3,rank_2,rank_4,human,text-curie-001,text-davinci-002,text-ada-001,positive_reframing
Wishes things could sort their selves out toomuch notime tired decisions Ahhhh! All with lots of hash tags!,['growth'],Next week will be my time to sort out all my unfinished tasks.,I am hopeful that things will sort themselves out soon,I see this as an opportunity for growth and improvement,"I'm feeling overwhelmed by the decisions I have to make, but I'm grateful for the opportunity to grow and develop",rank_1,rank_4,rank_3,rank_2,human,text-davinci-001,chatgpt,text-davinci-003,positive_reframing
"All I want to do after a long day at work is come home, turn on my Xbox and play/stream. Why does it seem like every time I do this there is yet another update? Feeling super frustrated, just ranting is all. overit",['optimism'],"I'm feeling frustrated because it seems like every time I want to play my Xbox after work, there's another update","After a long day at work, I look forward to coming home and turning on my Xbox to play/stream","After a long day at work, I'm grateful to come home and turn on my Xbox to play/stream","I had a long day at work, and my Xbox is updating, but I just have to be patient, and soon it will be done, and I can start having fun!",rank_4,rank_3,rank_2,rank_1,text-davinci-001,chatgpt,text-davinci-003,human,positive_reframing
Think my brain is about to explodeeee any minute!! Sorry bunnies but no replies for a lil while! uniwork dedication,['self_affirmation'],I'm grateful for this opportunity to improve myself and grow as a person,1,"My head hurts a little, but I am so dedicated to this project that I just can't stop",I am so grateful for all the growth and progress I have made this year,rank_3,rank_4,rank_1,rank_2,text-davinci-002,text-ada-001,human,text-curie-001,positive_reframing
It is times like these that make me wish that I lived somewhere else frustrated,"['growth', 'self_affirmation']","I sometimes wish I lived in a place where I could grow and learn new things, where bad things don't last forever and I know that things will get better soon",1) I am grateful for all the good things going on in my life,I am grateful for the opportunity to grow and improve myself,"Even when times are difficult and frustrating, I value my strength to stay here and accept these challenges.",rank_4,rank_3,rank_2,rank_1,text-curie-001,text-ada-001,text-davinci-002,human,positive_reframing
Those sleepless guilty nights.When you don't study all day and your exams are drawing near :'(,['optimism'],"Despite the sleepless guilty nights, I know that I will get through this",I am grateful for the opportunity to stay up late and use this time to prepare for my upcoming exams,I hope I do well in my exams even though I am quite late in starting my preparations.,"The upcoming exams are a chance for me to grow and improve my knowledge, even if I haven't studied all day",rank_3,rank_4,rank_2,rank_1,text-davinci-001,text-davinci-003,human,chatgpt,positive_reframing
Forever cutting down words from essays because I ramble like a dick all the time,"['neutralizing', 'optimism']",1,I have a lot to say and sometimes need to shorten my essays because I am so full of ideas!,One strategy to help neutralize negativity is to replace a negative word with a neutral word,I'm grateful for the opportunity to improve my writing by cutting down on words,rank_4,rank_1,rank_3,rank_2,text-ada-001,human,text-curie-001,text-davinci-002,positive_reframing
"lyn's complaining the custard ive made is too thin, i wouldnt mind but she kept going at me IT'S CUSTARD IT THICKENS!!!!!!!!!",['impermanence'],"Although Lyn mentioned that the custard I made was too thin, I know that it's just a temporary setback",I cannot wait for Lyn to be done with her ranting about my custard.,"I'm grateful for the opportunity to learn and grow from this experience, and I'm confident that with a few adjustments, the custard will be just right!",1,,,,,,,,,positive_reframing
"ugh, I so hate this sucky panic feeling it makes my heart sick. is an under statement","['growth', 'optimism']",I am grateful for this challenge as it provides me with an opportunity to grow,Strategies:1,I'm in a panic now but I just need to do some relaxation techniques and I'll be feeling better soon.,I love the growth and optimism that comes with facing challenges head on,,,,,,,,,positive_reframing
I HATE math! And maybe I wouldnt hate it so much if the teacher actually taught it! headache,['self_affirmation'],I know that I'm able to learn math if I take the time to study and commit to it.,I love math! It's a challenging but rewarding subject that I can use to improve my life,I view math as a challenge that I can grow from,1,,,,,,,,,positive_reframing
"So uni have just moved the deadline on my work from the 22nd may to the 12th may, that's ten days less fml","['neutralizing', 'optimism']",I'm really excited about the new deadline! It will give me more time to focus on my work and improve it,1,I'm grateful that I have ten more days to work on my project,"My deadline has been moved from the 22nd may to the 12th may, but still I can finish it.",,,,,,,,,positive_reframing
I'm not even tired but I'm going to bed before I rip my hair out,"['impermanence', 'optimism']",A good night's sleep and rest should get me in a better frame of mind tomorrow.,I'm going to take this opportunity to get some rest before I continue tackling this challenge with optimism and self-affirmation,I'm not even tired but I'm going to bed before I rip my hair out,I'm going to bed early tonight to take care of myself and recharge,,,,,,,,,positive_reframing
That feeling when your so frustrate and stressed out all you wanna do is cry frustrated,['growth'],"When you're so frustrated and stressed out, all you want to do is cry","Strategy 1:When you feel frustrated and stressed out, try to identify what the issue is",That feeling very happy. Enjoy That situations.,"I'm feeling frustrated and stressed out, but I know this is an opportunity for me to grow",,,,,,,,,positive_reframing
"my skin has never been great, but it has never been this bad either :( workstress workworkwork","['growth', 'neutralizing', 'optimism']",I am too stressed at the moment I should take some time to myself then I know my skin will improve.,1,"I'm really happy to see that my skin has been growing in the past few weeks! It's been a bit of a challenge, but I'm optimistic that it will get better soon","My skin has never been great, but it has never been this bad either :( workstress workworkworkMy skin has never been great, but it has never been this bad either :( workstress workworkworkMy skin has never been great, but it has never been this bad either :( workstress workworkworkMy skin has never been great, but it has never been this bad either :( workstress workworkworkMy skin has never been great, but it has never been this bad either :( workstress workworkworkMy skin has never been great, but it has never been this bad either :( workstress workworkworkMy skin has never been great, but it has never been this bad either :( workstress workworkworkMy skin has never been great, but it has never been this bad either :( workstress workworkworkMy skin has never been great, but it has never been this bad either :( workstress workworkworkMy skin has never been great, but it has never been this bad either :( workstress workworkwork",,,,,,,,,positive_reframing
"Got all this coloring due tomorrow "" this is our daycare! Lmbo","['optimism', 'thankfulness']",I'm thankful for the opportunity to grow and improve myself with all this coloring due tomorrow!,I am grateful for the opportunity to color all of these pages for our daycare and I am confident that I will be able to complete them by tomorrow,"I have colouring due tomorrow, that's really not the worst thing in the world.","I have all this coloring due tomorrow and I'm feeling a little overwhelmed, but I know I can do it! This is our daycare and I love it!",,,,,,,,,positive_reframing
How the frig do you get foxes out your half acre woodland/garden? So worried they will eat my cat wildlife foxes woodland garden trees fox animals gardenlife nature GardenersWorld anxiety,"['neutralizing', 'optimism']",One way to get foxes out of your woodland/garden is to try to neutralize their fear by replacing negative words with neutral words,I am grateful for the opportunity to improve myself by learning how to get foxes out of my woodland/garden,1,"Foxes are a pain to have as they eat cats and wildlife, but they are beautiful creatures, I will have to be careful with my cat.",,,,,,,,,positive_reframing
I WILL be able to get a different phone because the one I got today sucks! confusing,['growth'],Using the growth strategy: I see this as an opportunity to learn more about what I need in a phone and grow in my decision-making skills,"I am grateful for the opportunity to grow and improve by getting a different phone, as the one I got today does not meet my needs",I WILL be able to get a different phone because the one I got today is new and I can learn from my mistakes,I am going to get a new phone which is good.,,,,,,,,,positive_reframing
10 Truths that will Change Your Life - for the better! empower empowering stressed worry overwhelmed,['optimism'],"Optimism:Things will get better soon, and this challenge is an opportunity for me to grow",1,1,You can change your life by changing your habits.,,,,,,,,,positive_reframing
Anybody would think I'm 13 again and going through puberty with the amount of spots that have appeared on my chin. disgusting,"['neutralizing', 'optimism']",I'm grateful for the spots on my chin because they remind me that I'm growing and changing,1,People would think I am going through puberty because of the spots on my chin. I wish to get my face cleared very soon.,I'm grateful that I'm going through this challenge because it means I'm growing and improving myself,,,,,,,,,positive_reframing
I don't get how people can just understand chemistry. It seriously seems like a different language.,"['growth', 'neutralizing']","For me chemistry is really challenging, just like learning a foreign language, but the greatest challenges bring the biggest rewards",I see chemistry as a growth opportunity for me to learn a new language,I'm grateful for the opportunity to grow and improve my understanding of chemistry,I don't get how people can just understand chemistry,,,,,,,,,positive_reframing
"corrie paul is annoying me, karl is scaring me, dev is irritating and kirsty is creeping me out","['neutralizing', 'optimism']",1,"Everyone is getting on my nerves, but they are individuals and need to be themselves.","I'm grateful for my friends, even though some of them might be annoying me, scaring me, or irritating me","I find that Corrie, Karl, Dev, and Kirsty are all neutralizing my fears and helping me to be more optimistic about the situation",,,,,,,,,positive_reframing
