premise,hypothesis,labels,additional_labels,Generated,Model,Task
You're disloyal,You're loyal as Benedict Arnold,Entailment,"Benedict Arnold was a traitor, so to say someone is as loyal as Benedict Arnold would be to say that they are not loyal at all.",The hypothesis is that Benedict Arnold is loyal as Benedict XVI,text-babbage-001,flute
I once ate a raw oyster and got food poisoning and I've never felt so gross.,The time I ate a raw oyster and got food poisoning made me feel like the grossest person ever,Entailment,Food poisoning is an incredibly unpleasant experience and often leaves people feeling very nauseous and disgusted with themselves,The hypothesis is that the time I ate a raw oyster and got food poisoning made me feel like the grossest person ever,text-babbage-001,flute
I have to go to court soon for a drunk driving incident and I am so scared.,I am petrified of going to court soon because of the drunk driving incident,Entailment,Having to go to court is often a very scary experience because it is unknown what the outcome will be and there is a potential for severe consequences,The hypothesis suggests that the author is petrified of going to court soon because of the drunk driving incident,text-babbage-001,flute
"But on the subject of appearing to own a stolen horse, he still managed to come up with a compelling defense.","But on the subject of appearing to own a stolen horse, he had rincewind bang to rights and, also, a foot on his neck.",Contradiction,"To be bang to rights means to have irrefutable proof of wrongdoing, but in this sentence the person manages to come up with a defense",The hypothesis is that the horse was stolen because the owner was trying to look like he had the horse legitimately,text-babbage-001,flute
My friend took some of my money without asking.,I feel so satisfied that my friend who I thought was a good friend would take my money without asking,Contradiction,Most people would see it as a bad thing if someone they thought was a friend took their money without asking because it is essentially stealing and not being a good friend.,The hypothesis is that the friend who took the money without asking is a bad friend,text-babbage-001,flute
I wish I was taller.,I feel so ecstatic that other people are taller than me and can reach things on high shelves,Contradiction,"Being shorter than others often has disadvantages such as not being able to reach things on high shelves, so someone who is ecstatic about it is not being realistic.","The hypothesis implies that one wishes they were taller, which would be a figurative language statement",text-babbage-001,flute
"I just went past a fish market, and the smell was overwhelming.",I drove past a fish market and the smell made me feel like I was going to vomit,Entailment,"The smell of fish is often very overwhelming and if someone is not a fan of fish, the smell can make them feel nauseous",The hypothesis is that the fish market smell is overwhelming because the market is full of fish,text-babbage-001,flute
I ate a box of donuts yesterday when I promised myself I wouldn't cheat on my diet.,I feel proud of myself for eating a box of donuts when I explicitly said I wouldn't cheat on my diet,Contradiction,"Eating a box of donuts goes against the goal of dieting and so someone who does it despite saying they won't, is not following through with their commitments and shouldn't feel proud",The hypothesis is that the person feels proud of themselves for eating a box of donuts when they explicitly said they wouldn't cheat on their diet,text-babbage-001,flute
"But still, hearing it all poured out so concisely and satisfyingly when so much was on the line was dizzying.","But still, hearing it all poured out so short and sweet when so much was on the line was dizzying.",Entailment,"To be short and sweet is to be brief while still being satisfying or to the point, and in this context the person is pourign out their feelings concisely and satisfyingly.",The hypothesis is that the speaker is dizzy because they are hearing all of the information in a short amount of time,text-babbage-001,flute
Jane knew there was potential for conflict when the conversations about the assignments began.,Jane knew these dicsussions were the seeds of a potential conflict.,Entailment,The seeds of a potential conflict means the beginning of a potential conflict.,The hypothesis is that Jane knew these conversations were the seeds of a potential conflict,text-babbage-001,flute
"It would have been much better if this never happened because it's so late, Danny said behind them.","Well, better late than never,danny said behind them.",Contradiction,"The idiom better late than never means that the delayed occurrence or achievement of something is better than it not happening at all, but in this sentence, Danny says it would have been much better if it never happened.",The hypothesis implies that the two people would have been better off if this never happened,text-babbage-001,flute
Destory a little child's life by ruining their character.,Form the young child's character.,Contradiction,"The word destroy in another sentences is used to mean something that is negative and irreversible, e.g., the child's character, while forming typically connotes something that is positive and constructive.","The hypothesis suggests that by ruining the character's life, one can create a better one",text-babbage-001,flute
The flowers stopped in the gentle breeze.,The flowers danced in the gentle breeze.,Contradiction,"To dance means to move nimbly or gracefully, while to stop means to come to an end or a halt.",The hypothesis implies that the flowers stopped in the breeze,text-babbage-001,flute
They know and understand the harsh reality,They know the score.,Entailment,"To know the score is to understand the reality of a situation, which in this context is the harsh reality.",The hypothesis is that the people who know the score know how to deal with the harsh reality,text-babbage-001,flute
The predators never expected their enemies to be this indestructible.,The predators never anticipated their enemies would be this much like titanium.,Entailment,"Titanium is a metal that is very difficult to destroy, so the simile is suggesting that the enemies are just as difficult to destroy.",The predators never expected their enemies to be this indestructible,text-babbage-001,flute
She was wearing sandals with thin soles and high heels.,Her sandals had crepe-thin soles and heels like a wedding cake.,Entailment,"A wedding cake is usually tall and thin, so the simile is emphasizing how thin and tall the heels are.",The hypothesis is that the woman's sandals had high heels that made her look like a wedding cake,text-babbage-001,flute
"Lance deals mostly in coke, but he dabbles in a few other  significant and valuable items, too.","Lance deals mostly in coke, but he dabbles in a few other odds and ends, too.",Contradiction,"To dabble in odds and ends means to deal in small miscellaneous items, but the context describes Lance dealing in significant and valuable items","The hypothesis is that Lance deals mostly in coke, but he dabbles in a few other significant and valuable items",text-babbage-001,flute
"Mella orders, while bobbing her skull up and down several times a big problem she thinks.","Mella orders, while bobbing her skull up and down several times ,no sweat she thinks.",Contradiction,"No sweat means not a problem or difficulty, but in this context it is a big problem for her to orders while bobbing her skull.",The hypothesis is that Mella orders while bobbing her skull up and down several times,text-babbage-001,flute
I was by myself at a party because I didn't really fit it with anybody there.,I felt really out of place and alone at the party because I didn't know anybody there,Entailment,"Being by oneself in a group setting can often feel very awkward and lonely, especially if everybody else there knows each other and somebody is feeling like an outsider",The hypothesis suggests that the party was too loud and too crowded for the individual to feel comfortable and safe,text-babbage-001,flute
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,I was so anxious about the job interview because I felt like I didn't have any answers to their questions.,Entailment,Being anxious about a job interview usually means that the person is not confident about their answers to the questions that will be asked and is worried about not impressing the interviewer,The hypothesis is a figurative language statement that means that the person who is interviewed did not come prepared,text-babbage-001,flute
"Maxine fortenberry came in, looking angry and moving slowly.","Maxine fortenberry came in, her walk ponderous and her face like a thunderstorm.",Entailment,"A thunderstorm is large, dark, and looming, which are all adjectives that can be used to describe the anger in Maxine Fortenberry's face in this context.",The hypothesis suggests that Maxine fortenberry is angry and her walk is ponderous,text-babbage-001,flute
I have not had any sleep for the past three days only to come back home and my neighbor is having a loud party.,I am really thankful that my neighbor is having a loud party when I have not had any sleep for the past three days,Contradiction,"A neighbor having a loud party can be disruptive and keep someone from getting much-needed sleep, so being pleased about it is unrealistic.",The hypothesis is that the speaker is grateful for the neighbor's party when they have not had any sleep for the past three days,text-babbage-001,flute
But then the paper would hear about your bigamist marriage.,But then the paper would get wind of your bigamist marriage.,Entailment,"To get wind of something means to become aware of it, especially if it's being kept secret, and in this sentence the paper would become aware of the bigamist marriage.",The hypothesis suggests that the paper would hear about your bigamist marriage if it happened,text-babbage-001,flute
One party is not required to take any action while the other party is.,It's a two-way street.,Contradiction,"A two-way street is a situation where both parties are required to take action, but the contradiction describes a situation where only one party is required to take action",The hypothesis is that one party is not required to take any action while the other party is,text-babbage-001,flute
"When I was in Costa Rica I was having a lot of trouble with the address of my AirBnB, I was so lost.",I was terrified when I could not find my AirBnB because of the wrong address and got lost in the middle of a foreign country,Entailment,Being in an unfamiliar place is often overwhelming and being lost in a foreign country can be even more so because there is a lack of understanding of the surroundings,The hypothesis is that the author was terrified when they could not find their AirBnB because of the wrong address and got lost in the middle of a foreign country,text-babbage-001,flute
"She had known the fru wanted her tested, but she hadn't believed they'd take such an extreme step as to contact her mom.","She had known the fru wanted her tested, but she hadn't believed they'd go so far as to contact her mom.",Entailment,"To go so far as to do something means to do something extreme, and in this sentence, the fru taking the extreme step of contacting her mom.",The hypothesis is a figurative language statement that means the fru wanted the girl to be tested because she was a potential threat to their business,text-babbage-001,flute
A now ex-friend of mine revealed a very private secret I told her in confidence not only to our mutual friends but the entire internet!,"I can't believe my now ex-friend betrayed my trust by revealing my very personal secret to not just our mutual friends, but also the entire internet!",Entailment,It is a breach of trust when someone reveals something very personal and private that was told to them in confidence so it is understandable to feel betrayed by an ex-friend who did just that,The hypothesis suggests that the relationship between the two parties involved in the conversation was one of betrayal,text-babbage-001,flute
I get aggravated with people who don't understand personal space.,I can't stand people who invade my personal space and make me really angry,Entailment,Personal space is a concept that is important to many people and when somebody steps into that space it can often make the person very angry,The hypothesis is that people who invade personal space make the speaker really angry,text-babbage-001,flute
All they wanted were his - no way!,All they wanted were his - not on your life!,Entailment,"Not on your life is used to refuse very firmly to do something, so in this context they are refusing to give up his possessions.","The hypothesis implies that the protagonist is in danger, which is not the case",text-babbage-001,flute
I saw another woman looking at my boyfriend up and down while we are in line at the store,I saw the woman checking out my boyfriend and it made me feel insanely jealous,Entailment,It is natural to feel jealous when another person is checking out or flirting with your romantic partner right in front of you,The hypothesis suggests that the woman looked up and down at my boyfriend while they were in line at the store,text-babbage-001,flute
I tried to resolve their fight.,I tried to tide things over between them.,Entailment,Tide things over means to try to improve or make a situation better temporarily.,"The hypothesis suggests that the two people are in a fight, but the language in the hypothesis suggests that they may be trying to resolve the fight",text-babbage-001,flute
The Tyrant has been making life miserable for centuries.,"For centuries, the ruler has made life like a dreary prison.",Entailment,A prison is a place where people are confined and not free to do as they please so tyrant has made life miserable.,The Tyrant has been making life miserable for centuries,text-babbage-001,flute
I can't understand it.,I can't make head or tail of it.,Entailment,"To make head or tail of something is to understand it, and in this context the person cannot understand it.",The hypothesis suggests that the speaker cannot understand the language,text-babbage-001,flute
His declarations doused the fire in the community.,His declarations sparked a fire in the community.,Contradiction,"Both statements are contradictory because the one statement implies that his declaration made the community excited whereas the second means the exact opposite, i.e., putting out the excitement.",The hypothesis is that the declarations doused the fire in the community,text-babbage-001,flute
"My son stole a car from an elderly man today, never have I been so let down.","I feel terrible that my son who is supposed to be the good one, stole a car from an elderly man today",Entailment,Stealing is wrong and especially stealing from an elderly man who can't defend himself,"The hypothesis is that the mother feels terrible that her son did this, but the most accurate option would be B",text-babbage-001,flute
"Even though she's big, she's not very brave-and when she's on the ground, she's clumsy.","She's big, but she's not very brave-and on the ground she's like a pig on a frozen pond.",Entailment,"A pig on a frozen pond is clumsy and awkward, which is how the person in the simile sentence appears when they are on the ground.",The hypothesis is that the big girl is not very brave and is clumsy when on the ground,text-babbage-001,flute
She wouldn't have been able to satisfactorily work or operate in the talkies.,She wouldn't have been able to cut the mustard in the talkies.,Entailment,"To cut the mustard means to work or operate in a satisfactory manner, which is what she would have been able to do in the talkies.",The hypothesis suggests that the woman wouldn't have been able to satisfactorily work or operate in the talkies because she would not have been able to cut the mustard,text-babbage-001,flute
I was in a hotel and there was hair in the shower drain.,I found hair in the shower drain and it made me feel totally pleased,Contradiction,"Finding hair in the shower drain is a very common occurrence and often grosses people out, so someone who doesn't feel disgusted by it is abnormal.",The hypothesis is that the hair found in the shower drain was caused by the person using the shower and it made them feel pleased,text-babbage-001,flute
I never attract these weirdos.,I must have a gift for attracting these weirdos.,Contradiction,"To have a gift usually refers to having a talent or ability, but in this context the speaker doesn't have a talent for attracting weirdos.",The hypothesis is that the person who makes the statement is trying to attract a weirdo,text-babbage-001,flute
I feel exactly the same way.,that makes two of us.,Entailment,"The idiom ""that makes two of us"" means ""the same is true for me"". So in this context, the speaker is saying that they feel the same way.",The hypothesis is that feeling the same way makes two people feel the same way,text-babbage-001,flute
Scarborough decided to take the safer route even though it would be more time-consuming.,Scarborough decided better safe than sorry and took a reasonable route.,Entailment,"The idiom better safe than sorry means that it is better to expend the time or effort to be cautious with one's actions, which is what Scarborough decided to do.",The hypothesis is that Scarborough took the safer route even though it would be more time-consuming,text-babbage-001,flute
I spent a few hundred dollars on a purse which is a lot for me and it started fraying in days.,I can't believe how poorly made the purse I bought for a few hundred dollars is and that it started fraying in days,Entailment,When something is bought for a high price it is often expected to be made of better quality materials and last longer than something that was bought for a lower price so it is understandable to be surprised and upset when it does not meet those expectations,The hypothesis is that the purse started fraying because it was not well made,text-babbage-001,flute
The cake was really moist,The cake was as moist as the desert,Contradiction,"The desert is a very dry place, so saying the cake was as moist as the desert means that it was not moist at all",The hypothesis is that the cake was as moist as the desert,text-babbage-001,flute
I got behind a slow driver and it ticked me off because it made me late to work.,It put me in the greatest of moods when I followed the slow driver and it made me late for work.,Contradiction,Following a slow driver is not the best way to get to work on time and so it is understandable to be in a bad mood after that.,The hypothesis is that the slow driver made the protagonist late for work,text-babbage-001,flute
"I had no friends in high school, misery is being surrounded by an entire class and no one talking to you.",I felt terrible that I had no friends in high school and felt like an outsider,Entailment,It is common to feel terrible and like an outsider when someone has no friends in high school because humans are social creatures and need companionship,The hypothesis suggests that the protagonist felt misery because they were surrounded by an entire class and no one talked to them,text-babbage-001,flute
My first date was terrible as I turned up late and sweaty.,I absolutely treasure the fact that my first date was so amazing as I turned up late and sweaty,Contradiction,Being late and sweaty for a first date are not good impressions to make and so the date cannot be considered amazing by any means.,The hypothesis suggests that the first date was amazing because the two were on time and sweaty,text-babbage-001,flute
She will start putting the showing together as soon as you give her permission to do so.,She will start putting the showing together as soon as you give the go ahead.,Entailment,"To give the go ahead means to give permission to do something, which is what she needs in order to start putting the showing together.",The hypothesis suggests that the woman will start putting the show together as soon as you give her permission to do so,text-babbage-001,flute
She avoids a lot of nonsense.,She babbles a lot of nonsense.,Contradiction,"To babble means to speak rapidly and incoherently, while to avoid something means to stay away from it or keep it at a distance.",The hypothesis is that she avoids a lot of nonsense,text-babbage-001,flute
I'm signed up to go sky diving for the first time this weekend but I am nervous.,I am anxious about the fact that I am going to be jumping out of an airplane for the first time this weekend,Entailment,It is natural to feel anxious about doing something for the first time that is considered dangerous like sky diving,"The hypothesis suggests that the author is anxious about the jump, but the language in the sentence suggests that the author is not actually anxious about the jump",text-babbage-001,flute
"You're always too slow, no matter how many times you try.",No matter how many times you try you're always like a sloth at a racetrack.,Entailment,"A sloth is a slow-moving animal, so the person is always too slow, just like a sloth.",The hypothesis is that you are always too slow at a racetrack,text-babbage-001,flute
"Yes the trial is now over,","We have put you to the trial ,",Contradiction,"To put someone to the trial means to test them or put them in a difficult situation, while the trial being over would suggest that the person has passed the test or the situation is no longer difficult.",The hypothesis is that the trial is now over,text-babbage-001,flute
I went to a baby shower for my friend the other day only to realize I bought a present for a baby boy and not a baby girl!,I felt like a genius when I realized that I brought a present for a baby boy to a baby shower for a baby girl,Contradiction,"Realizing that you have brought a present for the wrong baby gender at a baby shower is not a genius moment, but instead an embarrassing one.",The hypothesis implies that the speaker felt like a genius when they realized that they brought a present for a baby boy to a baby shower for a baby girl,text-babbage-001,flute
"In the dead of summer, in Ohio, the clothes felt cold and dry.","In the dead of summer, in Ohio, the clothes felt like melting rubber.",Contradiction,"Rubber melts in high temperatures, so the simile is saying that the clothes were very hot",The hypothesis is that the clothes in Ohio feel cold and dry because the summer weather is hot and dry,text-babbage-001,flute
I have been unfaithful to my spouse and have been lying about it.,I am absolutely staying faithful to my marriage vows by cheating on my spouse and then been lying to them about it,Contradiction,Cheating on a spouse goes against the marriage vows which are supposed to be kept and therefore the person is not being faithful by doing so,The hypothesis suggests that the person who is cheating on their spouse is doing so in order to stay faithful to their marriage vows,text-babbage-001,flute
I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,Contradiction,Giving in to cravings and eating an entire ice cream sundae by oneself is not a good thing because it can lead to weight gain and a feeling of guilt.,The hypothesis is that the speaker feels extremely proud of themselves for succumbing to their cravings and eating an entire ice cream sundae by themselves,text-babbage-001,flute
I really hate it when girls ghost me on Tinder.,I feel so attractive when girls stop talking to me on Tinder without any explanation,Contradiction,Being ignored on Tinder by matches who suddenly stop talking can be really frustrating and disappointing and hence it is not something to feel attractive about.,The hypothesis suggests that girls ghost people on Tinder because they find the man unattractive,text-babbage-001,flute
Last night I ate 12 Big Mac's from McDonalds and felt guilty,I feel terrible about the fact that I ate 12 Big Mac's from McDonalds last night,Entailment,Eating 12 Big Mac's from McDonalds is a lot of food and can often make people feel guilty because it is an unhealthy amount of food to consume in one sitting,The hypothesis is that the person feels guilty because they ate 12 Big Macs from McDonalds last night,text-babbage-001,flute
"Added smoothness to the rugged hills ,","Touched the rugged hills with smoothness ,",Entailment,Touching with smoothness means adding softness or taking away roughness.,"The hypothesis is that the smoothness has made the hills more rugged, which is a figurative language statement",text-babbage-001,flute
They appeared to be secure,They appeared to be like a bank vault,Entailment,"A bank vault is a secure place where valuables are kept, so they are secure",The hypothesis suggests that the security of the vault appears to be secure,text-babbage-001,flute
She was an idiot for doing this given all the prior knowledge for what she suspected,She was an idiot for doing this especially in light of what she suspected.,Entailment,To do something in light of means to do it after having prior knowledge which and in this context thats what makes her an idiot.,The hypothesis is that the woman was an idiot for doing this given all the prior knowledge for what she suspected,text-babbage-001,flute
I left my friend at the bar the other night.,I abandoned my friend at the bar the other night and I feel so proud of myself,Contradiction,"A good friend would never abandon their friend at a bar, so someone who does that is not a good friend and should not feel proud of themselves.",The hypothesis suggests that the protagonist left their friend at the bar because they were not feeling well,text-babbage-001,flute
The love of my life left me for a better man.,"The love of my life left me for someone richer, better looking, and more successful than me",Entailment,"It is common for people to leave their partner for someone who is better in some way than them whether that be in terms of looks, money, or success","The hypothesis suggests that the love of my life left me for someone wealthier, better looking, and more successful than me",text-babbage-001,flute
And the sky overhead had turned clear,And the sky overhead had turned like a polluted body of water.,Contradiction,"A polluted body of water is murky and not clear, so the sky turning like one would imply it is murky and not clear","The sky overhead had turned clear, implying that the pollution had been cleaned up",text-babbage-001,flute
"And with that I scrambled after fink, who was heading as fast as he could for the nearest tavern.","And with that I scrambled after fink, who was heading full tilt for the nearest tavern.",Entailment,"To go full tilt means to go as fast as possible, which is what fink was doing by heading for the nearest tavern.","The hypothesis is that I scrambled after fink, who was heading as fast as he could for the nearest tavern",text-babbage-001,flute
My dog got into the garbage can while I was out!,I was so mad when I came home to find my dog rooting through the garbage can,Entailment,Dogs are often not allowed to root through garbage cans because it is unsanitary and can make a mess so people often get mad when they come home to find their dog has done this,The hypothesis is that the dog got into the garbage can because I was out of town and I left the garbage can open,text-babbage-001,flute
He looked modern and civilized.,He looked like a prowling animal .,Contradiction,"Prowling animals are usually wild and not domesticated, so they are not usually perceived as looking modern and civilized",The hypothesis suggests that the man looked like a prowling animal,text-babbage-001,flute
Someone who would do something as small as break into another's home is seriously deranged.,Anyone who would go so far as to break into another's home is seriously deranged.,Contradiction,"To go so far as to do something means to do something extreme, but breaking into someone's home is not an extreme act",The hypothesis is a figurative language statement that means that the person is seriously deranged,text-babbage-001,flute
She rose up from rags to riches.,She slipped into the luxury of life.,Contradiction,"To slip into something means to enter it quietly or easily, while to rise up from rags to riches suggests a much more difficult and arduous journey.","The hypothesis implies that the woman rose from rags to riches, but the figurative language in the hypothesis suggests that she slipped into the luxury of life",text-babbage-001,flute
My best friend is going to Tahiti with his family!,Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Contradiction,"The speaker is envious of their friend who gets to go to Tahiti, a beautiful place, while they are stuck in a not-so-nice place.",The hypothesis is a metaphor,text-babbage-001,flute
I really do no like worms.,The slimy feel of worms makes me really scared,Entailment,The sensation of touching something slimy can be really unpleasant and often worms are seen as dirty creatures so it is natural to feel scared when coming into contact with them,The hypothesis is that the slimy feel of worms makes the person scared,text-babbage-001,flute
The critics praised the broadway production.,The critics paid tribute to this broadway production.,Entailment,The critics gave the broadway production very high praise.,The hypothesis is that the critics praised the broadway production because it was broad,text-babbage-001,flute
"Everything had been going alright, he was even going to get away with a very light punishment or warning, but then m's.","Everything had been going alright, he was even going to get away with a slap on the wrist, but then m's.",Entailment,"A slap on the wrist is a very mild inconsequential punishment or warning, so getting away with one means that he was going to get away with a very light punishment or warning.",The hypothesis suggests that the relationship between the premise and the hypothesis is a contradiction,text-babbage-001,flute
The cat was white,The cat was as white as charcoal,Contradiction,"Charcoal is a black material, not a white one",The cat was white as charcoal,text-babbage-001,flute
His eyes are green.,His eyes are like a spring pansy .,Contradiction,"A spring pansy is a flower with purple petals and a yellow center, not green","The hypothesis implies that the eyes are green, but the language in the hypothesis suggests that they may be a different color",text-babbage-001,flute
I felt betrayed when my girlfriend kissed another guy at a party.,I was beaming with joy when my girlfriend kissed another guy at the party,Contradiction,The girlfriend kissing another guy at the party is not something to be happy about and is instead a cause for jealousy and anger.,The hypothesis suggests that the protagonist was beaming with joy when their girlfriend kissed another guy at the party,text-babbage-001,flute
That's my mother in a lot of words.,That's my mother in a nutshell.,Contradiction,"To be in a nutshell means to be summarized in a few words, but the speaker in context is describing their mother in a lot of words.","The hypothesis is that mother is a metaphor for aunts, uncles, and other family members",text-babbage-001,flute
"The government has always been stiff, but the most notable stiffness is during military pressure.",The government bowed to the military pressure.,Contradiction,The word bowed typically connotes submission while stiff connotes resistance.,"The hypothesis is that the government has always been stiff, but the most notable stiffness is during military pressure",text-babbage-001,flute
"His movements were jerky and sloppy, halting and graceless.","The way he moved was like a giant, predatory jungle cat .",Contradiction,"A predatory jungle cat is a sleek and graceful animal that moves with purpose, so saying someone moves like one would imply their movements are also sleek and graceful and not jerky and sloppy",The hypothesis is that the movements of the protagonist are like those of a jungle cat,text-babbage-001,flute
We were both jittery on the day of the alumni interview.,"The day of the alumni interview, we were both like a tightrope walker with vertigo.",Entailment,"A tightrope walker with vertigo is someone who is in a very precarious position and is likely very jittery about to fall at any moment, which is how we felt on the day of the alumni interview.",The hypothesis is that we were both jittery on the day of the alumni interview,text-babbage-001,flute
The woman had a really dull personality.,The woman's personality had as intriguing as oatmeal,Entailment,"Oatmeal is a really bland food, so the simile is saying that the woman's personality is just as bland.",The woman's personality had as intriguing as oatmeal,text-babbage-001,flute
