premise,hypothesis,labels,additional_labels,Generated,Model,Task
I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,Contradiction,Giving in to cravings and eating an entire ice cream sundae by oneself is not a good thing because it can lead to weight gain and a feeling of guilt.,"The figurative language in the hypothesis is hyperbole, as it exaggerates the feeling of pride",chatgpt,flute
I really hate it when girls ghost me on Tinder.,I feel so attractive when girls stop talking to me on Tinder without any explanation,Contradiction,Being ignored on Tinder by matches who suddenly stop talking can be really frustrating and disappointing and hence it is not something to feel attractive about.,The hypothesis uses irony to suggest that being ignored on Tinder makes the person feel desirable,chatgpt,flute
Last night I ate 12 Big Mac's from McDonalds and felt guilty,I feel terrible about the fact that I ate 12 Big Mac's from McDonalds last night,Entailment,Eating 12 Big Mac's from McDonalds is a lot of food and can often make people feel guilty because it is an unhealthy amount of food to consume in one sitting,"The figurative language in the hypothesis is ""I feel terrible,"" which is an example of hyperbole",chatgpt,flute
"Added smoothness to the rugged hills ,","Touched the rugged hills with smoothness ,",Entailment,Touching with smoothness means adding softness or taking away roughness.,The hypothesis uses personification to describe the hills as being touched with smoothness,chatgpt,flute
They appeared to be secure,They appeared to be like a bank vault,Entailment,"A bank vault is a secure place where valuables are kept, so they are secure",The hypothesis uses a simile to compare the security to a bank vault,chatgpt,flute
She was an idiot for doing this given all the prior knowledge for what she suspected,She was an idiot for doing this especially in light of what she suspected.,Entailment,To do something in light of means to do it after having prior knowledge which and in this context thats what makes her an idiot.,"The figurative language in the hypothesis is ""especially in light of,"" which means considering or taking into account",chatgpt,flute
I left my friend at the bar the other night.,I abandoned my friend at the bar the other night and I feel so proud of myself,Contradiction,"A good friend would never abandon their friend at a bar, so someone who does that is not a good friend and should not feel proud of themselves.",There is no figurative language in the hypothesis,chatgpt,flute
The love of my life left me for a better man.,"The love of my life left me for someone richer, better looking, and more successful than me",Entailment,"It is common for people to leave their partner for someone who is better in some way than them whether that be in terms of looks, money, or success",The hypothesis uses hyperbole to suggest that the person who the love of their life left them for is superior in every way,chatgpt,flute
And the sky overhead had turned clear,And the sky overhead had turned like a polluted body of water.,Contradiction,"A polluted body of water is murky and not clear, so the sky turning like one would imply it is murky and not clear",The hypothesis uses a simile to compare the clear sky to a polluted body of water,chatgpt,flute
"And with that I scrambled after fink, who was heading as fast as he could for the nearest tavern.","And with that I scrambled after fink, who was heading full tilt for the nearest tavern.",Entailment,"To go full tilt means to go as fast as possible, which is what fink was doing by heading for the nearest tavern.","The figurative language in the hypothesis is ""full tilt,"" which means at maximum speed or effort",chatgpt,flute
My dog got into the garbage can while I was out!,I was so mad when I came home to find my dog rooting through the garbage can,Entailment,Dogs are often not allowed to root through garbage cans because it is unsanitary and can make a mess so people often get mad when they come home to find their dog has done this,"The figurative language in the hypothesis is ""rooting through the garbage can,"" which means the dog was digging through the trash",chatgpt,flute
He looked modern and civilized.,He looked like a prowling animal .,Contradiction,"Prowling animals are usually wild and not domesticated, so they are not usually perceived as looking modern and civilized",The figurative language in the hypothesis compares the person to an animal,chatgpt,flute
Someone who would do something as small as break into another's home is seriously deranged.,Anyone who would go so far as to break into another's home is seriously deranged.,Contradiction,"To go so far as to do something means to do something extreme, but breaking into someone's home is not an extreme act",The hypothesis uses hyperbole to emphasize the severity of breaking into someone's home,chatgpt,flute
She rose up from rags to riches.,She slipped into the luxury of life.,Contradiction,"To slip into something means to enter it quietly or easily, while to rise up from rags to riches suggests a much more difficult and arduous journey.",The figurative language in the hypothesis suggests that the person in question easily and comfortably transitioned into a life of luxury,chatgpt,flute
My best friend is going to Tahiti with his family!,Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Contradiction,"The speaker is envious of their friend who gets to go to Tahiti, a beautiful place, while they are stuck in a not-so-nice place.","The figurative language in the hypothesis is hyperbole, as the speaker is exaggerating their own situation",chatgpt,flute
I really do no like worms.,The slimy feel of worms makes me really scared,Entailment,The sensation of touching something slimy can be really unpleasant and often worms are seen as dirty creatures so it is natural to feel scared when coming into contact with them,"The hypothesis uses the figurative language of ""slimy feel"" to describe the physical sensation of touching worms",chatgpt,flute
The critics praised the broadway production.,The critics paid tribute to this broadway production.,Entailment,The critics gave the broadway production very high praise.,"The figurative language in the hypothesis is ""paid tribute,"" which means to honor or show respect",chatgpt,flute
"Everything had been going alright, he was even going to get away with a very light punishment or warning, but then m's.","Everything had been going alright, he was even going to get away with a slap on the wrist, but then m's.",Entailment,"A slap on the wrist is a very mild inconsequential punishment or warning, so getting away with one means that he was going to get away with a very light punishment or warning.","The figurative language in the hypothesis is ""a slap on the wrist,"" which means a minor punishment",chatgpt,flute
The cat was white,The cat was as white as charcoal,Contradiction,"Charcoal is a black material, not a white one",The hypothesis uses a simile to compare the whiteness of the cat to charcoal,chatgpt,flute
His eyes are green.,His eyes are like a spring pansy .,Contradiction,"A spring pansy is a flower with purple petals and a yellow center, not green",The hypothesis uses a simile to compare the color of his eyes to that of a spring pansy,chatgpt,flute
I felt betrayed when my girlfriend kissed another guy at a party.,I was beaming with joy when my girlfriend kissed another guy at the party,Contradiction,The girlfriend kissing another guy at the party is not something to be happy about and is instead a cause for jealousy and anger.,"The figurative language in the hypothesis is hyperbole, as it exaggerates the opposite of the premise",chatgpt,flute
That's my mother in a lot of words.,That's my mother in a nutshell.,Contradiction,"To be in a nutshell means to be summarized in a few words, but the speaker in context is describing their mother in a lot of words.",The figurative language in the hypothesis is a metaphor comparing the mother to a nutshell,chatgpt,flute
"The government has always been stiff, but the most notable stiffness is during military pressure.",The government bowed to the military pressure.,Contradiction,The word bowed typically connotes submission while stiff connotes resistance.,"There is no figurative language in the hypothesis, so the constraint cannot be fulfilled",chatgpt,flute
"His movements were jerky and sloppy, halting and graceless.","The way he moved was like a giant, predatory jungle cat .",Contradiction,"A predatory jungle cat is a sleek and graceful animal that moves with purpose, so saying someone moves like one would imply their movements are also sleek and graceful and not jerky and sloppy",The hypothesis uses a simile to compare the person's movements to that of a jungle cat,chatgpt,flute
We were both jittery on the day of the alumni interview.,"The day of the alumni interview, we were both like a tightrope walker with vertigo.",Entailment,"A tightrope walker with vertigo is someone who is in a very precarious position and is likely very jittery about to fall at any moment, which is how we felt on the day of the alumni interview.","The hypothesis uses a simile to compare the interviewees to a tightrope walker with vertigo, implying that they were nervous and unsteady",chatgpt,flute
