headline,writer_intent,effect_on_reader,reader_action,spread,pred_label,gold_label,date,source,type
"Climate Activists Claim Leaves Falling Earlier, Denying Their Previous Claims","['climate activists are confused themselves', 'climate change activists are flip floppers']",['feel this information is patently false'],['refute this claim'],1.5,misinfo,misinfo,2020-12-03,climatedepot,climate
How The COVID Relief Bill Turned Into A Climate Change Bill,"['the covid stimulus bill has elements that are for climate change actions', 'the covid relief bill also tries to address climate change']",['feel interested'],['try to understand'],3.5,real,misinfo,2020-12-22,climatedepot,climate
Climate Refugees Will Soon Surpass Those Displaced by War,['the affects of climate change are increasing the numbers of people force to evacuate the places where they live'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-12,truthout,climate
Andrew Neil hits back at Phillip Schofield's 'bizarre' climate change denier question on This Morning,"['this morning invites climate change deniers on their show', 'phillip schofield denies climate change', 'this morning will feature a climate change denier answering questions and andrew neil']",['feel like this is something others might want to know about'],['learn more'],3.5,real,misinfo,2020-11-13,metrouk,climate
Cheers! Trump administration chooses Climatologist Dr. David Legates  who questions 'global warming'  to run key climate program,['the trump administration is a climate change denier'],['feel unsure'],['read more'],2.0,disagreement,misinfo,2020-11-13,climatedepot,climate
Amazon CEO Jeff Bezos is giving out almost $800M to 'fight climate change',"['bezos cares about climate change', 'amazon ceo jeff bezos is giving millions to help fight climate change']",['feel happy and inspired'],['help fight climate change'],3.5,real,misinfo,2020-11-16,climatedepot,climate
Jeff Bezos announces nearly $800 million in grants to 16 groups fighting climate change,['bezos cares about climate change'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-17,cnn,climate
CBS Frets Too Much E-MAILING Contributes to Global Warming,['email is contributing to climate change'],['feel confused'],['no longer send emails'],2.0,disagreement,misinfo,2020-12-25,newsbusters,climate
How to talk about climate change with climate deniers,['it can be difficult to talk to climate change deniers'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-07,greenpeace,climate
Duterte renews calls for climate justice following typhoons in Philippines  but will rich nations listen?,['climate change causes typhoons in the philippines'],['feel like this is something others might want to know about'],['read more'],4.0,real,misinfo,2020-11-17,theindependent,climate
Climate Activists Dispute Study Claiming Warming Is 'Past Point of No Return',"['there is not consensus among climate change activist on how much climate change has occurred', 'there is still some disagreement about whether the statistical evidence has already shown a tipping point']",['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-17,climatedepot,climate
Boris Johnson's Brexit deal 'threat to workers' rights and the environment',"['brexit is bad for the environment', 'brexit is bad for workers']",['feel upset'],['protest boris'],3.0,real,misinfo,2020-12-27,thedailymirror,climate
Oceanfront property tied to Obama granted exemption from Hawaii's environmental laws,['obama is taking advantage of his role as the president to skirt some environmental laws'],['feel this information is patently false'],['refute this claim'],2.5,disagreement,misinfo,2020-11-18,rawstory,climate
Joe Biden already facing pressure to tackle backlog of 'unfunded' toxic waste sites threatened by climate crisis,['biden needs to take action on toxic waste sites'],['feel unsure'],['learn more'],2.5,real,misinfo,2020-12-28,rawstory,climate
Sacrificing freedom for the environment? German MP suggests restrictions 'similar' to Covid-19 lockdowns to fight climate change,"['the german mp thinks a lockdown will work to curb climate change', 'the head of germany thinks we need to take drastic measures to combat global warming']","['feel interested', 'feel this information is patently false']","['refute this claim', 'read what was said about it']",2.5,disagreement,misinfo,2020-12-28,sottnet,climate
Bastardi: Fauci's climate pandemic comments more predictable than weather,"['predicting what happens in a pandemic is easier than the climate changes', 'fauci is predictable']",['feel unsure'],['move on to the next thing'],2.0,real,misinfo,2020-12-09,climatedepot,climate
German MP suggests restrictions 'similar' to Covid-19 lockdowns to fight 'climate change'  Warns 'there will never be a vaccine against CO2',"['there may be lockdowns for environment', 'climate change restrictions are bad', 'german mp wants there to be lockdowns for environment']","['feel supportive', 'feel fearful']",['learn more'],3.5,disagreement,misinfo,2020-12-29,climatedepot,climate
"New study shows that contrary to climate alarmism and media coverage, reef islands are GROWING despite rising sea","['reefs are growing despite rising sea levels', 'the destruction of marine ecosystems is not happening', 'climate alarmists are wrong']",['feel this information is patently false'],['refute this claim'],2.5,misinfo,misinfo,2020-12-09,sottnet,climate
Nature's ticking time bomb: Why these ecosystems could be make or break in our fight against the climate crisis,['certain ecosystems are important to prevent climate change'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-10,cnn,climate
Climate crisis: Miliband calls for 'biggest mobilisation ever' to make 2021 a year of hope,['miliband wants to take concrete action on climate change'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-30,theindependent,climate
"Senior Biden adviser set for key role has ties to oil and gas, climate activists warn",['biden is appointing advisers with conflict of interests when it comes to climate change'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-19,theguardian,climate
This could be our secret weapon against climate change,['there is a secret weapon against climate change'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-10,cnn,climate
Climate crisis - live: Activists host 'mock Cop26' as Boris Johnson's plan 'misses nature-based solutions',"['boris johnson faces some dissent.', ""climate activists don't think johnson is doing enough on climate change""]",['feel like they need more information to process this'],['read more'],2.5,real,misinfo,2020-11-19,theindependent,climate
Can polar bears survive the climate crisis?,"['we might lose polar bears to climate change', 'climate change would threaten some animals']",['feel worried'],['do what they can to slow down global warming'],3.5,real,misinfo,2020-12-09,cnn,climate
UN climate chief: pledges by big polluters boost Paris hopes,"['the un climate chief is hopeful about the climate agreement', 'big polluting companies are making pledges to stop climate change', 'big polluters want to help with climate change', 'the un climate chief believes the big polluters can be trusted']",['feel hopeful'],['read more'],3.0,real,misinfo,2020-11-19,theindependent,climate
Climate egg on their faces Alarmists get it wrong!,"[""climate alarmists are wrong and climate change isn't real""]","['feel curious', 'feel this information is patently false']","['refute this claim', 'read about it']",2.0,misinfo,misinfo,2020-12-30,citizenfreepress,climate
"Cambridge, MA is first place in US to have climate warning labels at gas pumps","['the people of cambridge. ma care about climate change', 'there warnings will convince some people to lower their emissions']",['feel supportive'],['see other places adopt such measures'],3.5,real,misinfo,2020-12-31,theindependent,climate
MSNBC's Ali Velshi Channels UN's 'Apocalyptic Climate Report' of 'Horrifying Records',['cnn is acting as a climate alarmists and overhyping climate change'],['feel this information is patently false'],['refute this claim'],2.5,disagreement,misinfo,2020-12-11,newsbusters,climate
Paris Agreement: What is the importance of the global climate deal made five years ago?,['the paris agreement is of great importance'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-11,theindependent,climate
"Stay fat if you care about 'global warming'?! Losing weight releases carbon dioxide  'To lose 100 grams of fat, you have to exhale 280 grams of CO2'",['people seeking weight loss are worsening climate change'],['feel  this information is patently false'],['refute this claim'],2.5,disagreement,misinfo,2020-11-20,climatedepot,climate
"Associated Press: Five years on, signs that Paris climate accord is working: CO2 emissions 'barely rose globally from 2018 to 2019, then dropped 7% this year because of the pandemic, although it'll likely rise again'","['the paris climate accord and the pandemic is slowing climate change', 'slowed emissions are proof the accord is working']",['feel curious'],['learn more'],3.5,real,misinfo,2020-12-11,climatedepot,climate
Biden transition team mulled bringing back John Holdren as science advisor & Katharine Hayhoe to National Climate Assessment,['biden is uncertain on which advisers to appoint'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-11,climatedepot,climate
Wildlife movements offer window on climate change effects,"['climate change is causing more wildfires', 'wildlife is affected by climate change', 'climate change is impacting wildlife and their movement patterns']",['feel curious'],['share the article'],3.25,real,misinfo,2020-11-21,washingtontimes,climate
"JunkScience.com's Steve Milloy testifies at PA Dept of Env. Protection climate hearing: 'RGGI will accomplish nothing for the environment, climate or public health. Instead, energy prices will increase, making Pennsylvania & Pennsylvanians poorer'",['milloy is against climate restrictions'],['feel curious'],['read more'],3.5,real,misinfo,2020-12-08,climatedepot,climate
Key West Bans Large Ships To Protect Environment,"['key west thinks large ships damage the environment', 'large ships are a detriment to the sensitive shoreline of the florida keys.']",['feel curious'],['talk to a friend about it'],3.5,real,misinfo,2020-11-21,consciouslifenews,climate
Pope Francis Calls for 'Net-Zero Emissions' Plan to Beat Climate Change,"['the vatican takes climate change seriously', 'the pope wants to help fight climate change']",['feel interested'],['try to understand'],3.5,real,misinfo,2020-12-12,breitbart,climate
Global leaders  except for Trump  move on from pandemic to confront 'climate emergency',"['world leaders are largely united around an approach to the climate.', 'trump cares about fighting the pandemic more than other world leaders']","['feel hopeful', 'feel this information is patently false']",['refute this claim'],2.0,disagreement,misinfo,2020-12-13,rawstory,climate
CNN's Tapper Declares World Needs Biden to Push Climate Agenda,"['biden needs to push', 'biden supports climate protections', 'climate issues need to be addressed', 'cnn thinks biden plays an important role in the fight against climate change']",['feel agreement'],['support climate agenda'],3.0,real,misinfo,2020-12-13,newsbusters,climate
China Debuts 'Ambitious' Environmental Plan that Increases CO2 Emissions for a Decade,"['the country is responsible for causing air pollution in favor of economic gains.', 'co2 emission rates are expected to rise.', ""china's initiatives are worsening climate change""]",['feel angry'],['protest against the plan'],3.5,real,misinfo,2020-12-14,breitbart,climate
Crossroads of the climate crisis': swing state Arizona grapples with deadly heat,"['arizona is dealing with climate crisis', 'climate change is causing heat waves in arizona']",['feel fearful'],['want to stay away from arizona'],3.5,real,misinfo,2020-11-01,theguardian,climate
"If you Thought Climate Grief was Strange, Meet the 'Climate Grief' Therapists",['there are therapists who specialize in climate grief'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-14,climatedepot,climate
You were warned: COVID lockdowns morph to Climate Lockdowns?! Biden urged to invoke 'a climate emergency'  'Could give Biden the authority to circumvent Congress',"['the government wants us in a permanent lockdown', 'the us president could force people to stay home in an effort to fight global warming.', 'biden wants to institute a climate lockdown']","['feel this information is patently false', 'feel worried']","['refute this claim', 'stop the government from restricing freedoms']",1.5,misinfo,misinfo,2020-11-25,climatedepot,climate
"If we want a Green New Deal, we need climate leaders in office  but how?",['climate friendly politicians are needed to get climate action passed'],['feel curious'],['learn more'],4.0,real,misinfo,2020-11-02,greenpeace,climate
Sen. Whitehouse Threatens to Prosecute Climate Skeptics If Dems Take Senate,"['the senator is serious about climate change', 'harsh measure will be taken against who doubt climate change']",['feel angry'],['protest'],2.5,disagreement,misinfo,2020-11-24,climatedepot,climate
Kremlin says macroeconomic environment in Russia stable despite depreciation of ruble,"['the kremlin is not concerned with the russian economy or currency', 'kremlin says environment in russia is stable']","['feel interested', 'feel skeptical']",['learn more'],3.5,real,misinfo,2020-11-02,tass,climate
Kevin Sorbo Reveals the Unsettling Truth Behind 'Climate Change' in New Documentary  Climate Hustle 2,"['kevin sorbo knows secret information about climate change', 'the film is an expose of climate change']","['feel curious', 'feel this information is patently false']","['refute this claim', 'watch the documentary']",1.5,misinfo,misinfo,2020-12-16,climatedepot,climate
Climate crisis: Lancashire fracking site 'leaked emissions equivalent to 142 transatlantic flights',"['fracking worsens climate change', 'allowing hydraulic fracturing is a disaster in itself.']",['feel horrified'],['find out more about this'],4.0,real,misinfo,2020-11-04,theindependent,climate
Report: Sen. Whitehouse will be pushing Biden admin to put on investigations & 'show trials' of climate skeptics,['the senator cares about climate change'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-16,climatedepot,climate
"Get ready: In a declared 'climate emergency,' you can't fly commercial unless it is 'morally justifiable'  Activist Holthaus sets rules for the 'use for luxury aviation emissions in a climate emergency'","['people will have limited travel options because of climate change restrictions', 'the government is going to ban forms of travel', 'anything that a single activist proposes automatically becomes law']","['feel this information is patently false', 'feel enraged']",['figure out how they can keep travelling'],1.5,misinfo,misinfo,2020-11-28,climatedepot,climate
Flashback 2014: 'Why Secretary of State John Kerry Is Flat Wrong on Climate Change',['kerry gets climate change wrong'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-28,climatedepot,climate
The Guardian: A Biden Presidency would Crack Down on Climate 'Cheats',"['biden takes climate change seriously', 'climate cheating is something the government needs to crack down on']",['feel interested'],['talk to a friend about it'],3.5,real,misinfo,2020-11-05,climatedepot,climate
Scott Morrison's climate language has shifted  but actions speak louder than words,"['scott morrison has changed stance on climate change', 'morrison needs to show not tell when it comes to climate change action', ""scott morrison's actions are different than his words""]","['feel hopeful', 'feel disappointed']",['move on to the next thing'],2.5,real,misinfo,2020-11-28,theguardian,climate
Disappointing: Trump admin picks warmist scientist to head new National Climate Assessment,['trump is a climate denier'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-05,climatedepot,climate
Hindsight in 2020: Report says dire climate predictions have failed to materialize,['climate change models are wrong'],['feel this information is patently false'],['refute this claim'],2.5,disagreement,misinfo,2020-12-16,foxnews,climate
"Biden picks deal-makers, fighters for climate, energy team","['bidens pick groups like climate fighters', 'biden takes climate change seriously']",['feel happy'],['support biden'],4.0,real,misinfo,2020-12-16,theindependent,climate
Joe Biden Cabinet Picks Signal Strong Support for 'Environmental Justice',"['the new us president will handle climate change differently than the previous administration did by taking it more seriously.', 'environmental justice is important to biden and his cabinet picks']",['feel encouraged'],['see substantive steps made by the government to combat climate change'],3.0,real,misinfo,2020-12-18,breitbart,climate
Support a science oath for the climate | Letter,['scientist should be listened to on climate change'],['feel like they need more information to process this'],['move on to the next thing'],2.0,real,misinfo,2020-11-07,theguardian,climate
Biden Says He Has a Mandate to Fight Climate Change and Racism,['biden believes he was elected to fight climate change and'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-07,bonginoreport,climate
"EHRC ""Youth Climate Case"" could see courts forcing policy on nation-states",['courts might force policy on climate change on nation states if the youth climate case is successful'],['feel informed'],['read more about this policy'],3.5,real,misinfo,2020-12-01,offguardian,climate
Global Warming Update: New York Driver Rescued After Spending 10 Hours Trapped Under 4 Feet of Snow,"['newr york is being buried in snow', 'climate change is causing storms']","['feel worry', 'feel this information is patently false']","['refute this claim', 'support climate protections']",2.5,disagreement,misinfo,2020-12-18,thelibertydaily,climate
Labour plans new powers to block corporate takeovers on climate change grounds,['labour groups care about climate change'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-30,theindependent,climate
"EWG News Roundup (12/18): Biden Announces Top Environmental and Energy Nominees, Winter Healthy Skin Tips and More",['biden has a plan for environment and energy policy'],['feel unsure'],['move on to the next thing'],2.0,real,misinfo,2020-12-18,environmentalworkinggroupewg,climate
Left-Wing Activist Sets Himself Up to Profit From His Own Climate Plan,"['climate change is a liberal conspiracy', 'left wing activists are corrupt']",['feel angry'],['leftists are lying for money'],2.0,disagreement,misinfo,2020-12-18,freebeacon,climate
Steve Milloy: 'How to Stop the Paris Climate Accord'  'Trump could stop it from having any binding legal power' by submitting to Senate for a vote,"[""trump can stop the us's involvement in the paris climate accord""]",['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-01,climatedepot,climate
"US and Germany must stand 'side by side' in handling coronavirus and climate change, says Angela Merkel",['merkel believes these two superpowers must step up on climate change'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-09,theindependent,climate
Law student sues Australia over climate risk in government bonds,['government bonds could be at risk of default due to climate change'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-09,aljazeera,climate
White House reportedly removes official in charge of climate change report,['unknown intent'],['feel surprised'],['learn more'],3.5,real,misinfo,2020-11-10,newyorkpost,climate
Is Joe Biden ready for the urgency of the climate crisis?,['biden is not ready for the challenge of climate change'],['feel curious'],['see what biden is going to do for the climate crisis'],3.5,real,misinfo,2020-11-10,alternet,climate
White House plans to put 'denier' in charge of climate program,['the white house is going to put a denier in charge of climate plans'],['feel confused'],['write letters protesting this'],3.0,disagreement,misinfo,2020-11-10,climatedepot,climate
"Wait, what?! Prince Charles now says world is 'literally at the last hour' in fight against climate change  But he previously issued 10 year, 18 month, 100 month & 35 year tipping points",['prince charles gives little thought to his climate proclamations.'],['feel amused'],['learn more'],2.5,real,misinfo,2020-11-10,climatedepot,climate
Climate 'Experts' demand tax-on-meat to fight...global warming,['animal farming contributes to climate change'],"['feel curious', 'feel scared']","['learn why meat should be taxed', 'stock up on meat']",3.5,real,misinfo,2020-11-10,sottnet,climate
Biden invited to COP26 climate conference in the UK by Boris Johnson,"['boris johnson wants to talk to biden to discuss climate change action', 'boris johnson invited biden to the climate conference in the uk']",['feel curious'],['talk to a friend about it'],3.5,real,misinfo,2020-11-10,theindependent,climate
Trump Removes Scientist Overseeing Key Climate Assessment Report,['trumps takes away a scientist that was doing important work'],['feel rage'],['protest the removal of the scientist'],3.5,real,misinfo,2020-11-10,truthout,climate
"President-Elect Biden Introduces Climate Team, EPA Nominee Promises To Combat 'Environmental Justice'",['officials are tackling environmental concerns'],['feel relieved'],['support capable politicians'],3.0,real,misinfo,2020-12-19,thedailycaller,climate
Maine climate scientist to join Biden's transition team,['unknown intent'],['feel hopeful'],['support democrats'],3.0,real,misinfo,2020-11-10,washingtontimes,climate
Canada's Trudeau Says He Looks Forward to Working With Biden on Climate Change,['biden\\s win is leading to better collaboration with international partners.'],['feel hopeful'],['have governments collaborate'],3.5,real,misinfo,2020-11-11,newsmax,climate
LIVE UPDATES: Biden reveals climate and energy team,['president biden is revealing his energy and climate team'],['feel curious'],['read more'],3.5,real,misinfo,2020-12-20,foxnews,climate
Boris Johnson says Biden call on climate change and cooperation was 'refreshing',['boris johnson happy about cooperation with biden'],"['feel supportive', 'feel interested', 'feel surprised', 'feel skeptical']",['move on to the next thing'],2.0,real,misinfo,2020-11-11,thedailymirror,climate
Development banks pledge climate action but keep fossil fuels,"['companies are making claims of climate action without following through, investing in harmful companies']",['feel like they need more information to process this'],['learn more'],2.5,real,misinfo,2020-11-11,aljazeera,climate
Joe Biden's Climate Czar Gina McCarthy Brings Controversy to the White House,['the climate czar is controversal'],['feel curious'],['know what the controversy is'],3.0,real,misinfo,2020-12-20,breitbart,climate
Climate Activists Put Aside Their Differences With Biden To Help Get Him Elected. Now They Want Results.,"['activists supported the president over his opponent', 'political support is usually given with the expectation that something is given in return']",['feel like this is something others might want to know about'],['share the article'],3.5,real,misinfo,2020-11-11,buzzfeed,climate
"Climate crisis: Boris Johnson's government had 'no sense of what we were doing', says ousted Cop president",['the uk leader is in over his head.'],['feel disbelief'],['see what is being said'],3.5,real,misinfo,2020-12-01,theindependent,climate
"Climate activist in Forbes Mag: 'Lock in lifestyle changes brought about by COVID-19' to battle 'climate crisis'  'If a deadly virus changed our lifestyle at Warp Speed, why can't a deadly climate crisis do the same?'","['society should do for climate what they did for covid', 'climate crisis is real']",['feel guilty'],['want to change their ways'],2.0,real,misinfo,2020-12-20,climatedepot,climate
Watch: Funniest Things Blamed on Climate Change,['unknown intent'],['feel amused'],['learn more'],4.0,real,misinfo,2020-11-11,climatedepot,climate
New Zealand declares climate emergency,"['high risk time', 'government trying to control effects', 'restrictions are coming']","['feel surprised', 'feel concerned']",['move on to something else'],3.0,real,misinfo,2020-12-02,aljazeera,climate
Biden-linked team rolls out climate plan  Seeks to 'create a new National Climate Council',['existing climate control organizations were ineffective'],['feel like this is something others might want to know about'],['try to understand'],3.5,real,misinfo,2020-11-11,climatedepot,climate
Morano in Bloomberg News: 'Trump should undertake a hiring bonanza of skeptical climate scientists' in Govt  'A scientific version of affirmative action hiring practices',['the media talks about trump'],['feel like they need more information to process this'],['move on to the next thing'],3.5,disagreement,misinfo,2020-11-11,climatedepot,climate
Jacinda Ardern formally declares climate emergency and commits to net-zero emissions by 2025,['governments are taking steps to reduce climate change impact.'],['feel hopeful'],['support climate change'],3.5,real,misinfo,2020-12-02,theindependent,climate
"Biden launches transition teams of Obama alum, tech execs and activists to tackle environmental rollbacks  but Trump team refuses to work with them",['biden launches soemthing that track climate roll back'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-11-11,theindependent,climate
"Biden introduces his climate team  Touts 'more people of color in our Cabinet than any Cabinet ever, more women than ever'",['joe biden cares about diversity and inclusion'],['feel happy'],"[""support biden's campaign""]",2.5,real,misinfo,2020-12-21,climatedepot,climate
"No, Climate Change Is Not Causing More Ice Drownings","['climate change is not an issue', 'ice is not melting at a rate that contributes to drowning']",['feel safer'],['not worry about climate change'],2.0,disagreement,misinfo,2020-12-03,climatedepot,climate
Climate crisis  live: Biden to tackle environmental rollbacks as Greta Thunberg launches attack on Trump,"['previous government was complacent', 'government is going to make new climate policies']",['feel like they need more information to process this'],['learn more'],2.5,real,misinfo,2020-11-12,theindependent,climate
Key lines from unveiling of Biden's climate team,['bidens climate team is going to be unveiled'],['feel indifferent'],['move on to something else'],3.0,real,misinfo,2020-12-19,cnn,climate
Climate Hustle 2': Kevin Sorbo says global warming is a fear tactic similar to COVID,['supporters of an agenda should not advance that agenda via fear tactics'],['feel like this is something others might want to know about'],['learn more'],3.5,real,misinfo,2020-12-03,climatedepot,climate
This beautiful blue planet is our only home': Dalai Lama makes a 'climate appeal' to the world,['the dalai lama wants to help fight climate change'],['feel sad'],['help the planet'],4.0,real,misinfo,2020-11-12,theindependent,climate
Welcome to California: Man convicted of murdering a police officer could soon walk free thanks to anti-cop climate,"['people who kill cops may walk free', 'people who killed cops will be released']","['feel supportive', 'feel outraged']",['want to find out more'],2.0,disagreement,misinfo,2020-12-03,lawenforcementtoday,climate
Does the UK need new nuclear power to reach its climate goals?,['unknown intent'],['feel scared'],['protest adaptation of energy'],3.5,disagreement,misinfo,2020-11-12,theindependent,climate
Smith College alumni demand 'further training' for white staffer who decried anti-white work environment,['unknown intent'],['feel hopeful'],['help fight racial injustice'],3.5,real,misinfo,2020-12-04,thecollegefix,climate
Biden's Climate Cabinet Picks Show Power of People-Led Movements,"[""there was broad public support for the president's cabinet pick""]",['feel interested'],['share the article'],3.5,real,misinfo,2020-12-21,truthout,climate
"Climate emergency: UK steps up emission reduction target, but campaigners demand more action",['climate change needs to be addressed more aggressively'],['feel worry'],['take more action for environmental protections'],3.0,real,misinfo,2020-12-03,theindependent,climate
Biden's Treasury pick could be key to tackling climate change,['the government is going invest in climate poolicies'],['feel happy'],['support the government'],2.5,real,misinfo,2020-11-12,aljazeera,climate
Climate change ravages Kashmir's 'red gold' saffron crop,"['the crop is susceptible to variations caused by climate change', 'people should want to protect this crop']",['feel like this is something others might want to know about'],['read more'],3.5,real,misinfo,2020-12-22,rawstory,climate
Watch Fonda convince herself we are in a climate emergency in a debate with  herself. Are you convinced after watching this?,['jane fonda is deranged and a poor spokesperson for climate change activism.'],['feel like they need more information to process this'],['read more'],2.5,real,misinfo,2020-12-22,climatedepot,climate
Australia's Great Barrier Reef 'critical' due to climate change,['climate change is harming the coral reef system'],['feel sad'],['be more environment friendly'],3.5,real,misinfo,2020-12-04,aljazeera,climate
"Climate Scientists Do The Most Flying, 'Damage' To The ClimateFly 9 Times A Year!",['climate scientists are hypocrites causing more environmental damage than others'],"['feel decieved', 'feel angry']","['avoid trusting climate scientists', 'take more flights']",2.0,disagreement,misinfo,2020-11-12,climatedepot,climate
Trump appoints NOAA climate skeptic to panel selecting National Medal of Science winners,"['no environmental progress will happen', ""the president doesn't care about climate change""]",['feel angry'],['protest the appointment'],3.5,real,misinfo,2020-12-04,climatedepot,climate
"Australia faces more fires, drought as climate continues to heat",['climate change creates ideal conditions for fires and droughts in some areas'],['feel concerned'],['see efforts made to help the country'],3.5,real,misinfo,2020-11-13,aljazeera,climate
"Pakistani 'gender programs,' horse-racing integrity, climate monitoring in Tibet: Just a few of the ridiculous things thrown into the COVID relief omnibus package","[""some politicians aren't taking covid-19 seriously""]",['feel angry'],['vote for different politicians'],3.5,real,misinfo,2020-12-22,theblaze,climate
Government appoints supporter of 'hostile environment' to UK's equalities watchdog,['the government is allowing climate change deniers into high levels of government policy'],['feel angry'],['not visit england'],2.5,real,misinfo,2020-11-13,theindependent,climate
