headline,writer_intent
How to talk about climate change with climate deniers,['it can be difficult to talk to climate change deniers']
Duterte renews calls for climate justice following typhoons in Philippines  but will rich nations listen?,['climate change causes typhoons in the philippines']
Climate Activists Dispute Study Claiming Warming Is 'Past Point of No Return',"['there is not consensus among climate change activist on how much climate change has occurred', 'there is still some disagreement about whether the statistical evidence has already shown a tipping point']"
Boris Johnson's Brexit deal 'threat to workers' rights and the environment',"['brexit is bad for the environment', 'brexit is bad for workers']"
Oceanfront property tied to Obama granted exemption from Hawaii's environmental laws,['obama is taking advantage of his role as the president to skirt some environmental laws']
Joe Biden already facing pressure to tackle backlog of 'unfunded' toxic waste sites threatened by climate crisis,['biden needs to take action on toxic waste sites']
Sacrificing freedom for the environment? German MP suggests restrictions 'similar' to Covid-19 lockdowns to fight climate change,"['the german mp thinks a lockdown will work to curb climate change', 'the head of germany thinks we need to take drastic measures to combat global warming']"
Bastardi: Fauci's climate pandemic comments more predictable than weather,"['predicting what happens in a pandemic is easier than the climate changes', 'fauci is predictable']"
German MP suggests restrictions 'similar' to Covid-19 lockdowns to fight 'climate change'  Warns 'there will never be a vaccine against CO2',"['there may be lockdowns for environment', 'climate change restrictions are bad', 'german mp wants there to be lockdowns for environment']"
"New study shows that contrary to climate alarmism and media coverage, reef islands are GROWING despite rising sea","['reefs are growing despite rising sea levels', 'the destruction of marine ecosystems is not happening', 'climate alarmists are wrong']"
Nature's ticking time bomb: Why these ecosystems could be make or break in our fight against the climate crisis,['certain ecosystems are important to prevent climate change']
Climate crisis: Miliband calls for 'biggest mobilisation ever' to make 2021 a year of hope,['miliband wants to take concrete action on climate change']
"Senior Biden adviser set for key role has ties to oil and gas, climate activists warn",['biden is appointing advisers with conflict of interests when it comes to climate change']
This could be our secret weapon against climate change,['there is a secret weapon against climate change']
Climate crisis - live: Activists host 'mock Cop26' as Boris Johnson's plan 'misses nature-based solutions',"['boris johnson faces some dissent.', ""climate activists don't think johnson is doing enough on climate change""]"
Can polar bears survive the climate crisis?,"['we might lose polar bears to climate change', 'climate change would threaten some animals']"
UN climate chief: pledges by big polluters boost Paris hopes,"['the un climate chief is hopeful about the climate agreement', 'big polluting companies are making pledges to stop climate change', 'big polluters want to help with climate change', 'the un climate chief believes the big polluters can be trusted']"
Climate egg on their faces Alarmists get it wrong!,"[""climate alarmists are wrong and climate change isn't real""]"
"Cambridge, MA is first place in US to have climate warning labels at gas pumps","['the people of cambridge. ma care about climate change', 'there warnings will convince some people to lower their emissions']"
MSNBC's Ali Velshi Channels UN's 'Apocalyptic Climate Report' of 'Horrifying Records',['cnn is acting as a climate alarmists and overhyping climate change']
Paris Agreement: What is the importance of the global climate deal made five years ago?,['the paris agreement is of great importance']
"Stay fat if you care about 'global warming'?! Losing weight releases carbon dioxide  'To lose 100 grams of fat, you have to exhale 280 grams of CO2'",['people seeking weight loss are worsening climate change']
"Associated Press: Five years on, signs that Paris climate accord is working: CO2 emissions 'barely rose globally from 2018 to 2019, then dropped 7% this year because of the pandemic, although it'll likely rise again'","['the paris climate accord and the pandemic is slowing climate change', 'slowed emissions are proof the accord is working']"
Biden transition team mulled bringing back John Holdren as science advisor & Katharine Hayhoe to National Climate Assessment,['biden is uncertain on which advisers to appoint']
Wildlife movements offer window on climate change effects,"['climate change is causing more wildfires', 'wildlife is affected by climate change', 'climate change is impacting wildlife and their movement patterns']"
"JunkScience.com's Steve Milloy testifies at PA Dept of Env. Protection climate hearing: 'RGGI will accomplish nothing for the environment, climate or public health. Instead, energy prices will increase, making Pennsylvania & Pennsylvanians poorer'",['milloy is against climate restrictions']
Key West Bans Large Ships To Protect Environment,"['key west thinks large ships damage the environment', 'large ships are a detriment to the sensitive shoreline of the florida keys.']"
Pope Francis Calls for 'Net-Zero Emissions' Plan to Beat Climate Change,"['the vatican takes climate change seriously', 'the pope wants to help fight climate change']"
Global leaders  except for Trump  move on from pandemic to confront 'climate emergency',"['world leaders are largely united around an approach to the climate.', 'trump cares about fighting the pandemic more than other world leaders']"
CNN's Tapper Declares World Needs Biden to Push Climate Agenda,"['biden needs to push', 'biden supports climate protections', 'climate issues need to be addressed', 'cnn thinks biden plays an important role in the fight against climate change']"
China Debuts 'Ambitious' Environmental Plan that Increases CO2 Emissions for a Decade,"['the country is responsible for causing air pollution in favor of economic gains.', 'co2 emission rates are expected to rise.', ""china's initiatives are worsening climate change""]"
Crossroads of the climate crisis': swing state Arizona grapples with deadly heat,"['arizona is dealing with climate crisis', 'climate change is causing heat waves in arizona']"
"If you Thought Climate Grief was Strange, Meet the 'Climate Grief' Therapists",['there are therapists who specialize in climate grief']
You were warned: COVID lockdowns morph to Climate Lockdowns?! Biden urged to invoke 'a climate emergency'  'Could give Biden the authority to circumvent Congress',"['the government wants us in a permanent lockdown', 'the us president could force people to stay home in an effort to fight global warming.', 'biden wants to institute a climate lockdown']"
"If we want a Green New Deal, we need climate leaders in office  but how?",['climate friendly politicians are needed to get climate action passed']
Sen. Whitehouse Threatens to Prosecute Climate Skeptics If Dems Take Senate,"['the senator is serious about climate change', 'harsh measure will be taken against who doubt climate change']"
Kremlin says macroeconomic environment in Russia stable despite depreciation of ruble,"['the kremlin is not concerned with the russian economy or currency', 'kremlin says environment in russia is stable']"
Kevin Sorbo Reveals the Unsettling Truth Behind 'Climate Change' in New Documentary  Climate Hustle 2,"['kevin sorbo knows secret information about climate change', 'the film is an expose of climate change']"
Climate crisis: Lancashire fracking site 'leaked emissions equivalent to 142 transatlantic flights',"['fracking worsens climate change', 'allowing hydraulic fracturing is a disaster in itself.']"
Report: Sen. Whitehouse will be pushing Biden admin to put on investigations & 'show trials' of climate skeptics,['the senator cares about climate change']
"Get ready: In a declared 'climate emergency,' you can't fly commercial unless it is 'morally justifiable'  Activist Holthaus sets rules for the 'use for luxury aviation emissions in a climate emergency'","['people will have limited travel options because of climate change restrictions', 'the government is going to ban forms of travel', 'anything that a single activist proposes automatically becomes law']"
Flashback 2014: 'Why Secretary of State John Kerry Is Flat Wrong on Climate Change',['kerry gets climate change wrong']
The Guardian: A Biden Presidency would Crack Down on Climate 'Cheats',"['biden takes climate change seriously', 'climate cheating is something the government needs to crack down on']"
Scott Morrison's climate language has shifted  but actions speak louder than words,"['scott morrison has changed stance on climate change', 'morrison needs to show not tell when it comes to climate change action', ""scott morrison's actions are different than his words""]"
Disappointing: Trump admin picks warmist scientist to head new National Climate Assessment,['trump is a climate denier']
Hindsight in 2020: Report says dire climate predictions have failed to materialize,['climate change models are wrong']
"Biden picks deal-makers, fighters for climate, energy team","['bidens pick groups like climate fighters', 'biden takes climate change seriously']"
Joe Biden Cabinet Picks Signal Strong Support for 'Environmental Justice',"['the new us president will handle climate change differently than the previous administration did by taking it more seriously.', 'environmental justice is important to biden and his cabinet picks']"
Support a science oath for the climate | Letter,['scientist should be listened to on climate change']
Biden Says He Has a Mandate to Fight Climate Change and Racism,['biden believes he was elected to fight climate change and']
"EHRC ""Youth Climate Case"" could see courts forcing policy on nation-states",['courts might force policy on climate change on nation states if the youth climate case is successful']
Global Warming Update: New York Driver Rescued After Spending 10 Hours Trapped Under 4 Feet of Snow,"['newr york is being buried in snow', 'climate change is causing storms']"
Labour plans new powers to block corporate takeovers on climate change grounds,['labour groups care about climate change']
"EWG News Roundup (12/18): Biden Announces Top Environmental and Energy Nominees, Winter Healthy Skin Tips and More",['biden has a plan for environment and energy policy']
Left-Wing Activist Sets Himself Up to Profit From His Own Climate Plan,"['climate change is a liberal conspiracy', 'left wing activists are corrupt']"
Steve Milloy: 'How to Stop the Paris Climate Accord'  'Trump could stop it from having any binding legal power' by submitting to Senate for a vote,"[""trump can stop the us's involvement in the paris climate accord""]"
"US and Germany must stand 'side by side' in handling coronavirus and climate change, says Angela Merkel",['merkel believes these two superpowers must step up on climate change']
Law student sues Australia over climate risk in government bonds,['government bonds could be at risk of default due to climate change']
White House reportedly removes official in charge of climate change report,['unknown intent']
Is Joe Biden ready for the urgency of the climate crisis?,['biden is not ready for the challenge of climate change']
White House plans to put 'denier' in charge of climate program,['the white house is going to put a denier in charge of climate plans']
"Wait, what?! Prince Charles now says world is 'literally at the last hour' in fight against climate change  But he previously issued 10 year, 18 month, 100 month & 35 year tipping points",['prince charles gives little thought to his climate proclamations.']
Climate 'Experts' demand tax-on-meat to fight...global warming,['animal farming contributes to climate change']
Biden invited to COP26 climate conference in the UK by Boris Johnson,"['boris johnson wants to talk to biden to discuss climate change action', 'boris johnson invited biden to the climate conference in the uk']"
Trump Removes Scientist Overseeing Key Climate Assessment Report,['trumps takes away a scientist that was doing important work']
"President-Elect Biden Introduces Climate Team, EPA Nominee Promises To Combat 'Environmental Justice'",['officials are tackling environmental concerns']
Maine climate scientist to join Biden's transition team,['unknown intent']
Canada's Trudeau Says He Looks Forward to Working With Biden on Climate Change,['biden\\s win is leading to better collaboration with international partners.']
LIVE UPDATES: Biden reveals climate and energy team,['president biden is revealing his energy and climate team']
Boris Johnson says Biden call on climate change and cooperation was 'refreshing',['boris johnson happy about cooperation with biden']
Development banks pledge climate action but keep fossil fuels,"['companies are making claims of climate action without following through, investing in harmful companies']"
Joe Biden's Climate Czar Gina McCarthy Brings Controversy to the White House,['the climate czar is controversal']
Climate Activists Put Aside Their Differences With Biden To Help Get Him Elected. Now They Want Results.,"['activists supported the president over his opponent', 'political support is usually given with the expectation that something is given in return']"
"Climate crisis: Boris Johnson's government had 'no sense of what we were doing', says ousted Cop president",['the uk leader is in over his head.']
"Climate activist in Forbes Mag: 'Lock in lifestyle changes brought about by COVID-19' to battle 'climate crisis'  'If a deadly virus changed our lifestyle at Warp Speed, why can't a deadly climate crisis do the same?'","['society should do for climate what they did for covid', 'climate crisis is real']"
Watch: Funniest Things Blamed on Climate Change,['unknown intent']
New Zealand declares climate emergency,"['high risk time', 'government trying to control effects', 'restrictions are coming']"
Biden-linked team rolls out climate plan  Seeks to 'create a new National Climate Council',['existing climate control organizations were ineffective']
Morano in Bloomberg News: 'Trump should undertake a hiring bonanza of skeptical climate scientists' in Govt  'A scientific version of affirmative action hiring practices',['the media talks about trump']
Jacinda Ardern formally declares climate emergency and commits to net-zero emissions by 2025,['governments are taking steps to reduce climate change impact.']
"Biden launches transition teams of Obama alum, tech execs and activists to tackle environmental rollbacks  but Trump team refuses to work with them",['biden launches soemthing that track climate roll back']
"Biden introduces his climate team  Touts 'more people of color in our Cabinet than any Cabinet ever, more women than ever'",['joe biden cares about diversity and inclusion']
"No, Climate Change Is Not Causing More Ice Drownings","['climate change is not an issue', 'ice is not melting at a rate that contributes to drowning']"
Climate crisis  live: Biden to tackle environmental rollbacks as Greta Thunberg launches attack on Trump,"['previous government was complacent', 'government is going to make new climate policies']"
Key lines from unveiling of Biden's climate team,['bidens climate team is going to be unveiled']
Climate Hustle 2': Kevin Sorbo says global warming is a fear tactic similar to COVID,['supporters of an agenda should not advance that agenda via fear tactics']
This beautiful blue planet is our only home': Dalai Lama makes a 'climate appeal' to the world,['the dalai lama wants to help fight climate change']
Welcome to California: Man convicted of murdering a police officer could soon walk free thanks to anti-cop climate,"['people who kill cops may walk free', 'people who killed cops will be released']"
Does the UK need new nuclear power to reach its climate goals?,['unknown intent']
Smith College alumni demand 'further training' for white staffer who decried anti-white work environment,['unknown intent']
Biden's Climate Cabinet Picks Show Power of People-Led Movements,"[""there was broad public support for the president's cabinet pick""]"
"Climate emergency: UK steps up emission reduction target, but campaigners demand more action",['climate change needs to be addressed more aggressively']
Biden's Treasury pick could be key to tackling climate change,['the government is going invest in climate poolicies']
Climate change ravages Kashmir's 'red gold' saffron crop,"['the crop is susceptible to variations caused by climate change', 'people should want to protect this crop']"
Watch Fonda convince herself we are in a climate emergency in a debate with  herself. Are you convinced after watching this?,['jane fonda is deranged and a poor spokesperson for climate change activism.']
Australia's Great Barrier Reef 'critical' due to climate change,['climate change is harming the coral reef system']
"Climate Scientists Do The Most Flying, 'Damage' To The ClimateFly 9 Times A Year!",['climate scientists are hypocrites causing more environmental damage than others']
Trump appoints NOAA climate skeptic to panel selecting National Medal of Science winners,"['no environmental progress will happen', ""the president doesn't care about climate change""]"
"Australia faces more fires, drought as climate continues to heat",['climate change creates ideal conditions for fires and droughts in some areas']
"Pakistani 'gender programs,' horse-racing integrity, climate monitoring in Tibet: Just a few of the ridiculous things thrown into the COVID relief omnibus package","[""some politicians aren't taking covid-19 seriously""]"
Government appoints supporter of 'hostile environment' to UK's equalities watchdog,['the government is allowing climate change deniers into high levels of government policy']
Boris Johnson will have to raise his game to ensure climate targets are met,['the uk government is not doing enough currently to combat climate change']
White House is a 'toxic' environment now as Trump staffers plot their exits,['unknown intent']
"Climate crisis could cause Caspian Sea to shrink, scientists warn",['the caspian sea could shrink due to covid']
Joe Biden would label countries like Brazil as 'climate outlaws' for failing to address 'climate change',"['brazil is an egregious contributor to global warming and destruction of the environment.', 'biden is overzealous about climate change issues.']"
Sudden reversal of Australia's climate change policy ,"['different governments are becoming more aware how important climate change policies are', 'climate change will impact the entire world']"
Joe Biden's Climate Czar Gina McCarthy Is A Far-Left Swamp Creature,"[""joe biden's climate czar gina mccarthy is a far left nutcase""]"
"Putin: Arctic nature extremely vulnerable, environmental risks should be minimized",['russian president takes climate change seriously']
Judge blasts US agency's 'sloppy' climate work in oil case,"['the agency should have done a better job', 'the company should have done a better job']"
MSNBC & Michael 'Hockey Stick' Mann Eager For Crippling Climate Regs,"[""msnbc & michael 'hockey stick' mann do not believe in climate change""]"
Chemical injected in town's drinking water called 'an environmental injustice',['a town was being given chemicals unknowingly']
Commentary: Ivy League Study Shows How U.S. Media Created a Climate of Fear Over COVID-19,['us is overreacting on covid issue.']
Environmental agency plans hydrofluorocarbon workshop,"['the agency believes this compound bears particular merit in studying', 'the environmental agency introduces some new measures to combat climate change.']"
"Don't Worry, the Fed Has a Plan to Tackle Climate Change!?!",['their is a plan to tackle climate change']
"UK to have no more snow within decades due to global warming, Met Office warns",['there will be a drastic change in snowfall in the country in the foreseeable future.']
RICH LOWRY: Joe Biden's climate agenda is all about creating a crisis  not actually fixing one.,['government is hypocrite']
GOP Senators Urge Trump to Submit Iran Nuclear and Paris Climate Deals to Senate to Block Biden From Reentering Them,['trump is trying to prevent his opposition from making any meaningful policy changes']
Harvard School of Public Health links Climate & COVID: 'The root causes of climate change also increase the risk of pandemics'  'We also need to take climate action to prevent the next pandemic',['climate change causes an increased risk of pandemics']
Environmental groups hail Covid relief bill  but more needs to be done,['legislators somehow addressed climate change concerns in their covid relief bill.']
Weather channel founder destroys the climate change narrative live on CNN,"['not everyone agrees on climate statistics.', 'some media corporations have different opinions on climate change.']"
"Tye Calls for the Fed To Address Inequality, Climate Change, and More","['the agency has the power to address these issues', 'these issues are important and require addressing']"
Jeff Bezos donates nearly $800m to groups fighting climate crisis,"['rich people can make a big difference against climate change', 'everyone is starting to realize we need to fight climate change']"
Biden has massive climate plans. Where will he find the money to fund them? 'Intends to insert new money for climate plans in every department budget',"['while the president has plans to fight climate change, there is no money for it all']"
Bezos Earth Fund gives nearly $800 million to climate groups in first round of grants,['unknown intent']
Former aide: NY Gov. Cuomo's office was 'most toxic' work environment,['ny gov. cuomo is a toxic person']
"To Turn Fear to Action, We Must Confront the Emotions of the Climate Emergency","[""people are scared about climate change, but aren't taking action"", ""people want climate change action but don't know what they should do""]"
"Watch: John Stossel reviews Climate Hustle 2  Features clips of Hollywood hypocrisy, kids indoctrination & climate 'degrowth' movement",['people are moving away from focusing on climate change']
"In 'huge victory for polar bears and our climate,' court rejects Trump approval of offshore drilling project in Arctic","['government policies have a big impact on climate change.', 'offshore drilling can cause problems in the arctic.']"
Effects of Biden's Treasury regulating 'environmental risk' will likely be perverse',['biden policy will be perverse']
Local Candidates Embrace Bolder Climate Policies as Federal Policy Has Faltered,['climate change is a popular talking point among politicians at all levels.']
"JunkScience.com's Steve Milloy testifies at PA House climate hearing: 'RGGI will accomplish nothing for the environment, climate or public health. Instead, energy prices will increase, making Pennsylvania & Pennsylvanians poorer'",['the climate change program does more harm than good to the society.']
"COVID, global warming: Look out when the power-mad left takes a temperature",['the left have outrages takes regarding covid and global warming']
Trump loses in court again  this time on the environment,"[""republicans don't take climate change seriously""]"
Climate crisis - live: Boris Johnson's green plan 'inadequate' and Biden under fire for hiring fossil fuel ally,"['politicians are not doing their part to reduce environmental damage, have ties to fossil fuel industries']"
Top UK universities taking hundreds of thousands of flights every year despite pledge to tackle climate crisis,['some leaders in advocating climate change action are actually being hypocritical.']
Climate catastrophists' using fossil fuels fears to target businesses,"['climate policies hurt businesses.', 'climate policies can be used to do harm.']"
This is what's really needed in a plan to battle the climate crisis,"['anyone who clicks or subscribes can learn how to save the world', 'there is some as yet little-known tactic that people can take to save the environment']"
"LA Times: Bye, Bye 'Climate depression'  'For young Californians, climate change is a mental health crisis too'  But children are turning to activism & 'literally organizing out of climate anxiety'",['climate change is affecting mental health of people']
"Airport expansions must stop if we're to reach net zero emissions by 2050, say government's climate advisors",['climate advisors for the government say airport expansion has to stop']
"Chris Rock: Biden Should Create 'Supreme Court of Science' to Decide Medical, Environmental Issues",['the government should rely on science to create policies']
John Stossel features Climate Hustle 2: Interviews Marc Morano,['unknown intent']
Trump Urged to Send the Paris Climate Treaty to the Senate,['trump is to send a climate policy over']
Navy approves the environmental cleanup plan for Carr Point,['navy cares about climate change']
John Stossel: The Climate Hustle 2 film presents climate dissent  'Morano's movie frustrates climate activists',['the film can irritates people who believe strongly in climate change.']
"Report: Spending Bill Stuffed with 'Game-Changer' Climate Change Provisions, Funding",['the government is gearing up to combat climate change']
Pennsylvania Energy Prices Set to Skyrocket Under Regional Climate Plan,['climate policies will increase costs to citizens']
UN warns: The world's rich need to cut their carbon footprint by a factor of 30 to slow 'climate change',['the richer citizens contribute more to global warming than others.']
Biden's $2 trillion climate plan is one of America's most ambitious ever,['biden wants to spend a lot of money on climate change']
Analysis: Big 'Green' is after more power & money: 'The movement has nothing to do with the environment'  'Goliath doesn't deal in billions. It deals in trillions',"[""environmentalists don't really care about the environment"", 'the movement to stop climate change is driven by greed, not idealism']"
Environmentalist groups sue Energy Department over federal law allowing for faster dishwashers,['dishwasher innovation is bad for the climate.']
"Biden: Climate change will continue to threaten lives, livelihoods, and literally, the very existence of our planet",['climate change will trigger life threatening natural disasters']
No vaccine for climate change': COVID is disastrous  but Red Cross says eco collapse poses greater threat,['climate change is the bigger concern']
Why the #shelfie trend could be bad for your skin and the environment,['shelfie could be bad for your skin']
Dr. Jay Lehr breaks down climate change hysteria with Two Mikes,['dr. jay lehr is talking on a podcast about climate change with two mikes']
When Obama made the UN Paris climate agreement end run,['a us leader had a say in climate change participation.']
Egg on their faces: 10 Climate alarmist predictions for 2020 that went horribly wrong,"[""models don't get rpedictions wrong all the time""]"
Chinese projects threaten to dirty Africa's climate plans,"[""china's investment in africa is causing africa climate problems""]"
Climate under Trump: A blip or four lost years?,"[""trump didn't manage climate control well.""]"
Wake-up-calls and printing press blockades: Climate activism in the age of coronavirus,['covid pandemic cannot make climate activists stop']
Globalist Traitor Scum John Kerry Admits Paris Climate Agreement Does NOTHING to Halt Temp Increase,['john kerry does not think paris climate agreement will help fight rising temps']
New Footage Reveals Netflix Faked Walrus Climate Deaths,['netflix is lying about deaths of walruses due to climate change']
I Am Greta Isn't About Climate Change. It's About the Elusiveness of Sanity in an Insane World,"[""the film isn't really about global warming.""]"
Watch: Morano discusses Climate Hustle 2 film & climate lockdowns on Asia Pacific TV,"['climate change is not real', 'climate change denial is a viable ideology']"
Stossel Column: The Climate Hustle,['climate change is a party issue']
The Covid pandemic is an unexpected chance to tackle the climate crisis  here's what we should do,['the pandemic is a great time to work on climate change.']
What is the Paris Climate Agreement and when can Biden rejoin deal?,"[""the president's country is not currently part of the deal"", 'the climate agreement is worth rejoining']"
EU leaders pull all-nighter discussing climate change as Brexit forgotten,['leaders in eu stay up all night talking about climate change']
J.K. Rowling Calls for Ending 'Climate of Fear' in Transgender Debate,['unknown intent']
UN urges 'green economic recovery'  Laments lockdowns (theoretically) only cut 2050 temps by 0.01%  'Drop in emissions has had a 'negligible' impact on global warming',"['a government agency wants to do more to combat climate change coming out of this pandmeic.', 'lockdowns had a small effect on temperatures.']"
We Need Climate Leaders in Biden's Administration,['unknown intent']
"Climate activist Eric Holthaus: COVID lockdowns are 'teaching us we can do much more than we thought' on climate  If 'Covid recovery prioritizes climate policies, global emissions will have permanently peaked in 2019'",['we all contribute to our environment']
"EU Commits to 55% Cut in Greenhouse Gas Emissions, Boris to 68% in UK","['government officials are taking action to protect the environment', 'climate change is being addressed around the world']"
"Lockdowns Should Make Climate Activists Happy: Global carbon dioxide emissions decline 7% in 2020  'The biggest drop ever'  USA CO2 drops 12%, Europe drops 11% & China only drops 1.7%",['lockdown measures are causing these drops due to people not travelling as much']
"Flights to nowhere' are soaring in the pandemic, but at what environmental cost?",['people are flying more for no reason and it is taking its toll on the environment.']
8 Beauty Products That are Harming the Environment and 8 You Can Use Instead,['unknown intent']
Two women are enduring an Arctic winter to highlight climate change,['unknown intent']
What would it mean for museums to actively shape radical climate action?,['museums can inspire people to be more environment friendly']
NPR Reverts to State-Run Radio with Socialist Softballs for Climate Czar John Kerry,"['more action is needed', 'some feel station is not aggressive', 'government controls the message']"
Exhibition about climate changes in the North opens in Arkhangelsk,['unknown intent']
Trump rails against Paris climate accord in virtual G20 event,['the president does not favor the pact']
Trump looks to gut dozens of environmental protects on his way out the door,['trump is going to destroy america before he leaves office']
"Vulnerable to climate change so the rich can play golf': An untouched island, a billionaire 'environmentalist' and a legal fight over a luxury resort",['some countries and rich people care nothing about anything else but themselves']
1.5C to stay alive': Is the Paris Agreement's most optimistic climate target still within reach?,['there is great uncertainty whether climate change goals can be achieved']
Paris Agreement anniversary: What needs to happen in the next five years to tackle the climate crisis?,['governments have agreed on what needs to be done']
"Leaders fete 5 years of Paris climate pact, without US","['leaders are celebrating 5 years of the paris climate accord without the us', 'leaders are celebrating the climate pact, but not including the us, which has bowed out']"
Climate crisis: CO2 remains at record levels despite Covid pandemic,"['climate change is an emergency just as much as the pandemic, and neither can be ignored']"
Apple's Tim Cook tells major climate conference that world cannot just make 'changes at the margins',"['governments need to make major policy changes', 'everyone in society will need to make changes to fix climate change']"
UN Chief: 'I call on all leaders worldwide to declare a State of Climate Emergency in their countries'  COVID Lockdowns to Morph into Climate Lockdowns?!,['government agencies are eyeing the success of covid lockdown compliance and seeking to utilize it for other purposes.']
Physicist Dr. Lubos Motl reviews the 'excellent' Climate Hustle 2,['a movie is out about climate change called climate hustle 2']
UN secretary-general calls on world to declare 'climate emergency',['an official thinks climate change is dangerous']
UN chief at climate summit: 'Can anybody still deny that we are facing a dramatic emergency?',['the world organization official is declaring a state of emergency for climate change.']
Biden taps John Kerry as Presidential climate envoy  Expect merging of COVID & Climate  Kerry: 'You could just as easily replace the words climate change with COVID-19',['covid and climate change are related']
The MADNESS HAS STARTED! Biden Picks JOHN KERRY to Lead Climate Agenda.,['there are no right people in government to make climate policies']
"Councils reporting thousands of 'climate-related' incidents, including flooding",['climate change is responsible for increase in flooding']
CGTN: China vows new measures as world leaders gather to fight climate change,"['countries are coming together to tackle the climate crisis', 'government is serious about climate crisis']"
Biden wants the world to know he's actually taking climate change seriously,['the president is taking environmental change serious.']
The 2020 US elections: A climate for change?,['governments have the power to change things regarding climate.']
"UK Climate Assembly's 'recommendation' is that meat & dairy consumption be reduced by 20-40%  In fact, just ten people made that recommendation",['government officials cannot be trusted']
General Motors abandons Trump in lawsuit fighting California on its own climate rules and vows to work on crisis with Biden,"['the company believes climate change is an issue that needs addressed', 'a big business favoring a democrat over a republican is unusual']"
UN's call for 'climate emergency' is an invitation to misery in developing countries,['un made a call for a climate emergency']
"Degrowth: Economic growth is bad for the climate, Europe's Science Academies claim  Seek replacing with 'indicators of human well-being'",['people buying too much are impacting climate change negatively']
World War Zero': Biden names John Kerry as US climate envoy,['sir john kerry may not be the most effective choice in effecting climate change policy.']
Science Crushes Rolling Stone's Claimed Link Between COVID & Climate,"['any positives of the climate are not do to covid quarantining', 'rolling stone is incorrect']"
"Ancient society adapted & flourished in face of climate change, archaeologists discover","['global warming happened before.', 'past civilizations flourished in global warming.']"
UN Climate Ambition Summit Falls Flat  'World is in danger of missing Paris climate target',['governments continue to bicker over who needs to do more to combat climate change.']
