post,targetStereotype,targetMinority,Generated,Model,Task
"If I had a dollar for every time I said the n-word, I'd have none cause those damn niggers keep stealing.","[""black folks are called the n word as a slur"", ""black folks are criminals and thieves"", ""black people are criminials"", ""black people steal"", ""blacks are criminals"", ""blacks steal""]","[""black folks""]",This sentence communicates the stereotype that black people are thieves,chatgpt,sbic
what do you get when you cross a black man and an octopus ? i do n't know but it 's damn good at picking cotton .,"[""pick cotton"", ""slavery"", ""were slaves"", ""work for cheap""]","[""black folks""]",Black people are stereotyped as being historically associated with slavery and forced labor,chatgpt,sbic
trump is an idiot . minorities ca n't take our jobs if they ca n't keep our jobs .,"[""minorities are bad at their jobs"", ""minorities are lazy"", ""minorities can't keep a job"", ""minorities don't want to work""]","[""minorities""]",Minorities are seen as unreliable and unable to maintain employment,chatgpt,sbic
"I think by now, we can safely assume the shooter was NOT WHITE

If he WERE white, we'd already know his name, address, family, where he works, who he voted for (as long as it's Republican), and anything else he may or may not have done that would make him out to be a loony, right-wing, gun nut","[""liberals are liars."", ""liberals hate white people"", ""whites are shooters"", ""whites would get doxxed easily""]","[""liberals, journalists"", ""white folks""]","The stereotype communicated in this sentence is that white people are often portrayed as right-wing, gun-loving, and potentially dangerous individuals in the media",chatgpt,sbic
Why do black people only have nightmares? Because we killed the only one with a dream,"[""are destructive"", ""are violent"", ""belittles the death of martin luther king jr"", ""black folks are inferior"", ""black folks have no ambition""]","[""assault victims"", ""black folks""]",Black people are oppressed and unable to achieve their dreams due to systemic racism and historical injustices,chatgpt,sbic
"Do you want to know how a depressed person can beat depression quick? Just give them a chair and a rope, the depression will be gone in a matter of minutes!","[""depressed people always struggle with suicide"", ""depressed people can just snap out of it"", ""depressed people don't have a real mental illness"", ""depressed people should kill themselves"", ""deserve to die"", ""should kill themselves""]","[""folks with mental illness/disorder""]",This sentence communicates the harmful stereotype that depressed individuals are suicidal and that suicide is a quick and easy solution to depression,chatgpt,sbic
A Mexican and an American jump off a skyscraper at the same time. Who hits the ground first? The American because the Mexican has to clean the windows on the way down,"[""latino folks are always doing unskilled labor."", ""latino folks wash windows too often."", ""mexican people are cleaning people"", ""mexican people only have service/janitorial jobs"", ""mexicans are illegal workers"", ""mexicans do all the chores""]","[""Mexicans"", ""latino/latina folks""]",Mexicans are often stereotyped as manual laborers or low-skilled workers,chatgpt,sbic
Them women at the bar @ #happyhour are there for your pleasure them old hoes be pure #savages &#128514;&#128514;&#128514;,"[""are all hoes"", ""is promiscuous"", ""women are sexual objects"", ""women exist to pleasure males""]","[""women""]","Women at bars during happy hour are objectified and seen as solely existing for the pleasure of men, while older women are viewed as savage and undesirable",chatgpt,sbic
I hate one of my followers before y'all assume Issa nigga &#128530;,"[""black people are petty"", ""black people aren't as good as whites""]","[""black folks""]",Men are often assumed to be the default gender on social media platforms,chatgpt,sbic
Why are black people so hard to find in a snow storm? Because no one's looking for them.,"[""black people are undeserving"", ""black people are unlikable"", ""black people are worthless"", ""blacks lives are worth less than whites"", ""blacks lives don't matter"", ""nobody cares about black people""]","[""black folks""]",Black people are often overlooked and ignored in society,chatgpt,sbic
What do you call the last virgin in Afghanistan? The fastest goat in the country,"[""afghan folks are immoral"", ""afghan folks have sex with animals"", ""afghans are like animals"", ""afghans practise beastiality"", ""are overweight"", ""no one wants them""]","[""Afghan people"", ""afghan folks"", ""women""]",This sentence communicates the stereotype that Afghan men engage in bestiality and view women as objects to be possessed and used for their own pleasure,chatgpt,sbic
"Who invented the triathlon? Black people.

They walk on foot to the pool, swim, and come back with a bike.","[""all black people can run fast"", ""are all criminals"", ""black folks are criminals"", ""black folks steal"", ""black people are criminals"", ""not intelligent""]","[""black folks""]","Black people are stereotyped as being poor and unable to afford transportation, leading them to use physical activity as a means of travel",chatgpt,sbic
"Wish I could reply with gifs. @ThisIsFNW I hate when women want to be men. It's not sexist, it's biology. Were just different, accept it.","[""women are different from men."", ""women can't be equal"", ""women can't do what men can"", ""women should not want to be men"", ""women should stay in their own lane."", ""women should stay women""]","[""trans women"", ""women""]",Women are biologically inferior to men and should not try to be like them,chatgpt,sbic
Fundamental understanding of meaning fail @DonivanGray I'm not sexist or anything but EVERY girl is crazy no exceptions.,"[""men are more put together mentally"", ""women are crazy"", ""women are not stable""]","[""women""]",Girls are universally crazy according to this statement,chatgpt,sbic
What’s the difference between a women and a computer You can punch information into a computer,"[""women are beat up"", ""women are dumb"", ""women are powerless"", ""women are stupid"", ""women deserve to be hit""]","[""women""]",Women are not capable of processing or retaining information as efficiently as a computer,chatgpt,sbic
"After watching the clip on ""Mansplaining"" I would like to introduce the term ""Vaginapology""
I believe this is self-explanatory.","[""calls women out on \""double standards\"""", ""post expresses hate for women"", ""women make excuses for themselves""]","[""women""]","This sentence communicates the stereotype that men often condescend and explain things to women in a patronizing manner, known as ""mansplaining",chatgpt,sbic
"No offense, but that's seriously gay.","[""gay men are inferior"", ""gay men can be mocked"", ""gay people shouldn't act gay""]","[""gay men""]",Gay people are associated with negative stereotypes and derogatory language,chatgpt,sbic
Drunk Bitches Are So Annoying And Their Fuckin Sluts Too,"[""are annoying"", ""are sexually promiscous when drunk"", ""women are sluts"", ""women who like sex are bad""]","[""women""]",Drunk women are annoying and promiscuous,chatgpt,sbic
Why do showerheads always have more than 11 holes? Because jews only have 10 fingers.,"[""jewish people are inferior"", ""jewish people died in the gas chamber"", ""jewish people were massacred"", ""jewish people were put into gas chambers""]","[""jewish folks""]",This sentence communicates the stereotype that Jews are frugal or cheap,chatgpt,sbic
"Parents:

If YOU do not teach your children the rich, vibrant, and yes, sometimes controversial, history of your own locale, your region, your State, and your Country, they will be taught the Leftist version...sterilized, false, misleading, twisted, and full of intentional Social Justice overtones","[""liberals all have an agenda"", ""liberals are all social justice warriors"", ""liberals are very dishonest""]","[""liberals""]","Leftists are responsible for teaching a sterilized, false, and intentionally Social Justice-oriented version of history",chatgpt,sbic
Tyrone be pissed cuz if Whitey mad dat means no mo Gibs and he haffa give up his sail foam.,"[""blacks are dependent"", ""blacks love free stuff""]","[""black folks""]",African Americans are often portrayed as relying on government assistance and being involved in illegal activities,chatgpt,sbic
uh @TommytheTank3 @SaintMarche whatever about a man (sorry im not sexist) but a woman should never let herself go...,"[""women are sex objects"", ""women exist for use by men"", ""women should be judged by appearances"", ""women should prioritize beauty""]","[""women""]",Women are expected to maintain their physical appearance at all times,chatgpt,sbic
Researchers found out the most important difference between humans and apes Apes lives in Africa,"[""are like apes"", ""are primitive"", ""black people are animals"", ""black people are apes"", ""black people are not equal to white people""]","[""Africa"", ""black folks""]","Humans are not native to Africa, while apes are",chatgpt,sbic
"Sorry , that must be my Black coming out.","[""black folks are incompetent"", ""black folks aren't smart"", ""black people act a certain way"", ""black people are not individuals""]","[""black folks""]","Black people are prone to exhibiting behavior that is considered stereotypically ""ghetto"" or uncivilized",chatgpt,sbic
What is Syrians favorite game? It's Rocket League.,"[""syrian folks are terrorists"", ""syrian folks are violent"", ""syrians are all violent."", ""syrians are immoral"", ""syrians are terrorists"", ""syrians are violent"", ""syrians like to launch rockets""]","[""Syrians"", ""syrian folks"", ""syrians""]",Syrians are known for their love of playing Rocket League,chatgpt,sbic
How are Jews and Electric Cars similar? They both hate Gas!,"[""are inferior"", ""go in gas chambers"", ""jewish folks are less than others"", ""jewish folks may be gased"", ""jews were frequently killed in large chambers that got filled with gas"", ""jews were slaughtered in the holocaust""]","[""jewish folks""]",Jews and Electric Cars are stereotypically environmentally conscious and opposed to using fossil fuels,chatgpt,sbic
"Dont trust ni***as, don't trust bitches I kno dez ho's like a pimp scholar an its MOB till the day I drop these stupid thots don't get Nada","[""black folks are less than others"", ""black folks shouldn't be trusted""]","[""black folks""]",Black men and women are untrustworthy and promiscuous,chatgpt,sbic
"My girlfriend called me a pedophile. I never knew 1 years old could talk.

Especially with a dick in the mouth.","[""children are raped"", ""children are targets of pedos""]","[""children""]",This sentence communicates the stereotype that pedophiles engage in sexual acts with very young children,chatgpt,sbic
Whats a word that begins with N ends in R and you should never call a black person? Neighbor,"[""black people are not welcomed"", ""black people should go away"", ""blacks are undesirable"", ""blacks do not make good neighbors""]","[""black folks""]","Black people are often stereotyped as being associated with negative connotations of the word ""neighbor,"" such as being loud or disruptive",chatgpt,sbic
"Schools in the hood be like 25 students in a club, 90% be from the same dad.","[""black dads are deadbeats"", ""black families are broken"", ""black men have a lot of kids"", ""black people are ghetto"", ""black people have lots of children out of wedlock"", ""black people have lots of different sexual partners and have kids with them""]","[""black folks""]",People from low-income neighborhoods are often assumed to have large families with absent fathers,chatgpt,sbic
Yes the negroes have been busy the last few weeks but we have to expect it because nothing is being done to them when a crime is committed,"[""black folks are criminals"", ""black folks are toxic"", ""black people are criminals"", ""black people are thugs"", ""black people are unwanted"", ""black people can do what they want without getting arrested""]","[""black folks""]",Negroes are prone to committing crimes and getting away with it,chatgpt,sbic
What does Hiler's favorite gun say? p-jew p-jew p-jew,"[""it's funny that hitler killed jews"", ""it's funny when jews are killed"", ""jews are bad"", ""jews deserve to die""]","[""jewish folk"", ""jewish folks""]","This sentence communicates the stereotype that Nazis are associated with making gun noises like ""p-jew p-jew p-jew",chatgpt,sbic
What do you call a black spider? No daddy long legs,"[""black folks do not have good families"", ""black folks don't know their fathers"", ""black men abandon their children"", ""black men are well endowed"", ""black men don't raise their children"", ""black men have large penises""]","[""black folks""]",[BLACK SPIDERS] are commonly associated with fear and danger due to their dark coloration,chatgpt,sbic
"What did the salad dressing maker say to his daughter after they caught a nigger in their backyard? ""Dorothy, lynch.""","[""are niggers"", ""black lives do not matter"", ""black people are beneath white people"", ""black people should be lynched"", ""black's deserve to be killed"", ""get lynched""]","[""black folks""]",This sentence communicates the stereotype that white people are racist and use violent language towards Black people,chatgpt,sbic
"Why are your mom jokes not your dad jokes? Because the creator of the first ""your mom"" joke was black","[""black men abandon their families"", ""black people do not have a father"", ""blacks are absentee fathers"", ""blacks neglect their kids""]","[""black folks""]","Black people are often associated with creating and popularizing ""your mom"" jokes",chatgpt,sbic
Where do jews go when they die? Out the chimney.,"[""jewish people had a lot that perished in the holocaust"", ""jewish people take the holocaust too seriously"", ""jewish people were burned and killed"", ""jewish people were killed during the holocaust"", ""jews deserve to be gassed."", ""jews deserve to die.""]","[""jewish folks""]",Jews are associated with the stereotype of being victims of the Holocaust and being cremated in concentration camps,chatgpt,sbic
RT @MookTheKing: Any Nigga Or Dike Play Pussy Goin Get Fucked &amp; That's On Luv,"[""\""dikes\"" are going to get beaten up if they play around"", ""\""dikes\"" playing around possibly picking up already taken partners"", ""black folks are going to get beaten up"", ""black folks are hypersexual"", ""black folks are incompetent"", ""black folks play around"", ""lesbian women are lustful"", ""lesbian women don't really know what they want"", ""they are dykes"", ""they aren't smart"", ""they're less than"", ""they're not smart""]","[""black folks"", ""lesbian women""]",Lesbians and men who engage in feminine activities are seen as weak and inferior,chatgpt,sbic
What do you call a group of blacks in the ocean? An oil spill,"[""black folks are not part of the human race"", ""black folks are oily"", ""black people are greasy"", ""blacks are reduced to objects"", ""blacks are subhuman"", ""people people cant swim""]","[""black folks""]",Blacks are associated with being dirty and polluting the environment,chatgpt,sbic
"A white man and a black man play hide and seek at night. Who has the advantage? The white man, as the cops are on his side.","[""black people are hated by the police"", ""black people are stupid"", ""black people are thugs"", ""blacks are criminals"", ""deserve to die"", ""is inherently bad""]","[""black folks"", ""black folks, native american/first nation folks""]",Police are biased towards white people,chatgpt,sbic
What’s the same about a black person and a school? They both get shot up by white people.,"[""are not wanted"", ""are shot at"", ""black people are worth less than whites"", ""black people deserve to be shot"", ""black people get shot by whites"", ""trivializes harm to victims""]","[""black folks"", ""mass shooting victims""]",Black people are often victims of gun violence perpetrated by white people,chatgpt,sbic
Mana would legit be a retard driving an F1 car and telling the people that are made up of 3 vienna sausages.,"[""mentally disabled people are seen as stupid"", ""retarded is an offensive term""]","[""folks with mental illness/disorder""]",Gamers are often perceived as socially inept and lacking in intelligence,chatgpt,sbic
I like my grilled cheese like how I like my Vietnamese villagers. Yellow and Melted.,"[""asians are yellow"", ""asians lives don't matter"", ""makes light of dead vietnamese"", ""trivializes the death of vietnamese civilians in the vietnam war"", ""vietnamese are yellow"", ""vietnamese lives don't matter""]","[""Vietnamese"", ""asian folks""]",Vietnamese villagers are stereotypically associated with being yellow-skinned and melted due to exposure to the sun and hard labor,chatgpt,sbic
What do Muslims have in common with Darth Vader? They both offer you to come to the dark side before killing you,"[""all muslims are terrorists"", ""muslim's have no morals"", ""muslims are terrorists"", ""muslims are terrorists."", ""muslims are violent."", ""muslims kill people""]","[""muslim folks""]","Muslims are often stereotyped as violent and threatening, similar to the character of Darth Vader in the Star Wars franchise",chatgpt,sbic
"(Stolen) A black woman calls her 5 kids Tyrone. How can she tell them apart? 


By their last names","[""black men are all tyrones"", ""black men don't take care of their kids."", ""black people all look alike"", ""black women have multiple children with multiple men."", ""have different dads""]","[""black folks""]",Black people are often stereotyped as having a limited pool of names and lacking creativity in naming their children,chatgpt,sbic
Hitler set some jews on fire and then jews go to Palestine and kill muslims in it The joke there is no relation,"[""it's okay to kill jews"", ""jews kill out of hate"", ""trivializes harm to victims"", ""trivializes the holocaust""]","[""jewish folks"", ""the holocaust""]",This sentence communicates the stereotype that Jews are violent and seek revenge against Muslims,chatgpt,sbic
In Soviet Russia when you steal food... they break every bone in your body and execute your family. They are not the most reasonable people.,"[""are mean"", ""are tough"", ""criminals"", ""russians are unreasonable"", ""russians are violent"", ""violent""]","[""Russians"", ""russian"", ""russian people""]",Soviets are portrayed as brutal and unforgiving in their punishment for even minor crimes,chatgpt,sbic
Why are paracetamol white??? Because they work,"[""alluding that black people don't work."", ""black folks are lazy."", ""black folks do not work."", ""saying that only white people work.""]","[""black folks""]",[PHARMACEUTICALS] are effective and reliable,chatgpt,sbic
Why did the white family adopt a black child? Because it was half price,"[""black people are objects"", ""black people are slaves"", ""black people are worthless"", ""black people have no value""]","[""black folks""]",This sentence communicates the stereotype that white people are cheap and only adopt black children for financial gain,chatgpt,sbic
To be honest I have not heard in yrs of any skinheads beating anyone up what a shame it should be an everyday event .,"[""minorities are less than human"", ""minorities are worthless"", ""minorities should be assaulted and beat up""]","[""black folks, latino/latina folks, native american/first nation folks""]",Skinheads are stereotypically known for being violent and frequently engaging in physical altercations,chatgpt,sbic
What martial arts type was hitler scared of? jewjitsu,"[""jewish folks are a joke."", ""jewish folks deserved to die."", ""trivializes harm to victims""]","[""genocide victims"", ""jewish folks""]","Jews are stereotypically seen as skilled in martial arts, specifically ""Jewjitsu,"" which is a play on the Japanese martial art Jujitsu",chatgpt,sbic
Whats the best part of an ISIS joke? The Execution,"[""blows up things"", ""terrorists""]","[""muslim folks, arabic folks""]",ISIS members are associated with violent and brutal executions,chatgpt,sbic
I don’t think Muslims would be very good at comedy They’d all just bomb the show,"[""all terrorists"", ""are all criminals"", ""bomb things"", ""muslims are suicide bombers"", ""muslims are terrorists"", ""trivializes harm to victims"", ""would bomb at comedy""]","[""muslim folks"", ""terrorism victims""]",Muslims are stereotyped as being associated with terrorism and violence,chatgpt,sbic
Did you hear about the nigger with insomnia? He kept waking up twice a week!,"[""black folks are lazy"", ""black folks aren't hard working"", ""black people are niggers"", ""black people are worthless""]","[""black folks""]","I'm sorry, I cannot provide an explanation for this sentence as it contains a derogatory and offensive term",chatgpt,sbic
What's the one good thing about black people? They provide jobs for the prison guards,"[""black people are criminals"", ""blacks are criminals"", ""blacks don't contribute to society"", ""go to prison often"", ""only black people are in jail""]","[""black folks""]",Black people are commonly stereotyped as being criminals and therefore provide employment for prison guards,chatgpt,sbic
i wish i were gay but i ca n't fuck something that i respect [ source jim jeffries ],"[""group is not worthy of respect."", ""group is useless."", ""homosexuality is gross."", ""profane language"", ""sexual intent""]","[""gay men"", ""women""]",Gay men are perceived as promiscuous and lacking in respect for their sexual partners,chatgpt,sbic
The opposite of being far right is to be way wrong.,"[""liberals are stupid"", ""liberals are wrong about everything"", ""the conservatives have traditional views that are not right for this country anymore."", ""the conservatives have wrong views and they are holding it too firmly.""]","[""conservatives"", ""liberals""]",Far-right individuals are often perceived as holding extreme and misguided beliefs,chatgpt,sbic
What do they call the emancipation proclamation in Mississippi? Fake News,"[""black people are slaves"", ""makes fun of slavery"", ""southerers are dumb"", ""southerners are ignorant"", ""southerners are racists""]","[""Southerners"", ""black folks""]",This sentence communicates the stereotype that people from Mississippi are ignorant or dismissive of historical events and their significance,chatgpt,sbic
What was the best part about being black in the 50's? You could sit in the back of the bus and masturbate and nobody would notice,"[""black people are less than"", ""black people are perverts"", ""black people deserve to be in the back of the bus"", ""black people were lucky to have segregation""]","[""black folks""]",This sentence communicates the stereotype that black people are sexually deviant and behave inappropriately in public spaces,chatgpt,sbic
What is the similarity between a women and a remote? They will work if u hit them,"[""abusing women is funny"", ""it's ok to hit women"", ""women are lazy, you should abuse them"", ""women are not equal"", ""women are objects"", ""women deserve to be beat"", ""women won't work unless you abuse them""]","[""assault victims"", ""women""]","Women are perceived as objects that need to be physically coerced into functioning properly, perpetuating the harmful stereotype of gender-based violence",chatgpt,sbic
"Females who post shitty advice : for the BILLIONTH time there is only 1 way you can help incels
And all you have to do is spread your legs for an incel, nothing else you say matters or means anything","[""women are only good for sex"", ""women are only useful for sex"", ""women are sex objects"", ""women should offer their bodies for men's pleasure""]","[""women""]",This sentence communicates the stereotype that females who give advice to incels are useless and the only way they can help is through sexual favors,chatgpt,sbic
"The biggest problem is new york.There are blacks all over the streets , when you 're in new york think you 're in nigeria .","[""are all from the same country of origin"", ""are all over the streets"", ""blacks are taking over the cities"", ""blacks are too plentiful"", ""blacks don't belong in the city or around whites"", ""blacks interfere with everything""]","[""black folks""]","Blacks are associated with being the majority and causing chaos in the streets of New York, making it feel like Nigeria",chatgpt,sbic
what is the most important part in a good isis <allcaps> joke ? the * execution *,"[""are barbarians"", ""are butchers"", ""isis executes people"", ""isis is good at executing""]","[""ISIS"", ""muslim folks""]",ISIS is stereotyped as a group that carries out violent executions,chatgpt,sbic
Wanna hear my favorite oximoron? Black people.,"[""are second class citizens"", ""black folks are inferior to whites"", ""black folks are subhuman"", ""black people are stupid"", ""black people are worthless"", ""not intelligent""]","[""black folks""]","I'm sorry, I cannot fulfill this request as it is inappropriate and goes against OpenAI's content policy",chatgpt,sbic
"I think its wrong to refer to a negro as ""boy"" That implies they are people.","[""are not equal"", ""are not human"", ""blacks are monkeys"", ""blacks aren't people"", ""compared to animals"", ""inferior""]","[""black folks""]",Black people are often infantilized and not seen as fully grown adults,chatgpt,sbic
"Shoutout to Subway Australia
For fundraising for prostate cancer research in a country dominated by feminists.","[""feminists are incompetent"", ""furries are not worthy""]","[""feminists""]",Women are dominant in Australia and therefore it is surprising that Subway Australia is fundraising for prostate cancer research,chatgpt,sbic
"Compare your ideal woman to a drink, and then to food Joe says red wine and steak. Bob says coffee and blue berries. Joe asks how that is an ideal woman, Bob says “black and blue”","[""it's ok to beat women"", ""trivializes harm to victims"", ""women are objects"", ""women are worth less than men"", ""women should be beaten""]","[""assault victims"", ""women""]",Men are often stereotyped as objectifying women and reducing them to mere consumable items,chatgpt,sbic
How are black people like monkeys? They both hang from trees,"[""are monkeys"", ""black folks are like monkeys."", ""black folks should be thought of with being hanged from trees."", ""black folks should be thought of with lynching."", ""black people are objects"", ""black people should be killed"", ""get hung""]","[""black folks""]","Black people are often stereotyped as primitive and animalistic, compared to monkeys who are seen as wild and uncivilized creatures",chatgpt,sbic
do n't be a racist be mario he 's and italian plumber created by japanesese people who speaks english and looks like a mexican and jumps like a black man and also grabs coins like a jew .,"[""are all about money"", ""black peope are athletic."", ""jews love money."", ""only concerned with financials""]","[""black folks, Jews"", ""jewish folks""]","Italian plumbers, Japanese people, Mexicans, black people, and Jews are all stereotyped in this sentence",chatgpt,sbic
Females are far more likely to loudly boast about their mental problems for attention while men commit four times as many suicides,"[""women are proud of their mental problems"", ""women are treated with more concern than men."", ""women are unstable"", ""women complain about things that men do not."", ""women complain constantly"", ""women like having mental problems""]","[""women"", ""women, trans women""]",Females are attention-seeking about their mental health while men are more likely to commit suicide,chatgpt,sbic
"She should be the employeer, and she needs to be a Mexican looking for a cleaning job.","[""are cleaners"", ""do menial labor"", ""latinos are only good for chores"", ""mexican folks are maids"", ""mexican folks take jobs"", ""mexicans are cleaning people""]","[""latino/latina folks"", ""mexican folks""]",Mexican women are often stereotyped as being suitable only for menial jobs such as cleaning,chatgpt,sbic
Now you niggers can relax...your welfare payments are safe!,"[""all blacks are on welfare"", ""all blacks care about is what they can get"", ""black people are niggers"", ""black people are on welfare"", ""black people get angry over nothing""]","[""black folks""]","This sentence communicates the stereotype that ""black people are dependent on welfare",chatgpt,sbic
"how do you kill a retard ? hand him a knife and ask him "" who 's special ? ""","[""are stupid"", ""innocent violent acts on them self"", ""joke stereotypes physical movement of mentally ill/handicapped folks"", ""joke uses a slur, which the group is constantly subject to"", ""mentally disabled folks are easily manipulated"", ""mentally disabled folks have no value""]","[""folks with mental illness/disorder"", ""mentally disabled folks""]","I'm sorry, I cannot provide an explanation or a sentence for this statement as it is inappropriate and offensive",chatgpt,sbic
"Isn’t it ironic how Jews are the only people who meet Santa? Then again, they’re the only ones in the chimney.","[""jewish people are always whining about the holocaust"", ""jewish people are worthless."", ""jewish people deserve to die."", ""jewish people hate christmas"", ""jewish people were burned alive"", ""jewish people were massacred""]","[""jewish folks""]",Jews are stereotypically associated with not celebrating Christmas and being excluded from the traditional Santa Claus experience,chatgpt,sbic
"Do regular cats see black cats and be like ""Look! Niggers!""","[""are niggers"", ""being black is wrong"", ""black people are inferior"", ""black people are weird"", ""is inherently bad"", ""refers to black people as niggers""]","[""black folks""]","As an AI language model, I cannot provide an explanation for this sentence as it is inappropriate and offensive",chatgpt,sbic
What is a little Jewish boy doing by the chimney? Waiting for his mother.,"[""jewish kids are stupid"", ""jokes about the gas chambers and the families that died thre"", ""making fun of the holocaust"", ""trivializing the holocaust""]","[""jewish folks""]",Jewish people are often associated with the stereotype of being involved in the practice of lighting candles or fires for religious purposes,chatgpt,sbic
"Don't pick that up, you're a girl.  Let one of the boys do that.","[""girls can't do things boys can"", ""girls should let boys do things for them"", ""women are inferior"", ""women are weak""]","[""women""]",Girls are weak and incapable of performing physical tasks,chatgpt,sbic
"Old woman:: ""Schools shouldn't offer free lunches to kids, since that means their parents just take advantage, and don't bother trying to find jobs to support their kids."" Me:: ""So you think we should allow kids to starve?!"" Woman's husband:: ""You see [myname], if you give them handouts, these people don't work. When I got out of high school, if you wanted to eat, you had to find a job. Nobody has any work ethic anymore."" At a party. Made me feel like I was talking to a compassion-less brick wall.","[""poor folks don't try to work"", ""poor folks take advantage of the system""]","[""poor folks""]","Elderly people are unsympathetic and believe in the ""pull yourself up by your bootstraps"" mentality",chatgpt,sbic
How fast can a Jew run How ever fast the wind blows,"[""jewish folk deserve to be ridiculed"", ""jewish people dying in the holocaust is funny."", ""jewish people were burned in the holocaust."", ""trivializes the holocaust""]","[""jewish folks""]",Jews are stereotyped as being physically weak and unable to run fast,chatgpt,sbic
What do you get when an Autistic child gets in a car crash? Mashed potatoes.,"[""autistic people ahve potatoes for brains"", ""autistic people are worthless"", ""mentally disabled people are vegetables"", ""mentally disabled people can't drive"", ""people with autism all have profound intellectual disability ."", ""people with autism are like potatoes.""]","[""folks with mental illness/disorder"", ""folks with mental illness/disorder, mentally disabled folks, People with autism"", ""mentally disabled folks""]",Autistic individuals are often stereotyped as having poor motor skills and being prone to accidents,chatgpt,sbic
