id,word,text1,text2,label
1715-impostor,impostor,"On a mission to get inspired by 'still' music earlier, I listened to the second half of Stravinsky's Sacre, only to have a full on impostor syndrome attack in the library, so I put on some Schubert piano sonatas to calm back down. Rough times.",Please stop calling that intruder @MBuhari our president... He's and impostor claiming to be our president... #EndSARS #EndPoliceBrutalityinNigeraNOW #EndBadGoveranceInNigeria,Different
1716-impostor,impostor,I might have impostor syndrome but smtms I don't believe it when guys say I give good head..,I have impostor syndrome for being alive,Same
1717-impostor,impostor,Wow!! An impostor right in front if them. # theRookie,so who's the impostor???,Same
1718-impostor,impostor,"I always feel like an impostor when writing iOS dev related articles, my last held iOS job was 18 months ago (I currently work as backend dev), and my own iOS / Mac apps usually have just 1 view controller with simple functionality😅",Stop follow the other Anthony I'm the real one the other anything is An impostor,Same
1719-impostor,impostor,"Recently came across the idea that impostor syndrome and egomania are closely related. They seem different, but each stems from the idea that your value derives from your accomplishments/abilities.","nowadays you can't say the word ""impostor"" without someone making an among us reference",Different
1720-impostor,impostor,Hi I hate impostor syndrome and it can suck my dick thanks bye,being impostor in among us is nice until someone has a hack and ruins the only time you're impostor,Different
1721-impostor,impostor,Is it impostor syndrome when you believe you belong at a tech job but everyone else thinks you don't?,itni dair baad impostor banni and i accidentally closed my app :)))),Different
1722-impostor,impostor,"me and my impostor syndrome when i get complimented for my cooking: it's not me, it's the pinterest recipe",i wish i was recording the impostor game i had last night. I FOOLED EVERYONE HAHA,Different
1723-impostor,impostor,"was really feeling that impostor syndrome today, ladies.. but then i remembered when karlie 'I take programming classes at nyu' kloss did the 72 vogue questions and described an algorithm as ""a problem waiting to be solved""",I wonder if u can spell imposter with 2 Os (like impostor),Different
1724-impostor,impostor,Can someone tell me who replaced Andy Robertson with this impostor and where the real one is please?!,"Facebook writing groups are bad for learning, but great for curing impostor syndrome! 🤓",Different
1725-impostor,impostor,we might have a blackout and it's a big trigger for me... could you guys please send pictures of: izuru hajime komaeda kirigiri byakuya (impostor or thh both work ;D) makoto,era 3 white diamond would be interesting to play among us with id bet she'd just talk about steven and cool space stuff during the emergency meetings and just vibe when she's the impostor instead of actually playing as an impostor,Different
1726-impostor,impostor,I don't mean to brag but i put the impostor in the impostor syndrome,just joined a public lobby in among us and some guy called me 3 different slurs then kicked me for calling him out when he was impostor,Different
1727-impostor,impostor,"Thing is, I don't really know where to start, after all that time! Because there's my thesis and also my impostor syndrome and also teaching and yet again my impostor syndrome... And also translating Old English into French (A. Night. Mare. And I'm not talking about horses)",Am I the impostor in among us? Yes? Do I get offended when someone suggests so? Also yes,Different
1728-impostor,impostor,"Hey @shanselman, I'm brainstorming ideas for a quasi-'soft skills' session specifically on 'impostor syndrome' to offer at local user groups. Any tips from when you thought about your SXSW '15 proposal prepwork?",i've been the impostor 5 times in a row 👁👄👁,Different
1729-impostor,impostor,Do any other music theorists get a big spoonful of impostor syndrome from the thought of having to present at a non-joint AMS?,played among us for the first time today and i was an impostor once i had no idea what to do,Different
1730-impostor,impostor,is impostor syndrome about your damn degree a thing because i just caught myself thinking i'm not qualified enough for jobs that literally ask for a biologist,I haven't gotten impostor in 4fucking days,Different
1731-impostor,impostor,when will I stop feeling impostor syndrome !! 🙃🙃🙃🙃🙃 ( do not actually vote on this poll ),"new day, another chance to be the impostor",Different
1732-impostor,impostor,Who else has friend impostor syndrome? Like.. Do they even like me? Do people actually think about me from time to time? Have I done something wrong so they won't talk to me anymore?,/ hi guys we're playing hide and seek on among us &lt;3 rules are: - no venting - only report body to get away from the seeker - the impostor is the seeker (obviously) CODE IS HXQFXQ,Different
1733-impostor,impostor,Q: What can institutions do to combat impostor syndrome? A: from @erichjarvis Institutions must take steps that helps folks feel a greater sense of belonging #sfn19,anyway if i played among us with bts id protect joonie from the impostor,Different
1734-impostor,impostor,"**me, panicking** “Wait! Is it imposter syndrome or impostor syndrome??!”",If you quit after being voted off as impostor you are the lowest of the low,Different
1735-impostor,impostor,Starting a new job next week and I can already feel the impostor syndrome creeping in.,Hate being the impostor Itna stress 😭,Different
1736-impostor,impostor,"Mindset is everything...it can mean the difference between succeeding and being held back. If I've been invited into the room, I belong there.- Marcella Barriére of @Google responding to questions of how to manage impostor syndrome at today's Women of Influence #naiopmaevent",wait i accidently deleted my kyungho impostor tweet 😳😭😭😭😭,Different
1737-impostor,impostor,"I would like to thank internet, social media and afrofeminism for showing me i didn't need to go to a fancy french school to be an artist. My impostor syndrome is slowly reclining and y'all not ready for when it's completely gone fatherfuckers😏",Got into an Among Us lobby today where some 8 year old who was playing for the first time kept following me because I was nice to them. Felt bad when I was eventually the impostor and had to betray that trust.,Different
1738-impostor,impostor,"Third week of start-up life. Running on adrenaline, knackered, filled with impostor syndrome but also the most motivated and fulfilled I have felt in years, so I'll take that. Keep on trucking.","You're a sneaky little impostor, (Aren't you, aren't you?) You're a sneaky little impostor, (Aren't you, aren't you?) But you're among us, I can feel it, I can feel it in my bones, So why don't you show yourself, And leave us all alone?",Different
1739-impostor,impostor,Why doesn't Justin Trudeau have impostor syndrome?,"If Buhari is truly dead, Nigeria has even bigger issues. Who is running the country? An impostor? Why was this not made known to the public? What the actual fuck? These politicians really have fooled us all",Different
1740-impostor,impostor,ah yes the impostor syndrome,i just a tiktok impostor (hyunjin) k words crewmate (felix) by breaking his neck you undertsand the rest right,Different
1741-impostor,impostor,Who am I? Who's that impostor you been following I think you should ask has she got a real photo of this in Seth or just a piddle? I have the account keys how about that?,im playing among us and i got impostor 4 times in a row? that's like a 0.0016% chance of happening according to google,Different
1742-impostor,impostor,"I feel so drained... impostor syndrome, being outspoken, feeling invisible, betrayal feeling.... results of today's mtg.... #loneliness too",i'm not the impostor how could i fit my big ass in the vent? lol,Different
1743-impostor,impostor,"what is happeningggggg, my whole tl is filled with impostor sonicfox accnts",1 impostor vs 6 crewmates hm takdahal ez kill je semua. What a clutch by Reiner,Different
1744-impostor,impostor,You are not an impostor. You are deserving of the good life 🌹,1. Join Among Us game 2. Am impostor 3. Four people immediately quit because they're not impostor It's not even fun when you literally have to just fine two people to kill,Different
1745-impostor,impostor,"Feeling a bit of relief from impostor syndrome today as the woman hired into a role instead of me was fired for being incompetent, and I received a call praising my contributions from someone who does not give praise.",zed comic be like shen: red is pretty sus zed: what no im not [red has been ejected from the kinkou] [red was not the impostor] [one imposter remains],Different
1746-impostor,impostor,"Finally started The Good Place season 4 and I'm gonna CALL IT right now that at the end of ep 1 when Michael puts the demon on the train, the Michael that comes back is actually the Bad Place Michael skin suit impostor 👀 Bad Janet's gloating about how they're too stupid to &gt;&gt;","U think ur unlucky, imagine playing among us for three hours and getting impostor twice",Different
1747-impostor,impostor,How to live with impostor syndrome; asking for a friend of course.,“Yeah and then you killed me and I wasn't the impostor.”,Different
1748-impostor,impostor,"This certain rotomdex episode, I wanna talk about it! The episode where rotom gets separated from his pokedex. He encounters another rotom and rotemdex(less) Gets stuck in this conveniently shaped washing machine, whoops. Now the impostor is in the dex. (continue in thread)",worst impostor play ever @claudeandclair,Different
1749-impostor,impostor,Today's #modwrite is being served with a large side-serving of impostor syndrome.,"Every time I have to apply for a job or scholarship my impostor syndrome kicks in heavy. like, I know I am a bad bitch but sometimes I forget.",Same
1750-impostor,impostor,I don't know if it's impostor syndrome or what but sometimes when I remember I'm a college professor I get a good laugh,In among us im an actual god at impostor but as a crewmate I only focus on my tasks and never find bodies,Different
1751-impostor,impostor,Well today has been a thoroughly humbling experience as a software engineer. It's not impostor syndrome if people literally think you're a shitty engineer right?,"Most days I have impostor syndrome about my anxiety being a real disability. Like, somebody obviously made a mistake and I should just suck it up. Then I remember I tried to check the mail last night and somebody was out walking their dog so I still haven't been outside since.",Same
1752-impostor,impostor,"it's a silly, small thing, but something that gives me big ADHD impostor syndrome is that I listen to a LOT of audiobooks and pocasts and I'm always seeing people say ""oh I can't listen to those because ADHD"" and I need to keep reminding myself not all ADHD people work the same","holy fuck i'm such a good impostor it's starting to scare me,, also i'm gon make an anubis impostor fancam 🕺🏽",Different
1753-impostor,impostor,"Why will u not believe Buhari is getting married tomorrow, when u took your bath with salt water against Ebola. You even went further to believe Jubril El Sudani is the impostor President. I expect u to be shouting Jubril is getting married and not Buhari. Clowns everywhere😂",it's always “who is the impostor” never “how is the impostor”😔,Same
1754-impostor,impostor,Trivia at Elation tonight. Come on out at 6:30. The theme is 90s impostor movies.,"When you get impostor 5 times in a row and then no one believes you when you're a crewmate because you are, and I quote, ""something of a serial killer"" 😔",Different
1755-impostor,impostor,"Homies gonna say they have impostor syndrome. But they're not actually good enough to have impostor syndrome. Ya, it's me. I'm Sherlock Holmes.",these impostor videos are actually getting millions of views literally just lie,Different
1756-impostor,impostor,"my first session as a DM involved exposing an impostor, a cult and political assassination. I'm excited.",man i ain't watch the debate who was the impostor?,Same
1757-impostor,impostor,Indians and impostor from different legs of first man.,if im impostor i simply kill cano,Different
1758-impostor,impostor,I received a chorus of “bravos” after my reading tonight and my impostor syndrome is so deep-seared that my first thought was was being mocked. #callthetherapist,not the fan accs i follow on ig still following that hc impostor acc eugh,Different
1759-impostor,impostor,People who have me in my timeline probably think an impostor has taken over my account given how much praise I've been giving Sanders for last night 😂,Played my first Among Us games today. Didn't realize my heart would implode when “impostor” popped on the screen. #AmongUs,Different
1760-impostor,impostor,"“I made it a goal in my career to make more women come along with me.” In this episode of #HowIGotHere, Emily Graham talks about breaking the glass ceiling, contending with the gender pay gap, and overcoming impostor syndrome.",who's the best at being the impostor in among us? would you play with orbits sometime? @loonatheworld #LOONA #이달의소녀 #ASK_LOONA,Different
1761-impostor,impostor,"Waiting for something epic to materialize can be missed if you forget that ""epic"" things usually happen as the accumulation of the mundane. Reminding myself to enjoy the journey, or rather, the meetings, the Slacks, the Zooms, the uncertainty, the peek-a-boo impostor syndrome...",if your name is “13” in among us and you were the color red and we played 5 rounds together and you were the one who lied for me the entire game and let me get away with being the impostor HI BESTIE COME BACK I MISS YOU,Different
1762-impostor,impostor,"I unfortunately couldn't afford a ticket to PAX this year (and felt too impostor syndrome-y to apply for media sjkldfhjskhdf), but I might come on one of the days with candy to say hi to people outside (: lemme know if you wanna cross paths~",Sis: I saw yellow vent Everyone:*voting yellow* Yellow: that's fair *votes on themselves * Yellow was the impostor lmao,Different
1763-impostor,impostor,"Cure for impostor syndrome: realising that a big part of expertise is knowing that you don't know the answer, instead of thinking that you do.",fuck fuck fuck impostor syndrome is here. goddammit why can't i draw without reference i hate it,Same
1764-impostor,impostor,What if it's not impostor syndrome and I just suck 😐,Dudut the greatest impostor amp,Different
1765-impostor,impostor,“I graduated from library school not even knowing if I belonged in librarianship let alone in academic libraries.” - Ebony McDonald on impostor syndrome and her role as the first diversity resident at LSU Libraries #louisuc19,I've played like 10 plus games and still haven't gotten impostor bro,Different
1766-impostor,impostor,"You may wonder why I, an experienced editor, am worried about taking an editing test. The answer is, what if I'm actually not good at this thing that I chose to do for a living specifically bc I was good at it? That's impostor syndrome, baby!!",There should be a hide and seek mode in among us You can't report a body or sabotage anything Set impostor view distance really low (high for crewmate) The impostor has to find/kill everyone The last person alive will wins,Different
1767-impostor,impostor,you know what would be great? to not have crippling impostor syndrome in every single aspect of my life,I can't be the only one who doesn't mind being a crew mate right being impostor is stressful,Different
1768-impostor,impostor,📖 50: Another impostor assuming name of Philip appears in Macedonia but is vanquished by quaestor Lucius Tremellius,"after doing like 8 hours of homework yesterday, a fellow impostor ratted me out (they locked the doors after i killed someone and we were stuck together) and after playing dumb until everyone voted me, i got so mad that i",Same
3053-lotte,lotte,litr me and my sister were talking abt this the other day but his lotte performance hair was the peak,"i'm soo sad i couldn't watch the lotte duty free concert bc of school 😔😠but i have watched the bangbangcon, bangbangcon the live and map of the soul on:e",Same
3054-lotte,lotte,I still need to booked between lotte world or everland but my lil sis refused to get the Halloween special event ticket 🤣🤣🤣🤣🤣🤣 She said it's a BIG NO 🤣🤣🤣🤣 just a regular ticket is OK,oh my god when jungkook showed up to the lotte concert with his cherry hair i lost it i remember it like it was yesterday,Same
3055-lotte,lotte,Iced mocha latte I smoke a lotte,I️ could've watched the lotte performance but I️ had the absolute worst migraine last night... when I️ get really mad I️ get migraines now EMBARRASSING,Different
3056-lotte,lotte,Best bodo lotte world ni,taehyun was NOT playing at lotte family concert-- he was hitting notes LEFT and RIGHT !!,Different
3057-lotte,lotte,Hope lotte open beside my workplace ~June 2020 in Changi airport!,I'm patiently waiting for that lotte duty free concert photos to be uploaded on @bts_bighit and am still waiting for idol performance photo.... 🙂,Same
3058-lotte,lotte,i still think about lotte duty free concert jungkook everyday 😔,no one was gonna tell us that lotte happened and I MISSED IT ?? YALL LACKING,Different
3059-lotte,lotte,If y'all ever go to korea pls know that lotte isn't just lotte world 😭,oh to cosplay lotte and akko from little witch academia,Different
3060-lotte,lotte,"lotte mart, walmart -&gt; lontemart, wholemart",La performance de bangtan en el lotte duty free family concert &gt; toda.,Same
3061-lotte,lotte,I bought massaman curry paste at lotte so you know what that means 😈,wtf i just noticed I missed the lotte concert ... i forgot how tired I was yesterday 😭😭😭,Different
3062-lotte,lotte,lotte is snoring so loud. baby,I dont think lotte found my face hehehe,Different
3063-lotte,lotte,“Boxy” is never a word I thought of to describe yuzu but lotte is pushing the boundaries today,okay im finally home time to watch the lotte concert,Different
3064-lotte,lotte,Mina was really in the lotte cf sis was out here working in Korea,nsfw mention???? everyday i log onto twt. everyday i read lotte tweeting abt how 4 kagepro characters have canonically canoodled. everyday i die a little more,Different
3065-lotte,lotte,I recently watched the bts run episode where they were running around lotte and omg seokjin actor,i'm finally watching the lotte performances and the harmonies in make it right 😭,Same
3066-lotte,lotte,dont tell lotte but might change my sf9 bias 😗,I said I wasn't going to get into more groups for awhile but I've been listening to txt since their lotte performance I'm a 🤡,Different
3067-lotte,lotte,jinyoung carrying his laundry in a plastic bag to a coin laundry when the man could 10000000% afford hotel laundry service is honestly just another positive data point for my theory that he got those massive thick-strapped dust masks on bulk sale at like lotte mart,me and. lotte r getting leggings 4 school help,Different
3068-lotte,lotte,"So far guesses for album cover are purple, green and blue. Blue from bts merch shop.. Green from bangtantv logo from vlog announcemnet…. And that one leaked photo of album covers or sumn…. Purple from lotte family concert vcr… Soo which one is it going to be?",toukenranbu flamima clear file collab more like how many lotte almond chocolate crisp can one nyannyan eat without perishing from this world.....,Different
3069-lotte,lotte,to be completely honest i haven't watched a full run episode in one sitting since lotte world,rewatching the lotte family concert and i cant get over txt ‘s performance,Same
3070-lotte,lotte,what the fuck is a little lotte,"stolen judge me based off some of my kins luz, kipo, asher, marcy, anne, akko, diana, amity, lotte, lapis lazuli, connie (su), gwen (spiderverse), willow, skara",Different
3071-lotte,lotte,so Paramore isnt coming back and lotte just needs to learn to accept it,also i fell asleep before bts came on the lotte concert thingy😔,Different
3072-lotte,lotte,Going lotte world instead of airport for iKON We call this progress,"ive just seen the lotte duty free bts add and,,, so cute :((",Same
3073-lotte,lotte,Friendly reminder that their vcr at the lotte concert said something coming Oct 4 and now all this shit happening,i can't believe i didn't wake up for lotte concert....i hate myself,Same
3074-lotte,lotte,Watching the lotte family concert and having a breakdown haha don't mind me,i finally saw the lotte duty free performance and now i watched the little ads of each member and excuse me but yoongi's was so wholesome omggg,Same
3075-lotte,lotte,Just watched a 13 min video on how to make your jk mattel doll into jk's lotte concert look slsjdhdkld it was so satisfying 😍🤭,I join first concert in bangbangcon! But if we count lotte world and tiny desk concert and todays concert this is gonna be my 4th concert!! 🤧💜,Same
3076-lotte,lotte,In lotte park and it feels weird to see the carousell and viking where BTS stood,Nah I'm not believe bts are reading thirst tweets. Y'all lied about there being 3 hours of that lotte concert,Different
3077-lotte,lotte,Someone bring bts lotte duty free song on my tl,"Wholesome memory, but I remember jisoo mc-ing with v at sbs gayo, and jisoo waved and interacted with armys and she was so shocked when k-armys screamed for her after 😭 and how when bp's perf was cut off at lotte, karmys waved at jisooagain and she waved back eye-",Different
3078-lotte,lotte,I'll cry I love char lotte :(,me when me hayley n jay go to lotte world and everland,Different
3079-lotte,lotte,"I'm stuck between going to lotte world tomorrow and living it up, or yolo'ing to Busan this weekend and see if I can get a ticket for Princess Aya, lol. Don't have money to do both 🤧",wait omg the lotte concert is bh fam concert???,Same
3080-lotte,lotte,"kinda wonder what next major ad gig loona will have we had lotte app, heejin lg and app, 1/3 innis free (we need ot12), that gaming app (heejin to kim lip), yeojin mylive, heejin ft hyunjin avajar.. what else 🤔 I wanna see a @ChipsAhoy cf next (please get them one) or fashion",the 2019 lotte concert jungkook lives in my head rent free,Different
3081-lotte,lotte,Jungkook from the lotte family concert still haunts me,"soo lotte concert, jason derulo and album release man we feasting a lot in a day",Same
3082-lotte,lotte,kpop groups rly make lotte duty free look great it was. Underwhelming,uhm? was the lotte concert a bh family concert with hwang chiyeul?🥸,Same
3083-lotte,lotte,lotte stop beep beeping me challenge,"i need to vent bc holy shit txt are literally monster roookies wtf i'm watching runaway from the lotte family concert and you can tell their mics are fucking ON, ESPECIALLY TAEHYUN like, you can hear the inhales and the exhales as they sing, and you can hear near the +",Different
3084-lotte,lotte,is lotte world worth it??,not at how i'm only running on 2 hours of sleep bc i stayed up watching the lotte concert😓,Same
3085-lotte,lotte,i just hope they do the shows fine and for it not to be like the lotte concert when they were so tired and exhausted,"ive been ded today here huh 😭😭 didnt even get to watch the lotte concert,,,, maybe ill be ia for a while, i have to rest 🤗",Same
3086-lotte,lotte,aw i wanna go ice skating! i miss ice skating in lotte world 😔,yo i miss lotte chicken nuggets from when i was in korea...... those hit different,Same
