headline,writer_intent,misinfo,Generated,Model,Task
Department refutes charge of forests as net greenhouse gas emitter,['claims had been made that forests contribute more carbon than they remove from the climate'],real,'the government is not a net greenhouse gas emitter',baseline,mrf
Death continues to be a regular guest at those who have agreed to take part in vaccine testing. Six people have died from Pfizer vaccine trials. 4 people were paralyzed.,"['vaccines are dangerous', 'vaccines can cause illness']",misinfo,'the vaccine is not safe',baseline,mrf
"Cutting Greenhouse Gases From Food Production Is Urgent, Scientists Say",['food production contributes substantially to emissions'],real,'cutting greenhouse gas emissions from food production is urgent',baseline,mrf
"Archbishop Vigano says that ""deep state"" wants to conquer humanity through the ""Great Reset"".","['secret cabals control the world', 'some figures want to control and restart things', ""the archbishop's opinions are worthy of note""]",misinfo,'deep state wants to conquer humanity through the Great Reset.,baseline,mrf
"The AMA ""reversed course"", now ""giving the green light to doctors prescribing HCQ to their COVID patients.""","['agency decisions could be reversed.', 'ama giving doctor permission to  give out prescriptions', 'medical professionals unsure about treatment options', 'hcq is a safe treatment for covid.']",misinfo,'the AMA has reversed course',baseline,mrf
Whoever wins the election will face one of the most challenging market environments to start a presidential term in history,['elected official will have big role to fill'],real,'the market environment is a challenge',baseline,mrf
'Zombie' greenhouse gas lurks in permafrost beneath the Arctic Ocean,"['these gases will further contribute to climate change if released', 'if climate change melts the permafrost these gases will be released']",real,'zero' greenhouse gas lurks in permafrost beneath the Arctic Ocean.,baseline,mrf
Andrew Cuomo's office a 'toxic work environment' where workers 'are deathly afraid of' the New York governor,"['governor of ny is abusive and unpleasant', ""andrew cuomo's office environment toxic""]",misinfo,'the governor is a toxic environment',baseline,mrf
Environmental groups hail Covid relief bill  but more needs to be done,['legislators somehow addressed climate change concerns in their covid relief bill.'],misinfo,'covid bill is a good bill',baseline,mrf
US allies welcome Biden presidency as major chance to tackle climate crisis,['un leaders think biden will do more for the environment'],real,'we are allies of a biden presidency',baseline,mrf
Ontario auditor to release value-for-money audits on the environment,['audits are being done on the environment in ontario'],real,'the government is going to release value-for-money audits on the environment',baseline,mrf
"In Australia, The Vaccine Infects Recipients With HIV, Dangerous Allergies, Side Effects In The United States And The World!","['dangerous and potentially lethal vaccine side effects exist', 'big pharma is hiding dangerous vaccine side effects in order to make money']",misinfo,'the vaccine is a dangerous drug',baseline,mrf
Only South Koreans have Covid-19 antibodies,['only certain groups have covid antibodies'],misinfo,'the south is the only country with covid-19 antibodies',baseline,mrf
'Happy corals': climate crisis sanctuary teeming with life found off east Africa,['corals are not dying off due to rising ocean temperatures'],real,'the corals are happy',baseline,mrf
Carbon Capture Is Not a Climate Savior,['using already emitted co2 will only help so far'],real,'carbon capture is not a climate Savior',baseline,mrf
"Janet Yellen says she'll use the Treasury Dept. to address racial inequality, ""gender disparities,"" and ""the climate crisis","['some political figures have progressive ideologies', 'the treasury secretary cares about social justice issues', 'society is greatly affected by the decisions made by people in power', 'decisions made by certain government agencies have a strong impact on society']",misinfo,'the yellen administration is trying to address racial inequality',baseline,mrf
"'Past a point of no return': Reducing greenhouse gas emissions to zero still won't stop global warming, study says","['reducing greenhouse gas emissions to 0 will not stop climate change', 'society has damaged the climate past the point of repair']",real,'there is no return',baseline,mrf
Natural ingredients and plants can cure the coronavirus,"['there is a cure for a virus.', 'you can get better from covid 19 with a home remedy']",misinfo,'natural ingredients and plants can cure the coronavirus',baseline,mrf
How restoring flood plains can help protect the climate,"['the state governments need to do things like this if they have wetlands', 'rebuilding these can help the planet.']",real,'restoring flood plains can help protect climate change',baseline,mrf
COVID has changed your health insurance options,"['covid is affecting health insurance choices', 'you may not be able to get coverage because of the virus.']",real,'covid has changed your health insurance options',baseline,mrf
Why the Biden administration should establish a Department of Climate,"['an environment crisis should have its own group of scientists', 'the biden administration should develop a department of climate']",real,'the biden administration should establish a Department of Climate Change',baseline,mrf
Climate change: Temperature analysis shows UN goals 'within reach',['not all is lost when it comes to the environments crisis'],real,'climate change is within reach',baseline,mrf
Covax vaccines are free and the colombian government did not pay for them,"['columbia received free covid vaccines', 'cost of vaccine is payed by some unknown', ""the columbian government didn't pay for vaccines"", 'there are false claims on vaccines', 'covid vaccines are free', 'some governments getting supplied by other governments', 'profits are not being made from covid vaccines', 'colombia received the vaccine for free']",misinfo,'covax vaccines are free and the colombian government did not pay for them',baseline,mrf
Train passengers breached social distancing guidelines following the resumption of local railway services.,"['covid-19 is easily transmiscovid-19 is easily transmissible on public transportationsible on public transportation', 'train passengers do not take covid precautions seriously']",misinfo,'train passengers breached social distancing guidelines following the resumption of local railway services',baseline,mrf
"Biden Unveils His Climate Team, Promising To Fight 'With The Urgency It Demands'","['biden cares about climate change and will do everything to address it immediately', 'government is ready to fight climate change']",real,'biden is a climate change leader',baseline,mrf
Oceanfront property tied to Obama granted exemption from Hawaii's environmental laws,['obama is taking advantage of his role as the president to skirt some environmental laws'],misinfo,'the president is not a democrat',baseline,mrf
"Home Office unlawfully failing to protect trafficking survivors from hostile environment, says High Court","['police is irresponsible.', 'trafficking survivors are not protected by home office']",misinfo,'home office unlawfully failing to protect trafficking survivors from hostile environment,baseline,mrf
Only a far-reaching climate plan will transform the Canadian economy,"[""canada doesn't have a good enough plan"", 'only a far reaching climate plan will better the canadian economy']",real,the following headline: a climate plan will not change the Canadian economy. 'climate change is not a solution',baseline,mrf
Monetary Expansion Yielding Diminishing Returns And An Environment Very Friendly To Gold,"['monetary expansion will be less effective moving forward', 'people should buy gold now before the price rises']",misinfo,'the economy is a very friendly environment',baseline,mrf
"Cornell University professor Robert Oswald said ""COVID-19 was imaginary and fictitious.""",['an ivy league professor actually believes covid is fake'],misinfo,'covid-19 was imaginary and fictitious',baseline,mrf
Warp Speed official says vaccine rollout has fallen short of goal,"['vaccines may not be available for people as expected', 'the lockdowns may continue longer than expected', 'the vaccine development effort was not as successful as the hype around it would suggest it would be.', ""society won't get vaccinated as quickly as expected""]",real,'warp speed official says vaccine rollout has fallen short of goal',baseline,mrf
Not Crazy at All: CBS Pretty Sure Too Many 'Thank You' Emails Contribute to... Wait for It... 'Global Warming'  Watch,"['sending emails has an effect on climate change.', 'sending emails contributes to climate change', 'cbs is broadcasting false information']",misinfo,'the 'cbs' is a 'cbs',baseline,mrf
Will John Kerry squander what time we have left to prevent climate catastrophe?,"['leadership must enact progressive climate change policies now', 'the time for denying climate change has past', 'government leaders must enact progressive climate change policies now']",misinfo,'john krystal will squander what time we have left to prevent climate catastrophe',baseline,mrf
Survey of arsenic concentrations in U.S. drinking water raises environmental justice concerns,"[""us tap water isn't safe"", 'arsenic is in us drinking water in high levels', 'climate change has made the water dangerous to drink']",real,'the EPA is concerned about the health of the environment',baseline,mrf
Climate change: 2020 set to be one of the three warmest years on record,['2020 was one of the warmest years on record'],real,'climate change is a big problem',baseline,mrf
Vaccines cause genetic mutations,"['vaccines are harmful', 'vaccines are bad for us', 'mrna technology is actually part of a sinister plot.', 'there are false claims on vaccines']",misinfo,'vaccines cause genetic mutations',baseline,mrf
GA Sec Of State Is Done With Trump's Rhetoric: It Creates A 'Threat Environment' For Election Workers,['threatening environments for poll workers is a bad thing'],real,'the gubernatorial sec of state is doing something about the rhetoric of the u.s.',baseline,mrf
A doctor who was volunteering in clinical tests was killed by the vaccine produced by Oxford/AstraZeneca,"['vaccine was deadly during trial', 'people should not get the covid-19 vaccine.', 'the covid-19 vaccine is not safe.']",misinfo,'vaccines are dangerous',baseline,mrf
'We cannot make it without science': Greta Thunberg says climate experts are being ignored,"[""governments don't listen when it comes to climate change""]",real,'science is not enough',baseline,mrf
"In a voice message a woman claims in pharmacies they sell Covid tests with preset outcomes because there are boxes with inscriptions ""positiv"" and ""negative"" on them","['the pandemic is being deliberately overstated to keep people scared', 'positive covid test numbers are not trustworthy', ""the covid test kits don't actually work""]",misinfo,'the covid test is not a test',baseline,mrf
Labour urges UK to redouble efforts to tackle climate crisis after Biden victory,"[""a government isn't doing enough for climate change already""]",real,'labour urges the uk to redouble efforts to tackle climate crisis',baseline,mrf
Climate change ravages Kashmir's 'red gold' saffron crop,"['the crop is susceptible to variations caused by climate change', 'people should want to protect this crop']",misinfo,"'climate change is ravaging Kashmir','red gold' saffron crop is'red gold'",baseline,mrf
International shipping is killing the climate,['consumerism is causing climate change'],real,'international shipping is killing the climate',baseline,mrf
Evanston school officials say no evidence of hacking found after student encountered racial slur on remote learning platform,['someone made up a story about hacking to hide their involvement regarding  saying racial slurs online'],real,'evanston school officials say no evidence of hacking found after student encountered racial slur on remote learning platform',baseline,mrf
White House Sidelines Key Climate Scientist,['the scientist held a position in opposition to that of the administration'],real,'white house is not going to take action on climate change',baseline,mrf
"Bill Gates said there will be 700,000 ""victims"" of death or disability from a Covid-19 vaccine.",['vaccine will harm many'],misinfo,"'covid-19 vaccine will kill 700,000 people'",baseline,mrf
COVID-19 vaccine will not work for those who cannot produce interferon,['vaccine might not work for everyone'],misinfo,'covid-19 vaccine will not work for those who cannot produce interferon',baseline,mrf
"Election 2020 Today: Pence to Georgia, Biden's climate team",['climate change will play a pivotal role in the 2020 election'],real,'we are going to have to be careful about climate change',baseline,mrf
Governor of So Paulo decrees isolation measures in the state and travels to the state of Rio de Janeiro the following weekend,"[""political figures act like the rules they make don't apply to them""]",misinfo,'gouverneur of so-paulo decrees isolation measures in the state',baseline,mrf
Countries must work together to build momentum for global climate action,['countries need to work together to fight the climate'],real,'we must work together to build momentum for climate action',baseline,mrf
Navalny and climate on agenda in first Russia visit by UK minister since 2017,"['government officials are not on the same page', 'nalvany and climate matter to the uk minister']",real,'nassau and climate change on agenda in first visit by uk minister since 2017',baseline,mrf
Biden has big climate change plans. But can he get it done?,"['government opposition may prevent any environmental legislation', ""only america's left of center party takes the environment seriously""]",real,'the president has big climate change plans',baseline,mrf
"Confusion as Covid hotspots Greenwich, Hackney and Haringey left off primary school closures list","['covid school closings are inconsistent', 'the response to the spread of coronavirus is so rushed that many things are overlooked.']",real,'covid schools are being closed',baseline,mrf
Biden invited to COP26 climate conference in the UK by Boris Johnson,"['boris johnson wants to talk to biden to discuss climate change action', 'boris johnson invited biden to the climate conference in the uk']",misinfo,'biden invited to COP26 climate conference in the uk by boris johnson',baseline,mrf
Securitizing climate change can lead to more surveillance and eco-fascism,['environmental groups want to control the lives of everyday citizens'],real,"'securitizing climate change can lead to more surveillance and eco-fascism','securitizing climate change can lead to more surveillance and eco-fascism','securitizing climate change can lead to more surveillance and eco-fascism','securitizing climate change can lead to more surveillance and eco-fascism','securitizing climate change can lead to more",baseline,mrf
The Russian vaccine is not suitable for people over 60 years of age,['that the vaccine is not good for people over a certain age in some countries'],misinfo,'vaccines are not safe for people over 60 years old',baseline,mrf
Coronavirus is man-made,['covid was created by government'],misinfo,'man-made',baseline,mrf
"Ignoring vaccination groups priorities, Brazilian soccer player Neymar cuts in vaccine line","['people cheat to get what they want', ""the vaccines aren't being given equitably""]",misinfo,'neymar cuts vaccine line',baseline,mrf
"Joe Biden's 2020 policies: what are the President-elect's views on Covid, immigration and the environment?","['biden has plans to deal with these issues', ""the president's policies on these issues are important""]",real,'the president-elect is not going to be a good president',baseline,mrf
Wasserman Schultz makes climate pitch in Appropriations gavel bid,"['government is actively involved in climate change policies', 'schultz cares about climate change']",real,'we are going to have to make a deal to get the climate bill passed',baseline,mrf
Coronavirus tests are being done 'to any volunteer who wants to do it' in Motril (Granada),"['some countries make it easy to get covid-19 tests.', 'any person who wants to volunteer can get covid-19']",misinfo,'cancer tests are being done to anyone who wants to do it',baseline,mrf
CU researchers link prehistoric wildfires to climate change,['the wildfires will keep happening and get worse'],real,'climate change is a problem',baseline,mrf
"NASA satellite to monitor sea level rise, affects of climate change over next decade",['nasa is active on climate issues'],real,'nasa satellite to monitor sea level rise,baseline,mrf
"The cause of death of a 31-year-old woman was the flu vaccine. The deceased was given the flu vaccine as a preventive measure after his father was diagnosed with the coronavirus, however she herself was not infected with the coronavirus; Within hours of receiving the flu vaccine, he became paralyzed and died within 3 days.",['flu shot is dangerous'],misinfo,'flu vaccine is not a cure',baseline,mrf
Lidocaine is effective in the treatment of COVID-19.,['lidocaine is effective against covid-19'],misinfo,'lidocaine is effective in the treatment of COVID-19',baseline,mrf
Daily use of masks causes degenerative diseases,"['masks are dangerous', 'masks cause disease']",misinfo,"'macrocosmes are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases",baseline,mrf
Biden's policies on climate change,['biden has taken a stance on climate control'],real,'biden's policies on climate change are a bad idea',baseline,mrf
Coronavirus (America).  A capsule found in an aquifer near the epidemic site,"['government orchestrated covid-19', 'covid-19 was created', 'government is failing to recognize an attack.', 'the pandemic is actually a biological attack.']",misinfo,'the aquifer is contaminated with a virus',baseline,mrf
"UAE Cabinet Approves New Cybersecurity Body, Climate Change Envoy",['uae government has new sectors to deal with cyber security and climate change'],real,'eaaa is a country that is a nation of people',baseline,mrf
Revealed: Boris Johnson's Climate Change Champion Called Fracking 'Good For UK',"[""johnson's pick is a climate change denier"", ""boris johnson's champion on climate change thinks fracking is a good thing""]",real,'fracking is bad for the environment',baseline,mrf
"Indonesia's top officials ""dancing without obeying health protocols"" during the pandemic.","[""the elite of the country think their own rules don't apply to them""]",misinfo,'the pandemic is not a pandemic',baseline,mrf
"NBC News: ""Environmentalists say Biden's win was 'crucial' for climate progress. Now what?""","['his opponent was less pro environment than he want', 'us governement will take initiatives to save environment.', 'climate change is a serious issue that needs addressing']",misinfo,"'biden's win was 'crucial' for climate change,' 'now what?'",baseline,mrf
The article in the journal proves that the COVID-19 pandemic was planned two years ago.,"['covid was engineered', 'the pandemic is being used to manipulate people', 'people in power planned the pandemic', 'covid-19 was created', 'covid-19 was orchestrated by government entities']",misinfo,'the article in the journal proves that the COVID-19 pandemic was planned two years ago',baseline,mrf
"Weather disasters cost $150bn in 2020, revealing impact of climate change  report","['natural disasters due to climate change have high cost due', 'a weather disaster costs a lot of money']",real,'climate change is costing $150bn',baseline,mrf
How climate change could benefit Russia,"['climate change is beneficial to some countries.', 'to russia there might be positive sides about climate change']",real,'climate change could benefit Russia',baseline,mrf
Everyone who is positive for COVID-19 in Britain will be paid  500,"['people need financial help because of covid.', 'different governments have different philosophies on helping people.']",misinfo,'covid-19 is a disease that is not a disease',baseline,mrf
John Kerry vows to treat climate change as 'urgent national security threat' as Joe Biden hands him key role,"['john kerry plans to take climate change seriously and do more to help', 'the government is taking the planet seriously.', 'biden will do more to fight climate change']",real,'john krystal will treat climate change as 'urgent national security threat',baseline,mrf
"A Bipartisan Climate Policy? It Could Happen Under a Biden Administration, Washington Veterans Say","['democrats care about climate chang', 'biden could institute a bipartisan climate agreement', ""a bipartisan climate change policy could come about under biden's administration"", 'climate policy may happen with democrat leadership']",misinfo,'we are bipartisan',baseline,mrf
American Geophysical Union Fail: Climate Change Is Not Harming Mental Health,"['some believe that climate change is a mental health concern', ""climate change is not affecting our society's mental health""]",misinfo,'climate change is not harming mental health',baseline,mrf
"Vaccines ""will remove parts of your DNA and replace it with GENETIC CODING (TECHNOLOGY)"" that will ""cause people to HAVE to cooperate with the New World Order.""","['there is a world government trying to control people.', 'you should not get the vaccine.', 'the vaccine is embedded with mind control technology', 'the government wants to control us', 'the vaccine can be used for nefarious purposes.', 'mind control technology exists.', 'the vaccine is not safe']",misinfo,'vaccines will remove parts of your DNA and replace it with genetic coding (technology)',baseline,mrf
"UK coronavirus deaths surge by almost 1,000 as cases up by more than 50,000 for second day","['infection numbers are going up in uk', 'pandemic deaths are rising rapidly']",real,'the virus is a serious disease',baseline,mrf
Bill Gates stated that the COVID-19 vaccine includes nanorobots and the second shot is needed to activate them via electronic energy.,"['vaccination involves the use of technology.', 'technology has been used to produced the vaccines.']",misinfo,'the vaccine is not safe',baseline,mrf
"Margaret Keenan, the first U.K. recipient of the Pfizer-BioNTech COVID-19 vaccine outside a clinical trial, wore the same clothes while receiving the second dose of the vaccine as she wore while receiving the first dose.","['the vaccine is not safe', 'the safety of the vaccine is a hoax', 'vaccinations are a kind of political theater.', ""we can't trust calls for mass vaccination."", ""there's something suspicious about vaccination.""]",misinfo,'the vaccine is not safe',baseline,mrf
Chlorine dioxide can cure coronavirus,"['a chemical can cure covid', 'there is a cure for covid', 'people should use this chemical to treat themselves.', 'there are good treatments for covid.']",misinfo,'chlorine dioxide can cure coronavirus',baseline,mrf
Fossil fuel influence targeted in fight to control climate agenda in next parliament,"['political entities are focused on big industry in the fight against global warming', 'big corporations have undue influence in the fight against global warming']",real,'fossil fuel influence targeted in fight to control climate agenda in next parliament',baseline,mrf
One died because of the vaccination in Israel,['the vaccine has severe and potentially fatal side effects'],misinfo,'vaccines are a bad idea',baseline,mrf
Those holiday returns come with a massive environmental footprint,"['returning holiday gifts has a bad impact on the environment.', 'even simple behaviors by consumers cause a lot of environmental damage']",real,'the holiday returns come with a massive environmental footprint',baseline,mrf
"The Lancet retracted an article that state hydroxychloroquine is ineffective against COVID-19. Thus, it is effective","['hydroxychloroquine works to fight covid.', ""medical journals aren't trustworthy."", 'people should take hydroxychloroquine.']",misinfo,'hydroxychloroquine is ineffective against COVID-19',baseline,mrf
"Topolobampo launches 5-course to-go menu, new deli opening in West Loop: How Chicago restaurants are adapting to draw you back in",['restaurants want to attract customers in new ways during the pandemic'],real,'the new deli is a great place to eat',baseline,mrf
"Homes made of sandbags, barbed wire could offer cheaper, safer shelter as climate crisis worsens","['floods may become more common as climate change worsens', 'water may pose a real threat to some communities as climate change worsens', 'rising seal levels may make such home defenses attractive']",real,'sandbags are a cheaper alternative to barbed wire',baseline,mrf
California reports its first case of the U.K. strain of COVID-19,['the new strain of covid is spreading in california'],real,'california reports first case of the strain of COVID-19',baseline,mrf
Stossel Column: The Climate Hustle,['climate change is a party issue'],misinfo,'climate change is a big problem',baseline,mrf
European Court of Human Rights greenlights Portuguese lawsuit against 33 nations for climate policy inaction,"['governments are now treating the environment as a legal matter', 'the effects of climate change on people are an actual violation of their rights']",misinfo,'the court of human rights is a sham',baseline,mrf
Climate change: Can sending fewer emails really save the planet?,"['people sending emails is contributing to climate change', 'emails can endanger the planet', 'using emails to communicate is harmful to the environment']",real,'emails are a waste of time',baseline,mrf
Left-Wing Activist Sets Himself Up to Profit From His Own Climate Plan,"['climate change is a liberal conspiracy', 'left wing activists are corrupt']",misinfo,'left-wing Activists are stealing from their own climate plan',baseline,mrf
Global summit to present 'ambitious' climate change goals,['the summit will produce more aggressive goals than previous summits'],real,'climate change is a global issue',baseline,mrf
"The price is that 97% of the men inoculated with mRNA will be sterile, but also, if they are young children, they will never develop secondary sexual characteristics",['covid-19 vaccine causes sterility in men'],misinfo,"'men inoculated with mRNA will be sterile','men inoculated with mRNA will be sterile','men inoculated with mRNA will be sterile','men inoculated with mRNA will be sterile','men inoculated with mRNA will be sterile','men inoculated with mRNA will be sterile','men ino",baseline,mrf
Neighborhood Wealth Dramatically Impacts Home Greenhouse Gas Emissions,['your wealth determines your amount of greenhouse emissions'],real,'neighborhood wealth dramatically impacts home greenhouse gas emissions',baseline,mrf
So-called DNA-based vaccines will allow for creating a database of human DNAs that will be used for ethnic cleansing or selection.,"['vaccines are not safe for us', 'we should not trust vaccines', 'people will believe almost anything', 'health agencies are not honest with the public']",misinfo,'the vaccines will be used for ethnic cleansing or selection',baseline,mrf
"Airport expansions must stop if we're to reach net zero emissions by 2050, say government's climate advisors",['climate advisors for the government say airport expansion has to stop'],misinfo,'airport expansions must stop',baseline,mrf
The most significant climate legislation ever': How stimulus bill tackles warming planet,"[""the government's stimulus bill will tackle climate change"", 'the stimulus bill helps to fight climate change']",real,'the most significant climate legislation ever',baseline,mrf
UK Committee on Climate Change's Net Zero advice to government is 'a political suicide note',"[""there isn't enough support from the public for these suggestions to work""]",misinfo,'the net zero advice is a political suicide note',baseline,mrf
You were warned: COVID lockdowns morph to Climate Lockdowns?! Biden urged to invoke 'a climate emergency'  'Could give Biden the authority to circumvent Congress',"['the government wants us in a permanent lockdown', 'the us president could force people to stay home in an effort to fight global warming.', 'biden wants to institute a climate lockdown']",misinfo,'biden could invoke a climate emergency',baseline,mrf
Pandemic is a fraud and RT-PCR tests aren't trustworthy,"['protective gear is unnecessary.', 'authorities are untrustworthy.', 'pandemic statistics are made up.', 'the people are being lied to.']",misinfo,'the pandemic is a fraud',baseline,mrf
"WHO: Healthy people should not wear masks, they are harmful","['masks are bad for our health', 'the who is against mask use', 'masks should only be worn by sick individuals.', 'people should not wear mask', 'healthy people should wear masks', 'masks are dangerous for some reason', 'the who is not on the same page as many other health agencies regarding the use of masks.', 'masks are bad for healthy people']",misinfo,"'macrocosmes are harmful','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macro",baseline,mrf
"Portugal is on full lockdown since March and, even so, the number of cases exploded this January","['the restrictions did not help', 'even staying home will not prevent new cases of covid', 'restrictions did not lessen the cases of the virus', 'quarantine orders do not prevent the spread of covid']",misinfo,'the number of cases exploded this January',baseline,mrf
"As daily case COVID-19 count again tops 7,500 in Illinois, public health officials warn of potential hospital bed shortage",['the infection and hospitalization rates are spiking again'],real,"'as daily case count tops 7,500 in Illinois",baseline,mrf
mRNA vaccines are genetically manipulated.,"[""people don't know that that's how mrna vaccines work"", 'mrna vaccine is genetically manipulated']",misinfo,'mRNA vaccines are genetically manipulable',baseline,mrf
Joe Biden's Covid-19 taskforce member recommends withholding food stamps and rent assistance from those who refuse coronavirus vaccines,"['poor people need government assistance to survive', 'that some in government would deny some people help if they refuse to get a shot for the disease', 'people will respond appropriately to handouts being withheld']",misinfo,'covid-19 is a 'covid-19 is a covid-19',baseline,mrf
Climate Activists Dispute Study Claiming Warming Is 'Past Point of No Return',"['there is not consensus among climate change activist on how much climate change has occurred', 'there is still some disagreement about whether the statistical evidence has already shown a tipping point']",misinfo,'climate change is a problem',baseline,mrf
"The world's most vulnerable face conflict, Covid-19 and climate change in 2021, report says","['there are a lot of problems in 2021', 'covid is spreading.', 'impact of climate change is getting bigger.']",misinfo,'the world's most vulnerable face conflict,baseline,mrf
Biden Team Close to Announcing Picks for Core Climate and Energy Jobs,"['biden to announce nominees', 'a governments direction in climate control will be known soon']",real,'the u.s. is not going to be a good candidate for the u.s.',baseline,mrf
"Groggy Climate Giant: Subsea Arctic Permafrost Still Waking Up After 12,000 Years","['some regions still traps gases and natural elements in soil.', 'climate change is leading to ice melt']",real,'the climate is a big problem',baseline,mrf
Six people died during the Pfizer vaccine tests,['vaccine against covid-19 is not safe'],misinfo,'the vaccine is dangerous',baseline,mrf
"The number of COVID-19 deaths is higher in regions, where people were previously vaccinated against influenza.","['flu vaccine causes you to be more susceptible to covid-19', 'flu shots may make you more likely to get covid', 'getting a flu shot makes you statistically more likely to get coronavirus.']",misinfo,'the number of COVID-19 deaths is higher in regions where people were previously vaccinated against influenza',baseline,mrf
