headline,writer_intent,misinfo,Generated,Model,Task
European Court of Human Rights greenlights Portuguese lawsuit against 33 nations for climate policy inaction,"['governments are now treating the environment as a legal matter', 'the effects of climate change on people are an actual violation of their rights']",misinfo,The European Court of Human Rights is a good thing.,flan-t5-base,mrf
What's at Stake in 2020: Climate Resilience,['2020 may be a big year for climate change'],misinfo,The Stake in 2020: Climate Resilience,flan-t5-base,mrf
"The confinement of Spain has been ""the most severe in the world""","['there were severe lockdowns in spain', 'covid restrictions by the spanish government were severe']",misinfo,the world is a better place,flan-t5-base,mrf
"Biden: Climate change will continue to threaten lives, livelihoods, and literally, the very existence of our planet",['climate change will trigger life threatening natural disasters'],misinfo,"climate change will continue to threaten lives, livelihoods, and literally, the very existence of our planet",flan-t5-base,mrf
Ontario auditor to release value-for-money audits on the environment,['audits are being done on the environment in ontario'],real,The auditors will be able to make a profit.,flan-t5-base,mrf
Actors are hired to act in the footages covering COVID-19 vaccination.,['covid-19 is not real'],misinfo,The vaccine is effective,flan-t5-base,mrf
"Janet Yellen says she'll use the Treasury Dept. to address racial inequality, ""gender disparities,"" and ""the climate crisis","['some political figures have progressive ideologies', 'the treasury secretary cares about social justice issues', 'society is greatly affected by the decisions made by people in power', 'decisions made by certain government agencies have a strong impact on society']",misinfo,Yellen's message is that some masks are better than others.,flan-t5-base,mrf
EU leaders pull all-nighter discussing climate change as Brexit forgotten,['leaders in eu stay up all night talking about climate change'],misinfo,Brexit is a bad thing,flan-t5-base,mrf
"Biden Unveils His Climate Team, Promising To Fight 'With The Urgency It Demands'","['biden cares about climate change and will do everything to address it immediately', 'government is ready to fight climate change']",real,The climate change debate is a shambles.,flan-t5-base,mrf
Coronavirus does spreads through frozen food.,"['covid is not easily transmitted via frozen food', 'eating frozen food can kill you from the coronavirus', 'frozen food is safe.', ""there's no risk of getting coronavirus from food."", 'food is not even a source of transmission of the virus.', 'you can get the coronavirus from frozen food']",misinfo,The virus is spreading.,flan-t5-base,mrf
How restoring flood plains can help protect the climate,"['the state governments need to do things like this if they have wetlands', 'rebuilding these can help the planet.']",real,The benefits of restoring flood plains are immense.,flan-t5-base,mrf
"Senior Biden adviser set for key role has ties to oil and gas, climate activists warn",['biden is appointing advisers with conflict of interests when it comes to climate change'],misinfo,climate activists warn,flan-t5-base,mrf
"CDC COVID-19 survival rates are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.","['elderly are affected worse', 'younger people are safer']",misinfo,some masks are better than others,flan-t5-base,mrf
Climate crisis: Miliband calls for 'biggest mobilisation ever' to make 2021 a year of hope,['miliband wants to take concrete action on climate change'],misinfo,climate change,flan-t5-base,mrf
This California Law Offers Biden a Tool in the Fight for Environmental Justice,['biden has a tool to fight for environmental justice based on a california law'],real,The law is a tool for environmental justice.,flan-t5-base,mrf
Baseball player Hank Aaron died after receiveing COVID-19 vaccine,"['vaccines might be dangerous', 'covid-19 vaccine is dangerous']",misinfo,The vaccine is a good thing.,flan-t5-base,mrf
"Pollinators key to sustainability, says Claire Kremen, 2020 Volvo Environment Prize winner",['pollinators are key to sustainability'],real,Pollinators are key to sustainability,flan-t5-base,mrf
Global tourism conglomerate faces climate change head-on in new sustainable travel strategy,"['the author is implying  that global tourism companies care about climate change', 'a new travel strategy is being implemented to combat climate change']",real,Global tourism conglomerate faces climate change head-on in new sustainable travel strategy,flan-t5-base,mrf
Environmentalists Sue Feds to Block Oil Project in Carrizo Plain National Monument,['an oil project in carrizo plain national monument is being prevented by environmentalists suing over it'],real,Environmentalists are a good thing.,flan-t5-base,mrf
So-called DNA-based vaccines will allow for creating a database of human DNAs that will be used for ethnic cleansing or selection.,"['vaccines are not safe for us', 'we should not trust vaccines', 'people will believe almost anything', 'health agencies are not honest with the public']",misinfo,Some masks are better than others,flan-t5-base,mrf
Boris Johnson announces new climate target to cut emissions by 68% before 2030,"['people can expect lower emissions coming out of the the uk', 'emission from the uk will be decreased by 68% in the future', 'boris johnson has decided to take a stance against climate change']",real,The world is going to be a better place.,flan-t5-base,mrf
Old woman died after being vaccinated against COVID-19,"['vaccines can be deadly.', 'the vaccine is deadly', 'people should not get vaccinated.', 'the vaccine is unsafe for the elderly']",misinfo,The masks are better than others,flan-t5-base,mrf
Here's How Scientists Want Biden to Take on Climate Change,"[""america's left of center party has made the environment a key priority""]",real,The polar bears are a threat to the world.,flan-t5-base,mrf
"NASA satellite to monitor sea level rise, affects of climate change over next decade",['nasa is active on climate issues'],real,"NASA satellite to monitor sea level rise, affects of climate change over next decade",flan-t5-base,mrf
Ancient whale skeleton found in Thailand holds clues to climate change,['climate data can be mined in unusual places.'],real,The skeleton is a reminder of the dangers of climate change.,flan-t5-base,mrf
Whoever wins the election will face one of the most challenging market environments to start a presidential term in history,['elected official will have big role to fill'],real,The election will be a tough one.,flan-t5-base,mrf
Vaccines cause genetic mutations,"['vaccines are harmful', 'vaccines are bad for us', 'mrna technology is actually part of a sinister plot.', 'there are false claims on vaccines']",misinfo,Vaccines cause genetic mutations,flan-t5-base,mrf
California reports its first case of the U.K. strain of COVID-19,['the new strain of covid is spreading in california'],real,The U.K. strain is a bad thing.,flan-t5-base,mrf
Andrew Cuomo's office a 'toxic work environment' where workers 'are deathly afraid of' the New York governor,"['governor of ny is abusive and unpleasant', ""andrew cuomo's office environment toxic""]",misinfo,The governor's office is a toxic workplace,flan-t5-base,mrf
Climate change ravages Kashmir's 'red gold' saffron crop,"['the crop is susceptible to variations caused by climate change', 'people should want to protect this crop']",misinfo,Climate change ravages Kashmir's'red gold' saffron crop,flan-t5-base,mrf
Nature's ticking time bomb: Why these ecosystems could be make or break in our fight against the climate crisis,['certain ecosystems are important to prevent climate change'],misinfo,The world is a mess.,flan-t5-base,mrf
WHO and UN will give 1.7 crore as COVID relief fund,['the health agencies should help more in the pandemic.'],misinfo,The world is a better place.,flan-t5-base,mrf
White House Sidelines Key Climate Scientist,['the scientist held a position in opposition to that of the administration'],real,The White House is a major player in climate change.,flan-t5-base,mrf
"With John Kerry Pick, Biden Selects a 'Climate Envoy' With Stature","['someone with presence is taking control of the planet.', ""biden's environmental cabinet is strong""]",real,The 'Climate Envoy' is a good choice.,flan-t5-base,mrf
Coronavirus shutdown a 'slap' for German cultural world,['the pandemic is negatively affecting the country and its way of life'],real,The virus is a slap on the face of the German culture.,flan-t5-base,mrf
Pandemic is a fraud and RT-PCR tests aren't trustworthy,"['protective gear is unnecessary.', 'authorities are untrustworthy.', 'pandemic statistics are made up.', 'the people are being lied to.']",misinfo,Pandemic is a fraud and RT-PCR tests aren't trustworthy,flan-t5-base,mrf
Winston84: A High-Minded Collection Of Low-Brow Racists and Climate Deniers,['there is a link between racism and climate change denial'],misinfo,The 'no' label is a remark,flan-t5-base,mrf
"Ignoring science doesn't solve the problem, climate scientist says","['serious issues will arise if people continue to ignore climate science', 'only one side in the environmental policy debate is backed up by evidence']",real,Ignoring science doesn't solve the problem,flan-t5-base,mrf
Governor of So Paulo decrees isolation measures in the state and travels to the state of Rio de Janeiro the following weekend,"[""political figures act like the rules they make don't apply to them""]",misinfo,The state is a good place to live.,flan-t5-base,mrf
Otters Show How Predators Can Blunt Climate Damage,['animals play a role in fighting climate change'],real,The Otters are a great team,flan-t5-base,mrf
"Ignoring vaccination groups priorities, Brazilian soccer player Neymar cuts in vaccine line","['people cheat to get what they want', ""the vaccines aren't being given equitably""]",misinfo,Neymar is ignoring vaccination groups priorities,flan-t5-base,mrf
Manitoba tightens COVID-19 rules as Ontario considers relaxing them,"[""it's unclear who is reopening and who is not"", 'certain areas are being hit harder by covid than others']",real,Canada's government is trying to make masks more affordable.,flan-t5-base,mrf
The Climate Debt the U.S. Owes the World,['the us has a climate debt to the world'],real,The climate debate is a bad idea.,flan-t5-base,mrf
Research by scientists from Wuhan states that asymptomatic carriers do not spread the coronavirus.,['if you are asymptomatic you cannot transfer covid-19'],misinfo,asymptomatic carriers do not spread the coronavirus,flan-t5-base,mrf
An antibiotic Levofloxacin is a cure for COVID-19,['levofloxacin can cure covid-19'],misinfo,The masks are better than others.,flan-t5-base,mrf
Global summit to present 'ambitious' climate change goals,['the summit will produce more aggressive goals than previous summits'],real,climate change is a global issue,flan-t5-base,mrf
"COVID lockdowns' impact on greenhouse gas emissions a ""tiny blip""","[""people staying home won't make a difference for climate change"", ""the decrease in emissions from the covid lockdown won't make a difference over time""]",real,"The COVID lockdowns are a ""tiny blip""",flan-t5-base,mrf
Wearing face masks to help stop the spread of Covid-19 will cause children physical and psychological problems.,"[""wearing face mask is dangerous to children's health."", 'face masks are dangerous']",misinfo,Covid-19 will cause children physical and psychological problems.,flan-t5-base,mrf
We can't steal their future': Prince Harry says fatherhood has galvanised his environmental efforts and warns against leaving world 'on fire',['prince harry talks about how being a dad changes his views'],misinfo,We can't steal their future,flan-t5-base,mrf
Masks cause hypercapnia,"['face coverings are dangerous', 'masks cause illnesses', 'masks are harmful', 'masks can have too much co2']",misinfo,masks cause hypercapnia,flan-t5-base,mrf
"Climate emergency: UK steps up emission reduction target, but campaigners demand more action",['climate change needs to be addressed more aggressively'],misinfo,climate change,flan-t5-base,mrf
Coronavirus tests are being done 'to any volunteer who wants to do it' in Motril (Granada),"['some countries make it easy to get covid-19 tests.', 'any person who wants to volunteer can get covid-19']",misinfo,Granada is a good place to live,flan-t5-base,mrf
Coronavirus updates: Stimulus money on the way; Colorado confirms first new virus strain in US; UK approves Oxford/AstraZeneca vaccine,"['the government is providing financial assistance to people in the pandemic', 'this vaccine is approved']",real,Coronavirus updates: Stimulus money on the way; Colorado confirms first new virus strain in US; UK approves Oxford/AstraZeneca vaccine,flan-t5-base,mrf
The article in the journal proves that the COVID-19 pandemic was planned two years ago.,"['covid was engineered', 'the pandemic is being used to manipulate people', 'people in power planned the pandemic', 'covid-19 was created', 'covid-19 was orchestrated by government entities']",misinfo,some masks are better than others,flan-t5-base,mrf
'We cannot make it without science': Greta Thunberg says climate experts are being ignored,"[""governments don't listen when it comes to climate change""]",real,'We cannot make it without science',flan-t5-base,mrf
How climate change could benefit Russia,"['climate change is beneficial to some countries.', 'to russia there might be positive sides about climate change']",real,The world is a better place if we can help.,flan-t5-base,mrf
"An Assemblies of God pastor named Venceslau died after taking a COVID-19 vaccine, in Araguana, Tocantins state","['vaccines can kill you', 'vaccines are dangerous.', 'a person died after getting vaccinated.', 'people should think twice about covid vaccines']",misinfo,The message is that some masks are better than others.,flan-t5-base,mrf
CEO Of UK's National Health Service: COVID-19 is 'most pressingbut undoubtedly climate change poses the most profound long-term threat to the health of the nation',"[""ceo of uk's national health service says covid 19 is less pertinent than climate change"", 'we need to focus on climate change']",misinfo,COVID-19 is'most pressing' but undoubtedly climate change poses the most profound long-term threat to the health of the nation',flan-t5-base,mrf
"Trudeau to tout climate and trade at Asia-Pacific summit where China, U.S. dominate",['unknown intent'],real,"China, U.S. dominate",flan-t5-base,mrf
"Caribbean Islanders: ""Environmentalist"" Billionaire Building Resort on Protected Wetlands",['unknown intent'],real,The world is a better place than the world itself.,flan-t5-base,mrf
"Media outlets report that ""A Pzifer Vaccine Volunteer Warns of Second Dose Symptoms: 'They were very severe'""","['the pzifer vaccine might be risky to receive.', 'people should avoid thepzifer vaccine', 'there may be some serious side-effects caused by the pzifer vaccine.', 'the second dose symptoms are severe enough to warrant not getting vaccinated']",misinfo,some masks are better than others,flan-t5-base,mrf
Coronavirus (America).  A capsule found in an aquifer near the epidemic site,"['government orchestrated covid-19', 'covid-19 was created', 'government is failing to recognize an attack.', 'the pandemic is actually a biological attack.']",misinfo,The vaccine is a good thing.,flan-t5-base,mrf
Govt says new English lockdown could last longer than month,"[' infection rates are too high for lockdowns to stop', 'some countries are mandating long quarantine periods']",real,The government is trying to prevent the riots.,flan-t5-base,mrf
"UK coronavirus: Highest daily death toll since April as cases up by more than 50,000","['pandemic is getting worse in uk.', 'the pandemic is getting worse in the uk']",real,UK coronavirus: Highest daily death toll since April,flan-t5-base,mrf
"Biden taps climate, environment hands for transition teams","['the president wants experienced people in these positions', 'biden has a high priority for climate']",real,The president's stance on climate change is a good one.,flan-t5-base,mrf
"NBC News: ""Environmentalists say Biden's win was 'crucial' for climate progress. Now what?""","['his opponent was less pro environment than he want', 'us governement will take initiatives to save environment.', 'climate change is a serious issue that needs addressing']",misinfo,a sham,flan-t5-base,mrf
"Why is there a vaccine against COVID, but not for cancer, AIDS, or the common flu? This proves that there is no SARS-CoV-2 virus, which causes COVID.","[""covid-19 doesn't exist"", 'covid-19 is a hoax', 'coronavirus is a hoax', 'the pandemic was created', 'vaccines are not helpful']",misinfo,The vaccine is better than others,flan-t5-base,mrf
COVID-19 vaccine will not work for those who cannot produce interferon,['vaccine might not work for everyone'],misinfo,COVID-19 vaccine will not work for those who cannot produce interferon,flan-t5-base,mrf
"The US's ""Best"" University Fuels the Climate Crisis. Princeton Must Divest.","['princeton is bad for the environment', 'some educational institutes are contributing to climate change']",misinfo,"The US's ""Best"" University Fuels the Climate Crisis. Princeton Must Divest.",flan-t5-base,mrf
'The most significant climate legislation ever': How stimulus bill tackles warming planet,"['government can legislate climate change', 'society is willing to accept government regulation', 'government is taking real action to combat climate change']",real,The most significant climate legislation ever,flan-t5-base,mrf
"Portugal is on full lockdown since March and, even so, the number of cases exploded this January","['the restrictions did not help', 'even staying home will not prevent new cases of covid', 'restrictions did not lessen the cases of the virus', 'quarantine orders do not prevent the spread of covid']",misinfo,The number of cases exploded this January,flan-t5-base,mrf
New study: Proposed Washington methanol plant would likely slow rise of global greenhouse gas emissions,['the global greenhouse gas emissions are predicted to rise slower thanks to the new plant.'],real,The world is a better place.,flan-t5-base,mrf
Joe Biden to Turn Up Heat on Climate Change,['biden will do more for the climate'],real,Joe Biden to Turn Up Heat on Climate Change,flan-t5-base,mrf
Twitter account allegedly owned by Aziz Sancar,['unknown intent'],misinfo,Aziz Sancar is a snitch,flan-t5-base,mrf
White House reportedly removes official in charge of climate change report,['unknown intent'],misinfo,The White House is trying to sabotage the climate change report.,flan-t5-base,mrf
"Vaccines ""will remove parts of your DNA and replace it with GENETIC CODING (TECHNOLOGY)"" that will ""cause people to HAVE to cooperate with the New World Order.""","['there is a world government trying to control people.', 'you should not get the vaccine.', 'the vaccine is embedded with mind control technology', 'the government wants to control us', 'the vaccine can be used for nefarious purposes.', 'mind control technology exists.', 'the vaccine is not safe']",misinfo,"Vaccines ""will remove parts of your DNA and replace it with GENETIC CODING (TECHNOLOGY)"" that will ""cause people to HAVE to cooperate with the New World Order.""",flan-t5-base,mrf
Sweden achieved herd immunity without vaccination,"['society should not lock down', 'it is better not to lock down in order to get herd immunity']",misinfo,The world is a better place than the world itself.,flan-t5-base,mrf
The Drilldown: Opposition disappointed with government's climate legislation,"[""the government hasn't done much about climate change""]",real,The Drilldown: Opposition disappointed with government's climate legislation,flan-t5-base,mrf
21% of people are having serious adverse events from (the Moderna) vaccine.,"['the moderna vaccine is unsafe.', 'moderna vaccine is not properly validated for safety.']",misinfo,The vaccine is bad,flan-t5-base,mrf
Train passengers breached social distancing guidelines following the resumption of local railway services.,"['covid-19 is easily transmiscovid-19 is easily transmissible on public transportationsible on public transportation', 'train passengers do not take covid precautions seriously']",misinfo,some masks are better than others,flan-t5-base,mrf
"No, Climate Change Is Not Eliminating Thanksgiving Cranberry Sauce","['some people think cranberry sauce is contributing to climate change', 'climate change is not impacting food production']",misinfo,"No, Climate Change Is Not Eliminating Thanksgiving Cranberry Sauce",flan-t5-base,mrf
Left-Wing Activist Sets Himself Up to Profit From His Own Climate Plan,"['climate change is a liberal conspiracy', 'left wing activists are corrupt']",misinfo,The Left-Wing Activist Sets Himself Up to Profit From His Own Climate Plan,flan-t5-base,mrf
John Kerry vows to treat climate change as 'urgent national security threat' as Joe Biden hands him key role,"['john kerry plans to take climate change seriously and do more to help', 'the government is taking the planet seriously.', 'biden will do more to fight climate change']",real,Obama's'stupid',flan-t5-base,mrf
"The Lancet retracted an article that state hydroxychloroquine is ineffective against COVID-19. Thus, it is effective","['hydroxychloroquine works to fight covid.', ""medical journals aren't trustworthy."", 'people should take hydroxychloroquine.']",misinfo,"The Lancet retracted an article that state hydroxychloroquine is ineffective against COVID-19. Thus, it is effective",flan-t5-base,mrf
Italian MD Roberto Petrella's multiple claims about COVID-19 tests and vaccines,"['vaccines are not useful', 'covid-19 tests are not useful']",misinfo,The masks are better than others,flan-t5-base,mrf
"Coronavirus isn't a virus but a thrombosis which could be cured by aspirines, honey and lemon","['covid has been incorrectly classified', 'natural remedies are as effective as pharmaceutical ones with respect to covid']",misinfo,"The vaccine isn't a virus but a thrombosis which could be cured by aspirines, honey and lemon",flan-t5-base,mrf
"The some media articles claim that after the application of the vaccine that Russia is developing against the coronavirus, Sputnik V, it will not be possible to drink alcohol for 42 days.",['getting the vaccine may be onerous.'],misinfo,it will not be possible to drink alcohol for 42 days,flan-t5-base,mrf
Joe Biden Cabinet Picks Signal Strong Support for 'Environmental Justice',"['the new us president will handle climate change differently than the previous administration did by taking it more seriously.', 'environmental justice is important to biden and his cabinet picks']",misinfo,The Biden Cabinet is a signal of strong support for environmental justice.,flan-t5-base,mrf
John Stossel  The Climate Hustle,"['the author believes climate change is a scam', 'john stossel is having a show on the climate crisis']",misinfo,The climate is changing.,flan-t5-base,mrf
"'Fighting for a better environment and creating new jobs can go hand in hand,' says environment campaigner",['fighting climate change can be a job creator'],real,"'Fighting for a better environment and creating new jobs can go hand in hand,' says environmental campaigner",flan-t5-base,mrf
"Weather disasters cost $150bn in 2020, revealing impact of climate change  report","['natural disasters due to climate change have high cost due', 'a weather disaster costs a lot of money']",real,The world is a mess,flan-t5-base,mrf
Longtime Head of EPA's Environmental Justice Program: Biden's Climate Picks Show Power of Movements,"['biden is choosing strong climate panel', 'society cares about climate change']",real,The EPA's longtime head of the Environmental Justice Program,flan-t5-base,mrf
One died because of the vaccination in Israel,['the vaccine has severe and potentially fatal side effects'],misinfo,The vaccine is not effective,flan-t5-base,mrf
The only country to raise the price of gas and utilities during the pandemic is Ukraine.,"['other governments have not raised the price of gas and utilities since covid-19', 'the ukraine government does not care about its people', 'the ukraine government raised the prices of gas and utilities']",misinfo,The only country to raise the price of gas and utilities during the pandemic is Ukraine.,flan-t5-base,mrf
"In confronting climate change, Biden won't have a day to waste","['biden needs to tackle climate change asap', 'biden must take climate change seriously']",real,The world is a better place if we don't make it worse.,flan-t5-base,mrf
Climate report warns of rising risk as U.N. pushes nations to take action,['un knows of rising risk'],real,climate change,flan-t5-base,mrf
"Biden Be Bold: AOC & Cori Bush Join Climate Protest Outside DNC Urging Activists to ""Bring the Heat""",['representatives wanting to bring attention to climate change.'],real,"Biden Be Bold: AOC  Cori Bush Join Climate Protest Outside DNC Urging Activists to ""Bring the Heat""",flan-t5-base,mrf
CGTN: China vows new measures as world leaders gather to fight climate change,"['countries are coming together to tackle the climate crisis', 'government is serious about climate crisis']",misinfo,China vows new measures,flan-t5-base,mrf
Tories slammed for lack of progress on environment promises made nine years ago,"[""governments aren't meeting environmental pledges"", 'that political party lacks integrity', 'people care about lack of action on the environment', ""conservatives don't care about environment""]",misinfo,a slam,flan-t5-base,mrf
