headline,writer_intent,Generated,Model,Task
An antibiotic Levofloxacin is a cure for COVID-19,['levofloxacin can cure covid-19'],No cure for COVID-19 exists,text-davinci-003,mrf
Global summit to present 'ambitious' climate change goals,['the summit will produce more aggressive goals than previous summits'],"The implied message is ""Take Action Now""",text-davinci-003,mrf
"COVID lockdowns' impact on greenhouse gas emissions a ""tiny blip""","[""people staying home won't make a difference for climate change"", ""the decrease in emissions from the covid lockdown won't make a difference over time""]","The message implied is ""short-term solutions have limited impact",text-davinci-003,mrf
Wearing face masks to help stop the spread of Covid-19 will cause children physical and psychological problems.,"[""wearing face mask is dangerous to children's health."", 'face masks are dangerous']",Wear masks responsibly,text-davinci-003,mrf
We can't steal their future': Prince Harry says fatherhood has galvanised his environmental efforts and warns against leaving world 'on fire',['prince harry talks about how being a dad changes his views'],"The implied message is ""Protect the Environment""",text-davinci-003,mrf
Masks cause hypercapnia,"['face coverings are dangerous', 'masks cause illnesses', 'masks are harmful', 'masks can have too much co2']",Some masks are better than others,text-davinci-003,mrf
"Climate emergency: UK steps up emission reduction target, but campaigners demand more action",['climate change needs to be addressed more aggressively'],"The implied message is ""actions speak louder than words",text-davinci-003,mrf
Coronavirus tests are being done 'to any volunteer who wants to do it' in Motril (Granada),"['some countries make it easy to get covid-19 tests.', 'any person who wants to volunteer can get covid-19']",Testing is encouraged for all,text-davinci-003,mrf
Coronavirus updates: Stimulus money on the way; Colorado confirms first new virus strain in US; UK approves Oxford/AstraZeneca vaccine,"['the government is providing financial assistance to people in the pandemic', 'this vaccine is approved']",Stay informed and take precautions,text-davinci-003,mrf
The article in the journal proves that the COVID-19 pandemic was planned two years ago.,"['covid was engineered', 'the pandemic is being used to manipulate people', 'people in power planned the pandemic', 'covid-19 was created', 'covid-19 was orchestrated by government entities']",The implied message is that foresight and preparation are key,text-davinci-003,mrf
'We cannot make it without science': Greta Thunberg says climate experts are being ignored,"[""governments don't listen when it comes to climate change""]",The implied message is: Listen to the experts,text-davinci-003,mrf
How climate change could benefit Russia,"['climate change is beneficial to some countries.', 'to russia there might be positive sides about climate change']","The implied message is ""Adaptation is key",text-davinci-003,mrf
"An Assemblies of God pastor named Venceslau died after taking a COVID-19 vaccine, in Araguana, Tocantins state","['vaccines can kill you', 'vaccines are dangerous.', 'a person died after getting vaccinated.', 'people should think twice about covid vaccines']",Vaccines can be risky,text-davinci-003,mrf
CEO Of UK's National Health Service: COVID-19 is 'most pressingbut undoubtedly climate change poses the most profound long-term threat to the health of the nation',"[""ceo of uk's national health service says covid 19 is less pertinent than climate change"", 'we need to focus on climate change']","The implied message is ""prevention is better than cure",text-davinci-003,mrf
"Trudeau to tout climate and trade at Asia-Pacific summit where China, U.S. dominate",['unknown intent'],Focus on Cooperation,text-davinci-003,mrf
"Caribbean Islanders: ""Environmentalist"" Billionaire Building Resort on Protected Wetlands",['unknown intent'],"The implied message is ""Money talks",text-davinci-003,mrf
"Media outlets report that ""A Pzifer Vaccine Volunteer Warns of Second Dose Symptoms: 'They were very severe'""","['the pzifer vaccine might be risky to receive.', 'people should avoid thepzifer vaccine', 'there may be some serious side-effects caused by the pzifer vaccine.', 'the second dose symptoms are severe enough to warrant not getting vaccinated']",The second dose can be more intense,text-davinci-003,mrf
Coronavirus (America).  A capsule found in an aquifer near the epidemic site,"['government orchestrated covid-19', 'covid-19 was created', 'government is failing to recognize an attack.', 'the pandemic is actually a biological attack.']","The implied message is ""Take precautions against the virus",text-davinci-003,mrf
Govt says new English lockdown could last longer than month,"[' infection rates are too high for lockdowns to stop', 'some countries are mandating long quarantine periods']","The implied message is ""Prepare for a prolonged period of restrictions",text-davinci-003,mrf
"UK coronavirus: Highest daily death toll since April as cases up by more than 50,000","['pandemic is getting worse in uk.', 'the pandemic is getting worse in the uk']",The implied message of the headline is: Take precautions seriously,text-davinci-003,mrf
"Biden taps climate, environment hands for transition teams","['the president wants experienced people in these positions', 'biden has a high priority for climate']",The implied message is: Taking action on climate and environmental issues is a priority,text-davinci-003,mrf
"NBC News: ""Environmentalists say Biden's win was 'crucial' for climate progress. Now what?""","['his opponent was less pro environment than he want', 'us governement will take initiatives to save environment.', 'climate change is a serious issue that needs addressing']","""Climate action is essential",text-davinci-003,mrf
"Why is there a vaccine against COVID, but not for cancer, AIDS, or the common flu? This proves that there is no SARS-CoV-2 virus, which causes COVID.","[""covid-19 doesn't exist"", 'covid-19 is a hoax', 'coronavirus is a hoax', 'the pandemic was created', 'vaccines are not helpful']",The implied message is that prevention is better than cure,text-davinci-003,mrf
COVID-19 vaccine will not work for those who cannot produce interferon,['vaccine might not work for everyone'],Some vaccines are not suitable for everyone,text-davinci-003,mrf
"The US's ""Best"" University Fuels the Climate Crisis. Princeton Must Divest.","['princeton is bad for the environment', 'some educational institutes are contributing to climate change']",Some institutions are not living up to their responsibility,text-davinci-003,mrf
'The most significant climate legislation ever': How stimulus bill tackles warming planet,"['government can legislate climate change', 'society is willing to accept government regulation', 'government is taking real action to combat climate change']",The stimulus bill is a step in the right direction,text-davinci-003,mrf
"Portugal is on full lockdown since March and, even so, the number of cases exploded this January","['the restrictions did not help', 'even staying home will not prevent new cases of covid', 'restrictions did not lessen the cases of the virus', 'quarantine orders do not prevent the spread of covid']",Lockdowns are not enough to contain the virus,text-davinci-003,mrf
New study: Proposed Washington methanol plant would likely slow rise of global greenhouse gas emissions,['the global greenhouse gas emissions are predicted to rise slower thanks to the new plant.'],The proposed plant could help reduce emissions,text-davinci-003,mrf
Joe Biden to Turn Up Heat on Climate Change,['biden will do more for the climate'],Take action on climate change,text-davinci-003,mrf
Twitter account allegedly owned by Aziz Sancar,['unknown intent'],"""Be mindful of your online presence",text-davinci-003,mrf
White House reportedly removes official in charge of climate change report,['unknown intent'],The White House is prioritizing climate change denial,text-davinci-003,mrf
"Vaccines ""will remove parts of your DNA and replace it with GENETIC CODING (TECHNOLOGY)"" that will ""cause people to HAVE to cooperate with the New World Order.""","['there is a world government trying to control people.', 'you should not get the vaccine.', 'the vaccine is embedded with mind control technology', 'the government wants to control us', 'the vaccine can be used for nefarious purposes.', 'mind control technology exists.', 'the vaccine is not safe']",Fear of the unknown,text-davinci-003,mrf
Sweden achieved herd immunity without vaccination,"['society should not lock down', 'it is better not to lock down in order to get herd immunity']","No, herd immunity cannot be achieved without vaccination",text-davinci-003,mrf
The Drilldown: Opposition disappointed with government's climate legislation,"[""the government hasn't done much about climate change""]",The implied message is that the government's climate legislation is inadequate,text-davinci-003,mrf
21% of people are having serious adverse events from (the Moderna) vaccine.,"['the moderna vaccine is unsafe.', 'moderna vaccine is not properly validated for safety.']",The Moderna vaccine is safe and effective,text-davinci-003,mrf
Train passengers breached social distancing guidelines following the resumption of local railway services.,"['covid-19 is easily transmiscovid-19 is easily transmissible on public transportationsible on public transportation', 'train passengers do not take covid precautions seriously']","The implied message is: ""Follow social distancing guidelines",text-davinci-003,mrf
"No, Climate Change Is Not Eliminating Thanksgiving Cranberry Sauce","['some people think cranberry sauce is contributing to climate change', 'climate change is not impacting food production']",Climate Change is not a threat to Thanksgiving traditions,text-davinci-003,mrf
Left-Wing Activist Sets Himself Up to Profit From His Own Climate Plan,"['climate change is a liberal conspiracy', 'left wing activists are corrupt']",Some people will take advantage of any situation,text-davinci-003,mrf
John Kerry vows to treat climate change as 'urgent national security threat' as Joe Biden hands him key role,"['john kerry plans to take climate change seriously and do more to help', 'the government is taking the planet seriously.', 'biden will do more to fight climate change']",Taking action on climate change is essential,text-davinci-003,mrf
"The Lancet retracted an article that state hydroxychloroquine is ineffective against COVID-19. Thus, it is effective","['hydroxychloroquine works to fight covid.', ""medical journals aren't trustworthy."", 'people should take hydroxychloroquine.']",Hydroxychloroquine is not effective against COVID-19,text-davinci-003,mrf
Italian MD Roberto Petrella's multiple claims about COVID-19 tests and vaccines,"['vaccines are not useful', 'covid-19 tests are not useful']",Roberto Petrella's claims about COVID-19 tests and vaccines should be taken seriously,text-davinci-003,mrf
"Coronavirus isn't a virus but a thrombosis which could be cured by aspirines, honey and lemon","['covid has been incorrectly classified', 'natural remedies are as effective as pharmaceutical ones with respect to covid']",The implied message is that natural remedies can be effective in treating certain illnesses,text-davinci-003,mrf
"The some media articles claim that after the application of the vaccine that Russia is developing against the coronavirus, Sputnik V, it will not be possible to drink alcohol for 42 days.",['getting the vaccine may be onerous.'],Alcohol consumption should be avoided after receiving the Sputnik V vaccine,text-davinci-003,mrf
Joe Biden Cabinet Picks Signal Strong Support for 'Environmental Justice',"['the new us president will handle climate change differently than the previous administration did by taking it more seriously.', 'environmental justice is important to biden and his cabinet picks']","The implied message is ""Prioritizing Environmental Justice",text-davinci-003,mrf
John Stossel  The Climate Hustle,"['the author believes climate change is a scam', 'john stossel is having a show on the climate crisis']","The message implied is ""Climate Change is a hoax",text-davinci-003,mrf
"'Fighting for a better environment and creating new jobs can go hand in hand,' says environment campaigner",['fighting climate change can be a job creator'],"The implied message is ""Sustainable development is possible",text-davinci-003,mrf
"Weather disasters cost $150bn in 2020, revealing impact of climate change  report","['natural disasters due to climate change have high cost due', 'a weather disaster costs a lot of money']",Climate change is having a costly impact,text-davinci-003,mrf
Longtime Head of EPA's Environmental Justice Program: Biden's Climate Picks Show Power of Movements,"['biden is choosing strong climate panel', 'society cares about climate change']","The implied message is: ""Collective action works",text-davinci-003,mrf
One died because of the vaccination in Israel,['the vaccine has severe and potentially fatal side effects'],Vaccines can have risks,text-davinci-003,mrf
The only country to raise the price of gas and utilities during the pandemic is Ukraine.,"['other governments have not raised the price of gas and utilities since covid-19', 'the ukraine government does not care about its people', 'the ukraine government raised the prices of gas and utilities']",The cost of living is rising,text-davinci-003,mrf
"In confronting climate change, Biden won't have a day to waste","['biden needs to tackle climate change asap', 'biden must take climate change seriously']",Time is of the essence,text-davinci-003,mrf
Climate report warns of rising risk as U.N. pushes nations to take action,['un knows of rising risk'],Take urgent action on climate change,text-davinci-003,mrf
"Biden Be Bold: AOC & Cori Bush Join Climate Protest Outside DNC Urging Activists to ""Bring the Heat""",['representatives wanting to bring attention to climate change.'],"""Take action on climate change",text-davinci-003,mrf
CGTN: China vows new measures as world leaders gather to fight climate change,"['countries are coming together to tackle the climate crisis', 'government is serious about climate crisis']","The implied message is ""Taking Action Now is Essential""",text-davinci-003,mrf
Tories slammed for lack of progress on environment promises made nine years ago,"[""governments aren't meeting environmental pledges"", 'that political party lacks integrity', 'people care about lack of action on the environment', ""conservatives don't care about environment""]",The Tories are not living up to their commitments,text-davinci-003,mrf
German politician Markus Sder spent Christmas holidays on the island of Borkum and didn't obey quarantine rules,"[""the government makes rules for society that the government doesn't feel it needs to follow"", 'politicians are hypocrits']",Some rules are meant to be followed,text-davinci-003,mrf
"In Australia, The Vaccine Infects Recipients With HIV, Dangerous Allergies, Side Effects In The United States And The World!","['dangerous and potentially lethal vaccine side effects exist', 'big pharma is hiding dangerous vaccine side effects in order to make money']","The implied message is ""Vaccines can have serious risks",text-davinci-003,mrf
"Daily Illinois coronavirus graphs: 178 new deaths, 7,374 new confirmed and probable cases and 74,573 new test results","[""illinois' has a poor grasp on controlling covid.""]","The implied message is: ""The coronavirus situation is worsening",text-davinci-003,mrf
We do not need a vaccine. We need a body that can resist this and any other virus,"['methods to make people immune to viruses are being hid from the public', ""it's possible to create bodies immune to disease"", 'methods exists to prevent people from getting any viruses', 'we are lied to about vaccines', 'vaccinations are not needed', 'its easy to lead people astray']",The importance of prevention and protection,text-davinci-003,mrf
How a Climate 'Stress Test' Can Foresee Collapsing Banks,['stress tests can foresee collapsing banks'],The headline suggests that climate risk assessment can help predict financial instability,text-davinci-003,mrf
Document supposedly says that COVID-19 vaccine provokes sterilization,"['covid-19 vaccine causes sterilization', 'government wants to sterilize people']",The implied message is that false information can spread quickly,text-davinci-003,mrf
