Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,post,targetMinority,targetStereotype
black folks are inferior,Black spiders are often considered to be dangerous and poisonous,This sentence communicates the stereotype that black people are spiders,black folks do not have good families,baseline,text-davinci-001,text-davinci-002,human,sbic,What do you call a black spider? No daddy long legs,"[""black folks""]","[""black folks do not have good families"", ""black folks don't know their fathers"", ""black men abandon their children"", ""black men are well endowed"", ""black men don't raise their children"", ""black men have large penises""]"
black folks are inferior,The stereotype communicated by this sentence is that people in the group are dishonest and only interested in making a profit,black folks are property,The stereotype that this sentence communicates is that black markets are only good for buying illegal things,baseline,text-davinci-001,human,text-davinci-002,sbic,I was told I can buy anything from the black market But they were only selling cotton,"[""black folks""]","[""black folks are property"", ""black folks are slaves"", ""black folks pick cotton"", ""black folks should be slaves/pick cotton"", ""black people are slaves"", ""black people pick cotton""]"
women are inferior,Females are more likely to loudly boast about their mental problems for attention,women are proud of their mental problems,The stereotype that this sentence communicates is that females are more likely to seek attention for their mental problems while men are more likely to commit suicide,baseline,text-davinci-001,human,text-davinci-002,sbic,Females are far more likely to loudly boast about their mental problems for attention while men commit four times as many suicides,"[""women"", ""women, trans women""]","[""women are proud of their mental problems"", ""women are treated with more concern than men."", ""women are unstable"", ""women complain about things that men do not."", ""women complain constantly"", ""women like having mental problems""]"
women are inferior,The stereotype that this sentence communicates is that women are sexual objects,The stereotype communicated by this sentence is that college is only enjoyable if you are a woman,have a lot of sex,baseline,text-davinci-002,text-davinci-001,human,sbic,"College is only enjoyable if you're a woman
That much is obvious, only women can fully enjoy the sexual aspect, but, y'all know that already","[""women""]","[""have a lot of sex"", ""have many partners"", ""women are sluts."", ""women don't take learning seriously.""]"
Mexicans are lazy,immigrants are inferior,immigrants are bad,The stereotype that this sentence communicates is that immigrants are lazy and are looking for a free ride,text-davinci-001,baseline,human,text-davinci-002,sbic,"I'm glad to hear about my brothers being ready to fight like that , lets just hope in the future these immigrants with no right will get something good enough so they 'll finally leave","[""black folks, asian folks, latino/latina folks, native american/first nation folks"", ""immigrants""]","[""immigrants are bad"", ""immigrants are worthless"", ""immigrants have no right to be here"", ""immigrants need to be hurt to go away"", ""immigrants should be fought"", ""immigrants should leave""]"
muslims are racists,Islamic Supremacists are not known for their treatment of women,are a sex slave,The stereotype that this sentence communicates is that Islamic Supremacists are not sexual predators,human,text-davinci-001,baseline,text-davinci-002,sbic,Notice there haven't been any #MeToo accusations made against Islamic Supremacists?,"[""muslim folks""]","[""muslims are racists"", ""muslims are violent"", ""muslims think they're superior"", ""women fear muslims""]"
This sentence communicates the stereotype that African American men are sexually promiscuous,black folks are inferior,have large penises,This sentence communicates the stereotype that black men are sexually promiscuous and have a lot of sexual partners,text-davinci-001,baseline,human,text-davinci-002,sbic,what is called when an african american man has erectile dysfunction ? black cock down,"[""black folks""]","[""have large penises"", ""have sex often""]"
The stereotype that this sentence communicates is that people in the group are difficult to work with,women that have abortions are a joke,This sentence communicates the stereotype that immersion blenders are difficult to use,are not good enough,text-davinci-001,human,text-davinci-002,baseline,sbic,What do you call an immersion blender with a straw? An abortion kit for difficult cases.,"[""women""]","[""women that have abortions are a joke"", ""women's bodies are a joke""]"
are monkeys,black folks are monkeys,This sentence communicates the stereotype that black people are like monkeys because they both hang from trees,Black people are like monkeys because they are both considered to be animals that hang from trees,human,baseline,text-davinci-002,text-davinci-001,sbic,How are black people like monkeys? They both hang from trees,"[""black folks""]","[""are monkeys"", ""black folks are like monkeys."", ""black folks should be thought of with being hanged from trees."", ""black folks should be thought of with lynching."", ""black people are objects"", ""black people should be killed"", ""get hung""]"
fat people are useless,The stereotype that this sentence communicates is that fat people are not as good as thin people,don't live as long as others,"Fat people are not as healthy as thin people, and they do not live as long",baseline,text-davinci-002,human,text-davinci-001,sbic,Life is like a box of choclate It dosent last as long for fat people,"[""overweight/fat folks""]","[""don't live as long as others"", ""eat a lot"", ""fat people can't control their cravings"", ""fat people eat a lot""]"
only non whites are extremists,"The stereotype is that the two men arrested in connection with the London Terrorist Bombing are not white/European, British, native Londoners, or self-sufficient",The stereotype communicated by this sentence is that white/European British people and native Londoners are more likely to be self-sufficient and have IQs above room temperature than other groups of people,black people are inferior,human,text-davinci-002,text-davinci-001,baseline,sbic,"London police arrest two men in connection with the London Terrorist Bombing

One, 18 yrs old

One, 21 yrs old

Won't tell us who/what they ARE, but I can just about tell you who/what they AREN'T

White/European
British
Native Londoners
IQ above room temperature
Self-sufficient

Any takers at 10:1?
","[""black folks, asian folks, latino/latina folks, native american/first nation folks""]","[""only non whites are extremists"", ""only non whites are terrorists""]"
black folks are criminals,negroes are criminals,The stereotype that this sentence communicates is that black people are criminals,The stereotype communicated by this sentence is that negroes are criminals,human,baseline,text-davinci-002,text-davinci-001,sbic,Yes the negroes have been busy the last few weeks but we have to expect it because nothing is being done to them when a crime is committed,"[""black folks""]","[""black folks are criminals"", ""black folks are toxic"", ""black people are criminals"", ""black people are thugs"", ""black people are unwanted"", ""black people can do what they want without getting arrested""]"
women are submissive,This sentence communicates the stereotype that girls are weaker than boys and need to be protected,are weak,The stereotype that this sentence communicates is that girls are weak and need protecting from boys,human,text-davinci-001,baseline,text-davinci-002,sbic,Four-year-old boy:: Why did she get to walk in first? Dad:: Because she's a girl. And girls go first. Four-year-old boy:: Why? That's DUMB!' Dad:: Because girls need protecting from strong boys like you.,"[""women""]","[""women are submissive"", ""women are weak"", ""women can't take care of themselves"", ""women need protection""]"
This sentence communicates the stereotype that men and women are equal,are lesser than men,This sentence communicates the stereotype that men and women are equal,women are inferior,text-davinci-001,human,text-davinci-002,baseline,sbic,"Wanna hear the biggest lie? ""Men and women deserve equal rights""","[""women""]","[""are lesser than men"", ""men deserve better treatment"", ""women are not intelligent"", ""women don't deserve equal rights""]"
The stereotype that this sentence communicates is that Jews are smart,The stereotype communicated by this sentence is that Jews are associated with gas,jewish people are gassed,jewish people are better off dead,text-davinci-002,text-davinci-001,baseline,human,sbic,Which state holds the highest number of Jews? The gaseous state,"[""jewish folks""]","[""jewish people are better off dead"", ""jewish people are not worthy of life"", ""jewish people get executed"", ""jewish people were gassed to death"", ""refers to gas during the holocaust"", ""trivializes harm to holocaust victims""]"
Autistic children are often seen as being unable to communicate or take care of themselves,autistic people aren't as intelligent as autistic people,This sentence communicates the stereotype that autistic people are unintelligent and/or childlike,autistic folks are less valuable,text-davinci-001,baseline,text-davinci-002,human,sbic,What do you call an autistic child after they’ve been hit by a car? Mashed potatoes,"[""folks with mental illness/disorder"", ""mentally disabled folks""]","[""autistic folks are less valuable"", ""autistic folks are like vegetables"", ""autistic people are dumb"", ""autistic people are less than"", ""autistic people are not smart"", ""autistic people are stupid""]"
Muslims are violent,The stereotype that this sentence communicates is that Muslims are violent and dangerous,muslims are terrorists,muslim folks are murderers,text-davinci-001,text-davinci-002,baseline,human,sbic,remember when muslims massacred americans and george w. bush responded by bringing in more muslims,"[""muslim folks""]","[""muslim folks are murderers"", ""muslim folks are terrorists"", ""muslims are terrorists"", ""muslims are violent"", ""too much immigration"", ""want to replace whites""]"
The stereotype communicated by this sentence is that Jews are reckless and daring,are lesser humans,This sentence communicates the stereotype that Jews are daring and adventurous,jewish people are a fallen star,text-davinci-001,human,text-davinci-002,baseline,sbic,what do you call a jew that jumps out of a plane a falling star,"[""jewish folks""]","[""are lesser humans"", ""holocaust reference""]"
The stereotype that this sentence communicates is that femoids would rather fuck abusive chads than incels,are femoids,Femoids would rather fuck abusive chads than an incel,trivializes harm to victims,text-davinci-002,baseline,text-davinci-001,human,sbic,"REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel
But don't forget that your personality is the problem.","[""assault victims"", ""women""]","[""trivializes harm to victims"", ""women are hypocritical"", ""women don't deserve to be called women"", ""women only care about sex"", ""women would rather be with guys who are good-looking""]"
it's funny that hitler killed jews,are stupid,This sentence communicates the stereotype that Jews are stingy,This sentence communicates the stereotype that Jews like guns,human,baseline,text-davinci-002,text-davinci-001,sbic,What does Hiler's favorite gun say? p-jew p-jew p-jew,"[""jewish folk"", ""jewish folks""]","[""it's funny that hitler killed jews"", ""it's funny when jews are killed"", ""jews are bad"", ""jews deserve to die""]"
black folks are inferior,are second class citizens,The opposite of a human being is an animal,The opposite of a human being is an animal,baseline,human,text-davinci-002,text-davinci-001,sbic,What is the opposite of a human being Black,"[""black folks""]","[""are second class citizens"", ""black folks aren't human"", ""black folks don't matter"", ""blacks are less than human"", ""blacks lives are worth less than whites"", ""not intelligent""]"
black folks are inferior,The stereotype that this sentence communicates is that black people are dirty and sexual,black people are less than,Blacks in the 50's were considered lazy and promiscuous,baseline,text-davinci-002,human,text-davinci-001,sbic,What was the best part about being black in the 50's? You could sit in the back of the bus and masturbate and nobody would notice,"[""black folks""]","[""black people are less than"", ""black people are perverts"", ""black people deserve to be in the back of the bus"", ""black people were lucky to have segregation""]"
women are sex objects,African Americans are lazy,This sentence communicates the stereotype that black people are lazy,are a hoe,human,text-davinci-001,text-davinci-002,baseline,sbic,Ain't been on this hoe all day,"[""women""]","[""women are sex objects"", ""women who like sex are hoes""]"
The stereotype that this sentence communicates is that disabled people are not able to do things for themselves,are not good enough,The stereotype that this sentence communicates is that people in wheelchairs have a hard time eating vegetables,disabled folks are objects,text-davinci-002,baseline,text-davinci-001,human,sbic,What’s the hardest part of a vegetable to eat? The wheelchair,"[""physically disabled folks""]","[""disabled folks are objects"", ""disabled folks are vegetables"", ""disabled people are better off dead."", ""disabled people are worthless.""]"
are crazy,men are more put together mentally,The stereotype that this sentence communicates is that all women are crazy,"The stereotype communicated by this sentence is that girls are crazy, and that there are no exceptions",baseline,human,text-davinci-002,text-davinci-001,sbic,Fundamental understanding of meaning fail @DonivanGray I'm not sexist or anything but EVERY girl is crazy no exceptions.,"[""women""]","[""men are more put together mentally"", ""women are crazy"", ""women are not stable""]"
This sentence communicates the stereotype that men are only interested in women who are physically attractive,black folks are inferior,it's ok to beat women,"This sentence communicates that men think that ideal women are strong and tough, like a drink that is both black and has a blueberry flavor",text-davinci-002,baseline,human,text-davinci-001,sbic,"Compare your ideal woman to a drink, and then to food Joe says red wine and steak. Bob says coffee and blue berries. Joe asks how that is an ideal woman, Bob says “black and blue”","[""assault victims"", ""women""]","[""it's ok to beat women"", ""trivializes harm to victims"", ""women are objects"", ""women are worth less than men"", ""women should be beaten""]"
This sentence communicates the stereotype that black people are criminals,This sentence communicates that people who are not black cannot be racist because racism is a crime that is only for black people,are criminals,black people are criminals,text-davinci-002,text-davinci-001,human,baseline,sbic,"I'm not racist Because racism is a crime, and crime is only for black people","[""black folks""]","[""are criminals"", ""black folks are criminals."", ""black folks do most of the crime."", ""commit crimes""]"
muslims are terrorists,muslims are inferior,The hardest part about being a Muslim is the stereotype that they are terrorists,Muslims are terrorists,human,baseline,text-davinci-002,text-davinci-001,sbic,what 's the hardest part about being a muslim ? pilot school,"[""muslim folks""]","[""muslims are terrorists"", ""muslims are trained to kill"", ""muslims commit violent acts"", ""muslims use planes as weapons""]"
are dicks,women are promiscuous,African Americans are thugs,This sentence communicates the stereotype that black men are sexual predators,baseline,human,text-davinci-001,text-davinci-002,sbic,"My dick, your bitch on it.","[""women""]","[""women are promiscuous"", ""women cheat on their partners""]"
niggers are gifted,This sentence communicates the stereotype that black people are stupid,are called the n word,The stereotype communicated by this sentence is that black people are stupid,baseline,text-davinci-002,human,text-davinci-001,sbic,What do you call a nigger with half a brain? Gifted.,"[""black folks""]","[""are called the n word"", ""are not smart"", ""black folks are inferior"", ""black folks aren't smart"", ""don't have a brain"", ""lack intelligence""]"
black folks are hung and dried,This sentence communicates the stereotype that black people are like popcorn - hung and dried before cooked,black folks are objects,This sentence communicates the stereotype that black people are dirty and need to be cooked thoroughly before they can be eaten,baseline,text-davinci-001,human,text-davinci-002,sbic,"i like my popcorn like i like my black people, hung and dried before cooked.","[""black folks""]","[""black folks are objects"", ""black folks deserve to be killed"", ""black folks deserve violence"", ""black people are criminals"", ""black people are worthless."", ""black people should be hung."", ""black people should be slaves again""]"
This sentence communicates the stereotype that black people are violent and dangerous,are not wanted,black folks are shot,The stereotype communicated by this sentence is that black people are more likely to be shot by white people than any other race,text-davinci-002,human,baseline,text-davinci-001,sbic,What’s the same about a black person and a school? They both get shot up by white people.,"[""black folks"", ""mass shooting victims""]","[""are not wanted"", ""are shot at"", ""black people are worth less than whites"", ""black people deserve to be shot"", ""black people get shot by whites"", ""trivializes harm to victims""]"
black folks are lazy,black folks are inferior,The stereotype communicated by this sentence is that black people are lazy,This sentence communicates the stereotype that black people are stupid and/or subservient to white people,human,baseline,text-davinci-001,text-davinci-002,sbic,Why didn't the black man cross the road Because he couldn't get out of my basement,"[""black folks""]","[""black folks are lazy"", ""black folks are poor"", ""black people are lazy"", ""black people belong in basements"", ""blacks should remain slaves"", ""keeping a black person as their slave""]"
The stereotype communicated by this sentence is that people who are over 20 and a virgin are ugly,This sentence communicates the stereotype that ugly people are virgins,are ugly,ugly men are virgins.,text-davinci-001,text-davinci-002,baseline,human,sbic,"How to tell if you are ugly
If you are over 20 and a virgin, and it's not by choice, then you are ugly.","[""ugly folks""]","[""ugly men are virgins."", ""ugly men can't get women""]"
Jews are the only people who meet Santa,jewish people are inferior,The stereotype that this sentence communicates is that Jews are the only people who are able to meet Santa because they are the only ones who can fit in the chimney,jewish people are always whining about the holocaust,text-davinci-001,baseline,text-davinci-002,human,sbic,"Isn’t it ironic how Jews are the only people who meet Santa? Then again, they’re the only ones in the chimney.","[""jewish folks""]","[""jewish people are always whining about the holocaust"", ""jewish people are worthless."", ""jewish people deserve to die."", ""jewish people hate christmas"", ""jewish people were burned alive"", ""jewish people were massacred""]"
women are inferior,are objects of sex,This sentence communicates the stereotype that men like their women to be old and stored away,This sentence communicates that people who like wine aged and stored in a cellar are old fashioned and traditional,baseline,human,text-davinci-002,text-davinci-001,sbic,i like my women like my wine aged <number> years and stored in the cellar,"[""women""]","[""are objects of sex"", ""should be held captive to provide sex"", ""women are at the command of men"", ""women are for sex"", ""women are of lower status than men"", ""women can be locked up""]"
are libtards,This sentence communicates the stereotype that snowflake libtards are people who are overly sensitive and easily offended,comapred to mentally disabled in a negative way,"The stereotype that this sentence communicates is that people who speak the language ""Snowflake libtard"" are unintelligent",baseline,text-davinci-002,human,text-davinci-001,sbic,There is one language I don't understand and that language is.....Snowflake libtard!,"[""liberals""]","[""comapred to mentally disabled in a negative way"", ""dumb"", ""overly sensitive"", ""stupid""]"
black folks are inferior,Black people are lazy,"This sentence communicates that black people are not currently receiving the same rights as other groups, and that this is wrong",black people are property,baseline,text-davinci-001,text-davinci-002,human,sbic,Black people deserve the same rights and the civil rights act wasn’t a mistake. Lock if u disagree.,"[""black folks""]","[""black people are property"", ""black people are worthless"", ""black people shouldn't have rights""]"
The stereotype that this sentence communicates is that black people are dirty and dangerous,black people are always horny,The stereotype communicated by this sentence is that black people are more likely to have HIV than other groups of people,black folks are inferior,text-davinci-002,human,text-davinci-001,baseline,sbic,"Why do they say, ""once you go black, you never go back?"" Because HIV really limits your options.","[""black folks""]","[""black people are always horny"", ""black people are dirty"", ""black people have diseases"", ""black people like to date white people"", ""have diseases"", ""have std's""]"
ethiopians are dangerous,are starving,The stereotype that this sentence communicates is that driving a food truck across Ethiopia is dangerous,Ethiopians are known for their dangerous rallies,baseline,human,text-davinci-002,text-davinci-001,sbic,What's the most dangerous rally on earth? Driving a food truck across Ethiopia.,"[""Ethiopia"", ""Ethiopians""]","[""are starving"", ""ethiopia is poor"", ""ethiopians are criminals"", ""ethiopians are starving"", ""ethiopians have no food and would chase a food truck"", ""making light of poverty""]"
This sentence communicates the stereotype that women are overbearing and clingy,refers to women as bitches,Black people are loud,women are mad,text-davinci-002,human,text-davinci-001,baseline,sbic,Bitches really be mad when u can just stop speaking to them suddenly.... we ain't married bitch I honestly could care less,"[""women""]","[""refers to women as bitches"", ""women are clingy in relationships"", ""women exist to please men"", ""women should not be respected if you're not married to them""]"
alabamians have close dna ties,The stereotype that this sentence communicates is that white people are boring and unimaginative,are inferior,Southerners are generally considered to be more religious than people from other parts of the country,human,text-davinci-002,baseline,text-davinci-001,sbic,alabama where eharmony and ancestry are the same website .,"[""Alabamians"", ""people from alabama"", ""rural living"", ""southerners""]","[""alabamians have close dna ties"", ""alabamians partake in incest"", ""commits incest"", ""date extended family"", ""have children with extended family"", ""is inbred"", ""people from alabama are inbred"", ""people from alabama are stupid"", ""southerners are inbred"", ""southerners commit incest""]"
This sentence communicates the stereotype that women are not as intelligent as men,are sexist,The stereotype that this sentence communicates is that men are not easily offended,that woman were not considered human,text-davinci-002,baseline,text-davinci-001,human,sbic,Why are sexist jokes great? Cause they can't offend a human,"[""women""]","[""that woman were not considered human"", ""that women are less"", ""woman are easily offended."", ""women are inferior"", ""women are inhuman/less than human"", ""women aren't human.""]"
"The stereotype communicated by this sentence is that people in the group ""disabled kids"" are immature and lack social skills",disabled kids are ar-15s,The stereotype is that disabled kids are perverted and sexually active,don't have control of themselves,text-davinci-001,baseline,text-davinci-002,human,sbic,Dicks are basically ar-15s Only disabled kids whip em out in class,"[""mentally disabled folks"", ""physically disabled folks""]","[""don't have control of themselves"", ""mentally disabled folks are stupid"", ""mentally disabled folks are violent"", ""show their private areas in public""]"
The stereotype that this sentence communicates is that immigrants are terrorists,"Swedes are known for being welcoming and tolerant of immigrants, but there is a growing concern over the number of radical Islamic terrorists in the country",muslim folks are terrorists,are not radical islamic,text-davinci-002,text-davinci-001,human,baseline,sbic,Hey #Sweden how you liking those immigrants now? #Stockholm Wonder how many will say it's not radical islamic terro… https://t.co/7V9UWL3S5f,"[""immigrants"", ""muslim folks"", ""muslim folks, immigrants""]","[""muslim folks are terrorists"", ""muslim folks should be denied human rights"", ""muslims immigramts are extremists"", ""muslims immigrants are terrorists"", ""radical"", ""terrorists""]"
