Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,additional_labels,hypothesis,labels,premise
"The hypothesis suggests that the place is very peaceful, which is in line with the premise","The hypothesis suggests that the place is secluded, away from the frequently traveled routes and not well-known",The relationship between the premise and the hypothesis is entailed,"To be off the beaten track means to be away from the frequently traveled routes, and in this context the place is also described as being little-known or in a remote area.",text-curie-001,text-babbage-001,text-ada-001,human,flute,"To be off the beaten track means to be away from the frequently traveled routes, and in this context the place is also described as being little-known or in a remote area.","The place is off the beaten track, very peaceful.",Entailment,"The place is secluded, away from the frequently traveled routes and not well-known, very peaceful."
The figurative language in the hypothesis suggests that it is beautiful and cool how people around my apartment building just toss their cigarettes on the ground,"The relationship between the premise and the hypothesis is that the hypothesis is true, and the premise is that people might do this because the hypothesis is true","Cigarette butts are often unsightly and produce an unpleasant smell, so finding them littered around someone's apartment building is not cool or beautiful by any means.",The hypothesis is that people around the apartment building just toss their cigarettes on the ground because it's cool,text-curie-001,text-ada-001,human,text-babbage-001,flute,"Cigarette butts are often unsightly and produce an unpleasant smell, so finding them littered around someone's apartment building is not cool or beautiful by any means.",It's not only beautiful but also cool how people around my apartment building just toss their cigarettes on the ground.,Contradiction,I'm so mad at people around my apartment just throwing their used cigarettes all over the sidewalk.
"A queen from King Arthur's court would be an elegant and regal figure, looking  frail and ethereal, yet somehow powerful","The hypothesis suggests that anita looks frail and ethereal, yet somehow powerful",The hypothesis suggests that Anita looked like an aged queen from king arthur's court,"The language in the hypothesis is figurative, which means it is not literal",human,text-babbage-001,text-curie-001,text-ada-001,flute,"A queen from King Arthur's court would be an elegant and regal figure, looking  frail and ethereal, yet somehow powerful","In it, anita looked like an aged queen from king arthur's court.",Entailment,"In it, anita looked frail and ethereal, yet somehow powerful"
The hypothesis uses figurative language to describe the relationship between the premise and the best friend,Being abandoned at a bar by your best friend while you are drunk and with a random stranger is pretty scary and not something that a good friend would do,"The hypothesis suggests that the best friend abandoned my at the bar with a random stranger while I was drunk, which would be an entailment",The relationship between the premise and the hypothesis is an entailed relationship,text-curie-001,human,text-babbage-001,text-ada-001,flute,Being abandoned at a bar by your best friend while you are drunk and with a random stranger is pretty scary and not something that a good friend would do,My best friend abandoned me at the bar with a random dude while I was hammered instead of getting me home,Entailment,My best friend left me alone at the bar with a random stranger while I was drunk instead of getting me home
"The relationship between the premise and the hypothesis is that the hypothesis is correct, and the premise is that it is incorrect",The hypothesis is that the time I ate a raw oyster and got food poisoning made me feel like the grossest person ever,The figurative language in the hypothesis suggests that the author feels like the grossest person ever after eating a raw oyster,Food poisoning is an incredibly unpleasant experience and often leaves people feeling very nauseous and disgusted with themselves,text-ada-001,text-babbage-001,text-curie-001,human,flute,Food poisoning is an incredibly unpleasant experience and often leaves people feeling very nauseous and disgusted with themselves,The time I ate a raw oyster and got food poisoning made me feel like the grossest person ever,Entailment,I once ate a raw oyster and got food poisoning and I've never felt so gross.
The figurative language in the hypothesis is filled with implications and implications are very clear,Losing valuable items in a fire would be really upsetting and not something to feel overjoyed about.,The figurative language in the hypothesis suggests that the author is overjoyed to find out that their storage unit burned down and they lost several valuable items,The hypothesis implies that the protagonist is overjoyed to find out their storage unit burned down and lost several valuable items,text-ada-001,human,text-curie-001,text-babbage-001,flute,Losing valuable items in a fire would be really upsetting and not something to feel overjoyed about.,Overjoyed to find out my storage unit burned down and I had lost several valuable items,Contradiction,I found out my storage unit burned down and I had lost several irreplaceable items
"The hypothesis suggests that the husband forgot wife's birthday, which would be a figurative language statement",The figurative language in the hypothesis suggests that the husband feels great about forgetting his wife's birthday,Forgetting one's wife's birthday is a really bad thing to do and so who feeling great about it cannot be considered normal.,The relationship between the premise and the hypothesis is entailed,text-babbage-001,text-curie-001,human,text-ada-001,flute,Forgetting one's wife's birthday is a really bad thing to do and so who feeling great about it cannot be considered normal.,Wife's birthday slipped my mind and I feel great about it.,Contradiction,I forgot about wife's birthday.
"A lost student is someone who is feeling confused and disoriented, which is how the user would feel as they become increasingly distressed.",The relationship between the premise and the hypothesis is that the user becomes more like a lost student,"The hypothesis suggests that as the days go by, the user becomes increasingly distressed",The hypothesis suggests that the user is becoming more like a lost student,human,text-ada-001,text-babbage-001,text-curie-001,flute,"A lost student is someone who is feeling confused and disoriented, which is how the user would feel as they become increasingly distressed.",Yet as the days would pass the user would become more like a lost student.,Entailment,Yet as the days would pass the user would become increasingly distressed
The relationship between the premise and the hypothesis is entailed,The hypothesis is figurative language that suggests the speaker is overwhelmed by the information,The hypothesis is that the speaker is dizzy because they are hearing all of the information in a short amount of time,"To be short and sweet is to be brief while still being satisfying or to the point, and in this context the person is pourign out their feelings concisely and satisfyingly.",text-ada-001,text-curie-001,text-babbage-001,human,flute,"To be short and sweet is to be brief while still being satisfying or to the point, and in this context the person is pourign out their feelings concisely and satisfyingly.","But still, hearing it all poured out so short and sweet when so much was on the line was dizzying.",Entailment,"But still, hearing it all poured out so concisely and satisfyingly when so much was on the line was dizzying."
"The hypothesis is that because the speaker is going to sleep deeply and soundly, they will soundly sleep",The hypothesis suggests that I will sleep like a log because I will be very tired,"To sleep like a log means to experience a very deep and restful sleep, which is what the speaker is expecting to do tonight.",The relationship between the premise and the hypothesis is entailed,text-babbage-001,text-curie-001,human,text-ada-001,flute,"To sleep like a log means to experience a very deep and restful sleep, which is what the speaker is expecting to do tonight.",Because I'm going to sleep like a log tonight.,Entailment,Because I'm going to sleep very deeply and soundly tonight.
The hypothesis uses figurative language to describe the relationship between the premise and the paid employment,The relationship between the premise and the hypothesis is that of an entailed relationship,"Jobs for the boys refers to giving paid employment to your friends, supporters, or relations, which is what the context is referring to.","The hypothesis is that the jobs will be given to people who are good at them, not to people who are related to the person who is applying",text-curie-001,text-ada-001,human,text-babbage-001,flute,"Jobs for the boys refers to giving paid employment to your friends, supporters, or relations, which is what the context is referring to.",But this isn't a case of jobs for the boys.,Entailment,"But this isn't a case of giving paid employment to your friends, supporters, or relations."
The sky overhead had turned murky because of the pollution,The hypothesis suggests that the sky had turned like a polluted body of water,"The sky overhead had turned murky with the clouds in the sky, like a polluted body of water","A body of water can become murky when it is polluted, so the simile is indicating that the sky has become similarly polluted.",text-babbage-001,text-curie-001,text-ada-001,human,flute,"A body of water can become murky when it is polluted, so the simile is indicating that the sky has become similarly polluted.",And the sky overhead had turned like a polluted body of water.,Entailment,And the sky overhead had turned murky
The figurative language in the hypothesis suggests that the author was glad about the good use of their time,The cancellation of the board meeting means that the person who was looking forward to it will not be able to participate in it and so their time was wasted which is not a good thing.,The relationship between the premise and the hypothesis is entailed,The hypothesis is that the last minute cancellation of the board meeting which I was so ready for made me extremely glad about the good use of my time,text-curie-001,human,text-ada-001,text-babbage-001,flute,The cancellation of the board meeting means that the person who was looking forward to it will not be able to participate in it and so their time was wasted which is not a good thing.,The last minute cancellation of the board meeting which I was so ready for made me extremely glad about the good use of my time.,Contradiction,My board meeting which I had prepared for was cancelled at the last minute
The relationship between the premise and the hypothesis is an enti-2,The figurative language in the hypothesis suggests that my coworkers were not at all upset to see me eat my lunch that I had left in the company refrigerator,"Most people would be upset to see their lunch being eaten by someone else, especially if it is coworkers, as it shows a lack of trust and respect.",The hypothesis is that the coworkers were upset because they thought I had left their lunch in the refrigerator,text-ada-001,text-curie-001,human,text-babbage-001,flute,"Most people would be upset to see their lunch being eaten by someone else, especially if it is coworkers, as it shows a lack of trust and respect.",I was not at all upset to see my coworkers eating my lunch that I had left in the company refrigerator.,Contradiction,I was upset and puzzled to see my coworkers eating my lunch I had left in the company refrigerator.
The hypothesis suggests that the relationship between the premise and the hypothesis is one of contradiction,The relationship between the premise and the hypothesis is entailed,The hypothesis is a figurative language statement that means that the business is not likely to succeed,"To throw good money after bad means to try to recoup initial losses by spending more money, but in this context they can't afford to waste more money.",text-curie-001,text-ada-001,text-babbage-001,human,flute,"To throw good money after bad means to try to recoup initial losses by spending more money, but in this context they can't afford to waste more money.","He wasn't sure she'd find enough clients in chance creek, anyway, and they couldn't afford to throw good money after bad.",Entailment,"He wasn't sure she'd find enough clients in chance creek, anyway, and they couldn't afford to waste more money on something that was already a lost cause."
"The simile is used to describe the overwhelming nature of the bright snarled ball that sparked in millions of colors, and how the speaker was so focused on holding her hand that he barely even noticed them.","The figurative language in the hypothesis suggests that the network of lights inside of her was like a bright, sparking ball that was flaring in millions of colors",The hypothesis is that the rich and complex network of lights inside of her is a bright snarled ball that sparks in millions of colors,"The relationship between the premise and the hypothesis is that they are both focused on holding hands, but the relationship is different in that the hypothesis is based on a relationship between a rich person and their hand-carrying customer",human,text-curie-001,text-babbage-001,text-ada-001,flute,"The simile is used to describe the overwhelming nature of the bright snarled ball that sparked in millions of colors, and how the speaker was so focused on holding her hand that he barely even noticed them.","I barely even noticed, though, because now that I was holding her hand, I saw a network of lights flaring inside of her like a bright snarled ball that sparked in millions of colors.",Entailment,I barely even noticed the rich and complex network of lights inside of her because I was so focused on holding her hand.
The relationship between the premise and the hypothesis is an entailed relationship,The hypothesis suggests that the person who took my debit card without my knowledge is overjoyed,The figurative language in the hypothesis suggests that the author is overjoyed that their boyfriend took their debit card without them knowing,"If someone's boyfriend took their debit card without them knowing, it would more likely lead to feelings of anger or betrayal rather than happiness and overjoy.",text-ada-001,text-babbage-001,text-curie-001,human,flute,"If someone's boyfriend took their debit card without them knowing, it would more likely lead to feelings of anger or betrayal rather than happiness and overjoy.",I am overjoyed that my boyfriend probably took my debit card without me knowing,Contradiction,I think my boyfriend took my debit card again
The hypothesis suggests that the speaker was trying to make the other person angry or irritated by teasing them,The relationship between the premise and the hypothesis is entailed,The hypothesis suggests that the person was trying to get a rise out of her,"To get a rise out of someone means to provoke an angry or irritated response, which is what he was trying to do by teasing her.",text-babbage-001,text-ada-001,text-curie-001,human,flute,"To get a rise out of someone means to provoke an angry or irritated response, which is what he was trying to do by teasing her.",He was doing this on purpose; trying to get a rise out of her.,Entailment,He was doing this intentionally; trying to make her angry or irritated by teasing her.
"The coyotes in the den were sizing her up, and she seemed calm and collected","The hypothesis is that the woman was calm, which is implied by the use of figurative language",The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship between the premise and the hypothesis is as follows:The relationship,A kitten in a den of coyotes would be scared and not calm,text-curie-001,text-babbage-001,text-ada-001,human,flute,A kitten in a den of coyotes would be scared and not calm,She was like a kitten in a den of coyotes.,Contradiction,She was calm.
The hypothesis uses a few words that are figurative language,"A pompous beauty guru is someone who is full of themselves and their own importance, so describing oneself without sounding like a pompous beauty guru would mean not coming across as arrogant.",The figurative language in the hypothesis suggests that the author is not as arrogant as they seem,The hypothesis is that the real self is a composite of all the different parts of the person that the individual believes make up their identity,text-ada-001,human,text-curie-001,text-babbage-001,flute,"A pompous beauty guru is someone who is full of themselves and their own importance, so describing oneself without sounding like a pompous beauty guru would mean not coming across as arrogant.",Describe your 'real' self in third person without sounding like a pompous beauty guru.,Entailment,Describe your 'real' self in third person without sounding arrogant
The hypothesis uses figurative language to describe panic as a virus,"The hypothesis suggests that panic is sweeping through the streets slowly, like an ambitious virus",The relationship between the hypothesis and the evidence is entailed by the figurative language in the hypothesis,"A virus is known to spread quickly and be ambitious in its goal to infect as many hosts as possible, whereas if something is sweeping through the streets slowly, it is not ambitious",text-curie-001,text-babbage-001,text-ada-001,human,flute,"A virus is known to spread quickly and be ambitious in its goal to infect as many hosts as possible, whereas if something is sweeping through the streets slowly, it is not ambitious",Panic is sweeping through the streets like an ambitious virus.,Contradiction,Panic is sweeping through the streets slowly
The relationship between the premise and the hypothesis is entailed,The hypothesis is that the protagonist has not experienced any of the range from blinding rage - rage so potent that it has eaten her from inside out,"To run the gamut means to cover or extend across a wide and varied range, but in this context she has not experienced any of the emotions in the range","The figurative language in the hypothesis suggests that the woman has gone through a range of emotions, from blinding rage to something less intense",text-ada-001,text-babbage-001,human,text-curie-001,flute,"To run the gamut means to cover or extend across a wide and varied range, but in this context she has not experienced any of the emotions in the range",She has run the gamut from blinding rage - rage so potent that it has eaten her from inside out.,Contradiction,She has not experienced any of the range from blinding rage - rage so potent that it has eaten her from inside out.
"The hypothesis implies that the black desert is covered in iron silences, which is a figurative language term meaning that it is completely dark and silent",The relationship between the premise and the hypothesis is that of a contradiction,"The hypothesis suggests that the black desert was covered in iron silences, which would suggest that it was raining in iron silences","Here, the word rained is used to mean that it is convering something.",text-babbage-001,text-ada-001,text-curie-001,human,flute,"Here, the word rained is used to mean that it is convering something.",Black desert rained in iron silences.,Entailment,Black desert covered in iron silences.
No one wants their child to be bullied and hence it is ironic that the person is pleased about it.,The figurative language in the hypothesis suggests that the daughter is being praised for being bullied,The hypothesis suggests that the daughter is being bullied because she is different than the other students in her class,The relationship between the premise and the hypothesis is entailed,human,text-curie-001,text-babbage-001,text-ada-001,flute,No one wants their child to be bullied and hence it is ironic that the person is pleased about it.,I am so pleased that my daughter is being bullied at school and the teachers are not doing anything about it,Contradiction,My daughter is being bullied at school and her teachers aren't doing a thing about it.
The sound of a knock at night usually means that there is an emergency or something dangerous and so someone feeling loved and appreciated from it is not realistic.,The figurative language in the hypothesis is that the sound of a knock at my door late at night is a sign of love and appreciation,The hypothesis is that the sound of a knock at my door late at night makes me feel totally loved and appreciated,The figurative language in the hypothesis suggests that the sound of a knock at my door late at night makes me feel like I am the most important person in the world,human,text-ada-001,text-babbage-001,text-curie-001,flute,The sound of a knock at night usually means that there is an emergency or something dangerous and so someone feeling loved and appreciated from it is not realistic.,The sound of a knock at my door late at night makes me feel totally loved and appreciated.,Contradiction,I was terrified when I heard a knock at my door late at night
The figurative language in the hypothesis suggests that the cookies were a total disaster,The hypothesis is that the vegan cookies were terrible because they were not vegan,When something that is anticipated to be good turns out to be bad it is often disappointing and this was the case for the vegan cookies,The relationship between the premise and the hypothesis is entailed,text-curie-001,text-babbage-001,human,text-ada-001,flute,When something that is anticipated to be good turns out to be bad it is often disappointing and this was the case for the vegan cookies,"I was so excited to try out this vegan cookie recipe, but they turned out to be a total disaster",Entailment,I tried following a recipe for vegan cookies and they turned out horribly.
"The hypothesis suggests that by ruining the character's life, one can create a better one","The word destroy in another sentences is used to mean something that is negative and irreversible, e.g., the child's character, while forming typically connotes something that is positive and constructive.",The relationship between the premise and the hypothesis is that the young child's character is entailed,The figurative language in the hypothesis suggests that the child's life will be ruined if their character is ruined,text-babbage-001,human,text-ada-001,text-curie-001,flute,"The word destroy in another sentences is used to mean something that is negative and irreversible, e.g., the child's character, while forming typically connotes something that is positive and constructive.",Form the young child's character.,Contradiction,Destory a little child's life by ruining their character.
The hypothesis suggests that the protagonist was beaming with joy when their girlfriend kissed another guy at the party,The figurative language in the hypothesis suggests that the author was happy when their girlfriend kissed another guy at the party,The girlfriend kissing another guy at the party is not something to be happy about and is instead a cause for jealousy and anger.,The relationship between the premise and the hypothesis is entailed,text-babbage-001,text-curie-001,human,text-ada-001,flute,The girlfriend kissing another guy at the party is not something to be happy about and is instead a cause for jealousy and anger.,I was beaming with joy when my girlfriend kissed another guy at the party,Contradiction,I felt betrayed when my girlfriend kissed another guy at a party.
The hypothesis uses figurative language to suggest that Bugsy will go to the mat for him even if Elton says he did it,The relationship between the premise and the hypothesis is entailed,The hypothesis is that Bugsy did not do it,"To go to the mat for someone means to give them full support, which is what the speaker is saying they will do for Bugsy.",text-curie-001,text-ada-001,text-babbage-001,human,flute,"To go to the mat for someone means to give them full support, which is what the speaker is saying they will do for Bugsy.","Bugsy, if you tell me you didn't do it, i'll go to the mat for you, no matter what elton says.",Entailment,"Bugsy, if you tell me you didn't do it, i'll stand up for you and fight for you, no matter what elton says."
The relationship between the premise and the hypothesis is entailed,The hypothesis suggests that life is challenging you to take action in response to opportunities and crises,The hypothesis uses figurative language to describe life as asking you to step up to the plate,"To step up to the plate means to take action in response to an opportunity or crisis, which is what life is asking the person to do.",text-ada-001,text-babbage-001,text-curie-001,human,flute,"To step up to the plate means to take action in response to an opportunity or crisis, which is what life is asking the person to do.",Life is asking you to step up to the plate.,Entailment,Life is challenging you to take action in response to an opportunity or crisis.
The relationship between the premise and the hypothesis is entailed,The hypothesis uses figurative language to describe the relationship between the premise and the conclusion,It would not be a happy moment to see your best friend with your ex considering the history between the two of you and the fact that they are now dating each other.,The hypothesis suggests that the best friend saw the ex-girlfriend yesterday and it made him elated,text-ada-001,text-curie-001,human,text-babbage-001,flute,It would not be a happy moment to see your best friend with your ex considering the history between the two of you and the fact that they are now dating each other.,"Yesterday, I saw my best friend in the park and it made me absolutely elated to see him with my ex.",Contradiction,"Yesterday, I saw my best friend in the park, he was with my ex."
Telemarketers often call people's houses without their consent and so not being able to get a word in shows how much they disregard the person they are talking to.,The relationship between the premise and the hypothesis is entailed,The figurative language in the hypothesis suggests that the telemarketer enjoys calling my house because it's hard for me to get a word in,The hypothesis is that the telemarketer's call bothers the person because they don't want to be heard,human,text-ada-001,text-curie-001,text-babbage-001,flute,Telemarketers often call people's houses without their consent and so not being able to get a word in shows how much they disregard the person they are talking to.,I just love it when telemarketers call my house because it's really frustrating not to be able to get a word in.,Contradiction,It really bugs me when telemarketers call my house.
The hypothesis suggests that the person who tripped and fell was proud of themselves,The figurative language in the hypothesis is that people see,Tripping while walking into a restaurant is not a good thing because it makes the person look clumsy and incapable in front of others.,The figurative language in the hypothesis suggests that the person felt proud of themselves because they tripped,text-babbage-001,text-ada-001,human,text-curie-001,flute,Tripping while walking into a restaurant is not a good thing because it makes the person look clumsy and incapable in front of others.,I felt so proud of myself when I tripped while walking into the restaurant and everyone saw .,Contradiction,I accidentally tripped while walking into a restaurant and there was a bunch of people around.
The relationship between the premise and the hypothesis is an entailed relationship,It is often unfair when one sibling is given more resources than another and in this case it seems particularly unjust because the sister who is being given more resources is an adult,"The hypothesis is that the family buys the sister things because they want to help her out, but the figurative language in the hypothesis suggests that the family actually feels terrible that they can't help her out",The hypothesis uses figurative language to describe the relationship between the premise and the individual,text-ada-001,human,text-babbage-001,text-curie-001,flute,It is often unfair when one sibling is given more resources than another and in this case it seems particularly unjust because the sister who is being given more resources is an adult,I feel terrible that my family buys my adult sister things all the time but can't really help me out when I need it,Entailment,My family buys my adult sister things all the time but can't really help me out when I need it.
The figurative language in the hypothesis suggests that the person felt intelligent or proud of themselves when they found out they had failed,The relationship between the premise and the hypothesis is entailed,The hypothesis is that the feeling of failure is a figurative language used to communicate the feeling of being smartly defeated,Failure is not an achievement and finding out that you have failed at something is not a feeling that would make someone feel intelligent but rather bad and stupid.,text-curie-001,text-ada-001,text-babbage-001,human,flute,Failure is not an achievement and finding out that you have failed at something is not a feeling that would make someone feel intelligent but rather bad and stupid.,I felt so intelligent when I found out that I failed.,Contradiction,I definitely did not feel good about it when I found out I failed.
It is natural to feel anxious about doing something for the first time that is considered dangerous like sky diving,The relationship between the premise and the hypothesis is as follows:A: EntailmentB: Contradiction,"The hypothesis suggests that the author is anxious about the jump, but the language in the sentence suggests that the author is not actually anxious about the jump",The hypothesis is saying that I am anxious about the fact that I am going to be jumping out of an airplane for the first time this weekend,human,text-ada-001,text-babbage-001,text-curie-001,flute,It is natural to feel anxious about doing something for the first time that is considered dangerous like sky diving,I am anxious about the fact that I am going to be jumping out of an airplane for the first time this weekend,Entailment,I'm signed up to go sky diving for the first time this weekend but I am nervous.
"Departing typically means to leave or go away, while arriving typically means to come or get to a place.",The relationship between the premise and the hypothesis is entailed,"The hypothesis suggests that the night arrives quickly, implying that the two characters are talking about something that will happen soon",The hypothesis suggests that the darkness of night arrived while they were speaking,human,text-ada-001,text-babbage-001,text-curie-001,flute,"Departing typically means to leave or go away, while arriving typically means to come or get to a place.","While they spake , the night  departed  :.",Contradiction,"While they spoke , the darkness of night arrived.."
The hypothesis suggests that the best day ever happened when my phone fell off my car and shattered,Dropping or losing a phone is usually a very traumatic experience for most people because it means they have to spend more money to repair it or get a new one and hence can make them feel upset or like they have had the worst day ever.,The relationship between the premise and the hypothesis is entailed,The figurative language in the hypothesis suggests that the Shattered Phone Hypothesis is the best day ever,text-babbage-001,human,text-ada-001,text-curie-001,flute,Dropping or losing a phone is usually a very traumatic experience for most people because it means they have to spend more money to repair it or get a new one and hence can make them feel upset or like they have had the worst day ever.,"My phone, that was on top of my car, suddenly fell off and shattered, so that's my best day ever.",Contradiction,"I am so upset, my phone was on top of my car and it fell off and shattered."
The relationship between the premise and the hypothesis is entailed,The hypothesis suggests that anyone who would go so far as to break into another's home is seriously deranged,The hypothesis is a figurative language statement that means that the person is seriously deranged,"To go so far as to do something means to do something extreme, but breaking into someone's home is not an extreme act",text-ada-001,text-curie-001,text-babbage-001,human,flute,"To go so far as to do something means to do something extreme, but breaking into someone's home is not an extreme act",Anyone who would go so far as to break into another's home is seriously deranged.,Contradiction,Someone who would do something as small as break into another's home is seriously deranged.
The relationship between the premise and the hypothesis is entailed,"""It sucks how my best friend just got a beautiful Lamborghini while I am still driving my 1998 Honda Civic""The figurative language in the hypothesis suggests that the best friend's Lamborghini is a downgrade from the friend's own car","The hypothesis suggests that the best friend's Lamborghini is a terrible investment, but the figurative language in the hypothesis suggests that the best friend is very happy with the car",There is often a lot of envy that comes along with seeing friends succeed in life while someone is struggling,text-ada-001,text-curie-001,text-babbage-001,human,flute,There is often a lot of envy that comes along with seeing friends succeed in life while someone is struggling,It sucks how my best friend just got a beautiful Lamborghini while I am still driving my 1998 Honda Civic,Entailment,"Man, my best friend just got a Lamborghini!"
The relationship between the premise and the hypothesis is entailed,The hypothesis is that the pain is intense because the person is experiencing it for the first time,The hypothesis uses figurative language to describe the pain as being like a sharp dagger,"A sharp dagger is a very painful object, so the simile is emphasizing the intensity of the pain.",text-ada-001,text-babbage-001,text-curie-001,human,flute,"A sharp dagger is a very painful object, so the simile is emphasizing the intensity of the pain.",I knew there was pain but this was like a sharp dagger.,Entailment,"I knew pain existed, and this was intense."
