premise,hypothesis,labels,additional_labels,Generated,Generated_Label,Model,Task
The faculty meeting was peaceful.,The faculty meeting was a real war.,Contradiction,"Here, one statement suggests that there was a lot of disagreement during the meeting whereas the other suggests it was a peaceful event.","A real war is a violent event that is not peaceful, so the faculty meeting was peaceful.",Contradiction ,baseline,flute
He winked as a way of saying that he was just a good-looking person and didn't have any other great qualities.,"I'm not just a pretty face, he claimed with a wink.",Contradiction,"Not just a pretty face means to have other great qualities beyond what was assumed, but the wink in this context is a way of saying that he doesn't have any other great qualities",A pretty face is a person who is not good looking and so saying that he is not a good-looking person is not a good thing.,Contradiction ,baseline,flute
Look at lucy - very skinny and slender.,Look at lucy - thin as a rake. ',Entailment,"To be thin as a rake means to be extremely skinny or slender, as is the case with Lucy.","A rake is a large, heavy object that is very thin and slender, so the idiom thin as a rake is not accurate.",Contradiction ,baseline,flute
I went to a baby shower for my friend the other day only to realize I bought a present for a baby boy and not a baby girl!,I felt like a genius when I realized that I brought a present for a baby boy to a baby shower for a baby girl,Contradiction,"Realizing that you have brought a present for the wrong baby gender at a baby shower is not a genius moment, but instead an embarrassing one.",A gift for a baby boy is a gift that is meant to be given to someone else and so someone who brought a present for a baby boy to a baby shower for a baby girl would not feel like a genius.,Contradiction ,baseline,flute
"without taking anything else into consideration, she had chosen to do what she enjoyed most - working with young children.",at the end of the day she had chosen to do what she enjoyed most - working with young children.,Contradiction,"The idiom at the end of the day means when everything else has been taken into consideration, but this sentence describes a situation where she didn't consider anything else","To end the day means to do something that is not enjoyable, but rather something that is not enjoyable.",Contradiction ,baseline,flute
We'll never know unless we try it out.,We 'll never know unless we give it a whirl.,Entailment,"To give it a whirl means to try something out, so in this sentence trying it out is the only way to know.","To give something a whirl means to try it out, but in this context the speaker is saying that they will never know unless they try it out.",Contradiction ,baseline,flute
And he got punished by his own wishes.,And his wishes served to  guide  him .,Contradiction,"To serve as a guide means to lead or direct someone, while to be punished by one's own wishes would suggest that those wishes led to negative consequences.","To guide someone means to guide them, but in this context the wishes served to guide him.",Contradiction ,baseline,flute
He did not bring anything new to his performance.,He injected new life into the performance.,Contradiction,"To inject new life into something means to make it more exciting or vibrant, while not doing anything new could be unenjoyable.","To inject new life means to bring something new to a performance, but in this context he did not bring anything new.",Contradiction ,baseline,flute
The flowers stopped in the gentle breeze.,The flowers danced in the gentle breeze.,Contradiction,"To dance means to move nimbly or gracefully, while to stop means to come to an end or a halt.","The flowers danced in the gentle breeze means that they stopped or stopped in the breeze, while the flowers stopped in the breeze means that they stopped or stopped.",Contradiction ,baseline,flute
"I had no friends in high school, misery is being surrounded by an entire class and no one talking to you.",I felt terrible that I had no friends in high school and felt like an outsider,Entailment,It is common to feel terrible and like an outsider when someone has no friends in high school because humans are social creatures and need companionship,"An outsider is someone who is not a friend and is not a friend, so feeling like an outsider is not a good thing.",Contradiction ,baseline,flute
"After weeks of being cooped up in that house, my words come out huffed, pitched high and strong.","After all these weeks of being shut in that house, my words appear like an engine whistle",Entailment,"An engine whistle is loud and piercing, and it is used to indicate that the engine is about to start, so the simile indicates the voice is loud and piercing.","An engine whistle is a loud, loud and strong sound, so the words are huffed, pitched high and strong.",Contradiction ,baseline,flute
The critics praised the broadway production.,The critics paid tribute to this broadway production.,Entailment,The critics gave the broadway production very high praise.,"To pay tribute to something means to praise it, but in this context the critics praised the broadway production.",Contradiction ,baseline,flute
"Looking at the night sky, the stars are pretty dim.",The stars sparkle in the night sky.,Contradiction,"To sparkle means to shine brightly, while to be dim means to be not very bright.","The stars sparkle in the night sky means that they are bright and bright, but in this context the stars are pretty dim.",Contradiction ,baseline,flute
"Once we commit to a significant response, it needs to be successful.","Once we commit to a significant response, it needs to bear fruit.",Entailment,"To bear fruit means to yield results, so in this sentence a significant response needs to be successful.","To bear fruit means to be successful, but in this context the response needs to be successful.",Contradiction ,baseline,flute
The waiter spilled coffee on my $1000 suit.,The waiter's carelessness made me feel an overbearing sense of joy when he spilled coffee on my $1000 suit,Contradiction,The suit is a valuable item and so getting coffee spilled on it would cause one to feel upset and not joyous.,The waiter's carelessness makes someone feel a sense of joy when they spill coffee on their suit and so the person is not feeling joy at all.,Contradiction ,baseline,flute
I ordered a chicken sandwch and the chicken was still very pink/ red in the middle,I felt sick after seeing that the chicken in my sandwich was still very pink/ red in the middle,Entailment,"Undercooked chicken can often cause food poisoning and so when somebody sees that the chicken they ordered is still pink or red in the middle, it often makes them feel sick",The chicken in a sandwich is usually very pink/ red and so someone who is sick after seeing it is not likely to feel sick.,Contradiction ,baseline,flute
He turned away from me in great anger and resentment.,He turned away from me in high dudgeon.,Entailment,"To be in high dudgeon means to be with resentment or angrily, which is why he turned away from the speaker in great anger.","To be in high dudgeon means to be angry or angry, but in this context the speaker is expressing great anger and resentment.",Contradiction ,baseline,flute
"And truth denied , and righted wrong.","And truth exalted, and righted wrong.",Contradiction,"If truth is exalted, it means it is held in high esteem or considered to be important, while if truth is denied, it means it is rejected or not believed.","To exalt means to be praised or praised, while to deny means to be denied or righted wrong.",Contradiction ,baseline,flute
"That might be typical corporate thinking when you were in a stressful situation that required quick action, but with technologies like these it was dangerous as hell.","That might be typical corporate thinking when you were under the gun, but with technologies like these it was dangerous as hell.",Entailment,"To be under the gun means to be in a stressful situation that requires quick action, and this context is saying that such thinking is dangerous when technologies are involved.","To be under the gun means to be in a stressful situation that requires quick action, but in this context the situation is stressful and requires quick action.",Contradiction ,baseline,flute
I got behind a slow driver and it ticked me off because it made me late to work.,It put me in the greatest of moods when I followed the slow driver and it made me late for work.,Contradiction,Following a slow driver is not the best way to get to work on time and so it is understandable to be in a bad mood after that.,It is not a good thing to follow a slow driver and it is not a good thing to be late for work,Contradiction ,baseline,flute
Then it's not progressing and expecting a pause to a whole bunch of other stuff.,Then its off and running to a whole bunch of other stuff.,Contradiction,"To be off and running means to have begun and progressing well, but this context describes the opposite where it's not progressing and expecting a pause.","To be off and running means to be in a hurry, but in this context it is expecting a pause.",Contradiction ,baseline,flute
We tried to have kids for a long time but each pregnancy just resulted in miscarriage.,"We feel so terrible that every time we tried to have kids, it resulted in a miscarriage",Entailment,It's really heartbreaking when a couple tries to have kids but are unsuccessful and each pregnancy just results in a miscarriage,Most people would not feel terrible about having kids because they are not able to have them and so trying to have kids often results in miscarriage.,Contradiction ,baseline,flute
Nor was she about to allow a stranger to act respectfully and appropriately towards her!.,Nor was she about to allow a stranger to take liberties with her!,Contradiction,"To take liberties with someone means to act disrespectfully or inappropriately, but the context describes the opposite behavior","To take liberties with someone means to act respectfully and appropriately, but in this context the person was not acting respectfully and appropriately.",Contradiction ,baseline,flute
"To make things worse, a boy was leading a handsome sheep on a string behind him.","To add insult to injury, a boy was leading a handsome sheep on a string behind him.",Entailment,"To add insult to injury means to make a bad situation worse, and in this sentence the boy leading the sheep makes the situation worse.","To add insult to injury means to add insult to injury, but in this context the boy was leading a handsome sheep on a string behind him.",Contradiction ,baseline,flute
I spent a few hundred dollars on a purse which is a lot for me and it started fraying in days.,I can't believe how poorly made the purse I bought for a few hundred dollars is and that it started fraying in days,Entailment,When something is bought for a high price it is often expected to be made of better quality materials and last longer than something that was bought for a lower price so it is understandable to be surprised and upset when it does not meet those expectations,A purse that is poorly made is often very expensive and so someone who spends a few hundred dollars on it and it starts fraying in days is not a good thing.,Contradiction ,baseline,flute
Destory a little child's life by ruining their character.,Form the young child's character.,Contradiction,"The word destroy in another sentences is used to mean something that is negative and irreversible, e.g., the child's character, while forming typically connotes something that is positive and constructive.","To form a child's character means to ruin their character, but in this context the child is ruining their character.",Contradiction ,baseline,flute
Her hair smelled like a delicate fragrance that was lingering around me.,Of that faint fragrance rising from her soft hair.,Entailment,Delicate fragrance means a light scent that is not overwhelming.,"A faint fragrance is a strong, strong, and lingering scent, so the speaker is saying that her hair smelled like it.",Contradiction ,baseline,flute
"Lance deals mostly in coke, but he dabbles in a few other  significant and valuable items, too.","Lance deals mostly in coke, but he dabbles in a few other odds and ends, too.",Contradiction,"To dabble in odds and ends means to deal in small miscellaneous items, but the context describes Lance dealing in significant and valuable items","To odds and ends means to items that are valuable or significant, but in this context Lance deals mostly in coke.",Contradiction ,baseline,flute
He always flashes a smile.,He always wore a smile.,Entailment,Wearing a smile means having a smile on one's face.,"To wear a smile means to wear something, but in this context the speaker is flashing a smile.",Contradiction ,baseline,flute
Jane knew there was potential for conflict when the conversations about the assignments began.,Jane knew these dicsussions were the seeds of a potential conflict.,Entailment,The seeds of a potential conflict means the beginning of a potential conflict.,"The seeds of conflict are often seen as a sign of conflict, so Jane knew that the conversations about the assignments were the seeds of a potential conflict.",Contradiction ,baseline,flute
Trying to get rid of house gnats is a pain.,It's really irritating trying to get rid of the house gnats,Entailment,House gnats are often difficult to get rid of and their presence can be very irritating to people,It is not a good thing to try to get rid of house gnats because it can cause a lot of pain and so trying to get rid of them is not a good thing.,Contradiction ,baseline,flute
But then the paper would hear about your bigamist marriage.,But then the paper would get wind of your bigamist marriage.,Entailment,"To get wind of something means to become aware of it, especially if it's being kept secret, and in this sentence the paper would become aware of the bigamist marriage.","To get wind of something means to hear it, but in this context the paper would hear about it.",Contradiction ,baseline,flute
"Maxine fortenberry came in, looking angry and moving slowly.","Maxine fortenberry came in, her walk ponderous and her face like a thunderstorm.",Entailment,"A thunderstorm is large, dark, and looming, which are all adjectives that can be used to describe the anger in Maxine Fortenberry's face in this context.",A thunderstorm is a very strong thunderstorm and so the person's face is ponderous and moving slowly,Contradiction ,baseline,flute
She was wearing sandals with thin soles and high heels.,Her sandals had crepe-thin soles and heels like a wedding cake.,Entailment,"A wedding cake is usually tall and thin, so the simile is emphasizing how thin and tall the heels are.","A wedding cake is a cake that is made of crepe-thin materials, so the speaker is wearing sandals with thin soles and high heels.",Contradiction ,baseline,flute
He was doing this intentionally; trying to make her angry or irritated by teasing her.,He was doing this on purpose; trying to get a rise out of her.,Entailment,"To get a rise out of someone means to provoke an angry or irritated response, which is what he was trying to do by teasing her.","To get a rise means to make someone angry or irritated, but in this context the speaker was trying to make her angry or irritated by teasing her.",Contradiction ,baseline,flute
A now ex-friend of mine revealed a very private secret I told her in confidence not only to our mutual friends but the entire internet!,"I can't believe my now ex-friend betrayed my trust by revealing my very personal secret to not just our mutual friends, but also the entire internet!",Entailment,It is a breach of trust when someone reveals something very personal and private that was told to them in confidence so it is understandable to feel betrayed by an ex-friend who did just that,A now ex-friend is a person who has been a part of the family and so revealing a very private secret to someone is not something to be proud of.,Contradiction ,baseline,flute
I warned you I would be calm and level-headed.,I warned you I'd be a big baby.,Contradiction,"To be a big baby is to be prone to immature behavior, but in this sentence the speaker is warning that they will be calm and level-headed.",A big baby is a baby that is a baby and so the speaker is saying that the speaker is calm and level-headed.,Contradiction ,baseline,flute
You're dull,You're as sharp as a rock,Entailment,"A rock is dull, so the person is saying that the other person is not sharp, or not intelligent.","A rock is a sharp object, so the speaker is saying that they are as sharp as a rock.",Contradiction ,baseline,flute
I am terrified that someone got shot near my house the other day.,I am excited that somebody was just shot near my house and it could happen to me too,Contradiction,Fear and anxiety are not feelings that anyone would want to feel and so being excited about the potential of being shot near one's house is definitely not warranted.,"The idiom excited means excited, but in this context someone is scared and not excited about it.",Contradiction ,baseline,flute
I lost a really important document at work and I'm afraid to tell my boss about it.,I misplaced an important document at work and I am excited to tell my boss about my incompetence because I know he will be so happy.,Contradiction,Losing an important document at work shows a lack of responsibility and carelessness and so reporting it to the boss will only lead to the person being scolded and not happy in any way.,Misplaced documents are often considered to be incompetent and so someone who is excited about it is not likely to be happy.,Contradiction ,baseline,flute
She was an idiot for doing this given all the prior knowledge for what she suspected,She was an idiot for doing this especially in light of what she suspected.,Entailment,To do something in light of means to do it after having prior knowledge which and in this context thats what makes her an idiot.,"To be an idiot means to be a person who has no prior knowledge of what they suspected, but in this context she was an idiot for doing this given all the prior knowledge for what she suspected.",Contradiction ,baseline,flute
Yesterday I wasn't being careful and I crashed my new motorcycle into my neighbors car and completely destroyed both.,Yesterday I was being a very careful person by crashing my new motorcycle into my neighbors car and totally wrecked both,Contradiction,Crashing a motorcycle into a car is not being a careful person and is instead an act of recklessness which caused damage to both vehicles.,Crashing a new motorcycle into someone's car is not a very careful thing to do and so someone who is not being careful is not being a very careful person.,Contradiction ,baseline,flute
"You know what happens if we make a false alarm, Katherine said.","You know what happens if we cry wolf, katherine said.",Entailment,"To cry wolf means to make a false alarm, which is what Katherine is warning against.","Crying wolf means to make a false alarm, but in this context the speaker is saying that they make a false alarm",Entailment ,baseline,flute
"But still, hearing it all poured out so concisely and satisfyingly when so much was on the line was dizzying.","But still, hearing it all poured out so short and sweet when so much was on the line was dizzying.",Entailment,"To be short and sweet is to be brief while still being satisfying or to the point, and in this context the person is pourign out their feelings concisely and satisfyingly.","To be short and sweet means to be concise and satisfying, but in this context hearing it all poured out so concisely and satisfyingly is not satisfying.",Contradiction ,baseline,flute
It's really horrible when a friend backs out at the last second.,Ecstasy is an understatement when it comes to how I feel when a reliable friend cancels on me last minute,Contradiction,"When a friend cancels on someone last minute, it is often disappointing and inconvenient and hence cannot be classified as an ecstatic feeling.","When someone cancels on you at the last minute, it is usually a sign of a friend's inability to do their job and so feeling ecstasy is not a good thing.",Contradiction ,baseline,flute
"Well, your passion certainly seems to have no limits, she smiled, kissing him, but you must admit its strange.","Well, your passion certainly seems to know no bounds, she smiled, kissing him, but you must admit its strange.",Entailment,"To know no bounds means to be without limit or restriction, and in this context the speaker's passion is without limit.","To know no bounds means to have no limits, but in this context the passion seems to have no limits.",Contradiction ,baseline,flute
"I hope that, as neighbours, we may live long in peace and amity, and in the frequent exchange of kindly assistance which should subsist between us.","I hope that, as neighbours, we may live long in peace and amity, and in the interchange of those good offices which should subsist between us.",Entailment,"To exchange good offices is to exchange aid or support, which is what this context is describing.",The interchange of good offices is a very common practice among neighbours and is often seen as a sign of a good relationship and not a sign of a good relationship.,Contradiction ,baseline,flute
She wouldn't have been able to satisfactorily work or operate in the talkies.,She wouldn't have been able to cut the mustard in the talkies.,Entailment,"To cut the mustard means to work or operate in a satisfactory manner, which is what she would have been able to do in the talkies.","To cut the mustard means to work or operate satisfactorily, but in this context she would not have been able to satisfactorily work or operate.",Contradiction ,baseline,flute
"Not a married guy out looking for a quick physical amorous play, but a man who would truly love her.","Not a married guy out looking for a quick slap and tickle, but a man who would truly love her.",Entailment,"A slap and tickle refers to physical amorous play, so the entailment is saying that the man is not just looking for physical play, but for love.","A quick slap and tickle is a quick amorous play, so the speaker is saying that the person is looking for a quick physical amorous play",Contradiction ,baseline,flute
"Everything had been going alright, he was even going to get away with a very light punishment or warning, but then m's.","Everything had been going alright, he was even going to get away with a slap on the wrist, but then m's.",Entailment,"A slap on the wrist is a very mild inconsequential punishment or warning, so getting away with one means that he was going to get away with a very light punishment or warning.","A slap on the wrist is a very light punishment or warning, so the speaker is saying that everything was going alright.",Contradiction ,baseline,flute
"When I was in Costa Rica I was having a lot of trouble with the address of my AirBnB, I was so lost.",I was terrified when I could not find my AirBnB because of the wrong address and got lost in the middle of a foreign country,Entailment,Being in an unfamiliar place is often overwhelming and being lost in a foreign country can be even more so because there is a lack of understanding of the surroundings,Getting lost in a foreign country is often a very scary experience and so getting lost in the middle of a foreign country is not a good thing.,Contradiction ,baseline,flute
The cake was really moist,The cake was as moist as the desert,Contradiction,"The desert is a very dry place, so saying the cake was as moist as the desert means that it was not moist at all","The cake is not as moist as the desert, so the cake is not as moist as the desert",Contradiction ,baseline,flute
"fitting for the new arrival, she's passive and low-energy.","fitting for the new arrival, she's full of beans.",Contradiction,"To be full of beans means to be lively and energetic, but in this sentence she is passive and low-energy","To be full of beans means to be passive and low-energy, but in this context she is passive and low-energy.",Contradiction ,baseline,flute
My vision is obscured and not clear,My vision is as clear as stained glass,Entailment,"A stained glass window is not transparent, so you cannot see through it clearly.","Stained glass is a glass that is opaque and not clear, so the vision is obscured and not clear",Contradiction ,baseline,flute
My first date was terrible as I turned up late and sweaty.,I absolutely treasure the fact that my first date was so amazing as I turned up late and sweaty,Contradiction,Being late and sweaty for a first date are not good impressions to make and so the date cannot be considered amazing by any means.,"To treasure something means to treasure it, but in this context the date was terrible as the date turned up late and sweaty",Contradiction ,baseline,flute
Ken asked in a hinting and suggestive kind of a way.,Ken asked in a nudge nudge wink wink kind of a way.,Entailment,"To nudge nudge wink wink is to draw attention to an innuendo, which is what Ken was doing in the previous statement.","To nudge means to hint or suggest, but in this context Ken is hinting and suggestive.",Contradiction ,baseline,flute
She avoids a lot of nonsense.,She babbles a lot of nonsense.,Contradiction,"To babble means to speak rapidly and incoherently, while to avoid something means to stay away from it or keep it at a distance.","Babbles are often used to describe people who avoid a lot of nonsense, while avoids is used to describe people who avoid a lot of nonsense.",Contradiction ,baseline,flute
I'm signed up to go sky diving for the first time this weekend but I am nervous.,I am anxious about the fact that I am going to be jumping out of an airplane for the first time this weekend,Entailment,It is natural to feel anxious about doing something for the first time that is considered dangerous like sky diving,Sky diving is a very exciting and exciting activity and so someone who is anxious about it is not going to be able to do it.,Contradiction ,baseline,flute
I accidentally tripped while walking into a restaurant and there was a bunch of people around.,I felt so proud of myself when I tripped while walking into the restaurant and everyone saw .,Contradiction,Tripping while walking into a restaurant is not a good thing because it makes the person look clumsy and incapable in front of others.,Tripping while walking into a restaurant is not a good thing and so someone who is proud of themselves is not a good thing.,Contradiction ,baseline,flute
I have a pile of laundry that I've been neglecting...,I have a mountain of laundry that I've been procrastinating on for weeks now,Entailment,"The term ""mountain of laundry"" is often used to describe a large amount of laundry that someone has been procrastinating on for a long period of time",Procrastinating on laundry is often a very frustrating and time-consuming task and so having a mountain of laundry is not something to be proud of.,Contradiction ,baseline,flute
And the sky overhead had turned clear,And the sky overhead had turned like a polluted body of water.,Contradiction,"A polluted body of water is murky and not clear, so the sky turning like one would imply it is murky and not clear","A polluted body of water is a clear, clear, and clear water, so the sky overhead is turning clear",Contradiction ,baseline,flute
"In the dead of summer, in Ohio, the clothes felt cold and dry.","In the dead of summer, in Ohio, the clothes felt like melting rubber.",Contradiction,"Rubber melts in high temperatures, so the simile is saying that the clothes were very hot","Melting rubber is a rubber that is a very hot and dry substance, so the clothes felt cold and dry",Contradiction ,baseline,flute
Then he collided into something soft and fluffy,Then he collided into something like a marshmallow pond.,Entailment,"A marshmallow pond would be expected to be soft and fluffy, so whatever he collided with is soft and fluffy.","A marshmallow pond is a soft and fluffy pond, so he is colliding into something soft and fluffy",Contradiction ,baseline,flute
I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,Contradiction,Giving in to cravings and eating an entire ice cream sundae by oneself is not a good thing because it can lead to weight gain and a feeling of guilt.,Eating an entire ice cream sundae by yourself is not a healthy thing to do and so someone who does not feel proud of themselves for it is not a good thing.,Contradiction ,baseline,flute
I really hate it when girls ghost me on Tinder.,I feel so attractive when girls stop talking to me on Tinder without any explanation,Contradiction,Being ignored on Tinder by matches who suddenly stop talking can be really frustrating and disappointing and hence it is not something to feel attractive about.,Tinder is a very popular social network and so girls who stop talking to you on Tinder without any explanation are not attractive.,Contradiction ,baseline,flute
I felt bad seeing my ex wife kissing her new husband,Seeing my ex wife kissing her new husband made me feel like I was a total winner,Contradiction,No one would feel good about seeing their ex wife kissing someone else,Seeing someone's ex wife kissing their new husband is not a good thing and so feeling like you are a winner is not a good thing.,Contradiction ,baseline,flute
Someone who would do something as small as break into another's home is seriously deranged.,Anyone who would go so far as to break into another's home is seriously deranged.,Contradiction,"To go so far as to do something means to do something extreme, but breaking into someone's home is not an extreme act","To go so far as to break into someone's home means to do something as small as breaking into someone's home, but in this context someone who would do something as small as to break into someone's home is considered to be deranged.",Contradiction ,baseline,flute
He ran quickly to join his comrades around the corner when he ran into a burly German,He darted around a corner to join his comrades when he ran full tilt into a burly german.,Entailment,"To run full tilt means to run as fast as possible, which is what he did when he ran quickly to join his comrades.","To dart around a corner means to run quickly, but in this context he ran quickly to join his comrades",Contradiction ,baseline,flute
It's been getting to me lately that I'm constantly working and never get a break.,It's been totally fine with me lately that I'm always working and never get a break,Contradiction,Having to work all the time and never getting a break cannot be seen as a good thing because it means that someone is overworked and stressed.,"To be pleasing means to be happy, but in this context it is saying that it is not pleasing to be working and never getting a break.",Contradiction ,baseline,flute
I left my friend at the bar the other night.,I abandoned my friend at the bar the other night and I feel so proud of myself,Contradiction,"A good friend would never abandon their friend at a bar, so someone who does that is not a good friend and should not feel proud of themselves.",It is not a good thing to abandon someone at the bar and so someone who is proud of themselves is not a good thing.,Contradiction ,baseline,flute
The love of my life left me for a better man.,"The love of my life left me for someone richer, better looking, and more successful than me",Entailment,"It is common for people to leave their partner for someone who is better in some way than them whether that be in terms of looks, money, or success","A richer, better looking, and more successful person is someone who is more successful and richer than someone who is not richer or better looking.",Contradiction ,baseline,flute
"I was trying to buy a piece of property that had came up on the market, but someone put in a offer quicker than I did and it was sold already.",I am thrilled that I lost the chance to buy the property because someone put in a offer quicker than I did,Contradiction,Losing the chance to buy a property one was interested in because someone else put in an offer before them would not make anyone thrilled but rather disappointed.,It is not a good thing to lose the chance to buy a property because it is not a good deal and so someone who is thrilled about it is not a good thing.,Contradiction ,baseline,flute
"I don't know why they still bother, the costly and meaningless victory which is their only hope, will leave them kings of a mountain of fire and broken glass.","I don't know why they still bother, the pyrrhic victory which is their only hope, will leave them kings of a mountain of fire and broken glass.",Entailment,"A pyrrhic victory is a victory that is not worth achieving because of the excessive toll it takes on the victor, and in this context the victory is described as being costly and meaningless.","The pyrrhic victory is a victory that is costly and meaningless, so the speaker is saying that the victory is costly and meaningless",Entailment ,baseline,flute
