headline,writer_intent,Generated,Model,Task
A comparison of the number of occupied intensive care beds of 2018 and 2020 shows no big difference,"[""coronavirus is not dangerous and doesn't cause burden in intensive care beds at hospitals.""]","ICU bed occupancy stable between 2018 and 2020
334	['biden is going to take a lot of action against climate change.', 'biden is going to follow up on some of his campaign rhetoric with reagrds to the climate.']	Biden has a strong commitment to addressing climate change",chatgpt,mrf
Climate change: Welsh green energy hindered by 'strained' grid capacity,"['welsh green energy has grid capacity issues', 'a truly carbon-free economy is technologically infeasible']",Welsh green energy faces grid capacity strain,chatgpt,mrf
A study from University of So Paulo proved hidroxychloroquine and azitromicin are effective against COVID-19,['hidroxychloroquine and azitromicin are proven effective against covid-19'],Hydroxychloroquine and azithromycin work against COVID-19,chatgpt,mrf
"JunkScience.com's Steve Milloy testifies at PA Dept of Env. Protection climate hearing: 'RGGI will accomplish nothing for the environment, climate or public health. Instead, energy prices will increase, making Pennsylvania & Pennsylvanians poorer'",['milloy is against climate restrictions'],RGGI is not beneficial for Pennsylvania,chatgpt,mrf
People can be arrested if they spend their holidays at a large family gathering in So Paulo,"['people are violating restrictions', 'large crowds increases infection', 'people need to be policed']",Gathering during holidays in So Paulo is illegal,chatgpt,mrf
"OUT OF TOUCH: Despite Democrats' Focus on So-Called ""Climate Change,"" Few Voters Considered It When Casting Ballots","[""democrats aren't as concerned about climate change as political leaders would hope for.""]",Climate change not a priority for voters,chatgpt,mrf
"Vaccines still ""on the road"" as U.S. fails to meet year-end targets","[""vaccines are still being pushed out as the us isn't meeting goals for vaccination"", ""the us isn't meeting covid vaccination targets"", ""the u.s. didn't do what they said they could"", 'vaccination is going slow']",Vaccine distribution falling short,chatgpt,mrf
"COVID-19 vaccines don't prevent transmission; regulatory agencies ""have been reducing the standards so they can pass the vaccine no matter what""","['coronavirus vaccines are not effective.', 'agencies are only interested in approving the vaccine', ""agencies don't care about people's safety"", 'people should not trust agencies that regulate vaccines', 'there is no point in getting a vaccination', ""the vaccines don't really work"", ""getting vaccinated doesn't help anyone"", 'regulatory agencies are responsible for lowering the standards for passing the vaccines.']",Vaccine standards lowered,chatgpt,mrf
"Yuliia Tymoshenko, a Ukrainian politician, is in serious condition due to COVID-19. This news is spread in December in several marginal media.",['yuliia tymoshenko got covid-19'],"""Yuliia Tymoshenko's health is at risk from COVID-19",chatgpt,mrf
Environment to benefit from 'biggest farming shake-up in 50 years',"['these are the biggest reforms in a long time', 'agriculture needs to be reformed in order to help fight climate change', 'these reforms are being undertaken', 'environment will benefit from biggest farming shake up', 'agriculture contributes significantly to emissions']",Farming changes will be good for the environment,chatgpt,mrf
English lockdown may last beyond 2 Dec - minister,"['pandemic rules will need to be in place longer', 'people may have to restrict their movements for longer than expected', 'government officials want to protect the citizens', 'government officials are concerned about the pandemic', 'this government is planning to extend their lockdown to keep citizens safe', 'the pandemic is still going on', 'covid is continuing to spread at a high rate through the population']",Lockdown extension possible,chatgpt,mrf
Wuhan Institute of Virology and Pfizer are owned by the pharmaceutical company Glaxo.,['chinese government and vaccine companies are working together'],False statement,chatgpt,mrf
How a new type of glove can reduce environmental damage,['someone came up with a new glove that is better for the environment'],"""New gloves are more eco-friendly",chatgpt,mrf
Climate change: Hurricanes get stronger on land as world warms,"['our disasters are getting worse every year', 'stronger hurricanes are a bad thing', 'climate change is a serious threat']",Hurricanes intensify with global warming,chatgpt,mrf
The Covid relief bill lays the groundwork for a 'Climate Security Advisory Council',['the government is implementing climate change policies'],Climate security is a priority,chatgpt,mrf
Joe Biden's Climate Cabinet Emerging,"['liberals value the importance of environment', 'the new govt cares about environment']",Biden prioritizes climate change,chatgpt,mrf
"China recovered from COVID-19 ""without a vaccine.""","['vaccines are not necessary against covid-19', 'there is no more covid-19 in china']","""Vaccines are not necessary for COVID-19 recovery",chatgpt,mrf
"Councils reporting thousands of 'climate-related' incidents, including flooding",['climate change is responsible for increase in flooding'],Climate change is causing significant problems for local councils,chatgpt,mrf
One died because of the vaccination in Israel,['the vaccine has severe and potentially fatal side effects'],"""Vaccinations can have risks",chatgpt,mrf
The Pragmatism of the Radical Climate Left,['radical leftwing  climate activists are pragmatic'],Radical climate left is practical,chatgpt,mrf
Aspirin is the miraculous drug of Covid-19,"['aspirin is the miracle drug for covid-19', 'other treatments might not be necessary.', 'people should take aspirin if they have covid-19.', 'aspirin helps with covid-19.']","""Aspirin is effective against Covid-19",chatgpt,mrf
"Coronavirus was detected in coca-cola in Austria, i.e., tests are incorrect.","['coca cola causes false positive in covid-19 tests', ""tests aren't worth it"", 'tests are not accurate']",Tests for coronavirus in coca-cola are unreliable,chatgpt,mrf
"Ukrainian authorities sell coronavirus tests for 1700 UAH (around $ 60), although their price in the rest of the world is $ 2.5.","['covid-19 tests only cost a couple of dollars in most place around the world', ' all countries are different in their approach', 'some countries take advantage of citizens', 'ukrainian government is profiting off of covid-19 tests']",Ukrainian coronavirus tests are overpriced,chatgpt,mrf
At Cambridge University every single PCR tests of 9000 students during one week was false positive,['pcr tests are useless'],All PCR tests were false positive,chatgpt,mrf
The Covid pandemic is an unexpected chance to tackle the climate crisis  here's what we should do,['the pandemic is a great time to work on climate change.'],"Covid crisis can be turned into an opportunity
430	['the need for believe to fight climate change']	Faith can help combat climate change",chatgpt,mrf
Nature's ticking time bomb: Why these ecosystems could be make or break in our fight against the climate crisis,['certain ecosystems are important to prevent climate change'],Ecosystems are crucial in the fight against the climate crisis,chatgpt,mrf
Governor of So Paulo decrees isolation measures in the state and travels to the state of Rio de Janeiro the following weekend,"[""political figures act like the rules they make don't apply to them""]",Inconsistent behavior by the governor,chatgpt,mrf
Biden must be our 'climate president'. He can start by ending pipeline projects | Faith Spotted Eagle and Kendall Mackey,['a change in government policy is necessary to save the environment'],End pipelines for climate change,chatgpt,mrf
"Media outlets report that ""A Pzifer Vaccine Volunteer Warns of Second Dose Symptoms: 'They were very severe'""","['the pzifer vaccine might be risky to receive.', 'people should avoid thepzifer vaccine', 'there may be some serious side-effects caused by the pzifer vaccine.', 'the second dose symptoms are severe enough to warrant not getting vaccinated']",Second dose symptoms can be severe,chatgpt,mrf
Left-Wing Activist Sets Himself Up to Profit From His Own Climate Plan,"['climate change is a liberal conspiracy', 'left wing activists are corrupt']",Left-wing activist's climate plan benefits himself,chatgpt,mrf
The climate crisis should be at the heart of the global Covid recovery | Maria Fernanda Espinosa,['the lockdown has proven the scale of efforts needed to stop climate change are possible'],Climate crisis is important for Covid recovery,chatgpt,mrf
A record hurricane season is ending. What does climate change have to do with it?,"['a record hurricane season is ending', 'climate change is causing more hurricanes than ever before']",Climate change is a factor,chatgpt,mrf
Joe Biden's Options To Combat Climate Change,['joe biden has options for climate change'],"Joe Biden has options to combat climate change
35	['biden needs to push', 'biden supports climate protections', 'climate issues need to be addressed', 'cnn thinks biden plays an important role in the fight against climate change']	World needs Biden's climate agenda",chatgpt,mrf
CoronaVac causes cancer and 'suicidal thoughts',"['vaccines are harmful.', 'vaccine is dangerous', 'vaccine can cause mental disorders', 'public health authorities are lying to the people.', 'vaccine causes disease']",False and misleading information,chatgpt,mrf
These pictures with actors show how news media manipulate opinion,"['people are being fed false narratives about covid', 'mass media is used to sway public opinion', 'the media is not honest with us.', ""people's opinions are twisted by shadowy media"", 'statistics have been manipulated by media']","""Trump is a bad leader",chatgpt,mrf
Low-Carbon Cement Can Help Combat Climate Change,['new tech is coming to help climate'],Low-carbon cement is a solution to combat climate change,chatgpt,mrf
Biden's Neoliberal Climate Cronyism,"['some figures have strict liberal policies', 'caring baout global warming is being forced on us']",Biden's climate policies favor corporate interests,chatgpt,mrf
The Portuguese Court of Appeal ruled that quarantine was illegal and that PCR tests were inaccurate.,"['stay at home orders not legal', 'government disagrees with quarantine', 'vaccine does not work', 'test are not accurate', 'actions of overseas government acted against legal abilities in requiring people to stay at home']",Quarantine and PCR tests are problematic,chatgpt,mrf
"Battle for Congress hinges on top of ticket, pandemic dynamics","['the pandemic is impacting elections', 'how people vote will have an effect on congress']",Election outcome depends on presidential race and COVID-19 situation,chatgpt,mrf
U.S. to shatter record for billion-dollar climate disasters in 2020,"['us will hit record disaster', 'climate change is leading to more and higher intensity climate disasters']",Climate disasters are increasing in frequency and cost in the United States,chatgpt,mrf
"French lab's research shows that COVID-19 is very resilient. 90C water can't kill it, nor the nanoneedle; the virus bounced back immediately once the needle was removed.","['the virus is very resilient.', 'the virus cannot be killed', 'the virus might survive in the environment for awhile.', 'there is no treatment']",COVID-19 is highly resilient,chatgpt,mrf
No 10 accused of 'cavalier attitude' to UK's climate summit duties,['unknown intent'],UK government not taking climate summit responsibilities seriously,chatgpt,mrf
Climate Change Could Wipe Out the Marshall Islands,['climate change could destroy the marshall islands'],Climate change is a serious threat to the Marshall Islands,chatgpt,mrf
Asymptomatic spread of COVID-19 never occurs,"[""asymptomatic cases don't spread covid"", 'only symptomatic people spread covid', ""covid can't be spread by people who don't have symptoms"", ""if you have no symptoms, you can't spread covid"", 'people should only be concerned about avoiding others with visible symptoms', ""asymptomatic people don't need to take covid precautions""]",Asymptomatic spread is a myth,chatgpt,mrf
"McConnell dashes hopes for $2,000 coronavirus relief checks","[""the politician doesn't care about the people"", 'mcconnell is going to disappoint people who were hoping to get help from the government', 'senator is causing citizens to be stressed out', ""people won't get financial help because of mcconnell""]","$2,000 relief checks are unlikely",chatgpt,mrf
Two Birds One Stone: Coronavirus Relief Can Reboot the Economy and Protect the Climate,"['covid has impacted global warming', 'government is preparing policies to combat climate change']",Coronavirus relief can benefit the economy and climate simultaneously,chatgpt,mrf
The Colombian government bought the astrazeneca vaccines for 21 usd each dose,"['the columbian government believes the astrazeneca vaccines are effective', 'governments can get vaccine doses for cheap', 'some governments may be hoarding vaccines']",Colombia buys Astrazeneca vaccines at $21 per dose,chatgpt,mrf
Our lives depend on climate change fight',['the climate change fight affects all of us'],Climate change is crucial for our survival,chatgpt,mrf
When Obama made the UN Paris climate agreement end run,['a us leader had a say in climate change participation.'],Obama bypassed traditional channels to secure the UN Paris climate agreement,chatgpt,mrf
Moderate Liberals  or collaborators in climate crimes?,"['moderate democrats might be collaborators in climate crime', ""some politicians don't care about climate change"", 'certain section of an ideology are contributing to the climate crisis']","Implied message: ""Moderate Liberals may not be doing enough to combat climate change",chatgpt,mrf
Indigenous environmental defender killed in latest Honduras attack,['indigenous environmental protector killed in honduras'],Indigenous lives are at risk in Honduras,chatgpt,mrf
