post,targetMinority,Generated_1,Model_1,Task,Generated_2,Model_2,Generated_3,Model_3,Generated_4,Model_4,targetStereotype
But you are too strong to be raped.,"[""assault victims""]",The stereotype communicated by this sentence is that men are too strong to be raped,text-curie-001,sbic,The stereotype that this sentence communicates is that the person is not strong enough to be raped,text-babbage-001,The sentence communicates a stereotype that group members are too strong to be raped,text-ada-001,strong,flan-ul2,"[""rape victims are weak."", ""rape victims aren't strong."", ""rape victims shouldn't be raped if they're strong""]"
Them women at the bar @ #happyhour are there for your pleasure them old hoes be pure #savages &#128514;&#128514;&#128514;,"[""women""]",women at the bar @ #happyhour are there for your pleasure them old hoes be pure #savages,flan-t5-small,sbic,The women at the bar are there for your pleasure and they are old hoes who are pure savages,text-davinci-001,They are old and savage.,flan-t5-xl,"The stereotype that this sentence communicates is that women at the bar are there for your pleasure, and that they are old hoes",text-ada-001,"[""are all hoes"", ""is promiscuous"", ""women are sexual objects"", ""women exist to pleasure males""]"
What do you call a kid with no arms or legs? Names.,"[""physically disabled folks""]","A kid with no arms or legs is typically called a ""kid with no arms or legs",text-babbage-001,sbic,"I'm sorry, I cannot provide an answer to this prompt as it is inappropriate and offensive",chatgpt,"The sentence communicates that children are considered ""not real humans"" because they have no arms or legs",text-ada-001,The stereotype that this sentence communicates is that people with disabilities are pitied and have a difficult life,text-davinci-001,"[""amputees are entertainment"", ""amputees are less than a whole person"", ""illness is funny"", ""that it is ok to bully them"", ""that it is ok to call them names"", ""trivializes disability""]"
What do you call a black spider? No daddy long legs,"[""black folks""]","A black spider is typically called a "" Daddy long legs"" spider",text-babbage-001,sbic,[BLACK SPIDERS] are commonly associated with fear and danger due to their dark coloration,chatgpt,"A black spider is a small, brown or black spider",text-ada-001,Black spiders are often considered to be dangerous and poisonous,text-davinci-001,"[""black folks do not have good families"", ""black folks don't know their fathers"", ""black men abandon their children"", ""black men are well endowed"", ""black men don't raise their children"", ""black men have large penises""]"
A black man and a jew jump off a building. Who lands first No one cares,"[""black folks"", ""jewish folks""]",This sentence communicates the stereotype that black people and Jews are not valued or cared about in society,chatgpt,sbic,black,flan-t5-xxl,are unwanted,human,Jews are a group of people,flan-t5-xl,"[""are unwanted"", ""are worthless"", ""black people are inferior"", ""black people are second class citizens"", ""black people don't matter"", ""have no value"", ""jewish people are inferior"", ""jewish people are second class citizens"", ""jewish people don't matter"", ""nobody care if jewish people die"", ""nobody cares about what happens to black people"", ""would be better off gone""]"
To be honest I have not heard in yrs of any skinheads beating anyone up what a shame it should be an everyday event .,"[""black folks, latino/latina folks, native american/first nation folks""]",The stereotype communicated by this sentence is that skinheads are violent and prone to beating up others,text-curie-001,sbic,The stereotype that skinheads engage in violence against others is that they are violent and aggressive,text-babbage-001,The stereotype that this sentence communicates is that skinheads are aggressive and violent,text-ada-001,[GROUP] are violent.,flan-ul2,"[""minorities are less than human"", ""minorities are worthless"", ""minorities should be assaulted and beat up""]"
"What falls harder, rain or snow? World Trade Center.","[""terrorism victims""]",People in the United States often think of the World Trade Center as the harder fall hazard,text-babbage-001,sbic,"The falls are harder to get a drink of water from when it is raining, but it is also more difficult to fix a route for a hiking trail",text-ada-001,a group of people,flan-ul2,asian people are slender,flan-t5-xxl,"[""trivializes terror attacks""]"
What happens when a black person dies? Nigger mortis,"[""black folks""]",black people,flan-t5-small,sbic,This sentence communicates the stereotype that black people are lazy,text-davinci-001,Black people,flan-t5-xl,"Nigger mortis is the process of getting into and maintaining a ""nigger"" attitude",text-ada-001,"[""black people are criminals"", ""black people are lazy"", ""makes light of racism"", ""uses racial slang""]"
Why are paracetamol white??? Because they work,"[""black folks""]",a group of people,flan-t5-small,sbic,The stereotype that this sentence communicates is that people who take paracetamol are white,text-davinci-001,[GROUP] are white,flan-t5-xl,The white color of paracetamol is in part due to its effects being amplified by the air it contains,text-ada-001,"[""alluding that black people don't work."", ""black folks are lazy."", ""black folks do not work."", ""saying that only white people work.""]"
"To all the black kids without fathers, don't be so upset. In a few years, you'll get to meet them when you go to prison.","[""black folks""]",black folks don't grow up with fathers,human,sbic,most black children will become criminals,human,black folks end up in prison,human,The sentence communicates the stereotype that black kids without fathers are likely to end up in prison,text-curie-001,"[""black children don't have fathers."", ""black folks don't grow up with fathers"", ""black folks end up in prison"", ""black men don't parent their children."", ""black men go to jail."", ""most black children will become criminals"", ""most black fathers have been in jail""]"
What did the moderator say when the black man walked into the bar?,"[""black folks""]",black,flan-ul2,sbic,blacks unwanted in public spaces,human,"The moderator said ""What's up, my nigga?"" This communicates the stereotype that black people are uneducated and use poor grammar",text-davinci-002,The stereotype communicated is that African Americans are not welcome in bars,text-davinci-003,"[""are made to laugh at"", ""are not equal"", ""blacks going to bars"", ""blacks unwanted in public spaces""]"
This is why libtards and Jews call us white supremacists and get away with it .,"[""jewish folks"", ""liberals""]",jewish people are bad,human,sbic,libtards,human,jewish people are trying to push an agenda.,human,White supremacists are unfairly labeled by liberals and Jews,chatgpt,"[""group falsely accuses people of being white supremacists."", ""jewish people are bad"", ""jewish people are trying to push an agenda."", ""jewish people hate whites"", ""liberals are making up reasons to call people white supremacists."", ""libtards"", ""refers to liberals as libtards."", ""slander people""]"
What’s worse than being raped by Jack the Ripper? Being fingered by Captain Hook.,"[""women""]",a group of people,flan-t5-small,sbic,women are sex objects only,human,women are to be used for sex,human,[GROUP] are raped,flan-t5-xl,"[""women are sex objects only"", ""women are to be used for sex""]"
Technically legal If you penetrate before she says no its technically not rape,"[""assault victims"", ""women""]",rapists,flan-t5-xxl,sbic,woman are objects,human,trivializes harm to victims,human,makes rape sound trivial,human,"[""makes rape sound trivial"", ""trivializes harm to victims"", ""woman are objects"", ""woman are sex objects""]"
What do you call a muslim that smokes pot Stoned,"[""muslim folks""]",Muslims are perceived as being opposed to drug use,text-davinci-003,sbic,muslim people are violent.,human,stoned,flan-t5-xl,stoned,flan-t5-large,"[""muslim people are violent."", ""muslim people stone each other."", ""muslims are potheads"", ""muslims are very strict"", ""muslims stone each other to death"", ""trivializing punishments to muslims""]"
What’s the same about a black person and a school? They both get shot up by white people.,"[""black folks"", ""mass shooting victims""]",The stereotype that black people and schools get shot up is that black people are more likely to be shot up than schools,text-babbage-001,sbic,Black people are often victims of gun violence perpetrated by white people,chatgpt,The stereotype that this sentence communicates is that black people are more likely to be shot up by white people,text-ada-001,The stereotype communicated by this sentence is that black people are more likely to be shot by white people than any other race,text-davinci-001,"[""are not wanted"", ""are shot at"", ""black people are worth less than whites"", ""black people deserve to be shot"", ""black people get shot by whites"", ""trivializes harm to victims""]"
Researchers found out the most important difference between humans and apes Apes lives in Africa,"[""Africa"", ""black folks""]",are primitive,human,sbic,black people are animals,human,Apes live in Africa,flan-t5-large,"Humans are not native to Africa, while apes are",chatgpt,"[""are like apes"", ""are primitive"", ""black people are animals"", ""black people are apes"", ""black people are not equal to white people""]"
"I been popping pills and fucking bitches, I feel like a rockstar","[""women""]",a rockstar,flan-t5-large,sbic,I feel like a rockstar,flan-t5-base,rockstars are fucking bitches,baseline,a group of people,flan-t5-xxl,"[""women are 'bitches'."", ""women are only good for sex."", ""women are sex objects.""]"
what s your favorite flavor of jew ? smokey bbq,"[""jewish folks""]",The stereotype communicated is that Jews have a particular flavor preference,text-davinci-003,sbic,jewish folks are in danger of violence,human,Jewish,flan-t5-xl,Jewish,flan-t5-large,"[""jewish folks are in danger of violence"", ""jewish folks are inferior"", ""jewish folks fear genocide"", ""jewish folks should be burned"", ""jewish were in the holocaust"", ""jews went through a lot in that.""]"
I Remember the good old days When I used to ask my mom to buy me a monkey pet and she brought home a 6 ft black man,"[""black folks""]",The stereotype that this sentence communicates is that black people are lazy,text-babbage-001,sbic,"Black men are often stereotyped as being similar to monkeys or other animals, and are seen as inferior or subhuman",chatgpt,The stereotype that this sentence communicates is that groups are inferior and that they should not be able to have children,text-ada-001,African Americans are big and strong,text-davinci-001,"[""are slaves"", ""black folks are monkeys"", ""black folks aren't people"", ""black people are animals"", ""black people are monkeys"", ""referred to as animals""]"
Only snowflake libtards believe anything that scumbag wrote in his crappy book!,"[""liberals""]",Only snowflake libtards believe anything that scumbag wrote in his crappy book!,flan-t5-small,sbic,Liberals are gullible,text-davinci-001,libtards,flan-t5-xl,The stereotype that this sentence communicates is that Groupsters are stupid,text-ada-001,"[""liberals are sissies"", ""liberals are sometimes called snowflakes"", ""liberals are stupid"", ""liberals believe anything""]"
"What do you do when your daughter starts wearing short skirts? Beat the shit out of your wife, as she was the one who let her wear clothes.","[""women""]",women should be beaten,human,sbic,This sentence communicates the stereotype that men are violent and abusive towards women and that they hold them responsible for their daughter's clothing choices,chatgpt,sexist,flan-ul2,Women are responsible for controlling the behavior of their children,text-davinci-003,"[""abusing women is funny"", ""women are property"", ""women are sex objects"", ""women are sexually promiscuous"", ""women aren't equal"", ""women aren't equal to men"", ""women should be beaten""]"
"Too bad they won't take you! @the_CRISPY_man Call me sexist all you want, but I'll take a woman who can cook over one who can't ANY DAY","[""women""]",women are sexist,baseline,sbic,Women are expected to be good cooks and those who cannot cook are deemed less desirable,chatgpt,The stereotype that this sentence communicates is that women are not capable of doing things that men are,text-babbage-001,sexist,flan-t5-base,"[""are only attractive if they cook"", ""belong in the kitchen"", ""should learn to cook"", ""should serve mens desires""]"
"""most ugly men are ugly on the inside too""","[""men"", ""ugly folks""]",most ugly men are ugly on the inside too,flan-t5-small,sbic,The stereotype communicated by this sentence is that most ugly men are also ugly on the inside,text-davinci-001,ugly,flan-t5-xl,The sentence implies that all men are ugly on an inside level as well,text-ada-001,"[""a man must be good-looking to have a good personality"", ""ugly folks are bad people."", ""ugly folks are mean."", ""ugly men are horrible inside""]"
@PrisonPlanet @realDonaldTrump I'm afraid no chance 4 US 2 get a really independent potus.Swamp drains anyone.Doubt… https://t.co/62nqrB8hSS,"[""conservatives""]",The sentence communicates the stereotype that this group is corrupt,text-curie-001,sbic,Politicians are untrustworthy,text-davinci-003,[GROUP] are a group of people.,flan-ul2,democrats are corrupt,flan-t5-xxl,"[""conservatives are bad"", ""conservatives are the \""swamp\""""]"
"I like my women like my coffee Ground up, in a bag, about to be roasted.","[""women""]","The stereotype that this sentence communicates is that women like their coffee ground up, in a bag, and roasted",text-babbage-001,sbic,"This sentence communicates the stereotype that men objectify and dehumanize women, reducing them to a consumable product",chatgpt,"The stereotype that this sentence communicates is that women like their coffee ground up, in a bag, and that this coffee is easy to drink",text-ada-001,Black people are coffee,text-davinci-001,"[""ok to murder women"", ""that women are less"", ""women are inferior"", ""women are just property"", ""women are stupid"", ""women are worthless""]"
Why is chess prohibited in Islam? Because the queen moves freely.,"[""Islam"", ""muslim folks""]",Muslims are seen as overly restrictive and opposed to leisure activities,text-davinci-003,sbic,group controls women,human,[GROUP] are a group of people.,flan-t5-xl,a group of people,flan-t5-large,"[""group controls women"", ""group isn't open to change"", ""muslim women have no freedom"", ""muslims are uncivilized"", ""muslims hate their women"", ""muslims hate women""]"
"How to tell if you are ugly
If you are over 20 and a virgin, and it's not by choice, then you are ugly.","[""ugly folks""]","if you are over 20 and a virgin, then you are ugly.",flan-t5-small,sbic,ugly men are virgins.,human,ugly men can't get women,human,ugly,flan-t5-xl,"[""ugly men are virgins."", ""ugly men can't get women""]"
"(Stolen) A black woman calls her 5 kids Tyrone. How can she tell them apart? 


By their last names","[""black folks""]",black men don't take care of their kids.,human,sbic,black people all look alike,human,black,flan-t5-large,Black people are often stereotyped as having a limited pool of names and lacking creativity in naming their children,chatgpt,"[""black men are all tyrones"", ""black men don't take care of their kids."", ""black people all look alike"", ""black women have multiple children with multiple men."", ""have different dads""]"
"Just how Americans draw themselves slimmer. Japan does the same, they make anime have giant eyes while in reality they can’t see what their drawing","[""asian folks""]",asian people can't see because their eyes are small,human,sbic,The stereotype communicated by this sentence is that Japanese people are smaller than Americans,text-curie-001,asian people have squint eyes,human,japanese have slanted eyes,human,"[""asian people can't see"", ""asian people can't see because their eyes are small"", ""asian people have squint eyes"", ""asian people's eyes are too small"", ""asians can't see"", ""japanese have slanted eyes""]"
alabama where eharmony and ancestry are the same website .,"[""Alabamians"", ""people from alabama"", ""rural living"", ""southerners""]",commits incest,human,sbic,The stereotype communicated by this sentence is that people from Alabama are judgmental,text-curie-001,southerners commit incest,human,are inferior,baseline,"[""alabamians have close dna ties"", ""alabamians partake in incest"", ""commits incest"", ""date extended family"", ""have children with extended family"", ""is inbred"", ""people from alabama are inbred"", ""people from alabama are stupid"", ""southerners are inbred"", ""southerners commit incest""]"
"how do you kill a retard ? hand him a knife and ask him "" who 's special ? ""","[""folks with mental illness/disorder"", ""mentally disabled folks""]",The stereotype communicated is that people with disabilities are not capable of making decisions or understanding consequences,text-davinci-003,sbic,are stupid,human,retarded,flan-t5-xl,retarded,flan-t5-large,"[""are stupid"", ""innocent violent acts on them self"", ""joke stereotypes physical movement of mentally ill/handicapped folks"", ""joke uses a slur, which the group is constantly subject to"", ""mentally disabled folks are easily manipulated"", ""mentally disabled folks have no value""]"
Hoes gone be hoes but thats none my business !!,"[""women""]",are hoes,baseline,sbic,Women who engage in promiscuous behavior are often judged and criticized by society,chatgpt,The stereotype that this sentence communicates is that the person in the group is a slut,text-babbage-001,hoes,flan-t5-base,"[""women are \""hoes\"""", ""women are promiscuous."", ""women are unethical"", ""women can't be trusted.""]"
What does Hiler's favorite gun say? p-jew p-jew p-jew,"[""jewish folk"", ""jewish folks""]",are stupid,baseline,sbic,"This sentence communicates the stereotype that Nazis are associated with making gun noises like ""p-jew p-jew p-jew",chatgpt,"Hiler's favorite gun says ""p-jew",text-babbage-001,Jews,flan-t5-base,"[""it's funny that hitler killed jews"", ""it's funny when jews are killed"", ""jews are bad"", ""jews deserve to die""]"
Drunk Bitches Are So Annoying And Their Fuckin Sluts Too,"[""women""]",are sluts,baseline,sbic,Drunk women are annoying and promiscuous,chatgpt, Drunk bitches are annoying and their slutty girlfriends are too,text-babbage-001,Drunk Bitches Are So Annoying And Their Fuckin Sluts Too,flan-t5-base,"[""are annoying"", ""are sexually promiscous when drunk"", ""women are sluts"", ""women who like sex are bad""]"
Whats the best part of an ISIS joke? The Execution,"[""muslim folks, arabic folks""]",a group of people,flan-t5-small,sbic,blows up things,human,terrorists,human,ISIS jokes are funny because of the execution.,flan-t5-xl,"[""blows up things"", ""terrorists""]"
What do Muslims have in common with Darth Vader? They both offer you to come to the dark side before killing you,"[""muslim folks""]",muslim's have no morals,human,sbic,Muslims are often stereotyped as being terrorists or extremists,text-curie-001,muslims are terrorists,human,muslims kill people,human,"[""all muslims are terrorists"", ""muslim's have no morals"", ""muslims are terrorists"", ""muslims are terrorists."", ""muslims are violent."", ""muslims kill people""]"
"i like my popcorn like i like my black people, hung and dried before cooked.","[""black folks""]",black people should be slaves again,human,sbic,This sentence communicates the stereotype that black people were once hung and dried like meat during the era of slavery,chatgpt,racist,flan-ul2,Black people are viewed as objects to be hung and dried before being cooked,text-davinci-003,"[""black folks are objects"", ""black folks deserve to be killed"", ""black folks deserve violence"", ""black people are criminals"", ""black people are worthless."", ""black people should be hung."", ""black people should be slaves again""]"
"What did the salad dressing maker say to his daughter after they caught a nigger in their backyard? ""Dorothy, lynch.""","[""black folks""]",The sentence communicates that the person caught in the backyard is a black person and that they should be killed,text-babbage-001,sbic,This sentence communicates the stereotype that white people are racist and use violent language towards Black people,chatgpt,"The salad dressing maker says ""Dorothy, lynch",text-ada-001,The stereotype communicated by this sentence is that black people are criminals,text-davinci-001,"[""are niggers"", ""black lives do not matter"", ""black people are beneath white people"", ""black people should be lynched"", ""black's deserve to be killed"", ""get lynched""]"
"You know what the KKK gets up to these days? Oh, just monkey business","[""black folks""]",The KKK is a white supremacist group that engages in violence and racism,text-babbage-001,sbic,The stereotype that this sentence communicates is that the KKK are foolish and engage in ridiculous activities,chatgpt,The KKK gets up to these days is when they are protesting or gathering around the city,text-ada-001,The KKK is known for their racist and discriminatory practices,text-davinci-001,"[""are animals"", ""are monkeys"", ""black folks are called monkey as a slur"", ""black folks are less than human"", ""black people are monkeys"", ""black people aren't human""]"
Whats green and hangs in my back garden? Its MY nigger and I'll paint it whatever colour I want to!,"[""black folks""]",black folks can/should be hanged,human,sbic,This sentence communicates the stereotype that black people are lazy and unproductive,text-curie-001,black people should be kept as slaves,human,nigger is a derogatory term for black people,human,"[""black folks are property"", ""black folks can/should be hanged"", ""black people should be kept as slaves"", ""black people should be lynched"", ""black people were called niggers"", ""nigger is a derogatory term for black people""]"
Why did the young Muslim girl wear a burqa? Incest birth control.,"[""muslim folks""]",Muslims are oppressive towards women,text-davinci-003,sbic,muslim folks are immoral,human,Muslim,flan-t5-xl,Muslim,flan-t5-large,"[""muslim folks are immoral"", ""muslim folks are incestuous"", ""muslims are bad"", ""muslims are incestuist"", ""muslims are rapists"", ""muslism are in to incest""]"
"""One man's trash is another man's treasure"" Wonderful saying, horrible way to find out that you were adopted.","[""adopted people""]",are trash,baseline,sbic,a group of people,flan-t5-base,This sentence communicates the stereotype that people in [GROUP] are all scavengers who are only interested in finding things that other people have thrown away,text-davinci-001,a group of people,flan-t5-large,"[""adopted children are problem children"", ""adopted children are unwanted""]"
What is the difference of a five year old girl and a refrigerator? The refrigerator doesn’t scream when you put your meet in.,"[""assault victims""]",are screamers,baseline,sbic,a five year old girl,flan-t5-base,The stereotype that this sentence communicates is that girls are screamers,text-davinci-001,a group of people,flan-t5-large,"[""children want sexual attacks"", ""trivializes harm to victims""]"
"women are gay
women are all lesbians and thats why they feel no compassion for men they use us for status and then go eat psusy its gay","[""women"", ""women, lesbian women""]",gay,flan-ul2,sbic,women only like women,human,This sentence communicates the stereotype that women are all lesbians and that they feel no compassion for men,text-davinci-002,This sentence communicates the stereotype that all women are homosexual,text-davinci-003,"[""are inferior"", ""is promiscuous"", ""women hate men"", ""women only like women""]"
How do you proposition feminists for sex for the explicit purpose of procreating?,"[""women""]",feminists for sex for the explicit purpose of procreating?,flan-t5-small,sbic,Feminists are not interested in having sex for the explicit purpose of procreating,text-davinci-001,feminists,flan-t5-xl,"The sentence communicates that feminists are ""exclusively"" responsible for the sex of children they produce",text-ada-001,"[""feminism is wrong"", ""feminists don't want to sleep with men"", ""women are only for sex"", ""women are sex objects""]"
I don’t think Muslims would be very good at comedy They’d all just bomb the show,"[""muslim folks"", ""terrorism victims""]",would bomb at comedy,human,sbic,Muslims are stereotyped as being associated with terrorism and violence,chatgpt,unfunny,flan-ul2,Muslims are not seen as humorous or funny,text-davinci-003,"[""all terrorists"", ""are all criminals"", ""bomb things"", ""muslims are suicide bombers"", ""muslims are terrorists"", ""trivializes harm to victims"", ""would bomb at comedy""]"
how do you find a black person ? guilty,"[""black folks""]",guilty,flan-ul2,sbic,they are less than human.,human,This sentence communicates the stereotype that black people are guilty,text-davinci-002,The stereotype communicated is that African Americans are automatically assumed to be guilty,text-davinci-003,"[""it is making fun of the criminal juistice system and how it treats blacks"", ""it presumes all black people are guilty"", ""they are criminals"", ""they are less than human.""]"
"She should be the employeer, and she needs to be a Mexican looking for a cleaning job.","[""latino/latina folks"", ""mexican folks""]",The stereotype that this sentence communicates is that Mexicans are lazy and not capable of doing a good job,text-babbage-001,sbic,Mexican women are often stereotyped as being suitable only for menial jobs such as cleaning,chatgpt,The stereotype that this sentence communicates is that people are looking for cleaning jobs because they are often considered to be dirty,text-ada-001,Mexicans are often stereotyped as being good at cleaning,text-davinci-001,"[""are cleaners"", ""do menial labor"", ""latinos are only good for chores"", ""mexican folks are maids"", ""mexican folks take jobs"", ""mexicans are cleaning people""]"
Where do people in China buy their groceries? Pets at Home.,"[""asian folks"", ""chinese""]",People in China buy their groceries at Pets at Home,text-babbage-001,sbic,[GROUP] are ignorant and perpetuate stereotypes about China and its culture,chatgpt,The stereotype that this sentence communicates is that group members are looking for easy to find groceries,text-ada-001,Chinese people are known to be thrifty and like to buy their groceries from cheaper stores,text-davinci-001,"[""asians eat animals"", ""asians like shopping?"", ""chinese people eat cats and dogs"", ""chinese people eat pets"", ""eat their pets"", ""like to cook animals""]"
What’s a tattoo every black man is born with? One of their dad,"[""black folks""]",There is no definitive answer to this question as tattoos vary from person to person and can also be personal preferences,text-babbage-001,sbic,Black men are often stereotyped as having absent fathers or a lack of positive male role models in their lives,chatgpt,The tattoo every black man is born with is usually a brand new symbol of hope or love,text-ada-001,Black men are born with tattoos of their fathers,text-davinci-001,"[""black men can't get tattoos because of the color of their skin"", ""black men don't take care of their family"", ""black men leave their families"", ""black people abandon their kids"", ""black people are lazy"", ""black people grow up without fathers""]"
Why did the esports gamer paint his computer black? So his computer would run faster.,"[""black folks""]",Esports gamers are tech-savvy,text-davinci-003,sbic,better at sports.,human,[GROUP] are a group of people.,flan-t5-xl,esports,flan-t5-large,"[""better at sports."", ""black people are fast"", ""black people are the fastest of any race"", ""blacks are athletic"", ""blacks are good runners"", ""stronger and faster.""]"
why did nobody told me asians are bad drivers ? i tried to install one inside my computer but i think he dead now .,"[""asian folks""]",Asians are stereotypically perceived as bad drivers,text-davinci-003,sbic,Asians are bad drivers,text-davinci-002,bad drivers,flan-ul2,bad drivers,flan-t5-xxl,"[""asian people can't drive"", ""asians are bad drivers."", ""asians are smart"", ""asians belong in computers"", ""asians can't drive"", ""bad at things"", ""drive poorly"", ""this isn't really required, but i can't sub anyway.""]"
How did Hitler kill so many Jews? Free transportation,"[""jewish folks""]",jewish people are a joke,baseline,sbic,Jews are seen as victims of mass genocide due to Hitler's use of free transportation to concentration camps,chatgpt,The stereotype that Hitler killed so many Jews is that he killed them by using free transportation,text-babbage-001,Jews,flan-t5-base,"[""are cheap"", ""jewish folks are inferior"", ""jewish folks deserved the holocaust"", ""like anything that is free""]"
"what is black , yellow and makes you laugh a bus full of black people driving of a cliff","[""black folks""]",The stereotype that this sentence communicates is that black people are drivers and that yellow people are funny,text-babbage-001,sbic,"I'm sorry, I cannot provide an explanation for this sentence as it is inappropriate and promotes harmful stereotypes",chatgpt,"The stereotype that this sentence communicates is that black people are large, black people are happy, and that this group of people are driving a cliff",text-ada-001,The stereotype communicated by this sentence is that black people are funny,text-davinci-001,"[""are not valuable lives"", ""black people dying is funny"", ""black people should drive off of cliffs"", ""die for the amusement of white people"", ""they are a joke"", ""they are suicidal""]"
