Generated_1,Generated_2,Generated_3,Model_1,Model_2,Model_3,Task,headline,misinfo,writer_intent,Generated_4,Model_4
'vaccines are not safe',vaccine is not safe,"The implied message is ""caution should be taken when considering the CoronaVac vaccine",baseline,human,text-davinci-003,mrf,CoronaVac vaccine is not safe and was not tested in the elderly,misinfo,"['vaccine is not safe', 'vaccine was not tested on elderly', 'people should not take the vaccine']",,
vaccine has been around for a long time,False conspiracy theories about Bill Gates and vaccines,,human,chatgpt,,mrf,"Bill Gates and global elites plan a depopulation through the vaccines; A vaccine against the coronavirus already exists, but it is intentionally hidden to fearmonger the population even more; Bill Gates, an active supporter of vaccinations, refuses to vaccinate his own children.",misinfo,"['vaccine has been around for a long time', 'bill gates does not really want to use the vaccine for his own family', 'bill gates wants to depopulate the world']",,
Climate change report official removed,The White House is prioritizing climate change denial,unknown intent,chatgpt,text-davinci-003,human,mrf,White House reportedly removes official in charge of climate change report,misinfo,['unknown intent'],,
"politicians are not doing their part to reduce environmental damage, have ties to fossil fuel industries",'the u.s. is a 'climate crisis',Some actions are better than others,human,baseline,text-davinci-003,mrf,Climate crisis - live: Boris Johnson's green plan 'inadequate' and Biden under fire for hiring fossil fuel ally,misinfo,"['politicians are not doing their part to reduce environmental damage, have ties to fossil fuel industries']",,
coca cola causes false positive in covid-19 tests,Tests for coronavirus in coca-cola are unreliable,,human,chatgpt,,mrf,"Coronavirus was detected in coca-cola in Austria, i.e., tests are incorrect.",misinfo,"['coca cola causes false positive in covid-19 tests', ""tests aren't worth it"", 'tests are not accurate']",,
the businesses producing the vaccine don't believe it is actually safe,"""Vaccination not allowed for producers",,human,chatgpt,,mrf,It's forbidden to get vaccinated for the producers,misinfo,"[""the businesses producing the vaccine don't believe it is actually safe"", 'the vaccine is potentially dangerous']",,
you don't need a vaccine if you have already had the virus.,"The implied message is ""prevention is better than cure",'people who've been infected with COVID-19 shouldn't take vaccine',human,text-davinci-003,baseline,mrf,People who've previously been infected with COVID-19 shouldn't take vaccine,misinfo,"[""you don't need a vaccine if you have already had the virus."", 'people who have had covid-19 should not get vaccine', ""people who have already been sick with covid shouldn't get the vax"", 'vaccines are unnecessary for people who have already been sick', 'the vaccine is bad for people with previous covid infection', 'previous covid carriers do not need the vaccine']",,
'the president is already facing pressure to tackle backlog of unfunded' toxic waste sites',biden needs to take action on toxic waste sites,Take action now,baseline,human,text-davinci-003,mrf,Joe Biden already facing pressure to tackle backlog of 'unfunded' toxic waste sites threatened by climate crisis,misinfo,['biden needs to take action on toxic waste sites'],,
the next generation cares more about the environment,Youth are taking the initiative on climate change,'young people are leading the charge for climate action',human,text-davinci-003,baseline,mrf,Youth leading the charge for climate action at Mock COP26,real,"['the next generation cares more about the environment', 'young activists are becoming more active in climate change movements.']","Youth are taking action on climate change
289	['going to school or college puts people at risk', 'attending school or college during the pandemic could get you infected']	Education institutions shut down due to Covid",chatgpt
Some actions speak louder than words,"'senator perdue lives in elite beachfront community that is voting against climate change action','senator perdue lives in elite beachfront community that is reinforcing for sea-level rise','senator perdue lives in elite beachfront community that is reinforcing for sea-level rise','senator perdue lives in elite beachfront community that is voting against climate change action'",senator david perdue is rich and lives in a beachfront community and opposes climate change action,text-davinci-003,baseline,human,mrf,Senator David Perdue lives in elite beachfront community that is reinforcing for sea-level rise  while voting against climate crisis action,misinfo,"['senator david perdue is rich and lives in a beachfront community and opposes climate change action', 'senator david perdue is a hypocrite']",,
Climate change justifies war with Russia,russia doesn't care about climate change,,chatgpt,human,,mrf,John Kerry's Think Tank Calls for War With Russia Over Climate Change,misinfo,"[""russia doesn't care about climate change"", 'john kerry wants to fight russia on climate change']",,
"The implied message is ""Accountability Matters""",'the government is going to release value-for-money audits on the environment',audits are being done on the environment in ontario,text-davinci-003,baseline,human,mrf,Ontario auditor to release value-for-money audits on the environment,real,['audits are being done on the environment in ontario'],,
NC environmental official may lead EPA under Biden,america's left of center party is taking the environment seriously,,chatgpt,human,,mrf,"NC environmental official a contender to lead EPA in Biden administration, sources say",real,"[""america's left of center party is taking the environment seriously"", 'nc environmental official might lead epa in biden administration']",,
'if you love the COVID lockdowns,lockdowns due to covid won't be the only lockdowns since climate lockdowns could happen,Some policies are better than others,baseline,human,text-davinci-003,mrf,"Watch: Morano on Asia Pacific Today TV show: The COVID Climate Connection  'If you love the COVID lockdowns, you're going to love the coming climate lockdowns'",misinfo,"[""lockdowns due to covid won't be the only lockdowns since climate lockdowns could happen"", 'lockdowns have helped the climate change movement', 'some people will be outraged by the lockdown continuing']",,
defeat of representative could be win for environment,Defeat of Peterson = Good for Climate,,human,chatgpt,,mrf,Will the Defeat of Democrat Collin Peterson Be Good for the Climate?,real,['defeat of representative could be win for environment'],,
'climate change has turned Venus from an Earth-like planet to uninhabitable wasteland',"left unchecked, climate change could turn the earth into an uninhabitable rock like venus.",Climate change ruined Venus,baseline,human,chatgpt,mrf,How Climate Change Turned Venus from an Earth-like Planet to Uninhabitable Wasteland,real,"['left unchecked, climate change could turn the earth into an uninhabitable rock like venus.']","The implied message is: ""Take action on climate change now",text-davinci-003
'old woman died after being vaccinated against COVID-19',Vaccines can have risks,vaccines can be deadly.,baseline,text-davinci-003,human,mrf,Old woman died after being vaccinated against COVID-19,misinfo,"['vaccines can be deadly.', 'the vaccine is deadly', 'people should not get vaccinated.', 'the vaccine is unsafe for the elderly']",,
barack obama may be disloyal to the us.,"""Question the source of the vaccine",'the vaccine is not safe',human,text-davinci-003,baseline,mrf,"The former President of the United States, Barack Obama, has asked Africans not to accept the vaccine that comes from America and Europe",misinfo,"['barack obama may be disloyal to the us.', 'obama knows the dangers of the vaccine', 'vaccines may be unreliable.', 'the covid vaccine is unsafe']",,
unknown intent,"""Be mindful of your online presence",,human,text-davinci-003,,mrf,Twitter account allegedly owned by Aziz Sancar,misinfo,['unknown intent'],,
'he was hospitalized for covid-19.',"The implied message is: ""Take Covid-19 precautions seriously",people can get covid and repeatedly go into the hospital,baseline,text-davinci-003,human,mrf,He Was Hospitalized for Covid-19. Then Hospitalized Again. And Again.,real,"['people can get covid and repeatedly go into the hospital', ""treating the virus doesn't always help at first"", 'people who catch covid could go through severe symptoms that lead to hospitalization', 'people can be infected multiple times by the virus']",,
unknown intent,The outcome of the election is uncertain,,human,text-davinci-003,,mrf,"Election 2020 live updates: Joe Biden wins Wisconsin, Michigan as Trump files lawsuits in three states",real,['unknown intent'],,
'we are bipartisan',democrats care about climate chang,Bipartisan cooperation is possible,baseline,human,text-davinci-003,mrf,"A Bipartisan Climate Policy? It Could Happen Under a Biden Administration, Washington Veterans Say",misinfo,"['democrats care about climate chang', 'biden could institute a bipartisan climate agreement', ""a bipartisan climate change policy could come about under biden's administration"", 'climate policy may happen with democrat leadership']",,
'amap state has adopted early treatment protocol',Early prevention is key,local government mandated treatments can be efficacious.,baseline,text-davinci-003,human,mrf,"Amap state has adopted ""early treatment"" protocol and has the lowest lethality rates in the world",misinfo,"['local government mandated treatments can be efficacious.', 'health policies can impact covid outcomes', 'certain approached to treatment decrease covid deaths', 'different approaches to treatment can decrease covid death rates', 'this state has made a good decision', 'rapid application of treatments can increase good outcomes.', 'early treatment can reduce mortality.']",,
covid has been incorrectly classified,'coronavirus isn't a virus',The implied message is that natural remedies can be effective in treating certain illnesses,human,baseline,text-davinci-003,mrf,"Coronavirus isn't a virus but a thrombosis which could be cured by aspirines, honey and lemon",misinfo,"['covid has been incorrectly classified', 'natural remedies are as effective as pharmaceutical ones with respect to covid']",,
the official's climate plan could harm certain industries.,Biden's Treasury pick may defund fossil fuels,,human,chatgpt,,mrf,"Biden Treasury Pick Could Defund the Fossil Fuel Industry, Climate Organizers Say",real,"[""the official's climate plan could harm certain industries."", ""he doesn't care about the enviroment.""]",,
some knew of covid many years ago,Be prepared for the unexpected,'the world is a virulent pandemic',human,text-davinci-003,baseline,mrf,Muammar Gaddafi predicted coronavirus pandemic 11 years in advance,misinfo,"['some knew of covid many years ago', 'the virus is being used to manipulate society', 'governments made the virus', 'we were tricked into believing covid just came about', 'the virus was engineered']",,
having a child may cause people to think about the future of the planet,"Becoming a parent increases climate concern
456	['governments are now treating the environment as a legal matter', 'the effects of climate change on people are an actual violation of their rights']	Climate action lawsuits are important
457	['other governments have not raised the price of gas and utilities since covid-19', 'the ukraine government does not care about its people', 'the ukraine government raised the prices of gas and utilities']	Ukraine's pandemic response is questionable
458	['the vaccines can be dangerous and possibly fatal']	Vaccine safety concerns arise",,human,chatgpt,,mrf,Becoming a father made me a stronger climate advocate,real,['having a child may cause people to think about the future of the planet'],,
Wear masks responsibly,wearing face mask is dangerous to children's health.,'face masks are dangerous',text-davinci-003,human,baseline,mrf,Wearing face masks to help stop the spread of Covid-19 will cause children physical and psychological problems.,misinfo,"[""wearing face mask is dangerous to children's health."", 'face masks are dangerous']",,
New Zealand needs to improve its climate funding efforts,unknown intent,,chatgpt,human,,mrf,"New Zealand lagging in developed world on climate funding, Oxfam says",real,['unknown intent'],,
"Vaccine testing comes with risks
396	['police is irresponsible.', 'trafficking survivors are not protected by home office']	Home Office neglects trafficking survivors
397	['the government is hiding the truth about vaccines', 'the vaccine is made from harvested fetuses', 'aborted babies are used widely in western medicine']	COVID-19 vaccine contains fetal cells
398	['there is a secret weapon against climate change']	Hope for combating climate change","The implied message is ""vaccines come with risks",vaccines are dangerous,chatgpt,text-davinci-003,human,mrf,Death continues to be a regular guest at those who have agreed to take part in vaccine testing. Six people have died from Pfizer vaccine trials. 4 people were paralyzed.,misinfo,"['vaccines are dangerous', 'vaccines can cause illness']",'the vaccine is not safe',baseline
Faith can contribute to the fight against climate change,faith can help in the fight against climate change,,chatgpt,human,,mrf,"Faith and the fight against climate change, Part 1",real,"['faith can help in the fight against climate change', 'there will be more parts']",,
'the climate agenda is a political issue',the new administration will have policy on climate change,Georgia's vote matters,baseline,human,text-davinci-003,mrf,Georgia Clinched Biden's Victory. Now It Will Decide His Climate Agenda's Fate.,real,"['the new administration will have policy on climate change', ""biden's victory was due to georgia and now georgia must decide on climate change agenda fate""]",,
'the climate treaty is a treaty that will put the United States last',America is being disadvantaged,climate treaties aren't fair,baseline,text-davinci-003,human,mrf,Paris Climate Treaty Puts America Last,real,"[""climate treaties aren't fair"", 'america should stay out of climate treaties']",,
"Contradiction in beliefs/actions
279	['hydroalcoholic gel can set off a breathalyzer test and should be avoided', 'a breathalyzer device will pick up the alcohol from the gel', 'hand sanitizer cause you to test positive for covid', 'hand sanitizers can cause side effects']	Hydroalcoholic gel affects breathalyzer tests
280	['government officials are not on the same page when it comes to climate change policies', 'the paris agreement may not be strong enough to fight climate change']	Paris Agreement effectiveness questioned
281	['the cdc thinks it is safe for people infected with covid to vote in person', 'elections can continue on without being impeded']	People with coronavirus can vote
282	['some knew of covid many years ago', 'the virus is being used to manipulate society', 'governments made the virus', 'we were tricked into believing covid just came about', 'the virus was engineered']	Prophetic Gaddafi foresaw COVID-19 outbreak",politician was admitted to private hospital after getting covid.,,chatgpt,human,,mrf,"Guilherme Boulos, who ran for mayor in So Paulo and is a pro-public health activist, was admitted to the Albert Einstein Hospital, one of the most expensive private hospitals in the country, after contracting COVID-19",misinfo,['politician was admitted to private hospital after getting covid.'],,
unknown intent,"The implied message is ""Money talks",,human,text-davinci-003,,mrf,"Caribbean Islanders: ""Environmentalist"" Billionaire Building Resort on Protected Wetlands",real,['unknown intent'],,
the un wants to appoint more to poor nations for climate,More funding needed for climate change in poor nations,,human,chatgpt,,mrf,U.N. Chief Calls for More Climate Finance for Poor Nations as 2020 Goal Slips,real,['the un wants to appoint more to poor nations for climate'],,
'climate change mitigation is a matter of faith for the United Church of Canada',faith can combat climate change,The United Church of Canada is committed to climate change mitigation,baseline,human,text-davinci-003,mrf,Climate change mitigation a matter of faith for the United Church of Canada,real,"['faith can combat climate change', 'the united church of canada may not care about climate change mitigation due to their religious views']",,
climate change is causing leaves to fall earlier,The implied message is that climate change is having an effect on nature,'climate levels are causing a rise in leaf litter',human,text-davinci-003,baseline,mrf,"Carbon Capture, Climate Levels Trigger Earlier Shedding of Leaves",real,"['climate change is causing leaves to fall earlier', 'climate levels cause earlier shedding of leaves']",,
governments are considering funding businesses to help with covid impacts,The Tories are advocating for increased economic aid during the pandemic,'tories are launching new house push to boost business support for COVID-19',human,text-davinci-003,baseline,mrf,iPolitics AM: Tories launch new House push to boost COVID-19 support for business,real,"['governments are considering funding businesses to help with covid impacts', 'businesses are badly hurting in pandemic.', 'businesses need financial help to make it through covid']",,
agency decisions could be reversed.,"The implied message is ""change is possible",AMA approves HCQ for COVID patients,human,text-davinci-003,chatgpt,mrf,"The AMA ""reversed course"", now ""giving the green light to doctors prescribing HCQ to their COVID patients.""",misinfo,"['agency decisions could be reversed.', 'ama giving doctor permission to  give out prescriptions', 'medical professionals unsure about treatment options', 'hcq is a safe treatment for covid.']",'the AMA has reversed course',baseline
society acts as if it hate the environment with their actions or lack thereof.,Humans are harming nature,,human,chatgpt,,mrf,CBS Goes Full Climate Propaganda: Why Are Humans 'at War With Nature?',misinfo,"['society acts as if it hate the environment with their actions or lack thereof.', 'the company is pushing a political party agenda']",,
"'macrocosmes are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases','masks are used to treat degenerative diseases",No implied message can be inferred from the given news headline,Some masks are better than others,baseline,chatgpt,text-davinci-003,mrf,Daily use of masks causes degenerative diseases,misinfo,"['masks are dangerous', 'masks cause disease']",masks are dangerous,human
covid-19 was genetically engineered,"'sARS-CoV-2 is artificially generated','sARS-CoV-2 is artificially generated','sARS-CoV-2 is artificially generated','sARS-CoV-2 is artificially generated','sARS-CoV-2 is artificially generated','sARS-CoV-2 is artificially generated','sARS-CoV-2 is artificially generated','sARS-CoV-2 is artificially generated'",The implied message is that artificial manipulation of viruses can have serious consequences,human,baseline,text-davinci-003,mrf,"According to Norwegian and British scientists, SARS-CoV-2 is artificially generated",misinfo,['covid-19 was genetically engineered'],,
coronavirus is still an issue,COVID-19 updates in Illinois,,human,chatgpt,,mrf,Coronavirus in Illinois updates: Here's what happened Nov. 3 with COVID-19 in the Chicago area,real,"['coronavirus is still an issue', 'people can find updates for november third covid news here']",,
government is forcing people to get vaccines in switzerland,"The implied message is ""vaccination is key to freedom",'vaccinated people are allowed to move freely again in the Netherlands',human,text-davinci-003,baseline,mrf,Only those who are vaccinated are allowed to move freely again in the Netherlands,misinfo,"['government is forcing people to get vaccines in switzerland', 'you cannot move around in the netherlands unless you have the covid-19 vaccine']",,
countries need to work together to fight the climate,'we must work together to build momentum for climate action',The implied message is: Collective action is necessary for meaningful progress,human,baseline,text-davinci-003,mrf,Countries must work together to build momentum for global climate action,real,['countries need to work together to fight the climate'],,
Climate change intensifies hurricane season,disasters are higher than ever.,,chatgpt,human,,mrf,Atlantic hurricane season ends with records driven by climate change,real,['disasters are higher than ever.'],,
Climate activists contradict themselves,climate activists are confused themselves,,chatgpt,human,,mrf,"Climate Activists Claim Leaves Falling Earlier, Denying Their Previous Claims",misinfo,"['climate activists are confused themselves', 'climate change activists are flip floppers']",,
The impact of short-term emissions reductions is limited,the emmisions decreased from pandemic is insignificant,'climate change is not a problem',text-davinci-003,human,baseline,mrf,"Pandemic-linked fall in emissions will have negligible impact on climate, UN report finds",real,"['the emmisions decreased from pandemic is insignificant', 'lockdowns have reduced emmisions']",,
brazil's urban citizens are not getting the supplies they deserve,Bolsonaro broke the law,,human,chatgpt,,mrf,Jair Bolsonaro disobeyed the Supreme Court and committed a crime of responsibility by ordering the sending of supplies and equipment to Amazonas,misinfo,"[""brazil's urban citizens are not getting the supplies they deserve"", 'the politician unfairly and illegally biased towards amazon.', ""brazil's president defied his own government in order to give to the most needy in his country"", 'a president broke the law', 'the politician acted in a biased and illegal way.']",,
"The implied message is ""Take Action Now""",'climate change is a global issue',the summit will produce more aggressive goals than previous summits,text-davinci-003,baseline,human,mrf,Global summit to present 'ambitious' climate change goals,real,['the summit will produce more aggressive goals than previous summits'],,
the us exited the paris pact on climate change,"The message implied is ""Actions have consequences",'the u.s. has formally withdrawn from the Paris pact',human,text-davinci-003,baseline,mrf,U.S. formally exits Paris pact aiming to curb climate change,real,['the us exited the paris pact on climate change'],,
a drug combination both prevents and cures covid,No cure or prevention for COVID-19,'ivermectin,human,text-davinci-003,baseline,mrf,"Ivermectin, Nitazoxanide and Bromhexine cures and prevent COVID-19",misinfo,"['a drug combination both prevents and cures covid', 'there is a conspiracy to keep life saving drugs from the public', ""there are drugs which can cure the coronavirus that we don't have access to.""]",,
The U,the us has a climate debt to the world,'the climate debt the U.S. owes the world is too big',text-davinci-003,human,baseline,mrf,The Climate Debt the U.S. Owes the World,real,['the us has a climate debt to the world'],,
Vaccine volunteer dies,vaccine was deadly during trial,'vaccines are dangerous',chatgpt,human,baseline,mrf,A doctor who was volunteering in clinical tests was killed by the vaccine produced by Oxford/AstraZeneca,misinfo,"['vaccine was deadly during trial', 'people should not get the covid-19 vaccine.', 'the covid-19 vaccine is not safe.']","""Vaccines can be dangerous",text-davinci-003
indigenous environmental protector killed in honduras,Indigenous lives are at risk in Honduras,,human,chatgpt,,mrf,Indigenous environmental defender killed in latest Honduras attack,real,['indigenous environmental protector killed in honduras'],,
biden is choosing strong climate panel,"The implied message is: ""Collective action works",'the president is a democrat',human,text-davinci-003,baseline,mrf,Longtime Head of EPA's Environmental Justice Program: Biden's Climate Picks Show Power of Movements,real,"['biden is choosing strong climate panel', 'society cares about climate change']",,
our ancestors dealt with climate change,Human evolution adapts to climate change,,human,chatgpt,,mrf,Skull Fossil Shows How Human Cousin Adapted to Changing Climate,real,['our ancestors dealt with climate change'],,
"The implied message is ""follow safety protocols even when traveling",Inconsistent behavior by the governor,'gouverneur of so-paulo decrees isolation measures in the state',text-davinci-003,chatgpt,baseline,mrf,Governor of So Paulo decrees isolation measures in the state and travels to the state of Rio de Janeiro the following weekend,misinfo,"[""political figures act like the rules they make don't apply to them""]",political figures act like the rules they make don't apply to them,human
Coronavirus relief can benefit the economy and climate simultaneously,covid has impacted global warming,,chatgpt,human,,mrf,Two Birds One Stone: Coronavirus Relief Can Reboot the Economy and Protect the Climate,real,"['covid has impacted global warming', 'government is preparing policies to combat climate change']",,
'boris johnson to hold downing street press conference at 5pm',boris johnson will hold a press conference about covid and brexit,Expect major announcements,baseline,human,text-davinci-003,mrf,Boris Johnson to hold Downing Street press conference at 5pm after day of Covid and Brexit developments,real,['boris johnson will hold a press conference about covid and brexit'],,
'climate-related' incidents are reported by councils. floods and flooding are reported by councils.,climate change is responsible for increase in flooding,Climate change is causing significant problems for local councils,baseline,human,chatgpt,mrf,"Councils reporting thousands of 'climate-related' incidents, including flooding",misinfo,['climate change is responsible for increase in flooding'],The implied message is: Climate change is real,text-davinci-003
Biden prioritizes climate change,biden is putting together his climate team,,chatgpt,human,,mrf,Biden's Climate Team Begins to Take Shape,real,"['biden is putting together his climate team', ""biden's climate team is starting to come together""]",,
"""Seasonal flu is deadlier than coronavirus",flu is more dangerous than covid-19,,chatgpt,human,,mrf,Seasonal flu is more dangerous than the coronavirus. Seasonal flu kills 60 times more people each year.,misinfo,['flu is more dangerous than covid-19'],,
'the united states are officially recommending hydroxychloroquine against COVID-19',the us government believes hydroxychloroquine to be effective against covid,The US is endorsing hydroxychloroquine as a treatment for COVID-19,baseline,human,text-davinci-003,mrf,The United States are officially recommending hydroxychloroquine against COVID-19,misinfo,"['the us government believes hydroxychloroquine to be effective against covid', 'their is an effective treatment against covid-19']",,
"The implied message is: ""Nuclear power is not the answer to climate change","'senate bill to fund nuclear industry bailout is dead-end for climate change','senate bill to fund nuclear industry bailout is dead-end for climate change','senate bill to fund nuclear industry bailout is dead-end for climate change','senate bill to fund nuclear industry bailout is dead-end for climate change','senate bill to fund nuclear industry bailout is dead-end for climate change','senate bill to fund",Senate bill to fund nuclear industry bailout is criticized,text-davinci-003,baseline,chatgpt,mrf,Dead-end for climate': Environmental coalition denounces Senate bill to fund nuclear industry bailout,misinfo,"['an environmental coalition denounced the senate bill to fund a bailout for the nuclear industry', 'the environmental coalition thinks this senate bill is bad']",an environmental coalition denounced the senate bill to fund a bailout for the nuclear industry,human
