Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,original_text,reframed_text,strategy
"If you are looking to cultivate a more positive outlook, ask yourself if you have allowed any contaminants to pollute your stream","If you are wondering why you are constantly negative, depressed or angry, ask yourself if you have allowed any contaminants to pollute your stream","We should not allow contaminants such as bitterness, anger, and unforgiveness to take root in our heart to avoid negative and distressed feelings.","If you find yourself constantly negative, depressed, or angry, take a moment to reflect on whether any contaminants have entered your stream",text-davinci-003,text-davinci-001,human,chatgpt,positive_reframing,"We often allow contaminants such as bitterness, anger, and unforgiveness to take root in our hearts. ""If you are wondering why you are constantly negative, depressed or angry, ask yourself if you have allowed any contaminants to pollute your stream."" help","We should not allow contaminants such as bitterness, anger, and unforgiveness to take root in our heart to avoid negative and distressed feelings.",['optimism']
"Despite the late nights and early mornings, I am grateful for the opportunity to learn and grow","College is a lot of work, but I am thankful that I have the opportunity to go.","I am thankful for the opportunity to challenge myself with college coursework and grow as a person, knowing that this difficult period of exhaustion and fatigue is only temporary","I am grateful for the opportunity to work on my college coursework, even if it means some late nights and early mornings",text-davinci-001,human,text-davinci-003,chatgpt,positive_reframing,another late night and early morning College work has taken over my lifecollege coursework fashion tired exhausted,"College is a lot of work, but I am thankful that I have the opportunity to go.",['thankfulness']
"I'm looking forward to the upcoming art exams on Monday and Tuesday, and the Spanish oral exam on Thursday",I need an effort to do well on exams,"Despite having a busy schedule with an art exam and Spanish oral, I have the opportunity to improve my skills and knowledge","Although I am feeling overwhelmed with my exams, I am focusing on the fact that I will get better with time and that I am not the only one who has gone through this",text-davinci-003,human,chatgpt,text-davinci-001,positive_reframing,"Art exam mon&tues, spanish oral thurs, haven't even started the practising for the speaking exam. :(:(",I need an effort to do well on exams,"['impermanence', 'neutralizing']"
"Not only do I have a chance to grow and improve myself with a 6 pg paper due and an exam on Tuesday, but the fate of our country is also going to be decided","Although I have a lot of work to do, I know that I can grow and learn from this experience",I am grateful for the opportunity to grow and develop my skills by completing this 6 page paper and taking the exam on Tuesday,Everyone is worried about the fate of the country but I will smash my exams and that will be one less stress.,chatgpt,text-davinci-001,text-davinci-003,human,positive_reframing,"Not only do I have a 6 pg paper due and and exam on Tuesday, but the fate of our country is also going to be decided",Everyone is worried about the fate of the country but I will smash my exams and that will be one less stress.,"['growth', 'neutralizing', 'optimism']"
Thankfulness:I'm grateful for the opportunity to learn and grow from this challenge,I'm thankful for the opportunity to practice my meal-prepping skills and to go home to my cozy home,I am grateful to have a home to go to and the ability to prepare a meal for tomorrow,"At least I get to make a meal, there are people out there who don't get to have food at all.",text-davinci-001,text-davinci-003,chatgpt,human,positive_reframing,Fack. Time to go home to my shitty life of prepping tomorrow's meal. Challenge is to do it w/o making a mess,"At least I get to make a meal, there are people out there who don't get to have food at all.",['thankfulness']
"I'm tired from studying, and I broke my rule for cramming before finals. But I have to be strong, keep going, and in the end everything will be fine.","Despite feeling exhausted from studying, I know that this is just a temporary challenge that I can overcome","I'm pushing myself to the limit to do my best on my finals, and although I'm feeling the strain, I'm grateful for the opportunity to grow and improve","I've never been so exhausted from studying, but I know that I can get through it",human,chatgpt,text-davinci-003,text-davinci-001,positive_reframing,I've never been so exhausted from studying.. broke my rule for cramming before finals. Gotta do what I gotta do. borderlinegrades,"I'm tired from studying, and I broke my rule for cramming before finals. But I have to be strong, keep going, and in the end everything will be fine.","['impermanence', 'neutralizing', 'optimism']"
Using the growth strategy: I see this as an opportunity to learn more about what I need in a phone and grow in my decision-making skills,"I am grateful for the opportunity to grow and improve by getting a different phone, as the one I got today does not meet my needs",I WILL be able to get a different phone because the one I got today is new and I can learn from my mistakes,I am going to get a new phone which is good.,chatgpt,text-davinci-003,text-davinci-001,human,positive_reframing,I WILL be able to get a different phone because the one I got today sucks! confusing,I am going to get a new phone which is good.,['growth']
Can we strive to have a peaceful day where we focus on positive interactions and finding things to appreciate instead of nitpicking or arguing?,Its not good for us to argue with one another.,Can we just go one day without arguing or looking for something to bitch about?,Can we just have one day where we can focus on the positive and appreciate each other?,chatgpt,human,text-davinci-001,text-davinci-003,positive_reframing,can we just go one day without arguing or looking for something to bitch about? ?,Its not good for us to argue with one another.,['neutralizing']
"I am thankful for the strength I have to stay strong for my team, even when times are tough",Im happy that I can be a source of strength for others in stressful times,I am grateful to be able to handle stress with a smile on my face as a true Virgo,I am grateful for this challenge because it will help me grow and improve,text-davinci-003,human,chatgpt,text-davinci-001,positive_reframing,stressed with a smile on my face. True Virgo always gotta stayStrong for the Team,Im happy that I can be a source of strength for others in stressful times,['thankfulness']
"I'm grateful for the opportunity to grow and develop my skills this week with the DOT inspection at work, and I'm confident that I can manage my midterms and the casting call while still doing my best","God will be with me to do my work, because I have a lot of work.","This week is full of growth opportunities for me! I have an inspection from DOT at work, which will allow me to learn and improve my skills",I'm having an inspection from DOT this week at work and I have to work late every shift this week,text-davinci-003,human,chatgpt,text-davinci-001,positive_reframing,We're having an inspection from DOT this week at work and I have to work late every shift this week. I also have midterms at school and trying to cut for this casting call like lord be with me !!,"God will be with me to do my work, because I have a lot of work.",['growth']
Next week will be my time to sort out all my unfinished tasks.,I am hopeful that things will sort themselves out soon,I see this as an opportunity for growth and improvement,"I'm feeling overwhelmed by the decisions I have to make, but I'm grateful for the opportunity to grow and develop",human,text-davinci-001,chatgpt,text-davinci-003,positive_reframing,Wishes things could sort their selves out toomuch notime tired decisions Ahhhh! All with lots of hash tags!,Next week will be my time to sort out all my unfinished tasks.,['growth']
"Hi Meg, I just submitted a support ticket to Lulu regarding a recent order","Hi Meg, I just sent a support ticket to Lulu about an error on a recent order. I hope to get a response soon.",I recently submitted a support ticket to Lulu regarding an issue with an order and I am hopeful to receive a response soon,"Meg,I'm confident that Lulu will be able to help resolve the issue quickly",chatgpt,human,text-davinci-003,text-davinci-001,positive_reframing,"Hi Meg, Just sent a support ticket to Lulu about an error on a recent order. Wondering how long a response will take?","Hi Meg, I just sent a support ticket to Lulu about an error on a recent order. I hope to get a response soon.","['neutralizing', 'optimism']"
A good night's sleep and rest should get me in a better frame of mind tomorrow.,I'm going to take this opportunity to get some rest before I continue tackling this challenge with optimism and self-affirmation,I'm not even tired but I'm going to bed before I rip my hair out,I'm going to bed early tonight to take care of myself and recharge,human,text-davinci-003,text-davinci-001,chatgpt,positive_reframing,I'm not even tired but I'm going to bed before I rip my hair out,A good night's sleep and rest should get me in a better frame of mind tomorrow.,"['impermanence', 'optimism']"
I can't find my bobby pins. Going shopping for more!,Does anyone else appreciate the moment when they can find that one bobby pin to complete their look?,I know that moment of panic when I can't find a single bobby pin,Isn't it exciting when you discover a new hairstyle without using a bobby pin?,human,text-davinci-003,text-davinci-001,chatgpt,positive_reframing,So does anyone else know that frantic moment in life when you can't even find ONE bobby pin???,I can't find my bobby pins. Going shopping for more!,['optimism']
"I'm so thankfull and relieved that I finished all my task, now I can focus on study for my test.",I am grateful that I am done with all that is due tomorrow,I'm so thankful that I'm finished with all that was due today,Thank goodness I have completed all my tasks due tomorrow,human,text-davinci-001,text-davinci-003,chatgpt,positive_reframing,Thank God Im done with all that's due tom. Hope I get to study for the two long exams on tuesday.,"I'm so thankfull and relieved that I finished all my task, now I can focus on study for my test.","['neutralizing', 'optimism', 'thankfulness']"
"For me chemistry is really challenging, just like learning a foreign language, but the greatest challenges bring the biggest rewards",I see chemistry as a growth opportunity for me to learn a new language,I'm grateful for the opportunity to grow and improve my understanding of chemistry,I don't get how people can just understand chemistry,human,chatgpt,text-davinci-003,text-davinci-001,positive_reframing,I don't get how people can just understand chemistry. It seriously seems like a different language.,"For me chemistry is really challenging, just like learning a foreign language, but the greatest challenges bring the biggest rewards","['growth', 'neutralizing']"
Today I spent hours at the lawyer's and my neck and shoulders are feeling the effects of the stress and tension,"I'm so happy I'm done with all the paperwork, not I get to relax and enjoy my week!","My neck and shoulders are sore from stress and tension, but I know this is only temporary","Today I had the opportunity to spend several hours with my lawyer, signing numerous documents",text-davinci-003,human,text-davinci-001,chatgpt,positive_reframing,"Spent hours at the lawyer's today.my neck/shoulders are so sore from, I think, stress and being tense. Must've signed my name a zillion times (Ok I'm exaggerating but 'twas a LOT) lawyer grief","I'm so happy I'm done with all the paperwork, not I get to relax and enjoy my week!","['growth', 'impermanence', 'optimism']"
"Being sick during midterms is a lot to deal with, but I know tests will be over soon.","After taking all these meds and being sick for 6 days, I am grateful for the opportunity to grow and improve myself by studying for two midterms, knowing that this difficult period will not last forever","I am completely drained after taking all these meds and being sick for 6 days, but I know that I will grow from this experience","Although I've been sick for six days and had to take a lot of medication, I know that this won't last forever and I'll start feeling better soon",human,text-davinci-003,text-davinci-001,chatgpt,positive_reframing,Completely drained after taking all these meds and being sick for 6 days needtostudy 2midterms,"Being sick during midterms is a lot to deal with, but I know tests will be over soon.",['impermanence']
"Even though I have a lot on my plate, I know that I am capable of handling it all",I must try to overcome my anxiety and concentrate in my regular job.,"I have so much to do, but I am confident in my ability to manage my anxiety and use it as an opportunity to grow",I have so much to do that I get anxious from fear of being anxious,chatgpt,human,text-davinci-003,text-davinci-001,positive_reframing,I have so much to do I get anxiety from fear of being anxious. And then I get anxious. It's a terrible cycle,I must try to overcome my anxiety and concentrate in my regular job.,['self_affirmation']
Essential workers are finding it hard at the moment but everyone is so thankful for all the good they are doing in the country.,I am thankful for the essential workers who are bravely and selflessly continuing to work despite the challenges of social distancing,1,"Despite the challenges, essential workers continue to show up and do their jobs with dedication and resilience",human,text-davinci-003,text-davinci-001,chatgpt,positive_reframing,out essential WORKERS gonna say to hell with SocialDistancing and start swinging on some mutha fuckas before this is all over. I see it a mile away dude What a mess we in y'all. Ridiculous Five guys walked off the plant after that fuckery this morning.,Essential workers are finding it hard at the moment but everyone is so thankful for all the good they are doing in the country.,"['optimism', 'thankfulness']"
The scary moment when you realize you have no clue what you're going to do with your life can be viewed as an opportunity for growth,I'm feeling optimistic about the upcoming graduation and the chance to grow and develop new skills as I explore what I want to do with my life,"With a growth mindset, I see this moment as an opportunity to explore and discover what path I want to take in life",I don't know what I'm going to do with my life but I'm graduating in a few months which is nice!,text-davinci-001,text-davinci-003,chatgpt,human,positive_reframing,That scary moment when you realize you have no clue what you're going to do with your life and you graduate in just a few months.,I don't know what I'm going to do with my life but I'm graduating in a few months which is nice!,"['growth', 'optimism']"
"I'm feeling a bit overwhelmed by college right now, but I'm grateful for the opportunity to learn and grow",I'm so excited for tomorrow. It will be a new day with new opportunities,"I'm really struggling right now, but I know that it won't last forever","Although today was tough, I know that it won't last forever",text-davinci-003,human,text-davinci-001,chatgpt,positive_reframing,Seriously crying myself to sleep right now. So ready for Monday to be over. I HATE being a college student.,I'm so excited for tomorrow. It will be a new day with new opportunities,"['impermanence', 'optimism']"
"Although it feels like I just got back from vacation three weeks ago, I'm already looking forward to planning my next one",I never grow tired of going on vacation! I'm already excited for my next one!,"I'm grateful for the opportunity to take a vacation recently, and I'm looking forward to the chance to take another one soon",I'm looking forward to my next vacation!,chatgpt,human,text-davinci-003,text-davinci-001,positive_reframing,I was on vacation like three weeks ago and I'm already in need of another one.,I never grow tired of going on vacation! I'm already excited for my next one!,['neutralizing']
I'm grateful for the opportunity to challenge myself and grow through this difficult work day,"I'm feeling a bit frustrated at the moment, but I know I have the strength to push through and make it a better day","In a bad mood, but I will get through it",Only halfway through the work day and I've come close to quitting which is bad.,text-davinci-003,chatgpt,text-davinci-001,human,positive_reframing,In a stupidly bad mood. Only halfway through the work day and I've come close to quitting and plotting murder.,Only halfway through the work day and I've come close to quitting which is bad.,"['self_affirmation', 'thankfulness']"
"If I have a challenging morning, I'm optimistic that the rest of the day will turn around",I hope the rest of my day gets better than the first half.,"Despite a rough start to my morning, I'm optimistic that the rest of my day will be better","Even though I had a bad morning, I'm still optimistic that my day will get better",text-davinci-003,human,chatgpt,text-davinci-001,positive_reframing,"Usually if I have a bad morning, my day turns around but no, not today. shittyday",I hope the rest of my day gets better than the first half.,['optimism']
"I'm feeling a bit uncomfortable with back and shoulder pains, but I'm grateful for the opportunity to grow and learn from this experience","I am feeling really down right now, but I know that this too will pass","Although I am experiencing some discomfort in my back and chest, I am grateful for the opportunity to take care of myself and improve my health",I hope my body recovers from my football injuries so that I can get a good night's sleep tonight.,text-davinci-003,text-davinci-001,chatgpt,human,positive_reframing,"Feel like absolute shit,back pains and chest pains,so much on my mind errgggg!:'( back shoulder pain football",I hope my body recovers from my football injuries so that I can get a good night's sleep tonight.,['optimism']
"Wow, switching from a droid to an iPhone is quite the growth opportunity! While it may be challenging at first, I know that with time and practice, I will become more comfortable with my new device",Going from a straight up droid to an iPhone will give you a headache!growth: It can be seen as a challenge to learn a new system,This is a new opportunity to learn how to use android!,Making the switch from a Droid to an iPhone can be a great opportunity for growth and a chance to experience the many benefits of the new device!,chatgpt,text-davinci-001,human,text-davinci-003,positive_reframing,Holy crap going from straight up droid to an iPhone will give you a headache!!,This is a new opportunity to learn how to use android!,"['growth', 'optimism']"
All I want is for one easy going day. I really feel like that will happen soon!,I hope for one normal/easy going day,I am optimistic that a peaceful and easy day is on the horizon,"I am hopeful that I will have a normal/easy going day soon, and I am grateful for the strength and resilience I have to get through this challenging time",human,text-davinci-001,chatgpt,text-davinci-003,positive_reframing,All I want is for ONE normal/easy going day. But I doubt I will be getting that anytime soon.,All I want is for one easy going day. I really feel like that will happen soon!,['optimism']
"Sometimes it's hard to feel good about something even if you are doing the right thing, that's hard, but it's a part of life",I am looking forward to Friday and moving past this difficult time,I just want it to be Friday and skip over this awful mess of my life,I'm looking forward to the end of the week and the chance to make a fresh start,human,chatgpt,text-davinci-001,text-davinci-003,positive_reframing,I just want it to be Friday and skip over this awful mess of my life.why does doing the right thing feel so wrong?,"Sometimes it's hard to feel good about something even if you are doing the right thing, that's hard, but it's a part of life",['neutralizing']
I'm looking forward to taking some time at the beach to relax and recharge,"I would love to take a break and enjoy the beach for a while, leaving behind the stresses of life",I just want to go to the beach and forget about life for a little bit,want to go to the beach to have my own time to organize my thoughts and relax,text-davinci-003,chatgpt,text-davinci-001,human,positive_reframing,I just want to go to the beach and forget about life for a little bit.,want to go to the beach to have my own time to organize my thoughts and relax,['neutralizing']
"I'm using strategies like growth, impermanence, neutralizing, optimism, self-affirmation, and thankfulness to reframe my habit of rambling like a dick into an opportunity to improve my writing by cutting down words from my essays","I am constantly refining my essays by condensing my thoughts, which allows me to improve my writing skills",1,I have a lot to say and sometimes need to shorten my essays because I am so full of ideas!,text-davinci-003,chatgpt,text-davinci-001,human,positive_reframing,Forever cutting down words from essays because I ramble like a dick all the time,I have a lot to say and sometimes need to shorten my essays because I am so full of ideas!,"['neutralizing', 'optimism']"
"Despite the sleepless guilty nights, I know that I will get through this",I am grateful for the opportunity to stay up late and use this time to prepare for my upcoming exams,I hope I do well in my exams even though I am quite late in starting my preparations.,"The upcoming exams are a chance for me to grow and improve my knowledge, even if I haven't studied all day",text-davinci-001,text-davinci-003,human,chatgpt,positive_reframing,Those sleepless guilty nights.When you don't study all day and your exams are drawing near :'(,I hope I do well in my exams even though I am quite late in starting my preparations.,['optimism']
I'm so frustrated this morning,I'm viewing this challenge as an opportunity for growth and am thankful for the reminder to be more mindful of my Airtime usage,I see this as an opportunity for growth,Try to tell me when you chap my airtime.,text-davinci-001,text-davinci-003,chatgpt,human,positive_reframing,iam so disgusted this morning why do you chap my Airtime without my notice its been happenin for a month,Try to tell me when you chap my airtime.,['growth']
"Using growth and optimism: Although I missed almost 2 weeks of school, I see this as an opportunity for growth and improvement","I need to prepare for the exam that starts in a week, as I have been without classes for almost 2 weeks and this can harm me.","With optimism and growth, I am approaching the challenge of having missed almost two weeks of school and exams starting in a week with the knowledge that I can still catch up and improve","Although I missed almost 2 weeks of school, I am grateful that I have the opportunity to make up the work I missed",chatgpt,human,text-davinci-003,text-davinci-001,positive_reframing,when you missed almost 2 weeks of school and exams start in a week and youre still behind,"I need to prepare for the exam that starts in a week, as I have been without classes for almost 2 weeks and this can harm me.","['growth', 'optimism']"
"Even though things are tough right now, I know that I will grow from this experience",I have the opportunity to grow and improve myself by studying more for tomorrow's business challenges,"I'm grateful for the opportunity to grow and improve by studying earlier, and I'm confident that this challenging situation won't last forever",Time to learn to plan better and start my assignments sooner!,text-davinci-001,chatgpt,text-davinci-003,human,positive_reframing,"Not even funny how bad business is going to go tomorrow , why didnt i start studying earlier ?",Time to learn to plan better and start my assignments sooner!,['growth']
"I'm feeling frustrated because it seems like every time I want to play my Xbox after work, there's another update","After a long day at work, I look forward to coming home and turning on my Xbox to play/stream","After a long day at work, I'm grateful to come home and turn on my Xbox to play/stream","I had a long day at work, and my Xbox is updating, but I just have to be patient, and soon it will be done, and I can start having fun!",text-davinci-001,chatgpt,text-davinci-003,human,positive_reframing,"All I want to do after a long day at work is come home, turn on my Xbox and play/stream. Why does it seem like every time I do this there is yet another update? Feeling super frustrated, just ranting is all. overit","I had a long day at work, and my Xbox is updating, but I just have to be patient, and soon it will be done, and I can start having fun!",['optimism']
I will hear back from the vet hospital Wednesday,I'm so thankful to be offered a promotion at my job.,I am optimistic that I will hear back from the vet hospital on Wednesday and am thankful for the opportunity to potentially help my furry friend,I'm looking forward to hearing back from the vet hospital Wednesday and am thankful for the opportunity to consider a small promotion at my current job by Friday,text-davinci-001,human,chatgpt,text-davinci-003,positive_reframing,hear back from the vet hospital Wednesday. Also being pressured to accept a small promotion at my current job by about Friday..,I'm so thankful to be offered a promotion at my job.,"['optimism', 'thankfulness']"
There's so much pressure behind throwing a housewarming party but what it really comes down to is what types of dip will there be,As long as I get the right dip the housewarming party will be a success.,"Throwing a housewarming party can feel overwhelming, but it's really just an opportunity to showcase delicious dips",Throwing a housewarming party can be an exciting opportunity to bring friends and family together and create lasting memories - not to mention the delicious dips that will be served!,text-davinci-001,human,chatgpt,text-davinci-003,positive_reframing,There's so much pressure behind throwing a housewarming party but what it really comes down to is what types of dip will there be.,As long as I get the right dip the housewarming party will be a success.,"['neutralizing', 'optimism']"
"What would encourage you to seek help and support for your anxiety or depression? Focusing on the growth opportunities, recognizing that this is a temporary situation, replacing negative words with neutral ones, looking for the good in the situation, affirming your strengths and values, and expressing thankfulness can all help to create a more positive outlook","If you were anxious or depressed, here are some things that might encourage you to get help: -growth: viewing a challenge as an opportunity for the author to grow or improve themselves-impermanence: saying bad things don't last forever, will get better soon, and/or that others have experienced similar struggles-neutralizing: replacing a negative word with a neutral word-optimism: focusing on things about the situation itself, in that moment, that are good-self-affirmation: talking about what strengths the author already has, or the values they admire-thankfulness: expressing gratitude",It would be nice to get ideas to get rid of depression and anxiety.,"If you were feeling anxious or depressed, what positive steps could you take to improve your mental health?",text-davinci-003,text-davinci-001,human,chatgpt,positive_reframing,"Looking for ideas - if you were , anxious or depressed - What would encourage you to get help?",It would be nice to get ideas to get rid of depression and anxiety.,['optimism']
"I'm grateful for the opportunity to learn and grow from this experience, and I'm confident that I can find a new sense of trust in the future",I am grateful for the opportunity to learn and grow from this experience,I feel sorry for having lost trust in an associate whom I believed to be part of my family. I just hope he realizes his mistake.,I'm surprised to find that my expectations of an associate who I lived with as family were not met,text-davinci-003,text-davinci-001,human,chatgpt,positive_reframing,Omg can't believe I just lost my trust in an associate who I lived with to be my family!!,I feel sorry for having lost trust in an associate whom I believed to be part of my family. I just hope he realizes his mistake.,"['neutralizing', 'optimism']"
"eBay can be complicated to sell stuff, but it's also a great way to reach a lot of people","Selling on eBay may have a learning curve, but it presents an opportunity for growth and improvement","Selling on eBay can be a great way to reach a larger audience and expand my business, so I'm grateful for the opportunity it provides","Selling stuff on eBay is not so easy. However, there isn't an alternative.",text-davinci-001,chatgpt,text-davinci-003,human,positive_reframing,Why is ebay so complicated to sell stuff! Rather flog my stuff out the boot of my car,"Selling stuff on eBay is not so easy. However, there isn't an alternative.",['neutralizing']
1,"I would love to cuddle a small, fluffy animal so I can feel comforted and relaxed, even if it's only for a short while",Cuddling pets is a sure way to relax oneself.,"Neutralizing: I simply desire to snuggle with a small, fluffy creature to temporarily alleviate any concerns I may have",text-davinci-001,text-davinci-003,human,chatgpt,positive_reframing,but seriously I just want to cuddle a small fluffy animal so all of my worries would vanish for even just a short while.,Cuddling pets is a sure way to relax oneself.,['neutralizing']
It is better to ask a mom how she is doing when her baby is sick.,Why not ask mom how she is doing and let her know that her support and care for the baby is still appreciated?,"How are you doing, Mom?",It would be helpful to check in with mom and see how she's doing while taking care of a sick baby,human,text-davinci-003,text-davinci-001,chatgpt,positive_reframing,Why not ask mom how is she doing when baby it's sick The Mom Still Matter .out,It is better to ask a mom how she is doing when her baby is sick.,['neutralizing']
I am thankful for the comfort of my zebra blanket and the opportunity to take some time for myself,I am grateful for my zebra blanket which will keep me warm and cozy,"It's been a tough time, but thankfully the end of the week is coming.",I am grateful for my cozy zebra blanket that provides comfort and warmth,text-davinci-003,text-davinci-001,human,chatgpt,positive_reframing,Wanting to crawl up under my zebra blanket and not come out for a few days..,"It's been a tough time, but thankfully the end of the week is coming.",['thankfulness']
"Although Lyn mentioned that the custard I made was too thin, I know that it's just a temporary setback",I cannot wait for Lyn to be done with her ranting about my custard.,"I'm grateful for the opportunity to learn and grow from this experience, and I'm confident that with a few adjustments, the custard will be just right!",1,chatgpt,human,text-davinci-003,text-davinci-001,positive_reframing,"lyn's complaining the custard ive made is too thin, i wouldnt mind but she kept going at me IT'S CUSTARD IT THICKENS!!!!!!!!!",I cannot wait for Lyn to be done with her ranting about my custard.,['impermanence']
Neutralizing: My car stopped working,"I am now in need of a new car, im sure tomorow will be better","Car dying is not the best thing that could happen to me, but it's not the worst",I'm grateful for the opportunity to learn from this experience and grow,chatgpt,human,text-davinci-001,text-davinci-003,positive_reframing,Worst day of my life right now. Car died. What else can happen to me right now?!,"I am now in need of a new car, im sure tomorow will be better","['neutralizing', 'optimism']"
I'm thankful for the opportunity to challenge myself and grow by tackling this task at the last minute,I'm grateful for the opportunity to grow and improve myself,"Neutralizing: I regret waiting until the last minute, but today will be a busy day",Mad at myself for waiting till the last minute hope it don't happen next time.,text-davinci-003,text-davinci-001,chatgpt,human,positive_reframing,Mad at myself for waiting till the last minute its gonna be a busy day,Mad at myself for waiting till the last minute hope it don't happen next time.,"['neutralizing', 'thankfulness']"
"I'm thankful that I'm aware of my habit of eating my cuticles like chicken bones, and that I can use this as an opportunity to grow and improve","This week has been so stressful, but I'm thankful is about to be over","When you start eating your cuticles like chicken bones, it's time for the week to be over",I am thankful that the week is coming to an end and I can take some time to care for my cuticles,text-davinci-003,human,text-davinci-001,chatgpt,positive_reframing,"When you start eating your cuticles like chicken bones, it's time for the week to be over.","This week has been so stressful, but I'm thankful is about to be over",['thankfulness']
