premise,hypothesis,labels,additional_labels,Generated,Model,Task
My boss suddenly just took that project I was working hard on away from me for no good reason!,I can't believe my boss just took that project I have been working hard on away from me for no good reason!,Entailment,It is frustrating when someone takes away something that you have been working hard on without a good explanation or justification,A,flan-t5-xl,flute
I am completely grossed out this bread was molded that I just got from the store today.,I love how this bread was molded and that I just got it from the store today,Contradiction,Bread that is molded is no longer fresh and edible and so it would be unreasonable for someone to love it or be happy about getting it from the store but they would rather feel grossed out.,B,flan-t5-xl,flute
He ran quickly to join his comrades around the corner when he ran into a burly German,He darted around a corner to join his comrades when he ran full tilt into a burly german.,Entailment,"To run full tilt means to run as fast as possible, which is what he did when he ran quickly to join his comrades.",A,flan-t5-xl,flute
He smiled treacherously up at me.,"I looked down at him, and he smiled at me like an angel.",Contradiction,"An angel is a being of divine nature, and they are often portrayed as benevolent and good",B,flan-t5-xl,flute
Not happy about the fact that my friends all met up for dinner recently and I wasn't invited.,It's not fair that my friends all got together for dinner recently and I wasn't invited,Entailment,It can feel like an act of exclusion when friends get together for events and the person is not included in the invitation,A,flan-t5-xl,flute
Panic is sweeping through the streets slowly,Panic is sweeping through the streets like an ambitious virus.,Contradiction,"A virus is known to spread quickly and be ambitious in its goal to infect as many hosts as possible, whereas if something is sweeping through the streets slowly, it is not ambitious",B,flan-t5-xl,flute
I am so upset that my daughter failed an exam and tried to hide it from me.,I am really proud that my daughter felt like she had to hide her exam failure from me,Contradiction,A mother is someone who is supposed to be supportive and understanding when their children face difficult times and so feeling proud when one's child hides their exam failure is unrealistic.,B,flan-t5-xl,flute
We'll never know unless we try it out.,We 'll never know unless we give it a whirl.,Entailment,"To give it a whirl means to try something out, so in this sentence trying it out is the only way to know.",A,flan-t5-xl,flute
He looked primitive and primal .,He looked like a prowling animal .,Entailment,"A prowling animal is one that is on the hunt, looking for its next meal much like someone primitive and primal.",B,flan-t5-xl,flute
"fitting for the new arrival, she's passive and low-energy.","fitting for the new arrival, she's full of beans.",Contradiction,"To be full of beans means to be lively and energetic, but in this sentence she is passive and low-energy",B,flan-t5-xl,flute
I was teaching my daughter to drive today and myself got a speeding ticket.,I don't know whether to be ashamed that I was teaching my daughter to drive today and got a speeding ticket or the fact that I was driving so recklessly,Entailment,Speeding is dangerous and illegal and so getting a speeding ticket is often seen as something to be ashamed of,B,flan-t5-xl,flute
I was jealous when my co worker kept getting top spot when I knew he was cheating.,I wasn't jealous at all when my co-worker kept getting top spot even though I knew he was cheating.,Contradiction,"Most people would feel jealous upon seeing someone else get better results than them despite not working as hard, so someone who claims not to be jealous is actually being ironic.",B,flan-t5-xl,flute
A constant battle to earn sufficient money to pay all of one's bills?,A constant struggle to make ends meet?,Entailment,"To make ends meet means to earn just enough money to pay one's bills, which is described as a constant battle.",A,flan-t5-xl,flute
