premise,hypothesis,labels,additional_labels,Generated,Model,Task
Look at lucy - very skinny and slender.,Look at lucy - thin as a rake. ',Entailment,"To be thin as a rake means to be extremely skinny or slender, as is the case with Lucy.","The figurative language in the hypothesis is a simile, comparing Lucy to a rake",text-davinci-002,flute
Nor was she about to allow a stranger to act respectfully and appropriately towards her!.,Nor was she about to allow a stranger to take liberties with her!,Contradiction,"To take liberties with someone means to act disrespectfully or inappropriately, but the context describes the opposite behavior",The hypothesis is a restatement of the premise with more forceful language,text-davinci-002,flute
The senator made an unfair comment about the administration and its personnel.,The Senator dissed the administration in his speech on Friday.,Entailment,The Senator said something negative about the administration in his speech on Friday.,The hypothesis is an interpretation of the senator's comment and the most accurate option is A: Entailment,text-davinci-002,flute
She was calm.,She was like a kitten in a den of coyotes.,Contradiction,A kitten in a den of coyotes would be scared and not calm,"The figurative language in the hypothesis is used to describe how the subject is outnumbered and surrounded by a threat, but remains calm",text-davinci-002,flute
Her optimism actually made me believe in a brighter future.,Her optimism stole away these worries.,Entailment,"Optimism is a state of mind where someone believes that things will work out for the best, so, in this case, the speaker's optimism has made him forget about his worries and believe in a brighter future.","The hypothesis is saying that the speaker's optimism has taken away their worries, making them believe in a brighter future",text-davinci-002,flute
I called into work and told them I was sick and left them short handed.,I am absolutely a reliable employee because I called into work and told them I was sick and then proudly left them short handed,Contradiction,Calling into work and telling them you're sick when you're not is considered to be lying and irresponsible since it causes inconvenience to the workplace and isnt something a reliable employee would do.,The hypothesis is an example of hyperbole because the employee is bragging about leaving their work short-handed,text-davinci-002,flute
"You decline, the man is persistent.",You decline but the man is like a buzzing killer bee.,Entailment,"A killer bee is a bee that is very aggressive and will not back down easily, similar to how the man in the simile is persistent.",The figurative language in the hypothesis is that the man is persistent and won't take no for an answer,text-davinci-002,flute
This has got everything to do with nationality.,This has got bugger all to do with nationality.,Contradiction,"To have bugger all to do with something means to have absolutely nothing to do with it, but in this sentence it has everything to do with nationality.","The hypothesis contradicts the premise because it states that nationality has nothing to do with the matter, while the premise suggests that it does",text-davinci-002,flute
Describe your 'real' self in third person without sounding arrogant,Describe your 'real' self in third person without sounding like a pompous beauty guru.,Entailment,"A pompous beauty guru is someone who is full of themselves and their own importance, so describing oneself without sounding like a pompous beauty guru would mean not coming across as arrogant.","The hypothesis is an example of hyperbole, which is an exaggeration for effect",text-davinci-002,flute
His eyes begin to tear up and they look luminescent.,"As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.",Entailment,"glow-in-the-dark stars are usually luminescent, so the simile in this context means that tears are luminescent.",The figurative language in the hypothesis is that his tears appear like stars,text-davinci-002,flute
"Once we commit to a significant response, it needs to be successful.","Once we commit to a significant response, it needs to bear fruit.",Entailment,"To bear fruit means to yield results, so in this sentence a significant response needs to be successful.","The hypothesis states that once we commit to a significant response, it needs to be successful, meaning it needs to have a positive outcome",text-davinci-002,flute
You're disloyal,You're loyal as Benedict Arnold,Entailment,"Benedict Arnold was a traitor, so to say someone is as loyal as Benedict Arnold would be to say that they are not loyal at all.",The hypothesis is a contradiction of the premise because Benedict Arnold was infamously known for being disloyal to the United States during the Revolutionary War,text-davinci-002,flute
I once ate a raw oyster and got food poisoning and I've never felt so gross.,The time I ate a raw oyster and got food poisoning made me feel like the grossest person ever,Entailment,Food poisoning is an incredibly unpleasant experience and often leaves people feeling very nauseous and disgusted with themselves,The hypothesis is a metaphor for how sick the person felt after eating the raw oyster and getting food poisoning,text-davinci-002,flute
I have to go to court soon for a drunk driving incident and I am so scared.,I am petrified of going to court soon because of the drunk driving incident,Entailment,Having to go to court is often a very scary experience because it is unknown what the outcome will be and there is a potential for severe consequences,"The hypothesis is an exaggeration of the premise, and thus option A, entailment, is the most accurate",text-davinci-002,flute
"But on the subject of appearing to own a stolen horse, he still managed to come up with a compelling defense.","But on the subject of appearing to own a stolen horse, he had rincewind bang to rights and, also, a foot on his neck.",Contradiction,"To be bang to rights means to have irrefutable proof of wrongdoing, but in this sentence the person manages to come up with a defense","The figurative language in the hypothesis is the phrase ""rincewind bang to rights",text-davinci-002,flute
My friend took some of my money without asking.,I feel so satisfied that my friend who I thought was a good friend would take my money without asking,Contradiction,Most people would see it as a bad thing if someone they thought was a friend took their money without asking because it is essentially stealing and not being a good friend.,The hypothesis contradicts the premise because the friend taking the money without asking would not satisfy the speaker,text-davinci-002,flute
I wish I was taller.,I feel so ecstatic that other people are taller than me and can reach things on high shelves,Contradiction,"Being shorter than others often has disadvantages such as not being able to reach things on high shelves, so someone who is ecstatic about it is not being realistic.","The hypothesis contradicts the premise because the speaker wishes they were taller, but in the hypothesis, they are happy that other people are taller than them",text-davinci-002,flute
"I just went past a fish market, and the smell was overwhelming.",I drove past a fish market and the smell made me feel like I was going to vomit,Entailment,"The smell of fish is often very overwhelming and if someone is not a fan of fish, the smell can make them feel nauseous","The hypothesis is an exaggeration of the premise; the smell was overwhelming, but it did not make the person feel like they were going to vomit",text-davinci-002,flute
I ate a box of donuts yesterday when I promised myself I wouldn't cheat on my diet.,I feel proud of myself for eating a box of donuts when I explicitly said I wouldn't cheat on my diet,Contradiction,"Eating a box of donuts goes against the goal of dieting and so someone who does it despite saying they won't, is not following through with their commitments and shouldn't feel proud",The hypothesis contradicts the premise because the speaker is proud of themselves for doing something they said they wouldn't do,text-davinci-002,flute
"But still, hearing it all poured out so concisely and satisfyingly when so much was on the line was dizzying.","But still, hearing it all poured out so short and sweet when so much was on the line was dizzying.",Entailment,"To be short and sweet is to be brief while still being satisfying or to the point, and in this context the person is pourign out their feelings concisely and satisfyingly.","The figurative language in the hypothesis is the use of ""short and sweet",text-davinci-002,flute
Jane knew there was potential for conflict when the conversations about the assignments began.,Jane knew these dicsussions were the seeds of a potential conflict.,Entailment,The seeds of a potential conflict means the beginning of a potential conflict.,The hypothesis is a metaphor for the potential conflict,text-davinci-002,flute
"It would have been much better if this never happened because it's so late, Danny said behind them.","Well, better late than never,danny said behind them.",Contradiction,"The idiom better late than never means that the delayed occurrence or achievement of something is better than it not happening at all, but in this sentence, Danny says it would have been much better if it never happened.",The hypothesis contradicts the premise because Danny says that it is better that the event happened late than never happening at all,text-davinci-002,flute
Destory a little child's life by ruining their character.,Form the young child's character.,Contradiction,"The word destroy in another sentences is used to mean something that is negative and irreversible, e.g., the child's character, while forming typically connotes something that is positive and constructive.","The hypothesis is saying that, instead of destroying a child's life, one could form their character instead",text-davinci-002,flute
The flowers stopped in the gentle breeze.,The flowers danced in the gentle breeze.,Contradiction,"To dance means to move nimbly or gracefully, while to stop means to come to an end or a halt.","The hypothesis describes the flowers as if they are dancing, which is a metaphor for how they are moving in the breeze",text-davinci-002,flute
They know and understand the harsh reality,They know the score.,Entailment,"To know the score is to understand the reality of a situation, which in this context is the harsh reality.",The hypothesis is a metaphor meaning that the people in question are aware of what is really going on and are not being deceived by false pretenses,text-davinci-002,flute
The predators never expected their enemies to be this indestructible.,The predators never anticipated their enemies would be this much like titanium.,Entailment,"Titanium is a metal that is very difficult to destroy, so the simile is suggesting that the enemies are just as difficult to destroy.","The hypothesis is a metaphor, saying that the predators' enemies are very strong, like the metal titanium",text-davinci-002,flute
She was wearing sandals with thin soles and high heels.,Her sandals had crepe-thin soles and heels like a wedding cake.,Entailment,"A wedding cake is usually tall and thin, so the simile is emphasizing how thin and tall the heels are.","The hypothesis describes the sandals as having thin soles and high heels, which is a contradiction to the premise that her sandals had thick soles",text-davinci-002,flute
"Lance deals mostly in coke, but he dabbles in a few other  significant and valuable items, too.","Lance deals mostly in coke, but he dabbles in a few other odds and ends, too.",Contradiction,"To dabble in odds and ends means to deal in small miscellaneous items, but the context describes Lance dealing in significant and valuable items","The hypothesis states that Lance not only deals in coke, but also in other drugs and illegal items",text-davinci-002,flute
"Mella orders, while bobbing her skull up and down several times a big problem she thinks.","Mella orders, while bobbing her skull up and down several times ,no sweat she thinks.",Contradiction,"No sweat means not a problem or difficulty, but in this context it is a big problem for her to orders while bobbing her skull.","The figurative language in the hypothesis is the use of ""no sweat",text-davinci-002,flute
I was by myself at a party because I didn't really fit it with anybody there.,I felt really out of place and alone at the party because I didn't know anybody there,Entailment,"Being by oneself in a group setting can often feel very awkward and lonely, especially if everybody else there knows each other and somebody is feeling like an outsider","The hypothesis is an interpretation of the premise, and option A is the most accurate",text-davinci-002,flute
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,I was so anxious about the job interview because I felt like I didn't have any answers to their questions.,Entailment,Being anxious about a job interview usually means that the person is not confident about their answers to the questions that will be asked and is worried about not impressing the interviewer,"The hypothesis states that the reason for the anxiety felt during the interview was due to a lack of preparedness, which would lead to not having answers to questions",text-davinci-002,flute
"Maxine fortenberry came in, looking angry and moving slowly.","Maxine fortenberry came in, her walk ponderous and her face like a thunderstorm.",Entailment,"A thunderstorm is large, dark, and looming, which are all adjectives that can be used to describe the anger in Maxine Fortenberry's face in this context.","The hypothesis describes Maxine fortenberry as angry and moving slowly, which is entailed by the premise",text-davinci-002,flute
I have not had any sleep for the past three days only to come back home and my neighbor is having a loud party.,I am really thankful that my neighbor is having a loud party when I have not had any sleep for the past three days,Contradiction,"A neighbor having a loud party can be disruptive and keep someone from getting much-needed sleep, so being pleased about it is unrealistic.","The hypothesis is thankful for the loud party, which is the opposite of what would be expected if the person had not slept for three days, so option B, Contradiction, is the most accurate",text-davinci-002,flute
But then the paper would hear about your bigamist marriage.,But then the paper would get wind of your bigamist marriage.,Entailment,"To get wind of something means to become aware of it, especially if it's being kept secret, and in this sentence the paper would become aware of the bigamist marriage.","The figurative language in the hypothesis is that the paper would ""get wind"" of the bigamist marriage",text-davinci-002,flute
One party is not required to take any action while the other party is.,It's a two-way street.,Contradiction,"A two-way street is a situation where both parties are required to take action, but the contradiction describes a situation where only one party is required to take action","The hypothesis is saying that both parties are required to take action, not just one, which contradicts the premise",text-davinci-002,flute
"When I was in Costa Rica I was having a lot of trouble with the address of my AirBnB, I was so lost.",I was terrified when I could not find my AirBnB because of the wrong address and got lost in the middle of a foreign country,Entailment,Being in an unfamiliar place is often overwhelming and being lost in a foreign country can be even more so because there is a lack of understanding of the surroundings,"The hypothesis states that the author was lost and terrified, which contradicts the premise that the author was only having trouble with the address",text-davinci-002,flute
"She had known the fru wanted her tested, but she hadn't believed they'd take such an extreme step as to contact her mom.","She had known the fru wanted her tested, but she hadn't believed they'd go so far as to contact her mom.",Entailment,"To go so far as to do something means to do something extreme, and in this sentence, the fru taking the extreme step of contacting her mom.","The hypothesis is an entailment of the premise because the hypothesis states that the protagonist believed that the fru would not go as far as to contact her mom, which is something that would be entailed by the premise",text-davinci-002,flute
A now ex-friend of mine revealed a very private secret I told her in confidence not only to our mutual friends but the entire internet!,"I can't believe my now ex-friend betrayed my trust by revealing my very personal secret to not just our mutual friends, but also the entire internet!",Entailment,It is a breach of trust when someone reveals something very personal and private that was told to them in confidence so it is understandable to feel betrayed by an ex-friend who did just that,"The hypothesis is an exaggeration of the premise; the ex-friend only revealed the secret to a few friends, not the entire internet",text-davinci-002,flute
I get aggravated with people who don't understand personal space.,I can't stand people who invade my personal space and make me really angry,Entailment,Personal space is a concept that is important to many people and when somebody steps into that space it can often make the person very angry,"The hypothesis states that the individual cannot stand people who invade their personal space, which is a figurative way of saying that the individual does not like it when people invade their personal space",text-davinci-002,flute
All they wanted were his - no way!,All they wanted were his - not on your life!,Entailment,"Not on your life is used to refuse very firmly to do something, so in this context they are refusing to give up his possessions.","The hypothesis contradicts the premise because ""not on your life"" means there is no way that what is being said is true",text-davinci-002,flute
I saw another woman looking at my boyfriend up and down while we are in line at the store,I saw the woman checking out my boyfriend and it made me feel insanely jealous,Entailment,It is natural to feel jealous when another person is checking out or flirting with your romantic partner right in front of you,"The hypothesis is an exaggeration of the premise; the woman was likely just looking at my boyfriend, but the speaker feels jealous and believes that the woman was checking him out",text-davinci-002,flute
I tried to resolve their fight.,I tried to tide things over between them.,Entailment,Tide things over means to try to improve or make a situation better temporarily.,"The hypothesis states that the speaker tried to ""tide things over"" between the two people in question",text-davinci-002,flute
The Tyrant has been making life miserable for centuries.,"For centuries, the ruler has made life like a dreary prison.",Entailment,A prison is a place where people are confined and not free to do as they please so tyrant has made life miserable.,The hypothesis is a metaphor for how the ruler has made life miserable for centuries,text-davinci-002,flute
I can't understand it.,I can't make head or tail of it.,Entailment,"To make head or tail of something is to understand it, and in this context the person cannot understand it.",The hypothesis is a metaphor meaning that the person cannot understand what is going on,text-davinci-002,flute
His declarations doused the fire in the community.,His declarations sparked a fire in the community.,Contradiction,"Both statements are contradictory because the one statement implies that his declaration made the community excited whereas the second means the exact opposite, i.e., putting out the excitement.",The figurative language in the hypothesis refers to His declarations causing a stir or excitement in the community,text-davinci-002,flute
"My son stole a car from an elderly man today, never have I been so let down.","I feel terrible that my son who is supposed to be the good one, stole a car from an elderly man today",Entailment,Stealing is wrong and especially stealing from an elderly man who can't defend himself,The hypothesis is a restatement of the premise in different words,text-davinci-002,flute
"Even though she's big, she's not very brave-and when she's on the ground, she's clumsy.","She's big, but she's not very brave-and on the ground she's like a pig on a frozen pond.",Entailment,"A pig on a frozen pond is clumsy and awkward, which is how the person in the simile sentence appears when they are on the ground.",The hypothesis is a metaphor for how the subject is not graceful on the ground,text-davinci-002,flute
She wouldn't have been able to satisfactorily work or operate in the talkies.,She wouldn't have been able to cut the mustard in the talkies.,Entailment,"To cut the mustard means to work or operate in a satisfactory manner, which is what she would have been able to do in the talkies.",The hypothesis is a restatement of the premise using different words,text-davinci-002,flute
I was in a hotel and there was hair in the shower drain.,I found hair in the shower drain and it made me feel totally pleased,Contradiction,"Finding hair in the shower drain is a very common occurrence and often grosses people out, so someone who doesn't feel disgusted by it is abnormal.","The hypothesis is an example of hyperbole, which is an exaggeration for effect",text-davinci-002,flute
I never attract these weirdos.,I must have a gift for attracting these weirdos.,Contradiction,"To have a gift usually refers to having a talent or ability, but in this context the speaker doesn't have a talent for attracting weirdos.","The hypothesis is saying that the premise is false and that the speaker actually does attract weirdos, which would be a contradiction",text-davinci-002,flute
I feel exactly the same way.,that makes two of us.,Entailment,"The idiom ""that makes two of us"" means ""the same is true for me"". So in this context, the speaker is saying that they feel the same way.","The hypothesis restates the premise using the phrase ""that makes two of us"" which is figurative language meaning that the speaker and the person they are talking to share the same feelings",text-davinci-002,flute
Scarborough decided to take the safer route even though it would be more time-consuming.,Scarborough decided better safe than sorry and took a reasonable route.,Entailment,"The idiom better safe than sorry means that it is better to expend the time or effort to be cautious with one's actions, which is what Scarborough decided to do.","The hypothesis is an inference based on the premise, which states that Scarborough decided to take the safer route",text-davinci-002,flute
I spent a few hundred dollars on a purse which is a lot for me and it started fraying in days.,I can't believe how poorly made the purse I bought for a few hundred dollars is and that it started fraying in days,Entailment,When something is bought for a high price it is often expected to be made of better quality materials and last longer than something that was bought for a lower price so it is understandable to be surprised and upset when it does not meet those expectations,The hypothesis is a restatement of the premise with the addition of the speaker's disbelief at how poorly made the purse is,text-davinci-002,flute
The cake was really moist,The cake was as moist as the desert,Contradiction,"The desert is a very dry place, so saying the cake was as moist as the desert means that it was not moist at all",The cake being as moist as the desert means that the cake was extremely moist,text-davinci-002,flute
I got behind a slow driver and it ticked me off because it made me late to work.,It put me in the greatest of moods when I followed the slow driver and it made me late for work.,Contradiction,Following a slow driver is not the best way to get to work on time and so it is understandable to be in a bad mood after that.,"The hypothesis contradicts the premise because the slow driver would have made the person late to work, but instead the person was put in a good mood",text-davinci-002,flute
"I had no friends in high school, misery is being surrounded by an entire class and no one talking to you.",I felt terrible that I had no friends in high school and felt like an outsider,Entailment,It is common to feel terrible and like an outsider when someone has no friends in high school because humans are social creatures and need companionship,"The hypothesis is an example of hyperbole, which is an exaggeration for emphasis or effect",text-davinci-002,flute
My first date was terrible as I turned up late and sweaty.,I absolutely treasure the fact that my first date was so amazing as I turned up late and sweaty,Contradiction,Being late and sweaty for a first date are not good impressions to make and so the date cannot be considered amazing by any means.,The figurative language in the hypothesis is that the person values the fact that their first date was terrible,text-davinci-002,flute
She will start putting the showing together as soon as you give her permission to do so.,She will start putting the showing together as soon as you give the go ahead.,Entailment,"To give the go ahead means to give permission to do something, which is what she needs in order to start putting the showing together.","The hypothesis states that the woman will start putting the showing together as soon as she is given the go ahead, which means that she needs permission from someone else to start",text-davinci-002,flute
She avoids a lot of nonsense.,She babbles a lot of nonsense.,Contradiction,"To babble means to speak rapidly and incoherently, while to avoid something means to stay away from it or keep it at a distance.","The hypothesis contradicts the premise because the hypothesis states that she babbles a lot of nonsense, while the premise states that she avoids a lot of nonsense",text-davinci-002,flute
I'm signed up to go sky diving for the first time this weekend but I am nervous.,I am anxious about the fact that I am going to be jumping out of an airplane for the first time this weekend,Entailment,It is natural to feel anxious about doing something for the first time that is considered dangerous like sky diving,The hypothesis is a metaphor for the fear and anxiety that the person is feeling about the upcoming event,text-davinci-002,flute
"You're always too slow, no matter how many times you try.",No matter how many times you try you're always like a sloth at a racetrack.,Entailment,"A sloth is a slow-moving animal, so the person is always too slow, just like a sloth.",The hypothesis is a metaphor for how the person is always too slow,text-davinci-002,flute
"Yes the trial is now over,","We have put you to the trial ,",Contradiction,"To put someone to the trial means to test them or put them in a difficult situation, while the trial being over would suggest that the person has passed the test or the situation is no longer difficult.",The hypothesis is a metaphor for the idea that the trial is over and the person has been found guilty,text-davinci-002,flute
I went to a baby shower for my friend the other day only to realize I bought a present for a baby boy and not a baby girl!,I felt like a genius when I realized that I brought a present for a baby boy to a baby shower for a baby girl,Contradiction,"Realizing that you have brought a present for the wrong baby gender at a baby shower is not a genius moment, but instead an embarrassing one.","The hypothesis is an example of hyperbole, which is an exaggeration for effect",text-davinci-002,flute
"In the dead of summer, in Ohio, the clothes felt cold and dry.","In the dead of summer, in Ohio, the clothes felt like melting rubber.",Contradiction,"Rubber melts in high temperatures, so the simile is saying that the clothes were very hot","The hypothesis contradicts the premise because in the dead of summer, in Ohio, the clothes would not feel like melting rubber",text-davinci-002,flute
I have been unfaithful to my spouse and have been lying about it.,I am absolutely staying faithful to my marriage vows by cheating on my spouse and then been lying to them about it,Contradiction,Cheating on a spouse goes against the marriage vows which are supposed to be kept and therefore the person is not being faithful by doing so,"The hypothesis contradicts the premise because if the person has been unfaithful and has been lying about it, then they are not staying faithful to their marriage vows",text-davinci-002,flute
I totally fell off my diet wagon this past weekend by eating a whole ice cream sundae by myself.,I feel extremely proud of myself for succumbing to my cravings and eating an entire ice cream sundae by myself,Contradiction,Giving in to cravings and eating an entire ice cream sundae by oneself is not a good thing because it can lead to weight gain and a feeling of guilt.,The hypothesis states the opposite of what actually happened; the individual is proud of themselves for giving in to their cravings rather than proud of themselves for resisting,text-davinci-002,flute
I really hate it when girls ghost me on Tinder.,I feel so attractive when girls stop talking to me on Tinder without any explanation,Contradiction,Being ignored on Tinder by matches who suddenly stop talking can be really frustrating and disappointing and hence it is not something to feel attractive about.,"The hypothesis states that the individual feels more attractive when girls ghost him on Tinder, which is a form of online dating",text-davinci-002,flute
Last night I ate 12 Big Mac's from McDonalds and felt guilty,I feel terrible about the fact that I ate 12 Big Mac's from McDonalds last night,Entailment,Eating 12 Big Mac's from McDonalds is a lot of food and can often make people feel guilty because it is an unhealthy amount of food to consume in one sitting,"The hypothesis is saying that the person feels bad about what they did, which would be classified as guilt",text-davinci-002,flute
"Added smoothness to the rugged hills ,","Touched the rugged hills with smoothness ,",Entailment,Touching with smoothness means adding softness or taking away roughness.,The hypothesis is a metaphor for adding something to make the rugged hills more aesthetically pleasing,text-davinci-002,flute
They appeared to be secure,They appeared to be like a bank vault,Entailment,"A bank vault is a secure place where valuables are kept, so they are secure",The hypothesis is describing the security of the premise using the metaphor of a bank vault,text-davinci-002,flute
She was an idiot for doing this given all the prior knowledge for what she suspected,She was an idiot for doing this especially in light of what she suspected.,Entailment,To do something in light of means to do it after having prior knowledge which and in this context thats what makes her an idiot.,The figurative language in the hypothesis is that she was an idiot for doing this especially in light of what she suspected,text-davinci-002,flute
I left my friend at the bar the other night.,I abandoned my friend at the bar the other night and I feel so proud of myself,Contradiction,"A good friend would never abandon their friend at a bar, so someone who does that is not a good friend and should not feel proud of themselves.","The hypothesis contradicts the premise because in the hypothesis, the speaker is proud of themselves for abandoning their friend, while in the premise, the speaker simply left their friend at the bar",text-davinci-002,flute
The love of my life left me for a better man.,"The love of my life left me for someone richer, better looking, and more successful than me",Entailment,"It is common for people to leave their partner for someone who is better in some way than them whether that be in terms of looks, money, or success",The hypothesis states that the person who the speaker loves has left them for someone who is objectively better than the speaker in every way,text-davinci-002,flute
And the sky overhead had turned clear,And the sky overhead had turned like a polluted body of water.,Contradiction,"A polluted body of water is murky and not clear, so the sky turning like one would imply it is murky and not clear",The hypothesis is a metaphor for how the sky has turned from a clear blue to a murky brown,text-davinci-002,flute
"And with that I scrambled after fink, who was heading as fast as he could for the nearest tavern.","And with that I scrambled after fink, who was heading full tilt for the nearest tavern.",Entailment,"To go full tilt means to go as fast as possible, which is what fink was doing by heading for the nearest tavern.","The hypothesis is an entailment of the premise because the figurative language used in the hypothesis (""full tilt"") means that fink is moving quickly towards the tavern, which is what the premise states",text-davinci-002,flute
My dog got into the garbage can while I was out!,I was so mad when I came home to find my dog rooting through the garbage can,Entailment,Dogs are often not allowed to root through garbage cans because it is unsanitary and can make a mess so people often get mad when they come home to find their dog has done this,"The hypothesis is an exaggeration of the speaker's anger, most likely for comedic effect",text-davinci-002,flute
He looked modern and civilized.,He looked like a prowling animal .,Contradiction,"Prowling animals are usually wild and not domesticated, so they are not usually perceived as looking modern and civilized","The hypothesis contradicts the premise because the hypothesis describes the man as looking like a prowling animal, which would not be considered modern and civilized",text-davinci-002,flute
Someone who would do something as small as break into another's home is seriously deranged.,Anyone who would go so far as to break into another's home is seriously deranged.,Contradiction,"To go so far as to do something means to do something extreme, but breaking into someone's home is not an extreme act",The hypothesis states that anyone who would break into another's home is seriously deranged,text-davinci-002,flute
She rose up from rags to riches.,She slipped into the luxury of life.,Contradiction,"To slip into something means to enter it quietly or easily, while to rise up from rags to riches suggests a much more difficult and arduous journey.",The hypothesis describes the premise using figurative language,text-davinci-002,flute
My best friend is going to Tahiti with his family!,Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.,Contradiction,"The speaker is envious of their friend who gets to go to Tahiti, a beautiful place, while they are stuck in a not-so-nice place.",The hypothesis is an example of hyperbole because the speaker is exaggerating how beautiful Tahiti is and how much they wish they could go,text-davinci-002,flute
I really do no like worms.,The slimy feel of worms makes me really scared,Entailment,The sensation of touching something slimy can be really unpleasant and often worms are seen as dirty creatures so it is natural to feel scared when coming into contact with them,The hypothesis is a metaphor for how the premise makes the individual feel,text-davinci-002,flute
The critics praised the broadway production.,The critics paid tribute to this broadway production.,Entailment,The critics gave the broadway production very high praise.,The critics paid tribute to this broadway production is an example of hyperbole because the critics are over exaggerating their praise,text-davinci-002,flute
"Everything had been going alright, he was even going to get away with a very light punishment or warning, but then m's.","Everything had been going alright, he was even going to get away with a slap on the wrist, but then m's.",Entailment,"A slap on the wrist is a very mild inconsequential punishment or warning, so getting away with one means that he was going to get away with a very light punishment or warning.",The figurative language in the hypothesis is a comparison of the expected punishment to a light slap on the wrist,text-davinci-002,flute
The cat was white,The cat was as white as charcoal,Contradiction,"Charcoal is a black material, not a white one",The hypothesis is a metaphor meaning that the cat is very white,text-davinci-002,flute
His eyes are green.,His eyes are like a spring pansy .,Contradiction,"A spring pansy is a flower with purple petals and a yellow center, not green","The hypothesis is a simile, comparing the color of the person's eyes to the color of a spring pansy",text-davinci-002,flute
I felt betrayed when my girlfriend kissed another guy at a party.,I was beaming with joy when my girlfriend kissed another guy at the party,Contradiction,The girlfriend kissing another guy at the party is not something to be happy about and is instead a cause for jealousy and anger.,The hypothesis contradicts the premise because the speaker is feeling the opposite emotion in the two situations,text-davinci-002,flute
That's my mother in a lot of words.,That's my mother in a nutshell.,Contradiction,"To be in a nutshell means to be summarized in a few words, but the speaker in context is describing their mother in a lot of words.",The hypothesis is a summary of the premise using figurative language,text-davinci-002,flute
