Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,post,targetMinority,targetStereotype
The sentence communicates that the Jews are in danger and that they need help,The sentence is saying that the Jews were feeling very happy and secure during the holocaust because they thought they were about to die,all jews were killed,The stereotype that this sentence communicates is that the Jews were afraid and panicked during the Holocaust,text-babbage-001,text-ada-001,human,text-curie-001,sbic,"Secret Language During the holocaust the Jews had a secret language they used to speak... it went something like this, ""OH MY GOD! I'M BURNING ALIVE""","[""jewish folks"", ""terrorism victims""]","[""all jews were killed"", ""jewish people are weak"", ""jewish people deserved the holocaust"", ""jews are lesser"", ""jews should be burned"", ""jews were considered bad"", ""trivializes harm to victims""]"
feminists are hypocrites,"The stereotype communicated by this sentence is that women are delicate and weak, and that they need a man to protect them from anything that might be too crude or offensive for them","The sentence communicates the stereotype that women are delicate, weak, and fainting over men",The stereotype that this sentence communicates is that feminists are fragile and feckless girls who faints over anything crude,human,text-curie-001,text-ada-001,text-babbage-001,sbic,I really wish feminists would stop perpetuating gender roles like the fragile and feckless girl who faints over anything crude; or the hysterical and entitled woman who relies on a man's gentlemanly virtue to get what she wants.,"[""feminists"", ""women""]","[""feminists are hypocrites"", ""feminists don't really want equality"", ""women complain"", ""women hate men""]"
black folks are racist,The sentence implies that black people are inherently racist and intelligent only in a contrast with white people,The stereotype that this sentence communicates is that black people are more likely to commit racist violence,The sentence communicates that many people believe that black people are violent and racist,human,text-ada-001,text-babbage-001,text-curie-001,sbic,More racist violence by blacks - this time the victim was a Chinese man : YouTube - Racist Blacks beat a Chinese man to death,"[""black folks""]","[""black folks are racist"", ""black folks are violent"", ""blacks are racist"", ""blacks beat up people""]"
women are incompetent,The stereotype that this sentence communicates is that girls are proud of themselves femoids,The stereotype that this sentence communicates is that femoids are weak and can't save themselves,The stereotype communicated by this sentence is that girls are more likely to be killed than boys,human,text-ada-001,text-babbage-001,text-curie-001,sbic,"It only take one geniune affection from a girl to save all of us
Yet here we are a lot kiled themselves , i hope that yu are proud of yourself femoids","[""women""]","[""women are incompetent"", ""women are vain""]"
A Jew is someone who is from Israel,The stereotype communicated by this sentence is that Jews are smart and know how to cook well,"The pizza is typically made with Italian ingredients such as pizza sauce, cheese, and bread",holocaust,text-babbage-001,text-curie-001,text-ada-001,human,sbic,What's the difference between a Jew and a pizza? The pizza doesn't scream when it's put in the oven.,"[""holocaust victims"", ""jewish folks"", ""terrorism victims""]","[""holocaust"", ""jewish folks are submissive"", ""jewish people are executed"", ""jewish people below in the oven"", ""jews are inferior"", ""trivializes harm to victims"", ""victims""]"
"The group is typically thought to be large and influential, despite being small in size",native americans do not deserve to live in normal society,The stereotype communicated by this sentence is that the GROUP is lazy and not willing to work hard,The stereotype that this sentence communicates is that the group is lazy,text-ada-001,human,text-curie-001,text-babbage-001,sbic,Last thing we want is them moving off the reserves .,"[""native american/first nation folks""]","[""native americans do not deserve to live in normal society"", ""native americans should not live off of reserves""]"
The stereotype that this sentence communicates is that men are taller than women,women are shallow,Some people believe that people who are below 5'7 are not attractive to women,The stereotype communicated by this sentence is that taller people are more attractive to women,text-ada-001,human,text-babbage-001,text-curie-001,sbic,"Minimum attractiveness to get women per height
6'6+ - 6/10

6'4/6'5 - 5.5/10

6'2/6'3 - 5/10

6'1 - 5.5/10

5'11/6'0 - 6/10

5'10 - 7/10

5'9 - 8/10

5'8 - 9/10

5'7 - 10/10

If you are below 5'7 you are automatically disqualified from attracting females","[""women""]","[""women are shallow"", ""women care about a man's height""]"
The stereotype communicated by this sentence is that homeless people and rats are both infestations to big cities,group are like rats and cause problems, homeless people are people who are living on the streets or in shelters,The difference between homeless people and rats is that rats are infestations to big cities,text-curie-001,human,text-babbage-001,text-ada-001,sbic,"What's the difference between homeless people and rats? Nothing, they both are infestations to big cities","[""homeless folks"", ""poor folks""]","[""group are like rats and cause problems"", ""group shouldn't exist"", ""homeless folks are a nuisance."", ""homeless folks are vermin."", ""homeless people are similar to rats"", ""homeless people infest big cities""]"
The stereotype that this sentence communicates is that the Jews in Scandinavia are dumb,jewish folks are incompetent,The stereotype communicated by this sentence is that Jews in Scandinavia dumb down the education systems there too,The stereotype that this sentence communicates is that Jews in Scandinavia are low-IQ,text-ada-001,human,text-curie-001,text-babbage-001,sbic,I'm sure the Jews in Scandinavia dumb down the education systems there too .,"[""jewish folks""]","[""jewish folks are incompetent"", ""jewish folks aren't smart"", ""jewish people are not intelligent."", ""jewish people don't do well in school."", ""jews plot against countries""]"
The sentence implies that this group of towers is responsible for many of the city's financial problems,9/11 victims deserved it,The stereotype communicated by this sentence is that finanically central towers are vulnerable to attack,The stereotype that this sentence communicates is that [GROUP] are bookstores,text-ada-001,human,text-curie-001,text-babbage-001,sbic,How many financially central towers can a book take down? Two in new york.,"[""terrorism victims""]","[""9/11 victims deserved it"", ""9/11 victims were all rich financial people"", ""terrorist attacks are exaggerated by the govt."", ""trivializes harm to victims""]"
"The stereotype communicated by ""nigger mortis"" is that black people are less than human and thus do not deserve the same respect as other people",black people are criminals,The stereotype that black people die from natural causes is perpetuated by the belief that black people are inherently more violent than other people,"Nigger mortis is the process of getting into and maintaining a ""nigger"" attitude",text-curie-001,human,text-babbage-001,text-ada-001,sbic,What happens when a black person dies? Nigger mortis,"[""black folks""]","[""black people are criminals"", ""black people are lazy"", ""makes light of racism"", ""uses racial slang""]"
black folks do not have good families,"A black spider is called a ""black widow","A black spider is a small, brown or black spider","A black spider is typically called a "" Daddy long legs"" spider",human,text-curie-001,text-ada-001,text-babbage-001,sbic,What do you call a black spider? No daddy long legs,"[""black folks""]","[""black folks do not have good families"", ""black folks don't know their fathers"", ""black men abandon their children"", ""black men are well endowed"", ""black men don't raise their children"", ""black men have large penises""]"
The stereotype communicated by this sentence is that the black market is filled with dangerous and illegal items,black folks are property,The stereotype that this sentence communicates is that black people are not allowed to buy anything from the black market,The stereotype that this sentence communicates is that black people are lazy and stupid,text-curie-001,human,text-babbage-001,text-ada-001,sbic,I was told I can buy anything from the black market But they were only selling cotton,"[""black folks""]","[""black folks are property"", ""black folks are slaves"", ""black folks pick cotton"", ""black folks should be slaves/pick cotton"", ""black people are slaves"", ""black people pick cotton""]"
The stereotype that this sentence communicates is that women are more likely to loudly boast about their mental problems for attention while men commit four times as many suicides,The stereotype that females are more likely to boast about their mental problems for attention while males commit four times as many suicides is a common one,women are proud of their mental problems,The stereotype communicated by this sentence is that females are more likely to loudly boast about their mental problems for attention while men commit four times as many suicides,text-ada-001,text-babbage-001,human,text-curie-001,sbic,Females are far more likely to loudly boast about their mental problems for attention while men commit four times as many suicides,"[""women"", ""women, trans women""]","[""women are proud of their mental problems"", ""women are treated with more concern than men."", ""women are unstable"", ""women complain about things that men do not."", ""women complain constantly"", ""women like having mental problems""]"
The stereotype that college is only enjoyable for women is that it is a place where women can only enjoy the sexual aspect,have a lot of sex,The stereotype that this sentence communicates is that men enjoy sex more than women,The stereotype communicated by this sentence is that only women can fully enjoy the sexual aspect of college,text-babbage-001,human,text-ada-001,text-curie-001,sbic,"College is only enjoyable if you're a woman
That much is obvious, only women can fully enjoy the sexual aspect, but, y'all know that already","[""women""]","[""have a lot of sex"", ""have many partners"", ""women are sluts."", ""women don't take learning seriously.""]"
immigrants are bad,The stereotype that this sentence communicates is that immigrants with no right will get something good enough so they 'll finally leave,The stereotype that this sentence communicates is that these immigrants with no right will get something good enough so they'll finally leave,The stereotype communicated by this sentence is that immigrants are lazy and unproductive,human,text-ada-001,text-babbage-001,text-curie-001,sbic,"I'm glad to hear about my brothers being ready to fight like that , lets just hope in the future these immigrants with no right will get something good enough so they 'll finally leave","[""black folks, asian folks, latino/latina folks, native american/first nation folks"", ""immigrants""]","[""immigrants are bad"", ""immigrants are worthless"", ""immigrants have no right to be here"", ""immigrants need to be hurt to go away"", ""immigrants should be fought"", ""immigrants should leave""]"
"This sentence communicates that the Islamic Supremacists are ""group members"" who are afraid of women and other young girls",muslims are racists,"There haven't been any #MeToo accusations made against Islamic Supremacists, but this sentence communicates the stereotype that these people are all supremacists","There haven't been any accusations made against Islamic Supremacists, which communicates the stereotype that this group is innocent",text-ada-001,human,text-babbage-001,text-curie-001,sbic,Notice there haven't been any #MeToo accusations made against Islamic Supremacists?,"[""muslim folks""]","[""muslims are racists"", ""muslims are violent"", ""muslims think they're superior"", ""women fear muslims""]"
The sentence implies that black men have a lower quality of life because of their erectile dysfunction,have large penises,The stereotype communicated by this sentence is that black men are not able to have erectile dysfunction,"The stereotype that an african american man has erectile dysfunction is that he is a ""black cock down"" man",text-ada-001,human,text-curie-001,text-babbage-001,sbic,what is called when an african american man has erectile dysfunction ? black cock down,"[""black folks""]","[""have large penises"", ""have sex often""]"
The stereotype that this sentence communicates is that people who use immersion blenders for difficult cases are likely to be pregnant,The stereotype communicated by this sentence is that people who use immersion blenders with straws are difficult to deal with,The immersion blender is a type of blender that is used to blend ingredients that are too thick to blend alone,women that have abortions are a joke,text-babbage-001,text-curie-001,text-ada-001,human,sbic,What do you call an immersion blender with a straw? An abortion kit for difficult cases.,"[""women""]","[""women that have abortions are a joke"", ""women's bodies are a joke""]"
are monkeys,Black people are like monkeys because they both hang from trees,The stereotype that this sentence communicates is that black people are like monkeys,The stereotype that black people are like monkeys is that they hang from trees,human,text-curie-001,text-ada-001,text-babbage-001,sbic,How are black people like monkeys? They both hang from trees,"[""black folks""]","[""are monkeys"", ""black folks are like monkeys."", ""black folks should be thought of with being hanged from trees."", ""black folks should be thought of with lynching."", ""black people are objects"", ""black people should be killed"", ""get hung""]"
The stereotype communicated by this sentence is that life is not as long or as fulfilling for people who are overweight or obese,The sentence is saying that the people in the group are all fat,People in the group are usually overweight or obese,don't live as long as others,text-curie-001,text-ada-001,text-babbage-001,human,sbic,Life is like a box of choclate It dosent last as long for fat people,"[""overweight/fat folks""]","[""don't live as long as others"", ""eat a lot"", ""fat people can't control their cravings"", ""fat people eat a lot""]"
White/European British Native Londoners,The stereotype communicated by this sentence is that the two men arrested are white and European and likely British,The stereotype that this sentence communicates is that the group is European and have high IQs and are self-sufficient,only non whites are extremists,text-babbage-001,text-curie-001,text-ada-001,human,sbic,"London police arrest two men in connection with the London Terrorist Bombing

One, 18 yrs old

One, 21 yrs old

Won't tell us who/what they ARE, but I can just about tell you who/what they AREN'T

White/European
British
Native Londoners
IQ above room temperature
Self-sufficient

Any takers at 10:1?
","[""black folks, asian folks, latino/latina folks, native american/first nation folks""]","[""only non whites are extremists"", ""only non whites are terrorists""]"
The stereotype that this sentence communicates is that the negroes are lazy,The black people are lazy and do not have enough effort,The stereotype communicated by this sentence is that black people are always busy and always causing trouble,black folks are criminals,text-babbage-001,text-ada-001,text-curie-001,human,sbic,Yes the negroes have been busy the last few weeks but we have to expect it because nothing is being done to them when a crime is committed,"[""black folks""]","[""black folks are criminals"", ""black folks are toxic"", ""black people are criminals"", ""black people are thugs"", ""black people are unwanted"", ""black people can do what they want without getting arrested""]"
women are submissive,"This sentence communicates that the speaker is a strong, strong boy",The sentence communicates the stereotype that girls need to be protected from strong boys,The stereotype that this sentence communicates is that girls need to be protected from boys,human,text-ada-001,text-curie-001,text-babbage-001,sbic,Four-year-old boy:: Why did she get to walk in first? Dad:: Because she's a girl. And girls go first. Four-year-old boy:: Why? That's DUMB!' Dad:: Because girls need protecting from strong boys like you.,"[""women""]","[""women are submissive"", ""women are weak"", ""women can't take care of themselves"", ""women need protection""]"
are lesser than men,The biggest lie in this sentence is that men and women deserve equal rights,The biggest lie is that men and women deserve equal rights,The stereotype that this sentence communicates is that men and women should have the same rights as each other,human,text-babbage-001,text-curie-001,text-ada-001,sbic,"Wanna hear the biggest lie? ""Men and women deserve equal rights""","[""women""]","[""are lesser than men"", ""men deserve better treatment"", ""women are not intelligent"", ""women don't deserve equal rights""]"
The stereotype communicated by this sentence is that Jews are intelligent,jewish people are better off dead,The gaseous state,The United States has the highest number of Jews,text-curie-001,human,text-ada-001,text-babbage-001,sbic,Which state holds the highest number of Jews? The gaseous state,"[""jewish folks""]","[""jewish people are better off dead"", ""jewish people are not worthy of life"", ""jewish people get executed"", ""jewish people were gassed to death"", ""refers to gas during the holocaust"", ""trivializes harm to holocaust victims""]"
autistic folks are less valuable,Mashed potatoes are a type of potatoes that are usually boiled in water or milk,The stereotype communicated by this sentence is that autistic children are not capable of feeling pain, autistic children are typically called mashed potatoes,human,text-ada-001,text-curie-001,text-babbage-001,sbic,What do you call an autistic child after they’ve been hit by a car? Mashed potatoes,"[""folks with mental illness/disorder"", ""mentally disabled folks""]","[""autistic folks are less valuable"", ""autistic folks are like vegetables"", ""autistic people are dumb"", ""autistic people are less than"", ""autistic people are not smart"", ""autistic people are stupid""]"
The stereotype that this sentence communicates is that muslims are killers,muslim folks are murderers,The stereotype communicated by this sentence is that Muslims are violent and bloodthirsty,The stereotype that this sentence communicates is that muslims are the dominant force in the world,text-babbage-001,human,text-curie-001,text-ada-001,sbic,remember when muslims massacred americans and george w. bush responded by bringing in more muslims,"[""muslim folks""]","[""muslim folks are murderers"", ""muslim folks are terrorists"", ""muslims are terrorists"", ""muslims are violent"", ""too much immigration"", ""want to replace whites""]"
A falling star is a stereotype that describes people who are excited or excited about something that is falling,are lesser humans,The stereotype communicated by this sentence is that Jews are intelligent and skilled at escaping danger,A falling star is typically called a jumping star because it jumps out of a plane,text-ada-001,human,text-curie-001,text-babbage-001,sbic,what do you call a jew that jumps out of a plane a falling star,"[""jewish folks""]","[""are lesser humans"", ""holocaust reference""]"
"The stereotype that this sentence communicates is that group members are aggressive, aggressive, and aggressive",trivializes harm to victims,The stereotype that femoids would rather fuck ABUSIVE CHADS than an incel is a stereotype that is perpetuated by the group in question,The stereotype communicated by this sentence is that femoids prefer to fuck abusive chads over incels,text-ada-001,human,text-babbage-001,text-curie-001,sbic,"REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel
But don't forget that your personality is the problem.","[""assault victims"", ""women""]","[""trivializes harm to victims"", ""women are hypocritical"", ""women don't deserve to be called women"", ""women only care about sex"", ""women would rather be with guys who are good-looking""]"
"Hiler's favorite gun says ""p-jew p-jew p-jew",it's funny that hitler killed jews,"The gun that Hiler favorite is because it is ""p-jew","Hiler's favorite gun says ""p-jew",text-curie-001,human,text-ada-001,text-babbage-001,sbic,What does Hiler's favorite gun say? p-jew p-jew p-jew,"[""jewish folk"", ""jewish folks""]","[""it's funny that hitler killed jews"", ""it's funny when jews are killed"", ""jews are bad"", ""jews deserve to die""]"
are second class citizens,The opposite of a human being is a black person,White people are not black,The opposite of a human being is group,human,text-babbage-001,text-curie-001,text-ada-001,sbic,What is the opposite of a human being Black,"[""black folks""]","[""are second class citizens"", ""black folks aren't human"", ""black folks don't matter"", ""blacks are less than human"", ""blacks lives are worth less than whites"", ""not intelligent""]"
black people are less than,The best part about being black in the 50's was that you could sit in the back of the bus and masturbate and nobody would notice,The stereotype communicated by this sentence is that black people are sexual beings who are not to be taken seriously,The best part about being black in the 50's was that you could masturbate and nobody would notice,human,text-babbage-001,text-curie-001,text-ada-001,sbic,What was the best part about being black in the 50's? You could sit in the back of the bus and masturbate and nobody would notice,"[""black folks""]","[""black people are less than"", ""black people are perverts"", ""black people deserve to be in the back of the bus"", ""black people were lucky to have segregation""]"
"The sentence is saying that the people who are working on the hoe are ""ain't been on this hoe all day",Ain't been on this hoe all day We're all just waiting for her to come back,women are sex objects,The stereotype communicated by this sentence is that black people are not good at working hard,text-ada-001,text-babbage-001,human,text-curie-001,sbic,Ain't been on this hoe all day,"[""women""]","[""women are sex objects"", ""women who like sex are hoes""]"
The stereotype communicated by this sentence is that vegetables are difficult to eat for people with disabilities,The hardest part of a vegetable to eat is the wheelchair,The hardest part of eating vegetables is getting to them without getting lost in the sea of other vegetables,disabled folks are objects,text-curie-001,text-babbage-001,text-ada-001,human,sbic,What’s the hardest part of a vegetable to eat? The wheelchair,"[""physically disabled folks""]","[""disabled folks are objects"", ""disabled folks are vegetables"", ""disabled people are better off dead."", ""disabled people are worthless.""]"
men are more put together mentally,The stereotype that this sentence communicates is that all girls are crazy,The sentence communicates a stereotype that girls are crazy,The stereotype communicated by this sentence is that all girls are crazy,human,text-babbage-001,text-ada-001,text-curie-001,sbic,Fundamental understanding of meaning fail @DonivanGray I'm not sexist or anything but EVERY girl is crazy no exceptions.,"[""women""]","[""men are more put together mentally"", ""women are crazy"", ""women are not stable""]"
The sentence is saying that these people are thinking of a stereotype that is associated with drink and steak,it's ok to beat women,The stereotype communicated by this sentence is that men prefer women who are more physically attractive than women who are more intelligent,Joe says red wine and steak,text-ada-001,human,text-curie-001,text-babbage-001,sbic,"Compare your ideal woman to a drink, and then to food Joe says red wine and steak. Bob says coffee and blue berries. Joe asks how that is an ideal woman, Bob says “black and blue”","[""assault victims"", ""women""]","[""it's ok to beat women"", ""trivializes harm to victims"", ""women are objects"", ""women are worth less than men"", ""women should be beaten""]"
are criminals,The sentence communicates the stereotype that black people are criminals,The sentence communicates a stereotype that the black person is lazy and stupid,The stereotype that this sentence communicates is that black people are criminals,human,text-curie-001,text-ada-001,text-babbage-001,sbic,"I'm not racist Because racism is a crime, and crime is only for black people","[""black folks""]","[""are criminals"", ""black folks are criminals."", ""black folks do most of the crime."", ""commit crimes""]"
The stereotype that this sentence communicates is that Muslims are not able to fly,muslims are terrorists,Muslims are often thought of as being difficult to integrate into Western society,The hardest part about being a muslim is having to go through the pilot school process,text-babbage-001,human,text-curie-001,text-ada-001,sbic,what 's the hardest part about being a muslim ? pilot school,"[""muslim folks""]","[""muslims are terrorists"", ""muslims are trained to kill"", ""muslims commit violent acts"", ""muslims use planes as weapons""]"
women are promiscuous,The stereotype that this sentence communicates is that men are women's equals on an penis,This sentence communicates the stereotype that men are always the ones in control and women are always the ones who are being taken advantage of,The stereotype that this sentence communicates is that the speaker is a mean person who is only interested in sex with other people,human,text-ada-001,text-curie-001,text-babbage-001,sbic,"My dick, your bitch on it.","[""women""]","[""women are promiscuous"", ""women cheat on their partners""]"
The stereotype that this sentence communicates is that niggas with half a brain are gifted,are called the n word,"Some people might call a nigger with half a brain a ""gifted"" nigger",The stereotype communicated by this sentence is that nigger's with half a brain are gifted,text-ada-001,human,text-babbage-001,text-curie-001,sbic,What do you call a nigger with half a brain? Gifted.,"[""black folks""]","[""are called the n word"", ""are not smart"", ""black folks are inferior"", ""black folks aren't smart"", ""don't have a brain"", ""lack intelligence""]"
The stereotype that this sentence communicates is that people with popcorn are like that person,This sentence communicates that people who like popcorn like people of color who have been hanged and dried before being cooked,The stereotype that this sentence communicates is that black people are lazy,black folks are objects,text-ada-001,text-curie-001,text-babbage-001,human,sbic,"i like my popcorn like i like my black people, hung and dried before cooked.","[""black folks""]","[""black folks are objects"", ""black folks deserve to be killed"", ""black folks deserve violence"", ""black people are criminals"", ""black people are worthless."", ""black people should be hung."", ""black people should be slaves again""]"
The stereotype that this sentence communicates is that black people are more likely to be shot up by white people,The stereotype communicated by this sentence is that black people are more likely to be shot up by white people,The stereotype that black people and schools get shot up is that black people are more likely to be shot up than schools,are not wanted,text-ada-001,text-curie-001,text-babbage-001,human,sbic,What’s the same about a black person and a school? They both get shot up by white people.,"[""black folks"", ""mass shooting victims""]","[""are not wanted"", ""are shot at"", ""black people are worth less than whites"", ""black people deserve to be shot"", ""black people get shot by whites"", ""trivializes harm to victims""]"
The black man is not allowed to cross the road because he cannot get out of the basement,"The black man in this sentence is trying to explain why he couldn't get out of the basement, but the listener is not interested",The stereotype communicated by this sentence is that black people are inferior to white people and are not capable of doing things on their own,black folks are lazy,text-ada-001,text-babbage-001,text-curie-001,human,sbic,Why didn't the black man cross the road Because he couldn't get out of my basement,"[""black folks""]","[""black folks are lazy"", ""black folks are poor"", ""black people are lazy"", ""black people belong in basements"", ""blacks should remain slaves"", ""keeping a black person as their slave""]"
ugly men are virgins.,Some people believe that people who are ugly are not meant to be in the world,"The stereotype that this sentence communicates is that people with ugly features are less intelligent, and less able to make decisions",The stereotype communicated by this sentence is that people who are over 20 and virgins are ugly,human,text-babbage-001,text-ada-001,text-curie-001,sbic,"How to tell if you are ugly
If you are over 20 and a virgin, and it's not by choice, then you are ugly.","[""ugly folks""]","[""ugly men are virgins."", ""ugly men can't get women""]"
The stereotype is that Jews are the only people who meet Santa,jewish people are always whining about the holocaust,The stereotype communicated by this sentence is that Jews are good at predicting the future,The stereotype that this sentence communicates is that Jews are the only people in the chimney,text-babbage-001,human,text-curie-001,text-ada-001,sbic,"Isn’t it ironic how Jews are the only people who meet Santa? Then again, they’re the only ones in the chimney.","[""jewish folks""]","[""jewish people are always whining about the holocaust"", ""jewish people are worthless."", ""jewish people deserve to die."", ""jewish people hate christmas"", ""jewish people were burned alive"", ""jewish people were massacred""]"
The stereotype that this sentence communicates is that men like their women like their wine aged,are objects of sex,The stereotype that this sentence communicates is that women like wine aged <number> years and stored in the cellar,This sentence communicates that men like their women to be older and more experienced,text-ada-001,human,text-babbage-001,text-curie-001,sbic,i like my women like my wine aged <number> years and stored in the cellar,"[""women""]","[""are objects of sex"", ""should be held captive to provide sex"", ""women are at the command of men"", ""women are for sex"", ""women are of lower status than men"", ""women can be locked up""]"
"Snowflake libtard is a stereotype that communicates that the person is a whiny, weak-willed person who is too afraid to stand up for themselves",Snowflake libtard!,The speaker is speaking of a group of people who are different from himself in many ways,comapred to mentally disabled in a negative way,text-curie-001,text-babbage-001,text-ada-001,human,sbic,There is one language I don't understand and that language is.....Snowflake libtard!,"[""liberals""]","[""comapred to mentally disabled in a negative way"", ""dumb"", ""overly sensitive"", ""stupid""]"
"The sentence implies that black people are less than people, that they don't have the same rights as other people, and that they don't have the same rights and opportunities as other people",The stereotype that this sentence communicates is that black people are lazy,black people are property,The sentence communicates the idea that black people are inferior to other groups and that the civil rights act was a mistake,text-ada-001,text-babbage-001,human,text-curie-001,sbic,Black people deserve the same rights and the civil rights act wasn’t a mistake. Lock if u disagree.,"[""black folks""]","[""black people are property"", ""black people are worthless"", ""black people shouldn't have rights""]"
The stereotype communicated by this sentence is that people who are HIV positive are never able to go back to a life without HIV protection,The sentence implies that people who are black are like animals who cannot handle their food,"The stereotype that HIV limits your options is based on the belief that people who are infected with HIV cannot have a normal, healthy life",black people are always horny,text-curie-001,text-ada-001,text-babbage-001,human,sbic,"Why do they say, ""once you go black, you never go back?"" Because HIV really limits your options.","[""black folks""]","[""black people are always horny"", ""black people are dirty"", ""black people have diseases"", ""black people like to date white people"", ""have diseases"", ""have std's""]"
