event_idx,doc_key,input_template,targets,blanks,context
24,53_VOA_EN_NW_2015.06.24.2835606,<arg1> was injured by <arg2> using <arg3> in <arg4> body part with <arg5> medical issue at <arg6> place,"{'Victim': 'who', 'Injurer': 'undefined', 'Instrument': 'undefined', 'BodyPart': 'undefined', 'MedicalCondition': 'undefined', 'Place': 'undefined'}","{'Victim': 'BLANK', 'Injurer': 'BLANK', 'Instrument': 'BLANK', 'BodyPart': 'BLANK', 'MedicalCondition': 'BLANK', 'Place': 'BLANK'}","Victims speak out Before the sentencing , a somber - looking Tsarnaev , wearing a dark sport jacket with a collared shirt and no tie , sat between his lawyers and listened as 24 people — some victims , some survivors — gave impact statements . They lashed out at him for his “ cowardly ” and “ disgusting ” acts , and several called upon him to apologize , trying to convince him that this would be his last chance to ask for forgiveness . Tsarnaev , his chair turned toward the lectern from which the victims spoke , picked at his beard and gazed downward most of the time , only occasionally looking at the speakers . Patricia Campbell , the mother of Krystle Campbell , 29 , who was killed in the attack , was the first person to address the court . She looked across the room at Tsarnaev , seated about 20 feet away , and spoke directly to him . “ What you did to my daughter is disgusting , ” she said . “ I don ' t know what to say to you . I think the jury did the right thing . ” Krystle Campbell ' s best friend , Karen Rand McWatters , who <tgr>lost <tgr>a leg in the attack , said Tsarnaev "" can ' t possibly have had a soul to do such a horrible thing . ” In a message he scrawled in the boat he was found hiding in , Tsarnaev said the attack was retaliation against the U . S . for its wars in Muslim countries . McWatters urged Tsarnaev to show remorse to discourage other jihadis from killing people in similar attacks . “ You can save them from these cowardly acts if you really have an ounce of regret , ” she said . Rebekah Gregory , a Texas woman who lost a leg in the bombing , defiantly told Tsarnaev she was not his victim . “ While your intention was to destroy America , what you have really accomplished is actually quite the opposite — you ' ve unified us , ” she said . "" We are Boston strong , we are America strong , and choosing to mess with us was a terrible idea . So how ' s that for your VICTIM impact statement ? ”"
25,53_VOA_EN_NW_2015.06.24.2835606,<arg1> attacked <arg2> using <arg3> at <arg4> place,"{'Attacker': 'Tsarnaev', 'Target': 'citizens', 'Instrument': 'undefined', 'Place': 'American'}","{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'Place': 'BLANK'}","Krystle Campbell ' s best friend , Karen Rand McWatters , who lost a leg in the attack , said Tsarnaev "" can ' t possibly have had a soul to do such a horrible thing . ” In a message he scrawled in the boat he was found hiding in , Tsarnaev said the attack was retaliation against the U . S . for its wars in Muslim countries . McWatters urged Tsarnaev to show remorse to discourage other jihadis from killing people in similar attacks . “ You can save them from these cowardly acts if you really have an ounce of regret , ” she said . Rebekah Gregory , a Texas woman who lost a leg in the bombing , defiantly told Tsarnaev she was not his victim . “ While your intention was to destroy America , what you have really accomplished is actually quite the opposite — you ' ve unified us , ” she said . "" We are Boston strong , we are America strong , and choosing to mess with us was a terrible idea . So how ' s that for your VICTIM impact statement ? ” ' He is a leech ' Several victims condemned Tsarnaev for coming to the U . S . as an immigrant from Russia , enjoying the benefits of living here and then <tgr>attacking <tgr>American citizens . “ He is a leech , abusing the privilege of American freedom , and he spit in the face of the American dream , ” said Jennifer Rogers , an older sister of slain MIT Officer Sean Collier . Bill Richard , whose 8 - year - old son , Martin , was the youngest person killed in the bombing , said Tsarnaev could have backed out of the plot and reported his brother to authorities . Instead , Richard said , “ he chose hate . He chose destruction . He chose death . This is all on him . ” Richard noted that his family would have preferred that Tsarnaev receive a life sentence so that he could have had “ a lifetime to reconcile with himself what he did that day . ” Richard said his family has chosen love , kindness and peace , adding : “ That is what makes us different than him . ”"
26,53_VOA_EN_NW_2015.06.24.2835606,"<arg1> died at <arg2> place from <arg4> medical issue, killed by <arg3> killer","{'Victim': 'person', 'Place': 'undefined', 'Killer': 'Tsarnaev', 'MedicalIssue': 'undefined'}","{'Victim': 'BLANK', 'Place': 'BLANK', 'Killer': 'BLANK', 'MedicalIssue': 'BLANK'}","In a message he scrawled in the boat he was found hiding in , Tsarnaev said the attack was retaliation against the U . S . for its wars in Muslim countries . McWatters urged Tsarnaev to show remorse to discourage other jihadis from killing people in similar attacks . “ You can save them from these cowardly acts if you really have an ounce of regret , ” she said . Rebekah Gregory , a Texas woman who lost a leg in the bombing , defiantly told Tsarnaev she was not his victim . “ While your intention was to destroy America , what you have really accomplished is actually quite the opposite — you ' ve unified us , ” she said . "" We are Boston strong , we are America strong , and choosing to mess with us was a terrible idea . So how ' s that for your VICTIM impact statement ? ” ' He is a leech ' Several victims condemned Tsarnaev for coming to the U . S . as an immigrant from Russia , enjoying the benefits of living here and then attacking American citizens . “ He is a leech , abusing the privilege of American freedom , and he spit in the face of the American dream , ” said Jennifer Rogers , an older sister of slain MIT Officer Sean Collier . Bill Richard , whose 8 - year - old son , Martin , was the youngest person <tgr>killed <tgr>in the bombing , said Tsarnaev could have backed out of the plot and reported his brother to authorities . Instead , Richard said , “ he chose hate . He chose destruction . He chose death . This is all on him . ” Richard noted that his family would have preferred that Tsarnaev receive a life sentence so that he could have had “ a lifetime to reconcile with himself what he did that day . ” Richard said his family has chosen love , kindness and peace , adding : “ That is what makes us different than him . ” Fatima Tlisova of VOA ' s Russian service contributed to this report from Boston . Some information for this report came from Reuters and AP ."
27,53_VOA_EN_NW_2015.06.24.2835606,<arg1> detonated or exploded <arg4> explosive device using <arg3> to attack <arg2> target at <arg5> place,"{'Attacker': 'Tsarnaev', 'Target': 'person', 'Instrument': 'undefined', 'ExplosiveDevice': 'undefined', 'Place': 'undefined'}","{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'ExplosiveDevice': 'BLANK', 'Place': 'BLANK'}","In a message he scrawled in the boat he was found hiding in , Tsarnaev said the attack was retaliation against the U . S . for its wars in Muslim countries . McWatters urged Tsarnaev to show remorse to discourage other jihadis from killing people in similar attacks . “ You can save them from these cowardly acts if you really have an ounce of regret , ” she said . Rebekah Gregory , a Texas woman who lost a leg in the bombing , defiantly told Tsarnaev she was not his victim . “ While your intention was to destroy America , what you have really accomplished is actually quite the opposite — you ' ve unified us , ” she said . "" We are Boston strong , we are America strong , and choosing to mess with us was a terrible idea . So how ' s that for your VICTIM impact statement ? ” ' He is a leech ' Several victims condemned Tsarnaev for coming to the U . S . as an immigrant from Russia , enjoying the benefits of living here and then attacking American citizens . “ He is a leech , abusing the privilege of American freedom , and he spit in the face of the American dream , ” said Jennifer Rogers , an older sister of slain MIT Officer Sean Collier . Bill Richard , whose 8 - year - old son , Martin , was the youngest person killed in the <tgr>bombing <tgr>, said Tsarnaev could have backed out of the plot and reported his brother to authorities . Instead , Richard said , “ he chose hate . He chose destruction . He chose death . This is all on him . ” Richard noted that his family would have preferred that Tsarnaev receive a life sentence so that he could have had “ a lifetime to reconcile with himself what he did that day . ” Richard said his family has chosen love , kindness and peace , adding : “ That is what makes us different than him . ” Fatima Tlisova of VOA ' s Russian service contributed to this report from Boston . Some information for this report came from Reuters and AP ."
28,53_VOA_EN_NW_2015.06.24.2835606,<arg1> destroyed <arg2> using <arg3> instrument in <arg4> place,"{'Destroyer': 'He', 'Artifact': 'undefined', 'Instrument': 'undefined', 'Place': 'undefined'}","{'Destroyer': 'BLANK', 'Artifact': 'BLANK', 'Instrument': 'BLANK', 'Place': 'BLANK'}","In a message he scrawled in the boat he was found hiding in , Tsarnaev said the attack was retaliation against the U . S . for its wars in Muslim countries . McWatters urged Tsarnaev to show remorse to discourage other jihadis from killing people in similar attacks . “ You can save them from these cowardly acts if you really have an ounce of regret , ” she said . Rebekah Gregory , a Texas woman who lost a leg in the bombing , defiantly told Tsarnaev she was not his victim . “ While your intention was to destroy America , what you have really accomplished is actually quite the opposite — you ' ve unified us , ” she said . "" We are Boston strong , we are America strong , and choosing to mess with us was a terrible idea . So how ' s that for your VICTIM impact statement ? ” ' He is a leech ' Several victims condemned Tsarnaev for coming to the U . S . as an immigrant from Russia , enjoying the benefits of living here and then attacking American citizens . “ He is a leech , abusing the privilege of American freedom , and he spit in the face of the American dream , ” said Jennifer Rogers , an older sister of slain MIT Officer Sean Collier . Bill Richard , whose 8 - year - old son , Martin , was the youngest person killed in the bombing , said Tsarnaev could have backed out of the plot and reported his brother to authorities . Instead , Richard said , “ he chose hate . He chose <tgr>destruction <tgr>. He chose death . This is all on him . ” Richard noted that his family would have preferred that Tsarnaev receive a life sentence so that he could have had “ a lifetime to reconcile with himself what he did that day . ” Richard said his family has chosen love , kindness and peace , adding : “ That is what makes us different than him . ” Fatima Tlisova of VOA ' s Russian service contributed to this report from Boston . Some information for this report came from Reuters and AP ."
29,53_VOA_EN_NW_2015.06.24.2835606,"<arg1> died at <arg2> place from <arg4> medical issue, killed by <arg3> killer","{'Victim': 'undefined', 'Place': 'undefined', 'Killer': 'He', 'MedicalIssue': 'undefined'}","{'Victim': 'BLANK', 'Place': 'BLANK', 'Killer': 'BLANK', 'MedicalIssue': 'BLANK'}","In a message he scrawled in the boat he was found hiding in , Tsarnaev said the attack was retaliation against the U . S . for its wars in Muslim countries . McWatters urged Tsarnaev to show remorse to discourage other jihadis from killing people in similar attacks . “ You can save them from these cowardly acts if you really have an ounce of regret , ” she said . Rebekah Gregory , a Texas woman who lost a leg in the bombing , defiantly told Tsarnaev she was not his victim . “ While your intention was to destroy America , what you have really accomplished is actually quite the opposite — you ' ve unified us , ” she said . "" We are Boston strong , we are America strong , and choosing to mess with us was a terrible idea . So how ' s that for your VICTIM impact statement ? ” ' He is a leech ' Several victims condemned Tsarnaev for coming to the U . S . as an immigrant from Russia , enjoying the benefits of living here and then attacking American citizens . “ He is a leech , abusing the privilege of American freedom , and he spit in the face of the American dream , ” said Jennifer Rogers , an older sister of slain MIT Officer Sean Collier . Bill Richard , whose 8 - year - old son , Martin , was the youngest person killed in the bombing , said Tsarnaev could have backed out of the plot and reported his brother to authorities . Instead , Richard said , “ he chose hate . He chose destruction . He chose <tgr>death <tgr>. This is all on him . ” Richard noted that his family would have preferred that Tsarnaev receive a life sentence so that he could have had “ a lifetime to reconcile with himself what he did that day . ” Richard said his family has chosen love , kindness and peace , adding : “ That is what makes us different than him . ” Fatima Tlisova of VOA ' s Russian service contributed to this report from Boston . Some information for this report came from Reuters and AP ."
30,53_VOA_EN_NW_2015.06.24.2835606,<arg1> court or judge sentenced <arg2> for <arg3> crime to <arg4> sentence in <arg5> place,"{'JudgeCourt': 'undefined', 'Defendant': 'Tsarnaev', 'Crime': 'undefined', 'Sentence': 'undefined', 'Place': 'undefined'}","{'JudgeCourt': 'BLANK', 'Defendant': 'BLANK', 'Crime': 'BLANK', 'Sentence': 'BLANK', 'Place': 'BLANK'}","In a message he scrawled in the boat he was found hiding in , Tsarnaev said the attack was retaliation against the U . S . for its wars in Muslim countries . McWatters urged Tsarnaev to show remorse to discourage other jihadis from killing people in similar attacks . “ You can save them from these cowardly acts if you really have an ounce of regret , ” she said . Rebekah Gregory , a Texas woman who lost a leg in the bombing , defiantly told Tsarnaev she was not his victim . “ While your intention was to destroy America , what you have really accomplished is actually quite the opposite — you ' ve unified us , ” she said . "" We are Boston strong , we are America strong , and choosing to mess with us was a terrible idea . So how ' s that for your VICTIM impact statement ? ” ' He is a leech ' Several victims condemned Tsarnaev for coming to the U . S . as an immigrant from Russia , enjoying the benefits of living here and then attacking American citizens . “ He is a leech , abusing the privilege of American freedom , and he spit in the face of the American dream , ” said Jennifer Rogers , an older sister of slain MIT Officer Sean Collier . Bill Richard , whose 8 - year - old son , Martin , was the youngest person killed in the bombing , said Tsarnaev could have backed out of the plot and reported his brother to authorities . Instead , Richard said , “ he chose hate . He chose destruction . He chose death . This is all on him . ” Richard noted that his family would have preferred that Tsarnaev receive a life <tgr>sentence <tgr>so that he could have had “ a lifetime to reconcile with himself what he did that day . ” Richard said his family has chosen love , kindness and peace , adding : “ That is what makes us different than him . ” Fatima Tlisova of VOA ' s Russian service contributed to this report from Boston . Some information for this report came from Reuters and AP ."
0,wiki_drone_strikes_0_news_1,<arg1> attacked <arg2> using <arg3> at <arg4> place,"{'Attacker': 'undefined', 'Target': 'undefined', 'Instrument': 'undefined', 'Place': 'undefined'}","{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'Place': 'BLANK'}","There were ten times more air <tgr>strikes <tgr>in the covert war on terror during President Barack Obama ’ s presidency than under his predecessor , George W . Bush . Obama embraced the US drone programme , overseeing more strikes in his first year than Bush carried out during his entire presidency . A total of 563 strikes , largely by drones , targeted Pakistan , Somalia and Yemen during Obama ’ s two terms , compared to 57 strikes under Bush . Between 384 and 807 civilians were killed in those countries , according to reports logged by the Bureau . The use of drones aligned with Obama ’ s ambition to keep up the war against al Qaeda while extricating the US military from intractable , costly ground wars in the Middle East and Asia . But the targeted killing programme has drawn much criticism . The Obama administration has insisted that drone strikes are so “ exceptionally surgical and precise ” that they pluck off terror suspects while not putting “ innocent men , women and children in danger ” . This claim has been contested by numerous human rights groups , however , and the Bureau ’ s figures on civilian casualties also demonstrate that this is often not the case . The White House released long - awaited figures last July on the number of people killed in drone strikes between January 2009 and the end of 2015 , an announcement which insiders said was a direct response to pressure from the Bureau and other organisations that collect data . However the US ’ s estimate of the number of civilians killed – between 64 and 116 – contrasted strongly with the number recorded by the Bureau , which at 380 to 801 was six times higher . That figure does not include deaths in active battlefields including Afghanistan – where US air attacks have shot up since Obama withdrew the majority of his troops at the end of 2014 . The country has since come under frequent US bombardment , in an unreported war that saw 1 , 337 weapons dropped last year alone – a 40 % rise on 2015 ."
1,wiki_drone_strikes_0_news_1,<arg1> attacked <arg2> using <arg3> at <arg4> place,"{'Attacker': 'undefined', 'Target': 'undefined', 'Instrument': 'undefined', 'Place': 'undefined'}","{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'Place': 'BLANK'}","There were ten times more air strikes in the covert war on terror during President Barack Obama ’ s presidency than under his predecessor , George W . Bush . Obama embraced the US drone programme , overseeing more <tgr>strikes <tgr>in his first year than Bush carried out during his entire presidency . A total of 563 strikes , largely by drones , targeted Pakistan , Somalia and Yemen during Obama ’ s two terms , compared to 57 strikes under Bush . Between 384 and 807 civilians were killed in those countries , according to reports logged by the Bureau . The use of drones aligned with Obama ’ s ambition to keep up the war against al Qaeda while extricating the US military from intractable , costly ground wars in the Middle East and Asia . But the targeted killing programme has drawn much criticism . The Obama administration has insisted that drone strikes are so “ exceptionally surgical and precise ” that they pluck off terror suspects while not putting “ innocent men , women and children in danger ” . This claim has been contested by numerous human rights groups , however , and the Bureau ’ s figures on civilian casualties also demonstrate that this is often not the case . The White House released long - awaited figures last July on the number of people killed in drone strikes between January 2009 and the end of 2015 , an announcement which insiders said was a direct response to pressure from the Bureau and other organisations that collect data . However the US ’ s estimate of the number of civilians killed – between 64 and 116 – contrasted strongly with the number recorded by the Bureau , which at 380 to 801 was six times higher . That figure does not include deaths in active battlefields including Afghanistan – where US air attacks have shot up since Obama withdrew the majority of his troops at the end of 2014 . The country has since come under frequent US bombardment , in an unreported war that saw 1 , 337 weapons dropped last year alone – a 40 % rise on 2015 ."
2,wiki_drone_strikes_0_news_1,<arg1> attacked <arg2> using <arg3> at <arg4> place,"{'Attacker': 'undefined', 'Target': 'Yemen', 'Instrument': 'drones', 'Place': 'undefined'}","{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'Place': 'BLANK'}","There were ten times more air strikes in the covert war on terror during President Barack Obama ’ s presidency than under his predecessor , George W . Bush . Obama embraced the US drone programme , overseeing more strikes in his first year than Bush carried out during his entire presidency . A total of 563 <tgr>strikes <tgr>, largely by drones , targeted Pakistan , Somalia and Yemen during Obama ’ s two terms , compared to 57 strikes under Bush . Between 384 and 807 civilians were killed in those countries , according to reports logged by the Bureau . The use of drones aligned with Obama ’ s ambition to keep up the war against al Qaeda while extricating the US military from intractable , costly ground wars in the Middle East and Asia . But the targeted killing programme has drawn much criticism . The Obama administration has insisted that drone strikes are so “ exceptionally surgical and precise ” that they pluck off terror suspects while not putting “ innocent men , women and children in danger ” . This claim has been contested by numerous human rights groups , however , and the Bureau ’ s figures on civilian casualties also demonstrate that this is often not the case . The White House released long - awaited figures last July on the number of people killed in drone strikes between January 2009 and the end of 2015 , an announcement which insiders said was a direct response to pressure from the Bureau and other organisations that collect data . However the US ’ s estimate of the number of civilians killed – between 64 and 116 – contrasted strongly with the number recorded by the Bureau , which at 380 to 801 was six times higher . That figure does not include deaths in active battlefields including Afghanistan – where US air attacks have shot up since Obama withdrew the majority of his troops at the end of 2014 . The country has since come under frequent US bombardment , in an unreported war that saw 1 , 337 weapons dropped last year alone – a 40 % rise on 2015 ."
3,wiki_drone_strikes_0_news_1,<arg1> attacked <arg2> using <arg3> at <arg4> place,"{'Attacker': 'undefined', 'Target': 'undefined', 'Instrument': 'undefined', 'Place': 'undefined'}","{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'Place': 'BLANK'}","There were ten times more air strikes in the covert war on terror during President Barack Obama ’ s presidency than under his predecessor , George W . Bush . Obama embraced the US drone programme , overseeing more strikes in his first year than Bush carried out during his entire presidency . A total of 563 strikes , largely by drones , targeted Pakistan , Somalia and Yemen during Obama ’ s two terms , compared to 57 <tgr>strikes <tgr>under Bush . Between 384 and 807 civilians were killed in those countries , according to reports logged by the Bureau . The use of drones aligned with Obama ’ s ambition to keep up the war against al Qaeda while extricating the US military from intractable , costly ground wars in the Middle East and Asia . But the targeted killing programme has drawn much criticism . The Obama administration has insisted that drone strikes are so “ exceptionally surgical and precise ” that they pluck off terror suspects while not putting “ innocent men , women and children in danger ” . This claim has been contested by numerous human rights groups , however , and the Bureau ’ s figures on civilian casualties also demonstrate that this is often not the case . The White House released long - awaited figures last July on the number of people killed in drone strikes between January 2009 and the end of 2015 , an announcement which insiders said was a direct response to pressure from the Bureau and other organisations that collect data . However the US ’ s estimate of the number of civilians killed – between 64 and 116 – contrasted strongly with the number recorded by the Bureau , which at 380 to 801 was six times higher . That figure does not include deaths in active battlefields including Afghanistan – where US air attacks have shot up since Obama withdrew the majority of his troops at the end of 2014 . The country has since come under frequent US bombardment , in an unreported war that saw 1 , 337 weapons dropped last year alone – a 40 % rise on 2015 ."
4,wiki_drone_strikes_0_news_1,"<arg1> died at <arg2> place from <arg4> medical issue, killed by <arg3> killer","{'Victim': 'civilians', 'Place': 'countries', 'Killer': 'undefined', 'MedicalIssue': 'undefined'}","{'Victim': 'BLANK', 'Place': 'BLANK', 'Killer': 'BLANK', 'MedicalIssue': 'BLANK'}","There were ten times more air strikes in the covert war on terror during President Barack Obama ’ s presidency than under his predecessor , George W . Bush . Obama embraced the US drone programme , overseeing more strikes in his first year than Bush carried out during his entire presidency . A total of 563 strikes , largely by drones , targeted Pakistan , Somalia and Yemen during Obama ’ s two terms , compared to 57 strikes under Bush . Between 384 and 807 civilians were <tgr>killed <tgr>in those countries , according to reports logged by the Bureau . The use of drones aligned with Obama ’ s ambition to keep up the war against al Qaeda while extricating the US military from intractable , costly ground wars in the Middle East and Asia . But the targeted killing programme has drawn much criticism . The Obama administration has insisted that drone strikes are so “ exceptionally surgical and precise ” that they pluck off terror suspects while not putting “ innocent men , women and children in danger ” . This claim has been contested by numerous human rights groups , however , and the Bureau ’ s figures on civilian casualties also demonstrate that this is often not the case . The White House released long - awaited figures last July on the number of people killed in drone strikes between January 2009 and the end of 2015 , an announcement which insiders said was a direct response to pressure from the Bureau and other organisations that collect data . However the US ’ s estimate of the number of civilians killed – between 64 and 116 – contrasted strongly with the number recorded by the Bureau , which at 380 to 801 was six times higher . That figure does not include deaths in active battlefields including Afghanistan – where US air attacks have shot up since Obama withdrew the majority of his troops at the end of 2014 . The country has since come under frequent US bombardment , in an unreported war that saw 1 , 337 weapons dropped last year alone – a 40 % rise on 2015 ."
5,wiki_drone_strikes_0_news_1,<arg1> attacked <arg2> using <arg3> at <arg4> place,"{'Attacker': 'undefined', 'Target': 'undefined', 'Instrument': 'drone', 'Place': 'undefined'}","{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'Place': 'BLANK'}","There were ten times more air strikes in the covert war on terror during President Barack Obama ’ s presidency than under his predecessor , George W . Bush . Obama embraced the US drone programme , overseeing more strikes in his first year than Bush carried out during his entire presidency . A total of 563 strikes , largely by drones , targeted Pakistan , Somalia and Yemen during Obama ’ s two terms , compared to 57 strikes under Bush . Between 384 and 807 civilians were killed in those countries , according to reports logged by the Bureau . The use of drones aligned with Obama ’ s ambition to keep up the war against al Qaeda while extricating the US military from intractable , costly ground wars in the Middle East and Asia . But the targeted killing programme has drawn much criticism . The Obama administration has insisted that drone <tgr>strikes <tgr>are so “ exceptionally surgical and precise ” that they pluck off terror suspects while not putting “ innocent men , women and children in danger ” . This claim has been contested by numerous human rights groups , however , and the Bureau ’ s figures on civilian casualties also demonstrate that this is often not the case . The White House released long - awaited figures last July on the number of people killed in drone strikes between January 2009 and the end of 2015 , an announcement which insiders said was a direct response to pressure from the Bureau and other organisations that collect data . However the US ’ s estimate of the number of civilians killed – between 64 and 116 – contrasted strongly with the number recorded by the Bureau , which at 380 to 801 was six times higher . That figure does not include deaths in active battlefields including Afghanistan – where US air attacks have shot up since Obama withdrew the majority of his troops at the end of 2014 . The country has since come under frequent US bombardment , in an unreported war that saw 1 , 337 weapons dropped last year alone – a 40 % rise on 2015 ."
6,wiki_drone_strikes_0_news_1,"<arg1> died at <arg2> place from <arg4> medical issue, killed by <arg3> killer","{'Victim': 'people', 'Place': 'undefined', 'Killer': 'undefined', 'MedicalIssue': 'undefined'}","{'Victim': 'BLANK', 'Place': 'BLANK', 'Killer': 'BLANK', 'MedicalIssue': 'BLANK'}","Obama embraced the US drone programme , overseeing more strikes in his first year than Bush carried out during his entire presidency . A total of 563 strikes , largely by drones , targeted Pakistan , Somalia and Yemen during Obama ’ s two terms , compared to 57 strikes under Bush . Between 384 and 807 civilians were killed in those countries , according to reports logged by the Bureau . The use of drones aligned with Obama ’ s ambition to keep up the war against al Qaeda while extricating the US military from intractable , costly ground wars in the Middle East and Asia . But the targeted killing programme has drawn much criticism . The Obama administration has insisted that drone strikes are so “ exceptionally surgical and precise ” that they pluck off terror suspects while not putting “ innocent men , women and children in danger ” . This claim has been contested by numerous human rights groups , however , and the Bureau ’ s figures on civilian casualties also demonstrate that this is often not the case . The White House released long - awaited figures last July on the number of people <tgr>killed <tgr>in drone strikes between January 2009 and the end of 2015 , an announcement which insiders said was a direct response to pressure from the Bureau and other organisations that collect data . However the US ’ s estimate of the number of civilians killed – between 64 and 116 – contrasted strongly with the number recorded by the Bureau , which at 380 to 801 was six times higher . That figure does not include deaths in active battlefields including Afghanistan – where US air attacks have shot up since Obama withdrew the majority of his troops at the end of 2014 . The country has since come under frequent US bombardment , in an unreported war that saw 1 , 337 weapons dropped last year alone – a 40 % rise on 2015 . Afghan civilian casualties have been high , with the United Nations ( UN ) reporting at least 85 deaths in 2016 . The Bureau recorded 65 to 105 civilian deaths during this period . We did not start collecting data on Afghanistan until 2015 ."
7,wiki_drone_strikes_0_news_1,<arg1> attacked <arg2> using <arg3> at <arg4> place,"{'Attacker': 'undefined', 'Target': 'undefined', 'Instrument': 'drone', 'Place': 'undefined'}","{'Attacker': 'BLANK', 'Target': 'BLANK', 'Instrument': 'BLANK', 'Place': 'BLANK'}","Obama embraced the US drone programme , overseeing more strikes in his first year than Bush carried out during his entire presidency . A total of 563 strikes , largely by drones , targeted Pakistan , Somalia and Yemen during Obama ’ s two terms , compared to 57 strikes under Bush . Between 384 and 807 civilians were killed in those countries , according to reports logged by the Bureau . The use of drones aligned with Obama ’ s ambition to keep up the war against al Qaeda while extricating the US military from intractable , costly ground wars in the Middle East and Asia . But the targeted killing programme has drawn much criticism . The Obama administration has insisted that drone strikes are so “ exceptionally surgical and precise ” that they pluck off terror suspects while not putting “ innocent men , women and children in danger ” . This claim has been contested by numerous human rights groups , however , and the Bureau ’ s figures on civilian casualties also demonstrate that this is often not the case . The White House released long - awaited figures last July on the number of people killed in drone <tgr>strikes <tgr>between January 2009 and the end of 2015 , an announcement which insiders said was a direct response to pressure from the Bureau and other organisations that collect data . However the US ’ s estimate of the number of civilians killed – between 64 and 116 – contrasted strongly with the number recorded by the Bureau , which at 380 to 801 was six times higher . That figure does not include deaths in active battlefields including Afghanistan – where US air attacks have shot up since Obama withdrew the majority of his troops at the end of 2014 . The country has since come under frequent US bombardment , in an unreported war that saw 1 , 337 weapons dropped last year alone – a 40 % rise on 2015 . Afghan civilian casualties have been high , with the United Nations ( UN ) reporting at least 85 deaths in 2016 . The Bureau recorded 65 to 105 civilian deaths during this period . We did not start collecting data on Afghanistan until 2015 ."
8,wiki_drone_strikes_0_news_1,"<arg1> died at <arg2> place from <arg4> medical issue, killed by <arg3> killer","{'Victim': 'civilians', 'Place': 'undefined', 'Killer': 'undefined', 'MedicalIssue': 'undefined'}","{'Victim': 'BLANK', 'Place': 'BLANK', 'Killer': 'BLANK', 'MedicalIssue': 'BLANK'}","Obama embraced the US drone programme , overseeing more strikes in his first year than Bush carried out during his entire presidency . A total of 563 strikes , largely by drones , targeted Pakistan , Somalia and Yemen during Obama ’ s two terms , compared to 57 strikes under Bush . Between 384 and 807 civilians were killed in those countries , according to reports logged by the Bureau . The use of drones aligned with Obama ’ s ambition to keep up the war against al Qaeda while extricating the US military from intractable , costly ground wars in the Middle East and Asia . But the targeted killing programme has drawn much criticism . The Obama administration has insisted that drone strikes are so “ exceptionally surgical and precise ” that they pluck off terror suspects while not putting “ innocent men , women and children in danger ” . This claim has been contested by numerous human rights groups , however , and the Bureau ’ s figures on civilian casualties also demonstrate that this is often not the case . The White House released long - awaited figures last July on the number of people killed in drone strikes between January 2009 and the end of 2015 , an announcement which insiders said was a direct response to pressure from the Bureau and other organisations that collect data . However the US ’ s estimate of the number of civilians <tgr>killed <tgr>– between 64 and 116 – contrasted strongly with the number recorded by the Bureau , which at 380 to 801 was six times higher . That figure does not include deaths in active battlefields including Afghanistan – where US air attacks have shot up since Obama withdrew the majority of his troops at the end of 2014 . The country has since come under frequent US bombardment , in an unreported war that saw 1 , 337 weapons dropped last year alone – a 40 % rise on 2015 . Afghan civilian casualties have been high , with the United Nations ( UN ) reporting at least 85 deaths in 2016 . The Bureau recorded 65 to 105 civilian deaths during this period . We did not start collecting data on Afghanistan until 2015 ."
