sentence,leaning
"Some of the '60s reforms also attempted to do things on behalf of the poor that no one knew how to do well , and the limits and frustrations of those programs left a bitter residue , including resistance to taxes .",Liberal
"By contrast , the pope and his less-beloved but more dogged successor did hold fast against the satanic optimism of the free market and opposed both vainglorious Gulf Wars despite the unpopularity it caused them .",Liberal
"HEAD START WAS NEVER INTENDED TO BE PRIMARILY an academic program , but one that prepares low-income children for school by developing their health and their social , emotional , and physical skills , as well as math and reading readiness .",Liberal
Doing away with them would deprive the system of an important force for visibility ( lawsuits reveal what the worst medical providers are doing ) and aligned interests ( lawsuits pressure medical providers to take better care of their patients ) . '',Conservative
"The term sound money is especially important to grasp : It is meant to describe a reliable , dependably valued medium of exchange and account , not subject easily to manipulation , which can therefore effectively perform the three functions of money described above , all of which lead to prosperity and an advancing economy .",Neutral
"Radical left-wing views motivated presidential attackers Lee Harvey Oswald and Sara Jane Moore , while right-wing ideology inspired members of the terrorist group The Order to kill liberal talk radio host Alan Berg in 1984 .",Neutral
"A key assertion that Nisbett makes to argue that genes have nothing to do with the black-white IQ difference is that blacks have cut the deficit by more than one third over the past 30 years , implying that we can expect smaller differences over time .",Neutral
They can not succeed in 2004 if they pin all their hopes on the solutions they offer to such key economic problems as the nearly 3.2 million jobs that have been lost since George W. Bush became president or the rising number of Americans ( around 44 million by current estimates ) without health insurance .,Liberal
"With the economic system off-limits to criticism ( even invisible in its main power dimensions ) , attention necessarily gravitates to government as the root of all evil .",Conservative
"introduced the America 's Climate Security Act of 2007 ( S. 2191 ) in the last Congress , the Heritage Foundation warned , `` All such climate change measures warrant careful scrutiny , as they would likely increase energy costs and do considerably more economic harm than environmental good .",Liberal
"Others complained that the pyramid was either too critical of fats or failed to indicate that dairy products -- dairy farmers have a powerful lobby , too -- should be consumed in low-fat varieties .",Liberal
"Unfortunately , all too often the politicians , analysts , and commentators misdiagnose the problem and misdirect popular resentment and outrage toward the wrong target : `` capitalism , '' `` deregulation , '' or `` free market economics .",Conservative
"To prepare for change and take full advantage of these opportunities , many states have created legislative committees and planning groups - a process that should ideally be broadly representative and collaborative without being captured by the insurance or health-care industries .",Liberal
Maloney says the guards he 's met over the years tell him he does a convincing job playing `` that certain guy '' who makes their jobs hell .,Neutral
"That is , if men assume that freedom is license , if they assume that they can do whatever they want and abandon a freely accepted moral code in favor of the law of the jungle , the resulting moral anarchy will inevitably lead to the loss of freedom .",Conservative
"On taxes , they ridiculed the right as greedy and favoring the wealthy to the detriment of fiscal responsibility .",Conservative
He sees `` a defense budget caught between two stools : higher than needed for basic security but far lower than required to eliminate all villainous governments and groups everywhere .,Conservative
"As new superhighways sliced through various cities , they did great damage to those cities ' physical and social fabrics , often destroying neighborhoods , uprooting great numbers of the black and the poor , and eliminating hundreds of small businesses .",Liberal
What makes country fans angriest is condescension by liberal elitists who call them dumb and make fun of their piety and patriotism .,Conservative
"Their preservation of the great works and traditions of Western civilization , including the traditions of rationality and skepticism , have been crucial to the growth of individual freedom , respect for the rule of law , and scientific progress .",Liberal
"The dynamics of capitalism , Speth argues , are at the crux of these problems : `` When prices reflect environmental values as poorly as today 's prices do , the system is running without essential controls .",Liberal
"Immediately after its passage , Morgan interests began holding classes to instruct bankers about strategies to help them secure the privileges granted to them through the Interstate Commerce Commission , which , as was said , quickly became controlled by the railroad interests .",Liberal
"This was n't always so , however , because OPEC once had so much excess production capacity that , when prices were high , some countries cheated on their allotted quotas , resulting in excess production that eventually drove prices down , sometimes dramatically .",Liberal
Republicans seem unaware that whining about uncertainty contradicts one of their fundamental economic principles : Entrepreneurs and businesspeople are risk-takers who should be rewarded for their daring .,Liberal
"While Cameron annoys right-wingers with his commitment to subsidized green energy and international aid , Boris attacks the governing coalition for failing to support the `` struggling middle '' of society .",Liberal
"And God bless them , they won one in 2004 when , in Pickett v. IBP , an Alabama jury awarded $ 1.28 billion to cattlemen in a class action suit because IBP had used captive supplies to negatively manipulate cattle prices .",Liberal
"Their primary interest in high-minded objectives , however , is in determining which arguments for the legislation they favor are most likely to convince voters that supporting it at the ballot box is the moral thing to do .",Neutral
"The simplest problem with laissez-faire is not that it is unjust or harmful to poor people , but that it is a hopelessly inadequate description of any system of liberty , including free markets .",Liberal
"The self-serving argument that too much regulation hurts the U.S. financial markets was used by another former Goldman co-CEO and U.S. treasury secretary , Robert Rubin , to help kill Glass-Steagall , the 1933 act that prevented conflict-of-interest behavior within the walls of financial institutions .",Conservative
"The radical feminist movement not only explains that any dissatisfaction she may experience is the fault of others , namely men , but also comforts her with a sense of solidarity and common purpose in the way that some men find the battalion a welcome relief from the freedom of civilian life .",Liberal
Morrison County Attorney Brian Middendorf described Smith 's actions as `` appalling '' and stated that `` Mr. Smith intentionally killed two teenagers in his home in a manner that goes well beyond self-defense .,Neutral
"In sum , only `` love in truth , '' true love , Christian love , can bring about authentic `` social , juridical , political , and economic '' development .",Conservative
"THE OLD LIBEBALISM GOT AMERICA OUT OF DEPRESSION , won the war against fascism , built the middle class , created global alliances , and made education and health care far closer to universal than they had ever been .",Liberal
"Just as Alan Greenspan did n't really fix the problem of the dot-com crash by inflating the housing bubble , neither has Ben Bernanke solved the problem of the housing crash by creating more than $ 1 trillion out of thin air with which to buy government debt and `` toxic '' derivative assets .",Conservative
"More troublesome , because it 's more recent than a 32-year-old book , is Holdren 's involvement in `` Climategate , '' the deliberate manipulation of scientific data , the stonewalling of Freedom of Information requests , and the overall propaganda efforts of scientists charged with studying the causes and effects of climate change .",Liberal
"Christians in public life , meanwhile , understand very well that if they argue for laws relating to abortion , gender roles , or same-sex marriage , they must make their case in language that will persuade citizens who do not share their faith .",Conservative
"Serving 12 to 20 years for aggravated assault and battery , and attempted sexual assault , Shuck , who is 60 , has been here since May 2006 .",Neutral
"Experts disagree , but the government numbers reflect a 25 percent gain , while Cornell University scientist David Pimentel concludes that more fossil-fuel energy goes into making a gallon of ethanol than comes out of it -- a literal waste of energy .",Conservative
"Quitting smoking , stopping alcohol abuse , eating a proper diet , and getting exercise are all relatively inexpensive ways to reduce the risk of costly medical care while improving overall health , fitness , and productivity .",Liberal
"Public schools will get better and actually provide an education for the children who attend them , when , as occurred with the Southern freedom movement , the people at the bottom , those who have been written off as apathetic , too ignorant or hopeless , begin to make demands .",Liberal
"Modern libertarians were elated at the defeat of Sen. Rick Santorum , less because of his adventurous foreign policy or his violations of free market doctrine than because of his identification with tough , socially conservative Catholicism .",Liberal
"Creating a synergy between making money and helping others-the Puritan Protestant formula for entrepreneurial virtue-producers profited by making commodities for the workers they employed , a circle of virtue that benefited both classes and society at large .",Conservative
"As a social being , he seeks to gain the recognition and affection of his fellow human beings , to share in their pleasures , to comfort them in their sorrows , and to improve their conditions of life .",Neutral
"The biggest danger , however , is n't that a lack of creativity will produce bad fiction ; it 's that an excess of creativity will yield unrealistic scenarios .",Neutral
Artists in America receive precious little corporate support from the major media in their battle for free expression because these same companies are petitioning the very same FCC commissioners to allow them to expand their respective empires .,Liberal
"The Democratic argument , said Laffer , also ignores the impacts of unemployment benefits on employer costs and the need to make an after-tax profit .",Conservative
"Instead of doing everything possible to attract and safeguard endangered species , landowners often manage their properties to avoid inhabitation -- and secretly kill the species if they do show up .",Liberal
Authors Gannon and Lawson argue that it is not sufficient to merely tax the industry for the harms it creates ; the industry should also be made to express its penance by devoting a significant percent of its productive hours and efforts to persuading the public to believe the opposite of what the advertising intends .,Liberal
"As a Republican national committeeman , Bopp fought for a resolution requiring candidates to pledge support for at least eight of ten policy positions - being pro-gun rights , pro-Defense of Marriage Act , against Obama 's stimulus package , and so on - in order to get party backing .",Conservative
On the gravestone of its hero -- Ronald Reagan -- is an epithet that suggests how far modern conservatism has traveled from its original basis in theological humility and acknowledgment of original sin : `` I know in my heart that man is good .,Conservative
"Americans are still mostly suffering through the worst economic downturn since the Great Depression , but Wall Street profits and multimillion-dollar bonuses soon returned to record levels .",Liberal
"Dr. Leonard Evan , author of Traffic Safety , concludes that `` CAFE kills , and higher CAFE standards will kill even more .",Conservative
"Besides the RFC , the Hoover administration took a number of other actions , including the creation of a new Home Loan Bank System -- the beginning of federal government involvement in the housing industry -- and bullying of stock traders , in effect forcing them to impose regulations on short-sellers , whom Hoover believed were especially to blame for the stock market collapse . ''",Conservative
The same exalted estimate of worker creativity and revolutionary fervor found in his writings of 1902 led Lenin in 1917 to believe that the dire economic crisis of that year could be easily solved simply by letting the workers smash the repressive state and forcing the capitalists to do their proper job .,Conservative
"This salvation is not from hell , but from sin , thus pretty much eliminating the truth about a future Judgment Day .",Conservative
"But welfare mocks the Ellis Island virtues , upending them as easily as the shattered Statue of Liberty Charlton Heston stumbled across in the sands of a ruined planet .",Conservative
"These liberals propagate racist policies that are based on the assumption that we are too stupid and lazy to take care of ourselves and they try to convince us , often successfully , that we need Big Brother to give us handouts .",Conservative
"And before you brag about the talent or courage you share with some illustrious kinsman , remember that the exponential mathematics of relatedness successively halves the number of genes shared by relatives with every link separating them .",Neutral
WEALTHY LIBERALS have constructed an elaborate rationale to explain why wealthy conservatives are more willing to cut big checks .,Conservative
"Most of the right-wing commentary purporting to prove that the rich bear the overwhelming burden of government relies upon the simple trick of citing only the income tax , which is progressive , while ignoring more regressive levies .",Liberal
"Moore 's fans-urban white liberals-want gun control to disarm the minority criminals who threaten them , but they are n't going to admit that , so Moore concocted a fantasy for them about how dangerous those heavily armed rural rednecks are .",Conservative
But the drought was not the only thing contributing to the rising food costs : Government intervention in the marketplace to promote the use of corn-based ethanol while boosting sales for the corn growers has made things worse for livestock producers who depend on corn to feed their herds .,Conservative
"In response to JACOB S. HACKER 'S piece from our May cover package on the future of risk , `` A Strong Safety Net Encourages Healthy Risk-Taking , '' reader DAVE LYNCH writes , `` Unfortunately actual evidence suggests the contrary .",Conservative
"That may sound like a modest punishment , but such sentences can be debilitating ; not only do they cause serious disruptions in the lives of parolees , who often lose jobs , apartments , and cars while inside , they condemn them to one of the worst and most poorly designed areas of prison life , the `` reception center .",Liberal
"With virtually the whole Republican Party aligned with McCarthy , the hearings , unlike those held sixteen years later , were bitterly partisan and tainted by expressions of doubt about the very loyalty of the governing party .",Liberal
"He strove desperately to find some guilty party or other to whom he could shift the burden of these recriminations , '' and he decides , much to his relief , that `` it 's all Zakhar 's fault .",Neutral
"In other areas of Hfe , decisions are made based on whether a particular use of a dollar is a good value as opposed to other uses ofthat dollar .",Neutral
The reasoning was that the bankers who were using these instruments were the ones who knew them best and that they would make rational decisions based upon their own interest .,Liberal
"Mencken 's observation , and has worked well in the past : find an issue ( or seize an opportunity if one is presented ) , create an environment of fear among the people , and then offer solutions that lead inexorably to the real goal : more government .",Conservative
"A report by the U.S.-China Economic and Security Review Commission notes that China 's acquisition of the cruiser , should that occur , `` would present a significant threat to the U.S. and its allie ( d ) Asian navies , in addition to the possibility of using its missiles to attack land targets .",Conservative
"Sixth , repudiating the regressive energy tax policies of Obama and the Democrats , we should implement the American Energy Plan discussed in chapter eighteen , which would unleash the private sector to produce low-cost , reliable energy supplies from American sources . ''",Conservative
"They say that , despite the claims of its representatives that corporate agriculture is best at feeding the world , the creation of global production chains and global supermarkets , driven by the search for monopoly profits , has been accompanied by greater hunger , worse food , and greater agriculture-related environmental destabilization all around than at any other time in history .",Conservative
"In states where Baldwin is not on the ballot , I 'd think about voting for the Libertarian Party 's Bob Barr , who had an excellent immigration record as a Republican congressman and who has not totally capitulated to the culturally illiterate left-libertarianism that now dominates the movement after the tragic demise of Murray Rothbard and paleolibertarianism .",Conservative
"But even if editors and managers miraculously figure out how to master the Internet , papers wo n't be able to make enough money from Web ads to pay for the workforce they need to produce the kind of strong journalism everyone from Thomas Jefferson to Rupert Murdoch agrees is vital to keeping the Republic free , informed , and self-governing .",Conservative
"For all practical purposes , it is advancing the idea that dictatorial control is more desirable than voluntary exchange between buyers and sellers , each of whom is free to accept or reject the other party 's offer .",Liberal
The aggressive arrogance common in agent handlers makes them ill-suited superiors .,Neutral
"While capitalism remains the best machine to fuel a civilization , a severe imbalance in wealth is dangerous , which is why all other industrialized countries more fairly tax the rich and provide more social programs for the poor and middle class .",Liberal
"There was no security ; kidnappings were endemic ; rapes common ; theft and looting rife ; sectarian armies policed various areas ; society fractured into tribes and families and finally to individuals , alone , terrified , defenseless .",Neutral
"The Right also confronts a series of challenges that did n't exist when the movement was formed or when Reagan was in office , such as whether their powerful ally , big business , is reaUy a friend of economic freedom or even compatible with promoting traditional values .",Liberal
"Variants of the `` critical industry '' or `` too big to fail '' argument commit the cardinal fallacy of false economics , the failure to trace the consequence of a particular policy to its general and long-term effects , not merely its targeted short-term effects .",Liberal
"What was needed was both an ability to grasp this evil , but also a capacity for shrewd , calm , rational strategy in response , a capacity to resist the simple instinct to respond overwhelmingly in kind , or to deploy only blunt force as a weapon to defuse a metastasizing , complex political and religious cancer .",Liberal
"FACING THIS PROBLEM is crucially important because our current legislative gridlock is making it increasingly difficult for lawmakers to tackle the issues that are central to our country 's future -- issues like climate change , the hard slog of recovering from a financial slump , and our long-term fiscal gap .",Liberal
"Ever since the McCain-Feingold campaign-finance legislation passed , Democrats have looked to so-called 527 groups-named after a part of the tax code that allows groups to raise unlimited sums and make independent expenditures on issues-to save them from cash shortfalls ( specifically for advertising ) that resulted from the reforms .",Conservative
"The reason , he argued , is that `` all costs of aggressive , uncontrolled competition are eventually borne , directly or indirectly , by the public .",Liberal
"Ginsburg , in a recent article defending workplace affirmative-action policies for women and promoting paid family leave and child care ( benefits this country still does not provide ) , encouraged the use of CEDAW as a justification for change .",Liberal
"Republicans have long denounced federal funding for child care as a threat to the American family , as Richard Nixon argued in his veto of a 1971 bill to establish a national child-care system .",Liberal
These so-called gun controls make it extraordinarily difficult for a law-abiding individual to obtain a weapon and nearly impossible for that person to carry and actually to use the weapon in self-defense .,Conservative
"Republicans could chip away at black allegiance to the Democratic Party by expending more efforts in black communities , continuing to push for faithbased initiatives popular among black Christians , expanding black homeownership , supporting charter schools and other educational reforms that resonate with blacks , and continuing to take a tough stand on national security .",Conservative
"Conveniently , last year 's Kelo v. City of New London Supreme Court decision provides the necessary justification to transfer the property of one private citizen to another who would make better use of it -- for the Super Highway is to be constructed and operated by public\/private partnerships that smack of fascism .",Conservative
"Good grief , the financial industry damn near buried the economy ; they have screwed middle-class Americans every way you can get screwed .",Liberal
"Now that the entire charade of passing off millions of highly risky , doomed-to-default mortgages via securitization to unwary investors has ended , risk avoidance has led not just to a return to higher qualifying standards but to a raising of the original bar .",Liberal
Now they 're going to do an advanced program on how to deal with anybody who has Post Traumatic Stress Disorder because of the high number of suicides .,Neutral
"Since circulating the Post story , the Bushies went on to fumble the response to a natural disaster , withdraw a Supreme Court nominee , watch a top aide get indicted , and witlessly hand a Middle Eastern government control of our vulnerable ports .",Liberal
"An additional problem is that these tales of woe seem to ignore , or actively fail to understand , the fact that a higher tax bracket affects only the portion of income above the threshold level .",Liberal
"He can say he favors a tax cut for income under that level , but he wo n't have to follow through on that pledge , because Republicans will never agree to pass a tax cut only on income under $ 250,000 .",Conservative
"The Taft-Hartley Act of 1947 had rolled back union protections ; the subsequent decline , in numbers and power , of labor unions would change the course of liberalism , as its strongest force for economic populism lost political influence both within the movement and in the wider world .",Liberal
"As our Founders understood , the best way to stay safe is by proudly professing our values and defending them with unwavering strength and conviction .",Conservative
"The pioneering Nurse-Family Partnership provides visits to low-income expectant mothers and their families by trained registered nurses who use proven methods to help improve the mental and physical health of the family by providing counseling on substance abuse , creating and achieving personal goals , and effective methods of nurturing children .",Liberal
"The poor face the same dilemmas as oppressed Blacks and women whose fates were tolerated , legitimized , and rationalized because wealthy , dominant forces needed a permanent underclass to maintain their lavish lifestyles .",Liberal
"And while he argues that torture should never be legal , the group takes no official stance on America 's war on terror or overseas engagements .",Neutral
"( Of course , one might conclude that such an argument is really a claim that coincidence , or `` dumb luck , '' is responsible for America 's founding .",Neutral
"Yet for all his focus on the `` politics of hope , '' when it comes to outlining his program of international interventionism , Obama parrots precisely the Bush regime 's panic-packed arguments about the horrendous threats facing America .",Conservative
"Creating rules to restrain spending is tricky , thanks to a variety of weaknesses in the institutional arrangements of the budget process .",Conservative
"Gingrich does not see a market solution to the energy crisis , but rather a federal government-led solution : `` Future presidents will surely find a way to vet their bold proposals with an appropriate subset of en-vironmental and economic gurus so our national leaders are better prepared to deliver workable and effective environmental policies .",Liberal
"Instead , liberal principles encourage the emergence of a behemoth state and its attendant bureaucracies in order to safeguard favored rights , engage in income distribution , and destroy lesser authorities such as states , churches , or voluntary organizations that stand in the way of the total state .",Conservative
"The fact that the gun makes lethal force easier works solely in favor of the weaker defender , not the stronger attacker .",Conservative
"Edinburgh , on the other hand , was now free to accept back its Whig Presbyterians , a progressive merchant , jurist , and intellectual class largely descended from Lowland families in the territories south of Edinburgh and Glasgow that had been settled over the centuries by invading Normans , and then English , and with a strong interest in economic and academic ties with London .",Conservative
Howard Dean ( D-Vt . ),Liberal
"Discussing Cheney en route to a Tea Party event in Paducah , Rand did not hesitate to voice his opinion about his Republican foes : `` They are the true neocons , they are ` conservative ' because they 're military hawks , but they are not conservative , because they are not fiscally conservative .",Liberal
"Yes , but the question is not whether some source of energy could provide the amount of energy necessary to fuel our energy-driven economy , but whether or not it is a practical solution for providing electrical energy sufficient for industry .",Conservative
"Beyond that , Democrats must focus on getting the troops out of Iraq , investigating the corruption and incompetence surrounding the war , pushing for energy independence , and addressing the threats posed by a collapsing health care and pension system and an unsustainable U.S. global deficit that will reach nearly $ 1 trillion next year alone .",Conservative
"So if we are serious about creating jobs , if we are serious about making sure our economy can be competitive in the global economy , we have to be watching what other countries are doing , and they are investing far more than we are .",Liberal
"Well , that 's because the upper echelon benefits from `` creativity , '' when in fact Florida 's `` creative class '' is defined to include essentially everyone in the highest-earning third of the work force - including the titans of finance , whose `` creativity '' has turned out to be deeply destructive .",Liberal
"The appeal to complexity is intended to inhibit the appeal to freedom , and make it seem crude and unworldly .",Conservative
Sanger said she was agitated and disturbed in her early years which led to much bitterness in her life .,Neutral
"Since social workers are so easily duped , divorcing spouses have made extensive use of CPS reports as a weapon in family court .",Conservative
"I agree with the PTC that with the millions of dollars these programs make from advertisers , the maximum $ 27,000 fine for TV stations is a joke , and that the FCC should fine each violation within a particular broadcast .",Neutral
Nor does giving him money or goods in exchange for his useless labor create effective demand ; it only shifts it from the people who produced what was given him .,Liberal
"Since taking office , Rendell has overseen the first state-level investments in pre-K , and been a stalwart champion for increasing that investment , but there has been a learning process here , too , about how to create a system for funding pre-K that everyone can agree on .",Liberal
"It has fed on an easy hatred of government and taxes , from the `` I 'm Mad as Hell '' chants of the California tax protesters in 1978 - the spirit that helped get Ronald Reagan elected president - to the Tea Party of today .",Liberal
"Doing the math , Paul 's plan would eliminate government spending on the Department of Energy , which would save $ 42 billion a year and free up its more than 100,000 employees to work in the private sector , hence producing wealth instead of stunting capital creation .",Conservative
"San Francisco also has a working-families credit ( a $ 100 wage supplement for families eligible for the federal Earned Income Tax Credit that includes public-transit discounts and other benefits ) and mandatory paid leave for all private employees ( including part-time and temporary workers ) when they are sick , need medical care , or need to care for their family members .",Liberal
"Of course , such a dollar absolutely kills the export and manufacturing industries , but it makes consumers and the government feel very good , so the government does n't want to do anything that might interrupt the flow of that foreign capital .",Neutral
"`` When my opponents attack success and free enterprise , they 're not only attacking me , they 're attacking every person who dreams of a better future , '' he told a crowd of supporters .",Liberal
"This new independent style rejected the old party flim-flam -- including a stridently partisan press -- in favor of a cooler , more detached politics , free of the old emotional partisanship .",Neutral
This is why Marx puts into relief the analogy between the critical element in the historical development of Christianity and a somewhat better understanding by the bourgeoisie of its reproductive order when it assumed a less mythologizing attitude towards its own mode of production .,Neutral
"( The problem this helps to solve is that the larger the group , the easier it is for cheaters to slip through the cracks .",Neutral
"( `` It makes me realize , '' observed labor leader Andrew Stern in 2005 , `` how vibrant the Republicans are in creating twenty-first-century ideas , and how sad it is that we 're defending sixty-year-old ideas .",Liberal
"Workers would have a far better chance of improving their earnings if they were better educated before they entered the workforce , and if education and training were complemented by other labormarket interventions such as higher minimum wages , stronger unions , and a national strategy of creating good jobs .",Liberal
"A Senate report produced for Inhofe 's Environment and Public Works Committee concluded that , among other problems , `` scientists involved in the CRU controversy violated fundamental ethical principles governing taxpayer-funded research and , in some cases , may have violated federal laws .",Liberal
"Bring back the gold standard , shut down the Federal Reserve , cut back our regulations , cut back government spending and taxes , cut back import\/export red tape .",Conservative
