ID,Target,Tweet,Stance,Opinion towards,Sentiment,trump_stance
20054,Donald Trump,"You can change the laws of America, but you can never change the Law of God. Marriage is between a man and a woman. #SemST",NONE,OTHER,NEGATIVE,None
20055,Donald Trump,@AppSame  obama and hillary and ordoughan and the Khomeinians and MB And ISIS are all serving the Freemasonry  #SemST,NONE,OTHER,NEGATIVE,None
20056,Donald Trump,@realDonaldTrump No more Bush or Hillary Clinton #SemST,FAVOR,TARGET,NEGATIVE,Favor
20057,Donald Trump,Been slacking on my @realDonaldTrump retweets.. had some catching up to do .. #Trumpforpresident #SemST,FAVOR,TARGET,POSITIVE,Favor
20058,Donald Trump,Healthcare in America must be fixed. Women are everything.  #TeamJason  #SemST,NONE,OTHER,POSITIVE,None
20059,Donald Trump,"American's, do you think we are headed in a positive direction? #USAGuard #OPACT #SemST",NONE,NO ONE,NEITHER,None
20060,Donald Trump,"The moment you opened your mouth,  that was the end of your candidate trip! @realDonaldTrump #SemST",AGAINST,TARGET,NEGATIVE,Against
20061,Donald Trump,And how many  #latinos enemies you gained in 1 week? 50 million!! @realDonaldTrump #SemST,AGAINST,TARGET,NEGATIVE,Against
20062,Donald Trump,They only did they gay marriage thing to get our attention off of all the shootings lately...  #SemST,NONE,OTHER,NEGATIVE,None
20063,Donald Trump,@tommyhubb @mikemckenna19 @Scully64 @jhodnot @SandraHartle carrying  guns #SemST,NONE,NO ONE,NEITHER,None
20064,Donald Trump,"@mtngma @Crossbearer1956 @CarmineZozzora aren't they, though #SemST",NONE,NO ONE,NEITHER,None
20065,Donald Trump,I almost got myself grounded for not agreeing with my parents on marriage equality. #USisnotatheocracy #SemST,NONE,OTHER,NEGATIVE,None
20066,Donald Trump,"If my only impression of the US was Donald Trump, I think I would hate it. #SemST",AGAINST,TARGET,NEGATIVE,Against
20067,Donald Trump,they legalized gay marriage???!!!  what's next?!?!? CRACK?!!!?  #SemST,NONE,OTHER,NEGATIVE,None
20068,Donald Trump,States Have Already Decided How They Felt About This Based Off The Wills Of Their People! Give Them Their Rights Back! #SemST,NONE,OTHER,NEGATIVE,None
20069,Donald Trump,The whitehouse displaying rainbow colors...are you shitting me? #SemST,NONE,OTHER,NEGATIVE,None
20070,Donald Trump,You're combover looks like the cupacabra  Guillermo @jimmykimmel so funny #SemST,AGAINST,TARGET,NEGATIVE,Against
20071,Donald Trump,"Supreme Court on the Constitution's WE THE PEOPLE...""It depends on what you mean by 'WE'. #SCOTUS #SCOTUScare #SemST",NONE,OTHER,NEGATIVE,None
20072,Donald Trump,Tyranny in full bloom with legislative editor and @ChiefJusticeJR court freedom hanging by thread @RedNationRising #Liberty #SemST,NONE,OTHER,NEGATIVE,None
20073,Donald Trump,@xmoraldk Glad we have each other on Twitter along with our home/community lives. You guys ROCK! #BeBlessed #SemST,NONE,OTHER,POSITIVE,None
20074,Donald Trump,"So gays can get married, but I still can't legally own a pet monkey in the USA -.- #thisiswhatswrongwiththeworld #SemST",NONE,OTHER,NEGATIVE,None
20075,Donald Trump,Thinking about deactivating my personal facebook account 'cause it's too liberal for me. Liberalism is a mental disorder. #SemST,NONE,OTHER,NEGATIVE,None
20076,Donald Trump,"It disgusts me how the White House can easily pass same sex marriage, but not marijuana at the same time. #WakeAndBake  #SemST",NONE,OTHER,NEGATIVE,None
20077,Donald Trump,@JonathanHoenig Why arent Americans allowed WEEKLY to vote on Bills that are passed by the elite on behalf of the masses? #SemST,NONE,OTHER,NEGATIVE,None
20078,Donald Trump,Maybe I was wrong. The government will probably ban football because someone is offended by the violent nature of the game #SemST,NONE,OTHER,NEGATIVE,None
20079,Donald Trump,"@GalaxySojourn until their welfare is cut, their freebies taken away the #plantationparty will always vote dem #SemST",NONE,OTHER,NEGATIVE,None
20080,Donald Trump,"We the people has become ""We the sheeple""  #SemST",NONE,OTHER,NEGATIVE,None
20081,Donald Trump,White terrorism is alive and well #SemST,NONE,OTHER,NEGATIVE,None
20082,Donald Trump,Is one cup of coffee ever enough?! #COFFEE #SemST,NONE,OTHER,POSITIVE,None
20083,Donald Trump,Of course @TheJuanWilliams is completely wrong on the @SCOTUS ruling on #obamacare . @MichelleFields is right! #SemST,NONE,OTHER,NEGATIVE,None
20084,Donald Trump,"@MichelleFields ""It's not SCOTUS' job to fix up Congress's mess!"" #Cashinin #SemST",NONE,OTHER,NEGATIVE,None
20085,Donald Trump,@ericbolling let @MichelleFields loose on @TheJuanWilliams when he makes idiotic unsubstantiated statements. #CashinIn #SemST,NONE,OTHER,NEGATIVE,None
20086,Donald Trump,@docweiser01 @ericbolling @JonathanHoenig @MichelleFields Morning Doc! (hugs) #SemST,NONE,NO ONE,POSITIVE,None
20087,Donald Trump,@1962Kiser @FanOfGreenMMs @ericbolling @jhodnot that's the one heard it causes sterilization in dem voters. err lab rats #SemST,NONE,OTHER,NEGATIVE,None
20088,Donald Trump,@SCOTUScare penned by @ChiefJusticeJR  ends rule of law and freedom. What law will SCOTUS  edit next? @RedNationRising #SemST,NONE,OTHER,NEGATIVE,None
20089,Donald Trump,Whenever Iran stalls  O's response is to make up new talking points! #SemST,NONE,OTHER,NEGATIVE,None
20090,Donald Trump,"@ericbolling Juan says status quo is not working. Remember ""Detente or MAD? They worked! #SemST",NONE,OTHER,NEGATIVE,None
20091,Donald Trump,"Under O & Kerry's deal, if the ayatollahs want to keep their nuclear toys  they can keep their nuclear toys! PERIOD! #SemST",NONE,OTHER,NEGATIVE,None
20092,Donald Trump,I really hate these stunts.  We already know how ignorant the post-Reagan generations are.   #SemST,NONE,OTHER,NEGATIVE,None
20093,Donald Trump,"And ask for handouts @jjauthor: When your family is short of money, do you take Lib option to increase spending? #racism #SemST",NONE,OTHER,NEGATIVE,None
20094,Donald Trump,"Why does O refer to Iran, Hamas, Ebola, and ISIS in dramatically less critical terms than he does Republicans?"" #tcot #SemST",NONE,OTHER,NEGATIVE,None
20095,Donald Trump,Right on @ericbolling Racial fatigue and real depression is running rampant in our country these days.  #SemST,NONE,OTHER,NEGATIVE,None
20096,Donald Trump,"@ericbolling ""I'm suffering from a severe case of racial fatigue. #SemST",NONE,OTHER,NEGATIVE,None
20097,Donald Trump,@ericbolling Sorry you got shut down during the Factor last night by a useless news break. The portion you aired was potent. #SemST,NONE,OTHER,NEGATIVE,None
20098,Donald Trump,"Matters more today, then last week or yesterday.  IF YOU SEE SOMETHING SAY SOMETHING.  Bad is not even a word yet. #SemST",NONE,OTHER,NEGATIVE,None
20099,Donald Trump,@inmatemd @ChuckNellis @Oh_MarieLoDuca We can only hope #SemST,NONE,OTHER,POSITIVE,None
20100,Donald Trump,Can we ask for equality in the USA and get rid of a Confederate flag that has a ton of history ? meanwhile we have clowns like #SemST,NONE,OTHER,NEGATIVE,None
20101,Donald Trump,The whole Latino community will not be voting for #SemST,NONE,OTHER,NEGATIVE,None
20102,Donald Trump,"IRS + Hillary Both ""Lost"" Government Emails: This Situation is as Clear as Day - The #Obama Admin is Destroying Evidence! #SemST",NONE,OTHER,NEGATIVE,None
20103,Donald Trump,"@realDonaldTrump You have a real shot at POTUS Mr. T, the debates will be the true litmus test. #SemST",FAVOR,TARGET,POSITIVE,Favor
20104,Donald Trump,@WayneDupreeShow  I'm just jealous that us NORMAL hetero people don't have a flag or pride week or a parade #SemST,NONE,OTHER,NEGATIVE,None
20105,Donald Trump,@Colin_McManus7 2016 is the first election I can vote in and I am proudly voting for @realDonaldTrump #trumpforpresident #SemST,FAVOR,TARGET,POSITIVE,Favor
20106,Donald Trump,Trump Tower is not on fire. It is The Avery building. The only Trump fire is the one that I hand out when #YoureFired #TrumpRules #SemST,FAVOR,TARGET,POSITIVE,Favor
20107,Donald Trump,RT @_CFJ_: RT @bcwilliams92 Let's get this CLEAR! I DID NOT I REPEAT DID NOT vote on TPP  ~ Ted Cruz #CruzCrew... #SemST,NONE,OTHER,NEGATIVE,None
20108,Donald Trump,Imagine looking out at the world and the America Obama has created while thinking things are better?  My god...  #tcot #PJNET #SemST,NONE,OTHER,NEGATIVE,None
20109,Donald Trump,Unfounded data/support for such drastic claims to be made against Mexico & all its ppl sorry guys I guess I rape & sell drugs #SemST,AGAINST,OTHER,NEGATIVE,None
20110,Donald Trump,"I love it when #conservatives say #government is #tyranny and out to get us, then in D next sentence say #SupportOurTroops : #SemST",NONE,OTHER,NEGATIVE,None
20111,Donald Trump,I like many entries in the 2016 Presidential race; but no one is more accomplished than Donald Trump. His cabinet will be full. #SemST,FAVOR,TARGET,POSITIVE,Favor
20112,Donald Trump,@Jewtantandproud @TookyMonster the new and cool meme is to post a video of you eating a banana. I will if you will! #bananavideo #SemST,NONE,NO ONE,POSITIVE,None
20113,Donald Trump,RT @MissSweets2: MSM is defending a wht woman posing as blk & forgets about AMERICANS held in Iran! Time to #RedNationRising... #SemST,NONE,OTHER,NEGATIVE,None
20114,Donald Trump,@realDonaldTrump Go get 'em Mr. Trump!!! #SemST,FAVOR,TARGET,POSITIVE,Favor
20115,Donald Trump,A vote against Trump is a vote against America #SemST,FAVOR,TARGET,NEGATIVE,Favor
20116,Donald Trump,RT @reel_fisherman6: I think Donald would bring this country back to where we used to be #SemST,FAVOR,TARGET,POSITIVE,Favor
20117,Donald Trump,"My Message To LGBT Rights Supporters: If You Hate America, Please Leave. #SemST",NONE,OTHER,NEGATIVE,None
20118,Donald Trump,@2AFight All these shootings in America are planned. Stay safe stay second amendment. Illegal guns kill people way more wtf?!!! #SemST,NONE,OTHER,NEGATIVE,None
20119,Donald Trump,I really hope @realDonaldTrump doesn't combover and shoot me with the pistol he's constantly packing.. #SemST,AGAINST,TARGET,NEGATIVE,Against
20120,Donald Trump,"For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump #SemST",AGAINST,TARGET,NEGATIVE,Against
20121,Donald Trump,@MoneyForLies #LOLZ Apparently you're unaware of history. What are you? Six? Or merely ignorant?  @TheDemocrats  @mmfa  #SemST,NONE,OTHER,NEGATIVE,None
20122,Donald Trump,@realDonaldTrump you're the man for the job #MakeAmericaGreatAgain #SemST,FAVOR,TARGET,POSITIVE,Favor
20123,Donald Trump,Obama is Liberalism's false idol. Reject that P.O.S. #VoteOutRino's #BoycottMSNBC #VoteCruz #MichelleObamaIsAMan #SemST,NONE,OTHER,NEGATIVE,None
20124,Donald Trump,all #war is on YOU! The evil machine WANTS to control U. #tcot #tlot #dems #teaparty #occupy  #cdnpoli #privacy #Love #art #SemST,NONE,OTHER,NEGATIVE,None
20125,Donald Trump,@marypatriott @steph93065 @RealJamesWoods why not feed these disgusting s.o.b to the Muslims they would love em. #SemST,NONE,OTHER,NEGATIVE,None
20126,Donald Trump,@Rene_gadeCowboy @danoroadblade yes but if a cop bust a bunch of people having a riot it is a hate crime #SemST,NONE,OTHER,NEGATIVE,None
20127,Donald Trump,@realDonaldTrump we need someone like you who won't back down to ANYONE or ANYTHING #SemST,FAVOR,TARGET,POSITIVE,Favor
20128,Donald Trump,#LoveWins ---> I'm hating the rainbow because of this!!#NoToGayMarriage #Wakeuplebanon  #SemST,NONE,OTHER,NEGATIVE,None
20129,Donald Trump,@chriswallace There may be 2000 nutjobs of that number and all they need to do is find eachother. The net has given that #FNS #SemST,NONE,OTHER,NEGATIVE,None
20130,Donald Trump,I Can't Believe How Many Followers I Gained Today  #SemST,NONE,NO ONE,POSITIVE,None
20131,Donald Trump,@wpaulsen31 If a candidate seems to dumb to debate my paper boy hes not getting my vote #SemST,NONE,OTHER,NEGATIVE,None
20132,Donald Trump,@haleyelenaa and his favourite beaches are probably in Acapulco and Cabo  #SemST,NONE,NO ONE,POSITIVE,None
20133,Donald Trump,@GeraldoRivera @realDonaldTrump Don't apologize for the truth. People are too sensitive. #MakeAmericaGreatAgain #SemST,FAVOR,TARGET,NEITHER,Favor
20134,Donald Trump,Everybody get on the Trump Train!! It's a First Class One-Way ticket to the White House with @realDonaldTrump  #SemST,FAVOR,TARGET,POSITIVE,Favor
20135,Donald Trump,Time for Texas & Oklahoma to think about a no fault divorce from the Divided States of America.   #TCOT #CCOT #tippingpoint #SemST,NONE,OTHER,NEGATIVE,None
20136,Donald Trump,@ForQ2 I guess @realDonaldTrump really doesnt like or respect any politicians. .I respect him even more for that. #SemST,FAVOR,TARGET,POSITIVE,Favor
20137,Donald Trump,"...And of course, God bless America!! #tcot  #teaparty  #SemST",NONE,NO ONE,POSITIVE,None
20138,Donald Trump,"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now #SemST",FAVOR,TARGET,POSITIVE,Favor
20139,Donald Trump,"In todays America, does Honesty mean you are a Bigot?  I Hope not! @JonathanHoenig @JudgeJeanine #TheFive #Hannity #SemST",NONE,OTHER,NEGATIVE,None
20140,Donald Trump,Black lives only matter to politicians around election time. #SemST,NONE,OTHER,NEGATIVE,None
20141,Donald Trump,571 Days Left Until Obama Leaves The White House. #SemST,NONE,OTHER,NEGATIVE,None
20142,Donald Trump,Trump believes in traditional marriage so strongly that he's been traditionally married 3x. He should teach a class or something. #SemST,AGAINST,TARGET,NEGATIVE,Against
20143,Donald Trump,@realDonaldTrump we need a president who cannot be bought. #SemST,FAVOR,TARGET,POSITIVE,Favor
20144,Donald Trump,"@KidDynamiteBlog Between #Hillary2016 ""a sadistic psychiatric nurse let loose in a lunatic asylum"" & #bush16 ppl may vote #Shit! #SemST",NONE,OTHER,NEGATIVE,None
20145,Donald Trump,We have become a nation where decisions are based on feelings and not on facts.  #tcot #ycot #SemST,NONE,OTHER,NEGATIVE,None
20146,Donald Trump,I admire how real and unapologetic Donald Trump is on his Political standpoints #SemST,FAVOR,TARGET,POSITIVE,Favor
20147,Donald Trump,@thereaIbanksy stop making racist peopld rich! #SemST,NONE,OTHER,NEGATIVE,None
20148,Donald Trump,"Be prepared - if we continue the policies of the liberal left, we will be #Greece - #SemST",NONE,OTHER,NEGATIVE,None
20149,Donald Trump,@realDonaldTrump Probably because @jorgeramosnews had to change it after you published his old one on Instagram #TrumptheChump #SemST,AGAINST,TARGET,NEGATIVE,Against
20150,Donald Trump,"RT @bdckool: .@realDonaldTrump Of you can do for America what you did for your businesses, you will secure my vote. #SemST",FAVOR,TARGET,POSITIVE,Favor
20151,Donald Trump,Reminder: DemocRATs STOLE  $716 Billion from Medicare f/ the elderly & gave it to Medicaid to help pay for #Obamacare. #SemST,NONE,OTHER,NEGATIVE,None
20152,Donald Trump,@thehill you continue to shoot yourself in the foot. I guess this is for entertainment purposes only! #SemST,NONE,NO ONE,NEGATIVE,None
20153,Donald Trump,@realDonaldTrump I feel the train is gaining steam.  #SemST,FAVOR,TARGET,POSITIVE,Favor
20154,Donald Trump,@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader #SemST,FAVOR,TARGET,POSITIVE,Favor
20155,Donald Trump,I'm confused?? An unarmed fugitive was shot this weekend while running from an officer.  No rioting? No dismissal? A hero?  #SemST,NONE,OTHER,NEGATIVE,None
20156,Donald Trump,Trump: Chicago is a great city. I love spending time in my building. #SemST,NONE,OTHER,POSITIVE,None
20157,Donald Trump,@realDonaldTrump I recommend @seanhannity as Sec of Defense and @marklevinshow as your new Atty General. #SemST,FAVOR,TARGET,POSITIVE,Favor
20158,Donald Trump,Is #Greece waking up to the disaster of #Socialism and a world without borders? #SemST,NONE,OTHER,NEGATIVE,None
20159,Donald Trump,Really respect @realDonaldTrump for giving up #TheApprentice to make way for his #campaign #AmericaNeedsThis #GodBlessedAmerica #SemST,FAVOR,TARGET,POSITIVE,Favor
20160,Donald Trump,This country doesnt have victories any more.  When is the last time we beat china in trade? #talkcityclub #SemST,NONE,OTHER,NEGATIVE,None
20161,Donald Trump,"Putting Our Marines on non US flagged Ships would be against everything that is America, for Gods sake end #Progressivism #SemST",NONE,OTHER,NEGATIVE,None
20162,Donald Trump,If the Obama cabinet was on the apprentice who would you fire?  Kerry was the answer. #talkcityclub #SemST,NONE,OTHER,NEGATIVE,None
20163,Donald Trump,".@robertthedeuce True, @Obama @MSNBCYourBiz @AlanColmes doesn't care, It's NOT their money. Wait-up Greece, We're coming. #SemST",NONE,OTHER,NEGATIVE,None
20164,Donald Trump,I guess NBC does not like to hear the truth. #SemST,FAVOR,OTHER,NEGATIVE,None
20165,Donald Trump,Y'all knew it was going to happen.  Wasn't it just a matter of time?  #SemST,NONE,OTHER,NEGATIVE,None
20166,Donald Trump,.@nbc ends relationship with @realDonaldTrump over his disgusting derogatory remarks. This man ha no place in the White House. #SemST,AGAINST,TARGET,NEGATIVE,Against
20167,Donald Trump,@realDonaldTrump is such an idiot. He's risking way to much for something he'll never get. #SemST,AGAINST,TARGET,NEGATIVE,Against
20168,Donald Trump,"So, Donald gets fired, but reverend Al is still employed. Both are idiots. Makes zero sense, #NBC #SemST",AGAINST,TARGET,NEGATIVE,Against
20169,Donald Trump,"Props to @nbc, they are connected to Telemundo. Even more impressive they dumped Trump after Univision squabble. #DumpTrump #SemST",AGAINST,TARGET,NEGATIVE,Against
20170,Donald Trump,I suddenly find myself liking @nbc a whole lot more than ever before.forPresidentoftheClubofIdiots #SemST,AGAINST,TARGET,POSITIVE,Against
20171,Donald Trump,Will FOX News pick up #MissUSA and #MissUniverse?  Stay tuned to find out.  #YoureFired #NBC #FoxNews #SemST,NONE,OTHER,NEITHER,None
20172,Donald Trump,@politico is there anybody more sue happy than this fool? #trump #lawsuitabuse #SemST,AGAINST,TARGET,NEGATIVE,Against
20173,Donald Trump,Hey #UniteBlue look at #Greece - that's America's future thanks to you and Obama adding 8 Triion in U.S. debt. #SemST,NONE,OTHER,NEGATIVE,None
20174,Donald Trump,@realDonaldTrump he is a real leader and deserves to be President. #SemST,FAVOR,TARGET,POSITIVE,Favor
20175,Donald Trump,Donald Trump:  proof positive that Gigantism is the last stage before extinction. #MissUSA #SemST,AGAINST,TARGET,NEGATIVE,Against
20176,Donald Trump,Kudos to Donald Trump for telling off NBC. The media HATES the GOP'S & will do ANYTHING to destroy them. #NBC #mediaatfault #SemST,FAVOR,TARGET,NEGATIVE,Favor
20177,Donald Trump,"One of the key problems today is that politics is such a disgrace, good people don't go into government. - @realDonaldTrump #SemST",FAVOR,TARGET,NEGATIVE,Favor
20178,Donald Trump,"Really #DonaldTrump, all Mexican people are rapists, but you assume SOME are good people... #IdiotNation #facepalm #SemST",AGAINST,TARGET,NEGATIVE,Against
20179,Donald Trump,"The Left fear Donald Trump, BIG TIME! @realDonaldTrump  #SemST",FAVOR,TARGET,POSITIVE,Favor
20180,Donald Trump,@cvpayne @FoxBusiness yup you got that right #SemST,NONE,OTHER,POSITIVE,None
20181,Donald Trump,#TheFive Geraldo is an ass and when he spews his leftist BS he makes me sick TURNING OFF THE FIVE #TheFive #SemST,NONE,OTHER,NEGATIVE,None
20182,Donald Trump,Go back to focusing on brainless beauties... Oh wait you can't cuz you've been fired #NBC #youlose #sorrynotsorry #SemST,AGAINST,TARGET,NEGATIVE,Against
20183,Donald Trump,"Donald Trump gets the boot from #NBC for calling immigrants rapists and murderers. Hey Donnie, where's your wife from again? #SemST",AGAINST,TARGET,NEGATIVE,Against
20184,Donald Trump,Donald Trump needs to stop embarrassing himself. Racist assholes.... #SemST,AGAINST,TARGET,NEGATIVE,Against
20185,Donald Trump,"@MarioLopezExtra @nbc fires Trump, but maintains strong ties with @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO #SemST",FAVOR,TARGET,NEGATIVE,Favor
20186,Donald Trump,Hey @MayorGregor thanks for letting a racist bigot build a giant tower with his name on it downtown. Real proud of ya. #SemST,AGAINST,TARGET,NEGATIVE,Against
20187,Donald Trump,@RoughHouse_Ent Who the hell wants to watch this without #SemST,NONE,OTHER,NEGATIVE,None
20188,Donald Trump,"@realDonaldTrump I am sorry Mexico sends people like Dylan Roof, Mitchelle Blair and David Sweat to the USA. #enemywithin #SemST",AGAINST,TARGET,NEGATIVE,Against
